date,title,description,url,source
2026-05-20,VNM: Thông báo về việc ký hợp đồng kiểm toán BCTC năm 2026,Công ty Cổ phần Sữa Việt Nam thông báo về việc ký hợp đồng kiểm toán BCTC năm 2026,https://cafef.vn/du-lieu/VNM-2891082/vnm-thong-bao-ve-viec-ky-hop-dong-kiem-toan-bctc-nam-2026.chn,cafef
2026-05-06,VNM: Thông báo giấy xác nhận thay đổi nội dung ĐKDN,Công ty Cổ phần Sữa Việt Nam thông báo  giấy xác nhận thay đổi nội dung ĐKDN,https://cafef.vn/du-lieu/VNM-2880627/vnm-thong-bao-giay-xac-nhan-thay-doi-noi-dung-dkdn.chn,cafef
2026-04-29,VNM: Giải trình KQKD Hợp nhất và Riêng quý 1/2026 so với cùng kỳ năm trước,Công ty Cổ phần Sữa Việt Nam giải trình KQKD HN và Riêng quý 1/2026 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/VNM-2876741/vnm-giai-trinh-kqkd-hop-nhat-va-rieng-quy-12026-so-voi-cung-ky-nam-truoc.chn,cafef
2026-04-24,VNM: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,Công ty Cổ phần Sữa Việt Nam thông báo Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,https://cafef.vn/du-lieu/VNM-2674563/vnm-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-2026.chn,cafef
2026-04-24,VNM: Quy chế nội bộ về quản trị công ty,Công ty Cổ phần Sữa Việt Nam thông báo Quy chế nội bộ về quản trị công ty,https://cafef.vn/du-lieu/VNM-2674564/vnm-quy-che-noi-bo-ve-quan-tri-cong-ty.chn,cafef
2026-04-24,VNM: Điều lệ công ty 2026,Công ty Cổ phần Sữa Việt Nam thông báo Điều lệ công ty,https://cafef.vn/du-lieu/VNM-2674562/vnm-dieu-le-cong-ty-2026.chn,cafef
2026-04-23,VNM: Thông báo hoàn thành Báo cáo phát triển bền vững năm 2025,Công ty Cổ phần Sữa Việt Nam thông báo hoàn thành Báo cáo phát triển bền vững năm 2025,https://cafef.vn/du-lieu/VNM-2673645/vnm-thong-bao-hoan-thanh-bao-cao-phat-trien-ben-vung-nam-2025.chn,cafef
2026-04-23,VNM: Các tài liệu họp sau ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Sữa Việt Nam công bố các tài liệu họp sau ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/VNM-2674179/vnm-cac-tai-lieu-hop-sau-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-04-01,VNM: Link công bố tài liệu ĐHĐCĐ thường niên 2026,Công ty Cổ phần Sữa Việt Nam thông báo link công bố tài liệu ĐHĐCĐ thường niên 2026,https://cafef.vn/du-lieu/VNM-2655425/vnm-link-cong-bo-tai-lieu-dhdcd-thuong-nien-2026.chn,cafef
2026-03-17,"VNM: Nghị quyết HĐQT phê duyệt giao dịch, hợp đồng với người có liên quan","Công ty Cổ phần Sữa Việt Nam thông báo Nghị quyết HĐQT về việc phê duyệt giao dịch, hợp đồng với người có liên quan",https://cafef.vn/du-lieu/VNM-2421667/vnm-nghi-quyet-hdqt-phe-duyet-giao-dich-hop-dong-voi-nguoi-co-lien-quan.chn,cafef
