date,title,description,url,source
2026-05-21,"VSC: Nghị quyết, Biên bản họp ĐHĐCĐ thường niên 2026 và tài liệu kèm theo","Công ty Cổ phần Container Việt Nam thông báo Nghị quyết, Biên bản họp ĐHĐCĐ thường niên 2026 và tài liệu kèm theo",https://cafef.vn/du-lieu/VSC-2892280/vsc-nghi-quyet-bien-ban-hop-dhdcd-thuong-nien-2026-va-tai-lieu-kem-theo.chn,cafef
2026-05-18,VSC: Nghị quyết HĐQT thông qua việc sửa đổi tài liệu họp ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Container Việt Nam công bố Nghị quyết HĐQT thông qua việc sửa đổi tài liệu họp ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/VSC-2889271/vsc-nghi-quyet-hdqt-thong-qua-viec-sua-doi-tai-lieu-hop-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-04-29,VSC: Nghị quyết HĐQT về việc sửa đổi tài liệu họp ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Container Việt Nam công bố Nghị quyết HĐQT về việc sửa đổi tài liệu họp ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/VSC-2678009/vsc-nghi-quyet-hdqt-ve-viec-sua-doi-tai-lieu-hop-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-04-03,VSC: Nghị quyết HĐQT về việc gia hạn thời gian tổ chức ĐHĐCĐ thường niên năm 2026 và bộ tài liệu,Công ty Cổ phần Container Việt Nam công bố Nghị quyết HĐQT về việc gia hạn thời gian tổ chức ĐHĐCĐ thường niên năm 2026 và bộ tài liệu,https://cafef.vn/du-lieu/VSC-2658801/vsc-nghi-quyet-hdqt-ve-viec-gia-han-thoi-gian-to-chuc-dhdcd-thuong-nien-nam-2026-va-bo-tai-lieu.chn,cafef
2026-04-03,VSC: Thông báo mời họp và tài liệu ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Container Việt Nam thông báo mời họp và tài liệu ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/VSC-2658803/vsc-thong-bao-moi-hop-va-tai-lieu-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-03-16,VSC: Nghị quyết HĐQT phê duyệt ký kết các hợp đồng hợp tác kinh doanh với HAH,Công ty Cổ phần Container Việt Nam công bố Nghị quyết HĐQT về phê duyệt ký kết các hợp đồng hợp tác kinh doanh với HA,https://cafef.vn/du-lieu/VSC-2420591/vsc-nghi-quyet-hdqt-phe-duyet-ky-ket-cac-hop-dong-hop-tac-kinh-doanh-voi-hah.chn,cafef
2026-03-16,VSC: Thông báo về việc hoàn tất chuyển nhượng phần vốn góp Công ty TNHH Harbour City,Công ty Cổ phần Container Việt Nam thông báo về việc hoàn tất chuyển nhượng phần vốn góp Công ty TNHH Harbour City,https://cafef.vn/du-lieu/VSC-2420802/vsc-thong-bao-ve-viec-hoan-tat-chuyen-nhuong-phan-von-gop-cong-ty-tnhh-harbour-city.chn,cafef
2026-03-06,"VSC: 23.3.2026, ngày GDKHQ tổ chức ĐHĐCĐ thường niên năm 2026",Sở Giao dịch Chứng khoán TP.HCM thông báo về ngày đăng ký cuối cùng tham dự ĐHĐCĐ thường niên năm 2026 của Công ty Cổ phần Container Việt Nam,https://cafef.vn/du-lieu/VSC-2413606/vsc-2332026-ngay-gdkhq-to-chuc-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-03-03,VSC: Nghị quyết HĐQT thông qua kế hoạch tổ chức ĐHĐCĐ thường niên 2026,Công ty Cổ phần Container Việt Nam công bố Nghị quyết HĐQT về việc thông qua kế hoạch tổ chức ĐHĐCĐ thường niên 2026,https://cafef.vn/du-lieu/VSC-2410943/vsc-nghi-quyet-hdqt-thong-qua-ke-hoach-to-chuc-dhdcd-thuong-nien-2026.chn,cafef
2026-02-24,VSC: Nghị quyết HĐQT về điều chỉnh thông tin trạng thái chứng khoán,Công ty Cổ phần Container Việt Nam công bố Nghị quyết HĐQT về điều chỉnh thông tin trạng thái chứng khoán,https://cafef.vn/du-lieu/VSC-2406864/vsc-nghi-quyet-hdqt-ve-dieu-chinh-thong-tin-trang-thai-chung-khoan.chn,cafef
2025-12-24,"VSC: Nghị quyết HĐQT thông qua chủ trương ký kết và thực hiện các hợp đồng, giao dịch với người có liên quan năm 2026","Công ty Cổ phần Container Việt Nam công bố Nghị quyết HĐQT về thông qua chủ trương ký kết và thực hiện các hợp đồng, giao dịch với người có liên quan năm 2026",https://cafef.vn/du-lieu/VSC-2368783/vsc-nghi-quyet-hdqt-thong-qua-chu-truong-ky-ket-va-thuc-hien-cac-hop-dong-giao-dich-voi-nguoi-co-lien-quan-nam-2026.chn,cafef
2025-10-10,VSC: Biên bản họp và Nghị quyết ĐHĐCĐ bất thường năm 2025,Công ty Cổ phần Container Việt Nam công bố Biên bản họp và Nghị quyết ĐHĐCĐ bất thường năm 2025,https://cafef.vn/du-lieu/VSC-2316355/vsc-bien-ban-hop-va-nghi-quyet-dhdcd-bat-thuong-nam-2025.chn,cafef
2025-09-03,VSC: Thông báo mời họp ĐHĐCĐ bất thường 2025,Công ty Cổ phần Container Việt Nam thông báo mời họp ĐHĐCĐ BT 2025,https://cafef.vn/du-lieu/VSC-2359686/vsc-thong-bao-moi-hop-dhdcd-bat-thuong-2025.chn,cafef
2025-08-29,VSC: Nghị quyết HĐQT thông qua tài liệu trình ĐHĐCĐ bất thường năm 2025,Công ty Cổ phần Container Việt Nam thông báo Nghị quyết HĐQT về việc thông qua tài liệu trình ĐHĐCĐ bất thường năm 2025,https://cafef.vn/du-lieu/VSC-2289110/vsc-nghi-quyet-hdqt-thong-qua-tai-lieu-trinh-dhdcd-bat-thuong-nam-2025.chn,cafef
2025-08-21,VSC: Nghị quyết HĐQT thông qua phương án trình ĐHĐCĐ bất thường năm 2025 về việc điều chỉnh tăng kế hoạch lợi nhuận trước thuế 2025,Công ty Cổ phần Container Việt Nam công bố Nghị quyết HĐQT thông qua phương án trình ĐHĐCĐ bất thường năm 2025 về việc điều chỉnh tăng kế hoạch lợi nhuận trước thuế 2025,https://cafef.vn/du-lieu/VSC-2279881/vsc-nghi-quyet-hdqt-thong-qua-phuong-an-trinh-dhdcd-bat-thuong-nam-2025-ve-viec-dieu-chinh-tang-ke-hoach-loi-nhuan-truoc-thue-2025.chn,cafef
