date,title,description,url,source
2026-06-11,DGW: Thông báo mua lại cổ phiếu,,https://vietstock.vn/2026/06/dgw-thong-bao-mua-lai-co-phieu-739-1453937.htm,vietstock
2026-06-05,DGW: Nghị quyết HĐQT về việc mua lại cổ phiếu ESOP của cán bộ nhân viên nghỉ việc,,https://vietstock.vn/2026/06/dgw-nghi-quyet-hdqt-ve-viec-mua-lai-co-phieu-esop-cua-can-bo-nhan-vien-nghi-viec-737-1453301.htm,vietstock
2026-05-12,Doanh thu Digiworld tăng trưởng 14% trong tháng 5,,https://vietstock.vn/2026/06/doanh-thu-digiworld-tang-truong-14-trong-thang-5-737-1451257.htm,vietstock
2026-04-29,DGW: Thông báo giấy xác nhận thay đổi nội dung ĐKDN,,https://vietstock.vn/2026/05/dgw-thong-bao-giay-xac-nhan-thay-doi-noi-dung-dkdn-830-1441679.htm,vietstock
2026-04-27,DGW: Thông báo về ngày đăng ký cuối cùng chi trả cổ tức năm 2025 bằng tiền,,https://vietstock.vn/2026/04/dgw-thong-bao-ve-ngay-dang-ky-cuoi-cung-chi-tra-co-tuc-nam-2025-bang-tien-737-1435903.htm,vietstock
2026-04-24,"Digiworld báo lãi tăng 90% trong quý 1, rót thêm tiền vào cổ phiếu TCB, VPB, giảm HPG",,https://vietstock.vn/2026/04/digiworld-bao-lai-tang-90-trong-quy-1-rot-them-tien-vao-co-phieu-tcb-vpb-giam-hpg-737-1434053.htm,vietstock
2026-04-24,DGW: Giải trình KQKD HN và Riêng quý 1/2026 so với cùng kỳ năm trước,,https://vietstock.vn/2026/04/dgw-giai-trinh-kqkd-hn-va-rieng-quy-1-2026-so-voi-cung-ky-nam-truoc-737-1433657.htm,vietstock
2026-04-24,DGW: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,,https://vietstock.vn/2026/04/dgw-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-2026-737-1433082.htm,vietstock
2026-04-24,DGW: Nghị quyết HĐQT về việc bầu Chủ tịch HĐQT và các Ủy ban trực thuộc,,https://vietstock.vn/2026/04/dgw-nghi-quyet-hdqt-ve-viec-bau-chu-tich-hdqt-va-cac-uy-ban-truc-thuoc-737-1433073.htm,vietstock
2026-04-24,DGW: Nghị quyết HĐQT về việc chốt DSCĐ thực hiện quyền nhận cổ tức năm 2025,,https://vietstock.vn/2026/04/dgw-nghi-quyet-hdqt-ve-viec-chot-dscd-thuc-hien-quyen-nhan-co-tuc-nam-2025-737-1433074.htm,vietstock
2026-04-24,DGW: Thông báo ngày ĐKCC thực hiện quyền nhận cổ tức năm 2025,,https://vietstock.vn/2026/04/dgw-thong-bao-ngay-dkcc-thuc-hien-quyen-nhan-co-tuc-nam-2025-738-1433075.htm,vietstock
2026-04-24,DGW: Thông báo thay đổi nhân sự,,https://vietstock.vn/2026/04/dgw-thong-bao-thay-doi-nhan-su-214-1433076.htm,vietstock
2026-04-24,DGW: BCTC quý 2 năm 2026,,https://vietstock.vn/2026/04/dgw-bctc-quy-2-nam-2026-737-1433619.htm,vietstock
2026-04-22,DGW: BCTC Hợp nhất quý 2 năm 2026,,https://vietstock.vn/2026/04/dgw-bctc-hop-nhat-quy-2-nam-2026-737-1433620.htm,vietstock
2026-04-17,"ĐHĐCĐ Digiworld: Siết đầu tư sau khoản lỗ FPT, lấn sân ngành hàng Automotive và đẩy mạnh AI",,https://vietstock.vn/2026/04/dhdcd-digiworld-siet-dau-tu-sau-khoan-lo-fpt-lan-san-nganh-hang-automotive-va-day-manh-ai-737-1431933.htm,vietstock
2026-04-16,Phân tích kỹ thuật phiên chiều 17/04: Tiếp tục tăng,,https://vietstock.vn/2026/04/phan-tich-ky-thuat-phien-chieu-1704-tiep-tuc-tang-585-1429123.htm,vietstock
2026-04-16,DGW: Thông báo thay đổi nhân sự - Miễn nhiệm Trưởng phòng Tài chính và Trưởng phòng kiểm toán nội bộ,,https://vietstock.vn/2026/04/dgw-thong-bao-thay-doi-nhan-su-mien-nhiem-truong-phong-tai-chinh-va-truong-phong-kiem-toan-noi-bo-737-1428384.htm,vietstock
2026-04-14,DGW: Nghị quyết HĐQT về việc miễn nhiệm Trưởng phòng Tài chính,,https://vietstock.vn/2026/04/dgw-nghi-quyet-hdqt-ve-viec-mien-nhiem-truong-phong-tai-chinh-737-1428380.htm,vietstock
2026-04-13,DGW: Báo cáo thường niên năm 2025,,https://vietstock.vn/2026/04/dgw-bao-cao-thuong-nien-nam-2025-737-1427209.htm,vietstock
2026-04-13,DGW: Danh sách ứng cử viên HĐQT nhiệm kỳ 20265 - 2031,,https://vietstock.vn/2026/04/dgw-danh-sach-ung-cu-vien-hdqt-nhiem-ky-20265-2031-830-1426671.htm,vietstock
2026-03-26,"DGW, DPG và FPT có gì hấp dẫn?",,https://vietstock.vn/2026/03/dgw-dpg-va-fpt-co-gi-hap-dan-145-1418486.htm,vietstock
2026-03-25,"Digiworld lên kế hoạch tăng trưởng doanh thu 18%, chuẩn bị tái cấu trúc theo mô hình holdings",,https://vietstock.vn/2026/03/digiworld-len-ke-hoach-tang-truong-doanh-thu-18-chuan-bi-tai-cau-truc-theo-mo-hinh-holdings-737-1416741.htm,vietstock
2026-03-25,DGW: Tài liệu họp ĐHĐCĐ thường niên 2026 và link tài liệu,,https://vietstock.vn/2026/03/dgw-tai-lieu-hop-dhdcd-thuong-nien-2026-va-link-tai-lieu-737-1416250.htm,vietstock
2026-03-24,DGW: Giải trình KQKD HN và Riêng năm 2025 sau kiểm toán so với cùng kỳ năm trước,,https://vietstock.vn/2026/03/dgw-giai-trinh-kqkd-hn-va-rieng-nam-2025-sau-kiem-toan-so-voi-cung-ky-nam-truoc-737-1416014.htm,vietstock
2026-03-24,DGW: BCTC Hợp nhất năm 2025,,https://vietstock.vn/2026/03/dgw-bctc-hop-nhat-nam-2025-737-1416011.htm,vietstock
2026-03-19,"Điện máy, công nghệ ""nhấp nhổm"" tăng giá",,https://vietstock.vn/2026/03/dien-may-cong-nghe-nhap-nhom-tang-gia-768-1414788.htm,vietstock
