date,title,description,url,source
2026-06-24,PPC: Thông báo về việc ký Hợp đồng kiểm toán BCTC năm 2026,,https://vietstock.vn/2026/06/ppc-thong-bao-ve-viec-ky-hop-dong-kiem-toan-bctc-nam-2026-737-1458517.htm,vietstock
2026-06-24,"PPC: Biên bản, Nghị quyết ĐHĐCĐ TN năm 2026",,https://vietstock.vn/2026/06/ppc-bien-ban-nghi-quyet-dhdcd-tn-nam-2026-737-1458166.htm,vietstock
2026-06-03,PPC: Thông báo thay đổi nhân sự,,https://vietstock.vn/2026/06/ppc-thong-bao-thay-doi-nhan-su-214-1458175.htm,vietstock
2026-06-01,PPC: Bổ sung tài liệu họp ĐHĐCĐ bất thường 2026,,https://vietstock.vn/2026/06/ppc-bo-sung-tai-lieu-hop-dhdcd-bat-thuong-2026-737-1450011.htm,vietstock
2026-05-15,PPC: Nghị quyết HĐQT về việc thay đổi thời gian tổ chức ĐHĐCĐ thường niên 2026,,https://vietstock.vn/2026/06/ppc-nghi-quyet-hdqt-ve-viec-thay-doi-thoi-gian-to-chuc-dhdcd-thuong-nien-2026-737-1449000.htm,vietstock
2026-05-08,PPC: Thông báo đường dẫn tài liệu họp ĐHĐCĐ thường niên năm 2026,,https://vietstock.vn/2026/05/ppc-thong-bao-duong-dan-tai-lieu-hop-dhdcd-thuong-nien-nam-2026-737-1442848.htm,vietstock
2026-04-22,"PPC: Nghị quyết HĐQT về việc thay đổi thời gian, địa điểm tổ chức ĐHĐCĐ thường niên năm 2026",,https://vietstock.vn/2026/05/ppc-nghi-quyet-hdqt-ve-viec-thay-doi-thoi-gian-dia-diem-to-chuc-dhdcd-thuong-nien-nam-2026-737-1440050.htm,vietstock
2026-04-21,"PPC: Quyết định của HĐQT về việc phê duyệt điều chỉnh chủ trương đầu tư dự án "" Cải tạo, nâng cấp hệ thống xử lý khí thải dây chuyền 2""",,https://vietstock.vn/2026/04/ppc-quyet-dinh-cua-hdqt-ve-viec-phe-duyet-dieu-chinh-chu-truong-dau-tu-du-an-cai-tao-nang-cap-he-thong-xu-ly-khi-thai-day-chuyen-2-737-1432300.htm,vietstock
2026-04-20,PPC: Nghị quyết và Biên bản họp ĐHĐCĐ bất thường 2026,,https://vietstock.vn/2026/04/ppc-nghi-quyet-va-bien-ban-hop-dhdcd-bat-thuong-2026-737-1431251.htm,vietstock
2026-04-16,PPC: BCTC Tóm tắt quý 1 năm 2026,,https://vietstock.vn/2026/04/ppc-bctc-tom-tat-quy-1-nam-2026-737-1430675.htm,vietstock
2026-04-16,PPC: Báo cáo thường niên năm 2025,,https://vietstock.vn/2026/04/ppc-bao-cao-thuong-nien-nam-2025-737-1428851.htm,vietstock
2026-03-30,PPC: Bổ sung tài liệu họp ĐHĐCĐ bất thường năm 2026,,https://vietstock.vn/2026/04/ppc-bo-sung-tai-lieu-hop-dhdcd-bat-thuong-nam-2026-737-1428854.htm,vietstock
2026-03-30,PPC: Link công bố tài liệu ĐHĐCĐ bất thường năm 2026,,https://vietstock.vn/2026/03/ppc-link-cong-bo-tai-lieu-dhdcd-bat-thuong-nam-2026-737-1418565.htm,vietstock
2026-03-27,PPC: BCTC Tóm tắt năm 2025,,https://vietstock.vn/2026/03/ppc-bctc-tom-tat-nam-2025-737-1418987.htm,vietstock
2026-03-23,PPC: Thông báo ngày ĐKCC thực hiện quyền tham dự ĐHĐCĐ TN 2026,,https://vietstock.vn/2026/03/ppc-thong-bao-ngay-dkcc-thuc-hien-quyen-tham-du-dhdcd-tn-2026-737-1418104.htm,vietstock
2026-03-10,PPC: Thông báo và Nghị quyết HĐQT về ngày ĐKCC thực hiện quyền tham dự ĐHĐCĐTN 2026,,https://vietstock.vn/2026/03/ppc-thong-bao-va-nghi-quyet-hdqt-ve-ngay-dkcc-thuc-hien-quyen-tham-du-dhdcdtn-2026-737-1415175.htm,vietstock
2026-03-03,PPC: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự ĐHĐCĐ bất thường năm 2026,,https://vietstock.vn/2026/03/ppc-thong-bao-ve-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-tham-du-dhdcd-bat-thuong-nam-2026-737-1410363.htm,vietstock
2026-02-09,"PPC: Thông báo và Nghị quyết HĐQT về ngày đăng ký cuối cùng chốt thời gian, địa điểm tổ chức ĐHĐCĐ bất thường năm 2026",,https://vietstock.vn/2026/03/ppc-thong-bao-va-nghi-quyet-hdqt-ve-ngay-dang-ky-cuoi-cung-chot-thoi-gian-dia-diem-to-chuc-dhdcd-bat-thuong-nam-2026-737-1407552.htm,vietstock
2026-01-30,PPC: Giấy chứng nhận đăng ký hoạt động chi nhánh của Ban quản lý dự án,,https://vietstock.vn/2026/02/ppc-giay-chung-nhan-dang-ky-hoat-dong-chi-nhanh-cua-ban-quan-ly-du-an-737-1402096.htm,vietstock
2026-01-30,PPC: Báo cáo tình hình quản trị công ty năm 2025,,https://vietstock.vn/2026/01/ppc-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2025-737-1398172.htm,vietstock
2026-01-26,PPC: Thông báo thay đổi nhân sự Công ty,,https://vietstock.vn/2026/01/ppc-thong-bao-thay-doi-nhan-su-cong-ty-214-1396501.htm,vietstock
2026-01-23,"Nhiệt điện Phả Lại đi lùi 4 quý liên tiếp, lợi nhuận cả năm rơi 60%",,https://vietstock.vn/2026/01/nhiet-dien-pha-lai-di-lui-4-quy-lien-tiep-loi-nhuan-ca-nam-roi-60-737-1395044.htm,vietstock
2026-01-22,PPC: Nghị quyết HĐQT số 04 ngày 22/01/2026 và Quyết định HĐQT số 326 ngày 23/01/2026,,https://vietstock.vn/2026/01/ppc-nghi-quyet-hdqt-so-04-ngay-22-01-2026-va-quyet-dinh-hdqt-so-326-ngay-23-01-2026-737-1394744.htm,vietstock
2025-12-08,PPC: BCTC quý 4 năm 2025,,https://vietstock.vn/2026/01/ppc-bctc-quy-4-nam-2025-737-1393096.htm,vietstock
2025-10-28,PBP: Tỷ lệ sở hữu nước ngoài tối đa của PPC,,https://vietstock.vn/2025/12/pbp-ty-le-so-huu-nuoc-ngoai-toi-da-cua-ppc-739-1379398.htm,vietstock
2025-10-20,PPC: Thông báo ngày ĐKCC trả cổ tức còn lại năm 2024 bằng tiền,,https://vietstock.vn/2025/10/ppc-thong-bao-ngay-dkcc-tra-co-tuc-con-lai-nam-2024-bang-tien-738-1366111.htm,vietstock
2025-10-17,PPC: Bổ nhiệm Ông Nguyễn Văn Thanh kiêm nhiệm thêm chức vụ Trưởng bộ phận kiểm toán nội bộ thay cho Ông Lê Tuấn Hải,,https://vietstock.vn/2025/10/ppc-bo-nhiem-ong-nguyen-van-thanh-kiem-nhiem-them-chuc-vu-truong-bo-phan-kiem-toan-noi-bo-thay-cho-ong-le-tuan-hai-214-1362950.htm,vietstock
2025-10-16,PPC: CBTT về việc trả cổ tức còn lại năm 2024 bằng tiền,,https://vietstock.vn/2025/10/ppc-cbtt-ve-viec-tra-co-tuc-con-lai-nam-2024-bang-tien-738-1362598.htm,vietstock
2025-09-17,PPC: BCTC Tóm tắt quý 3 năm 2025,,https://vietstock.vn/2025/10/ppc-bctc-tom-tat-quy-3-nam-2025-737-1362132.htm,vietstock
2025-08-25,PPC: Ông Phạm Hồng Vân là người ủy quyền thực hiện công bố thông tin thay cho Bà Đinh Thị Diễm Quỳnh,,https://vietstock.vn/2025/09/ppc-ong-pham-hong-van-la-nguoi-uy-quyen-thuc-hien-cong-bo-thong-tin-thay-cho-ba-dinh-thi-diem-quynh-214-1353320.htm,vietstock
2025-08-14,PPC: Bổ nhiệm Ông Phạm Hồng Vân giữ chức Kế toán trưởng Công ty,,https://vietstock.vn/2025/08/ppc-bo-nhiem-ong-pham-hong-van-giu-chuc-ke-toan-truong-cong-ty-214-1345485.htm,vietstock
2025-08-13,PPC: Thông báo thay đổi nhân sự Công ty,,https://vietstock.vn/2025/08/ppc-thong-bao-thay-doi-nhan-su-cong-ty-214-1341518.htm,vietstock
2025-08-08,PPC: BCTC Tóm tắt 6 tháng đầu năm 2025,,https://vietstock.vn/2025/08/ppc-bctc-tom-tat-6-thang-dau-nam-2025-737-1341576.htm,vietstock
2025-07-30,PPC: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 12,,https://vietstock.vn/2025/08/ppc-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-12-737-1339653.htm,vietstock
2025-07-25,PPC: Nghị quyết HĐQT về việc thông qua con dấu của công ty,,https://vietstock.vn/2025/07/ppc-nghi-quyet-hdqt-ve-viec-thong-qua-con-dau-cua-cong-ty-737-1334701.htm,vietstock
