date,open,high,low,close,volume
2021-10-13,10.04,11.83,10.04,11.77,785298
2021-10-14,11.16,11.94,11.16,11.77,1576654
2021-10-15,11.16,11.88,11.16,11.83,1620327
2021-10-18,11.44,11.88,11.44,11.72,1029405
2021-10-19,11.44,11.77,11.44,11.66,770584
2021-10-20,11.44,11.83,11.44,11.72,1382027
2021-10-21,11.6,11.83,11.6,11.77,922848
2021-10-22,11.44,11.83,11.44,11.72,938393
2021-10-25,11.44,11.72,11.44,11.49,1186289
2021-10-26,11.6,11.6,11.44,11.6,1239893
2021-10-27,9.93,12.27,9.93,12.0,2600085
2021-10-28,12.05,12.22,11.88,11.94,2252543
2021-10-29,11.21,12.11,11.21,12.0,2171755
2021-11-01,12.0,12.16,11.94,12.11,2903547
2021-11-02,12.27,12.5,12.05,12.27,5279714
2021-11-03,12.44,13.56,12.27,13.0,8675121
2021-11-04,13.39,13.39,12.89,13.0,3339916
2021-11-05,12.83,13.11,12.66,12.78,2347852
2021-11-08,12.78,12.94,12.5,12.72,5122248
2021-11-09,13.85,13.91,13.17,13.36,3071611
2021-11-10,13.36,13.42,12.99,13.17,1800883
2021-11-11,13.17,13.17,12.68,12.92,2920142
2021-11-12,12.68,13.11,12.68,13.11,1484280
2021-11-15,10.96,13.17,10.96,12.92,1394029
2021-11-16,11.39,13.11,11.39,12.86,1259536
2021-11-17,12.99,12.99,12.8,12.92,1162710
2021-11-18,12.8,13.11,12.8,12.86,1706396
2021-11-19,12.8,13.54,12.8,13.23,3821388
2021-11-22,13.05,14.4,13.05,13.97,7425098
2021-11-23,14.16,14.16,13.42,13.79,1953114
2021-11-24,14.16,15.08,13.6,14.89,11773565
2021-11-25,15.08,15.08,14.53,14.77,4011387
2021-11-26,13.54,14.89,13.54,14.46,3107531
2021-11-29,13.91,14.22,13.85,14.09,3617859
2021-11-30,14.03,14.34,13.54,13.66,4849477
2021-12-01,12.0,13.91,12.0,13.85,2977215
2021-12-02,13.6,13.91,13.6,13.66,987045
2021-12-03,11.76,13.79,11.76,13.17,3213269
2021-12-06,13.23,13.29,12.43,12.68,3236798
2021-12-07,12.0,13.11,12.0,12.99,1396883
2021-12-08,12.92,13.23,12.8,12.92,3263119
2021-12-09,13.48,13.48,12.86,13.05,877812
2021-12-10,11.39,13.23,11.39,12.99,1212060
2021-12-13,12.8,13.05,12.8,12.92,1714745
2021-12-14,12.92,12.99,12.74,12.86,1767901
2021-12-15,12.68,13.05,12.68,12.86,1406692
2021-12-16,12.68,12.92,12.68,12.8,1387817
2021-12-17,12.62,12.86,12.62,12.86,1793895
2021-12-20,12.86,13.05,12.8,12.99,1498049
2021-12-21,13.05,13.05,12.8,12.92,1119431
2021-12-22,13.54,13.54,12.74,12.86,1399073
2021-12-23,13.05,13.05,12.43,12.62,3309859
2021-12-24,12.92,13.17,12.62,13.11,3437579
2021-12-27,13.11,14.77,13.11,13.79,5589501
2021-12-28,14.16,14.46,13.79,14.16,4801813
2021-12-29,14.16,14.28,13.79,13.85,3042459
2021-12-30,13.97,14.09,13.23,13.36,4669777
2021-12-31,13.54,13.85,13.36,13.54,2315161
2022-01-04,13.79,13.85,13.42,13.6,2677870
2022-01-05,13.85,13.91,13.54,13.6,4339612
2022-01-06,13.66,13.85,13.23,13.36,2683357
2022-01-07,13.54,13.54,13.29,13.54,2356401
2022-01-10,13.54,13.54,12.99,13.05,3292396
2022-01-11,13.23,13.23,12.86,12.92,2111110
2022-01-12,13.05,13.29,12.68,13.23,3346275
2022-01-13,13.23,13.6,13.11,13.17,2867623
2022-01-14,13.36,13.6,13.23,13.48,3185278
2022-01-17,13.48,13.54,12.99,12.99,3639020
2022-01-18,12.99,13.23,12.68,12.8,2371280
2022-01-19,12.86,12.99,12.74,12.92,1026169
2022-01-20,13.11,13.23,12.74,12.99,1406080
2022-01-21,12.99,13.23,12.86,13.11,2478109
2022-01-24,13.23,13.23,12.86,12.92,2146739
2022-01-25,13.11,13.36,12.86,13.29,2160994
2022-01-26,13.36,14.16,13.36,13.91,5025759
2022-01-27,13.97,14.09,13.85,13.91,2045522
2022-01-28,13.97,14.28,13.91,14.16,3045134
2022-02-07,14.16,14.46,14.09,14.28,3806624
2022-02-08,14.46,14.46,14.09,14.22,3861386
2022-02-09,14.28,14.28,14.03,14.16,5550187
2022-02-10,14.12,15.79,14.12,15.12,7924417
2022-02-11,15.12,15.37,14.87,15.04,2766652
2022-02-14,15.04,15.12,14.37,14.54,4203103
2022-02-15,14.54,14.62,14.21,14.46,2810120
2022-02-16,14.46,14.54,14.29,14.54,1762053
2022-02-17,14.54,14.54,14.37,14.46,1329928
2022-02-18,14.46,14.46,14.29,14.37,1369386
2022-02-21,14.46,14.46,14.21,14.37,2014775
2022-02-22,14.21,14.37,13.96,14.12,3366573
2022-02-23,14.21,14.37,14.12,14.21,1199752
2022-02-24,14.21,14.21,13.71,13.87,3115059
2022-02-25,13.96,14.12,13.87,14.04,1505363
2022-02-28,14.04,14.04,13.79,13.96,1104659
2022-03-01,13.96,13.96,13.79,13.96,1337649
2022-03-02,13.87,13.96,13.63,13.79,1442080
2022-03-03,13.79,13.87,13.63,13.87,1133404
2022-03-04,13.87,14.04,13.71,13.87,2039626
2022-03-07,13.87,13.96,13.63,13.71,1629613
2022-03-08,13.71,13.79,13.38,13.54,1494881
2022-03-09,13.38,13.63,13.29,13.46,2066914
2022-03-10,13.46,13.63,13.38,13.54,887186
2022-03-11,13.54,13.54,13.21,13.29,1354011
2022-03-14,13.38,13.38,13.04,13.13,1832258
2022-03-15,13.13,13.29,13.13,13.29,906564
2022-03-16,13.21,13.38,13.13,13.29,782793
2022-03-17,13.29,13.38,13.21,13.38,959873
2022-03-18,13.46,13.46,13.29,13.38,640594
