date,open,high,low,close,volume
2021-10-13,20.92,21.05,20.38,20.45,1165800
2021-10-14,20.32,20.92,20.32,20.78,985400
2021-10-15,20.85,21.32,20.58,20.92,719700
2021-10-18,20.92,22.18,20.65,21.71,1595000
2021-10-19,21.98,22.18,21.32,21.71,1242500
2021-10-20,21.75,21.78,20.78,21.12,1302500
2021-10-21,21.12,21.45,20.85,21.05,615200
2021-10-22,21.15,21.58,21.12,21.32,930500
2021-10-25,21.32,21.32,20.45,20.92,1290800
2021-10-26,20.58,21.52,20.58,21.28,857300
2021-10-27,21.35,22.61,21.35,22.28,1607800
2021-10-28,22.58,23.31,22.58,23.11,1241100
2021-10-29,23.25,23.31,22.51,23.25,1214500
2021-11-01,23.91,23.98,22.65,23.98,1695600
2021-11-02,24.31,25.64,24.18,25.64,1492000
2021-11-03,27.31,27.31,24.65,25.84,1882900
2021-11-04,25.84,27.64,25.61,27.64,1681000
2021-11-05,29.31,29.31,27.64,27.84,756600
2021-11-08,27.84,28.64,27.31,28.04,1191100
2021-11-09,27.64,28.11,27.34,28.04,1202900
2021-11-10,28.08,28.58,27.94,28.51,800600
2021-11-11,30.47,30.47,28.64,29.91,1126100
2021-11-12,29.81,30.37,29.18,30.24,689100
2021-11-15,30.84,32.27,30.77,31.91,1046100
2021-11-16,31.51,32.31,30.91,31.24,827700
2021-11-17,30.64,32.97,30.64,32.47,1052900
2021-11-18,33.31,34.7,32.87,34.7,930300
2021-11-19,35.97,36.04,32.31,34.7,1240400
2021-11-22,34.64,34.64,32.31,32.31,1914300
2021-11-23,30.07,32.37,30.07,32.24,2465700
2021-11-24,33.24,33.31,30.97,30.97,992900
2021-11-25,30.97,33.14,30.64,33.14,1015300
2021-11-26,33.64,33.7,31.97,32.44,1172900
2021-11-29,30.64,33.31,30.64,33.27,1086100
2021-11-30,33.37,34.24,31.67,32.97,952100
2021-12-01,32.87,32.87,31.64,32.17,668200
2021-12-02,32.17,32.34,31.64,31.64,588500
2021-12-03,31.31,31.64,29.44,29.44,1556500
2021-12-06,29.31,29.48,27.41,27.41,1064900
