date,open,high,low,close,volume
2021-10-13,15.1,16.01,15.06,15.89,12850600
2021-10-14,16.13,17.0,15.95,16.61,10724500
2021-10-15,16.78,17.32,16.43,16.9,8957600
2021-10-18,17.0,17.18,16.41,16.41,10210500
2021-10-19,16.41,17.51,16.21,17.51,8902900
2021-10-20,17.57,18.33,17.51,18.07,7893100
2021-10-21,18.19,18.72,17.73,18.58,6285300
2021-10-22,18.94,18.94,18.03,18.4,7917600
2021-10-25,18.19,18.4,17.71,17.81,8791500
2021-10-26,17.75,18.46,17.44,18.46,5582800
2021-10-27,18.58,18.7,18.17,18.34,5005300
2021-10-28,18.38,19.51,18.19,19.37,8436800
2021-10-29,19.33,19.69,19.18,19.37,5079400
2021-11-01,19.65,20.2,19.37,19.69,4737900
2021-11-02,19.55,20.16,19.25,19.45,9239100
2021-11-03,19.45,19.51,18.19,18.19,10027400
2021-11-04,18.36,18.98,18.27,18.6,3952200
2021-11-05,18.86,19.89,18.54,19.89,8500600
2021-11-08,20.36,21.07,20.12,20.56,6109400
2021-11-09,20.6,20.72,20.2,20.68,4133300
2021-11-10,20.76,21.43,20.68,21.35,5575900
2021-11-11,21.35,21.59,20.8,20.88,5410400
2021-11-12,20.91,21.11,20.56,20.8,3721600
2021-11-15,20.88,21.35,20.2,20.8,6838100
2021-11-16,20.95,21.31,20.48,20.76,4700500
2021-11-17,20.84,20.88,20.36,20.36,4191300
2021-11-18,20.16,20.36,18.94,19.21,16042200
2021-11-19,18.98,19.73,17.87,18.19,9735100
2021-11-22,18.42,18.78,18.07,18.38,3914400
2021-11-23,18.38,19.49,18.25,19.49,4240900
2021-11-24,19.49,19.61,19.0,19.18,3671700
2021-11-25,19.25,19.69,19.1,19.37,3613900
2021-11-26,19.69,20.16,19.37,19.89,5857100
2021-11-29,19.57,19.73,19.21,19.33,2831800
2021-11-30,19.37,20.28,19.37,19.93,6417800
2021-12-01,19.93,20.88,19.93,20.64,5896500
2021-12-02,20.68,21.07,19.67,19.67,6238500
2021-12-03,19.81,19.97,18.78,18.9,6858700
2021-12-06,18.7,18.9,17.59,17.89,6583900
2021-12-07,18.23,18.7,17.83,18.7,3217500
2021-12-08,18.9,19.18,18.68,18.9,2391200
2021-12-09,18.86,19.37,18.74,19.37,2252900
2021-12-10,19.37,20.36,19.33,19.97,5532400
2021-12-13,20.32,20.32,19.61,19.77,2640500
2021-12-14,19.69,20.6,19.43,19.97,5880100
2021-12-15,20.32,20.48,19.97,20.16,4622800
2021-12-16,20.32,20.32,19.55,19.69,4110600
2021-12-17,19.59,20.12,19.33,19.73,6057700
2021-12-20,19.85,20.24,19.57,19.93,3200700
2021-12-21,20.12,21.31,19.97,21.31,12385600
2021-12-22,21.75,21.86,21.23,21.35,5134200
2021-12-23,21.35,22.42,21.11,21.94,7339000
2021-12-24,21.94,22.34,21.39,21.67,4394800
2021-12-27,21.71,21.94,20.36,20.8,6832300
2021-12-28,20.72,21.19,20.6,20.68,4339900
2021-12-29,21.07,21.31,19.37,19.37,9863700
2021-12-30,19.65,20.12,19.02,19.93,5228400
2021-12-31,20.16,20.16,19.57,19.77,2563000
2022-01-04,19.97,20.16,19.53,20.08,4220300
2022-01-05,20.01,20.4,19.69,19.77,4448000
2022-01-06,19.57,20.05,19.29,19.29,5541200
2022-01-07,19.25,19.37,18.38,18.52,10346300
2022-01-10,18.56,18.78,17.26,17.26,7776800
2022-01-11,17.08,17.91,16.61,17.2,5696000
2022-01-12,17.2,17.59,16.84,17.59,3015600
2022-01-13,17.79,18.19,17.08,17.08,2289400
2022-01-14,17.0,17.08,15.89,15.89,6703500
2022-01-17,16.17,16.41,15.5,15.5,4549700
2022-01-18,15.38,16.57,15.38,16.57,4211700
2022-01-19,16.96,17.2,16.8,17.0,2849300
2022-01-20,16.96,17.2,16.64,17.1,1925000
2022-01-21,17.2,17.2,16.66,16.92,2136300
2022-01-24,16.61,16.63,15.76,15.76,3196500
2022-01-25,15.42,16.41,15.42,16.37,1922500
2022-01-26,16.57,16.72,16.03,16.13,1914700
2022-01-27,16.29,17.06,16.25,16.74,1695300
2022-01-28,16.7,16.98,16.27,16.29,1491000
2022-02-07,16.48,17.35,16.48,17.29,2031500
2022-02-08,17.35,18.08,17.02,17.91,3137100
2022-02-09,17.91,18.18,17.63,17.75,3177000
2022-02-10,17.77,18.4,17.51,18.24,5243100
2022-02-11,18.42,19.25,18.32,18.83,6095000
2022-02-14,18.52,19.25,18.44,18.52,5031200
2022-02-15,18.64,19.21,18.44,18.89,4069400
2022-02-16,19.13,19.7,19.01,19.62,8143200
2022-02-17,19.78,19.9,19.37,19.45,4501500
2022-02-18,19.33,19.94,19.25,19.9,6731000
2022-02-21,19.9,20.14,19.54,19.7,4643600
2022-02-22,19.31,19.68,19.01,19.21,5677100
2022-02-23,19.49,20.55,19.45,20.55,10169800
2022-02-24,20.59,21.97,20.2,21.97,15093300
2022-02-25,22.29,22.86,21.85,21.85,9414700
2022-02-28,22.17,23.35,22.13,23.35,9675300
