date,open,high,low,close,volume
2021-10-13,14.57,15.41,14.57,15.41,982600
2021-10-14,15.61,15.69,15.31,15.59,694800
2021-10-15,15.59,15.59,15.13,15.36,1000300
2021-10-18,15.51,15.51,15.08,15.31,646200
2021-10-19,15.26,15.36,14.8,15.26,491700
2021-10-20,15.26,15.28,14.9,15.05,509500
2021-10-21,14.9,14.98,14.16,14.27,1624200
2021-10-22,14.27,14.27,13.73,13.93,1011200
2021-10-25,13.73,14.75,13.73,14.19,674400
2021-10-26,14.34,14.42,14.04,14.16,449200
2021-10-27,14.19,14.19,13.99,13.99,695500
2021-10-28,13.99,14.34,13.99,14.14,568200
2021-10-29,14.29,14.29,13.93,13.99,689700
2021-11-01,13.99,14.55,13.91,14.49,953400
2021-11-02,14.49,14.75,14.39,14.67,799000
2021-11-03,14.75,14.95,14.24,14.65,1009800
2021-11-04,14.6,14.6,14.09,14.32,726600
2021-11-05,14.29,14.29,13.99,14.04,523800
2021-11-08,13.93,14.34,13.91,14.19,559100
2021-11-09,13.99,14.49,13.99,14.14,490100
2021-11-10,14.14,14.24,14.01,14.06,396100
2021-11-11,14.04,14.06,13.43,13.53,1335300
2021-11-12,13.22,13.43,12.61,12.84,1847000
2021-11-15,12.71,13.48,12.71,13.07,575500
2021-11-16,13.22,13.83,13.07,13.45,518300
2021-11-17,13.27,13.32,13.02,13.17,364700
2021-11-18,13.12,13.32,12.79,13.02,467100
2021-11-19,12.82,12.84,12.13,12.13,830400
2021-11-22,11.47,12.15,11.47,11.65,957300
2021-11-23,11.65,12.46,11.47,12.46,290500
2021-11-24,13.22,13.22,12.84,13.02,500300
2021-11-25,12.92,13.27,12.89,13.1,289300
2021-11-26,13.1,13.1,12.77,13.02,478100
2021-11-29,12.71,12.89,12.71,12.87,350300
2021-11-30,12.79,13.04,12.71,12.77,416000
2021-12-01,12.77,12.94,12.51,12.51,286800
2021-12-02,12.51,12.61,12.51,12.54,184300
2021-12-03,12.71,13.22,12.41,12.77,339400
2021-12-06,12.94,13.02,12.54,12.56,313100
2021-12-07,12.71,12.97,12.49,12.77,245900
2021-12-08,12.92,12.92,12.71,12.79,269900
2021-12-09,12.79,12.87,12.71,12.79,155000
2021-12-10,12.79,13.68,12.77,13.68,1156700
2021-12-13,14.14,14.49,13.78,14.49,1554500
2021-12-14,14.49,14.85,14.24,14.34,1032300
2021-12-15,14.09,14.44,14.09,14.24,473500
2021-12-16,14.24,15.0,13.88,14.95,1814400
2021-12-17,15.05,15.05,14.75,14.75,755900
2021-12-20,14.95,14.95,14.49,14.6,394100
2021-12-21,14.24,14.49,13.58,13.63,1244800
2021-12-22,13.66,13.68,12.97,13.04,1251000
2021-12-23,12.97,13.55,12.97,13.22,488200
2021-12-24,13.27,14.14,13.07,14.14,667800
2021-12-27,14.21,14.21,13.48,13.83,363400
2021-12-28,13.53,13.63,13.45,13.48,480700
2021-12-29,13.3,13.88,13.12,13.5,470800
2021-12-30,13.63,13.68,13.43,13.53,240300
2021-12-31,13.48,13.53,13.07,13.12,313100
2022-01-04,13.17,13.35,13.12,13.17,274500
2022-01-05,13.04,13.43,13.02,13.22,675100
2022-01-06,13.38,13.38,13.12,13.22,323100
2022-01-07,13.22,13.22,12.89,13.12,622200
2022-01-10,13.12,13.12,12.41,12.41,668500
2022-01-11,12.41,12.41,11.7,12.21,407600
2022-01-12,12.0,12.21,11.6,11.95,356100
2022-01-13,11.95,12.46,11.82,12.03,308600
2022-01-14,12.0,12.36,11.6,12.03,212500
2022-01-17,12.03,12.03,11.19,11.39,389900
2022-01-18,10.93,11.6,10.63,10.73,285300
2022-01-19,10.73,11.19,10.58,10.81,199200
2022-01-20,10.81,11.54,10.71,11.52,204800
2022-01-21,11.52,11.6,11.14,11.52,165400
2022-01-24,11.52,11.52,10.93,11.21,141000
2022-01-25,10.81,11.14,10.81,11.01,78700
2022-01-26,11.01,11.11,10.65,11.04,160700
2022-01-27,11.04,11.14,10.91,11.06,119100
2022-01-28,11.06,11.82,11.06,11.44,155700
2022-02-07,11.44,11.82,11.44,11.7,106200
2022-02-08,11.7,12.13,11.7,11.95,87100
2022-02-09,12.1,12.21,11.9,11.9,154200
2022-02-10,11.8,11.93,11.62,11.88,221600
2022-02-11,11.8,11.8,11.6,11.7,91200
2022-02-14,11.7,11.7,11.19,11.44,270000
2022-02-15,11.44,11.44,11.21,11.37,162700
2022-02-16,11.49,11.49,11.09,11.21,203200
2022-02-17,11.14,11.32,11.14,11.19,141800
2022-02-18,11.21,11.95,11.21,11.95,702100
2022-02-21,12.41,12.43,12.0,12.03,339000
2022-02-22,12.03,12.49,12.03,12.49,907000
2022-02-23,12.56,12.66,12.31,12.46,486600
2022-02-24,12.36,12.38,11.65,11.75,617500
2022-02-25,11.85,12.41,11.85,12.05,295000
2022-02-28,12.05,12.21,11.75,11.98,199400
2022-03-01,11.98,12.31,11.82,12.21,395800
2022-03-02,12.15,12.26,11.77,11.9,399300
2022-03-03,11.9,12.15,11.77,11.9,304500
2022-03-04,11.9,12.41,11.85,12.15,730600
2022-03-07,12.54,12.54,12.21,12.36,812100
2022-03-08,12.43,12.71,12.36,12.51,1011300
2022-03-09,12.51,12.61,12.18,12.41,750600
2022-03-10,12.61,13.02,12.36,12.99,1134900
2022-03-11,13.2,13.81,12.97,13.27,2086900
2022-03-14,13.27,13.58,12.97,13.04,865400
2022-03-15,13.04,13.22,12.77,12.89,660900
2022-03-16,13.02,13.02,12.87,12.92,822600
2022-03-17,12.82,13.43,12.82,12.97,644400
2022-03-18,12.97,13.38,12.97,13.17,693300
2022-03-21,13.2,13.6,13.2,13.22,967300
2022-03-22,13.32,13.32,13.02,13.02,703800
2022-03-23,12.92,13.02,12.61,12.71,926600
2022-03-24,12.59,13.22,12.59,13.22,787000
2022-03-25,13.22,13.48,12.92,13.1,400200
2022-03-28,12.97,12.97,12.59,12.82,454800
2022-03-29,12.94,13.63,12.71,13.63,1595700
2022-03-30,13.6,14.14,13.43,14.04,3551100
2022-03-31,14.14,14.65,14.04,14.19,1637700
2022-04-01,14.04,14.14,13.76,13.99,957200
2022-04-04,14.06,14.09,13.73,13.73,1028300
2022-04-05,13.53,14.67,13.53,14.67,3501400
2022-04-06,14.95,15.23,14.62,14.8,1786300
2022-04-07,14.6,14.9,14.24,14.24,1142500
2022-04-08,14.24,14.49,13.25,13.25,2179100
2022-04-12,13.27,13.83,12.82,12.89,1485100
