date,open,high,low,close,volume
2021-10-05,55.9,56.27,55.67,56.27,6500
2021-10-06,55.86,56.36,55.77,55.81,6401
2021-10-07,57.05,63.9,55.9,55.9,9149
2021-10-08,56.86,57.37,56.59,57.37,13318
2021-10-11,57.46,57.46,55.81,57.0,8778
2021-10-12,55.9,57.37,55.77,57.14,9909
2021-10-13,56.13,56.13,55.77,55.77,5489
2021-10-14,55.77,55.99,55.77,55.77,4524
2021-10-15,55.77,55.77,55.31,55.31,2100
2021-10-18,55.54,55.54,55.54,55.54,4200
2021-10-19,55.54,56.45,55.54,56.13,2706
2021-10-20,57.09,57.09,55.72,55.77,1811
2021-10-21,55.95,55.95,53.48,55.26,4702
2021-10-22,56.77,56.77,55.35,55.35,620
2021-10-25,55.31,56.54,55.31,56.22,1442
2021-10-26,56.68,56.68,54.85,56.22,2400
2021-10-27,56.22,56.22,55.77,55.77,3200
2021-10-28,55.86,56.45,55.77,56.45,13700
2021-10-29,56.68,57.09,55.86,56.86,6030
2021-11-01,57.32,57.32,55.58,55.72,16701
2021-11-02,57.23,57.23,55.58,55.77,11282
2021-11-03,55.77,55.99,55.35,55.35,16814
2021-11-04,55.54,55.77,55.31,55.77,6400
2021-11-05,55.77,55.77,55.54,55.67,5213
2021-11-08,55.31,55.99,55.31,55.99,45451
2021-11-09,55.99,56.45,55.99,56.22,46900
2021-11-10,56.63,56.68,55.9,55.95,2613
2021-11-11,55.35,56.09,55.31,55.31,4374
2021-11-12,55.13,55.67,54.85,55.67,5936
2021-11-15,54.85,55.77,54.85,55.49,16424
2021-11-16,55.31,55.31,54.3,54.35,10225
2021-11-17,55.31,55.31,53.94,54.17,9436
2021-11-18,54.17,54.85,53.94,53.94,3124
2021-11-19,54.17,54.17,53.25,53.25,11291
2021-11-22,53.94,53.94,51.79,51.88,10802
2021-11-23,51.88,54.35,51.33,54.3,11900
2021-11-24,54.17,54.17,53.02,53.02,6310
2021-11-25,54.17,54.17,53.48,53.89,4200
2021-11-26,53.02,53.57,53.02,53.57,503
2021-11-29,53.62,60.79,53.57,53.94,32202
2021-11-30,55.72,55.72,53.07,53.89,18077
2021-12-01,54.81,54.81,53.48,53.71,5167
2021-12-02,52.57,54.85,52.29,52.57,22889
2021-12-03,54.81,54.81,51.65,52.57,6900
2021-12-06,54.76,54.76,51.42,53.43,10300
2021-12-07,52.7,53.43,51.65,51.65,4200
2021-12-08,51.65,52.57,51.65,52.57,4400
2021-12-09,53.25,53.25,51.65,52.48,9100
2021-12-10,52.34,52.34,51.7,51.7,3301
2021-12-13,51.7,52.11,51.65,51.7,7900
2021-12-14,51.7,52.8,51.65,51.65,3400
2021-12-15,51.74,52.34,51.74,52.34,800
2021-12-16,52.11,52.11,51.65,51.65,4812
2021-12-17,52.11,52.11,51.42,51.79,3201
2021-12-20,51.65,51.79,51.42,51.79,5401
2021-12-21,51.61,53.25,51.56,52.93,26600
2021-12-22,52.11,52.57,52.11,52.57,500
2021-12-23,53.85,53.85,51.65,52.11,3300
2021-12-24,51.65,52.48,51.56,52.06,5900
2021-12-27,52.57,52.57,52.06,52.11,4500
2021-12-28,52.57,54.81,51.42,51.47,6284
2021-12-29,52.02,54.39,51.79,52.11,10201
2021-12-30,54.3,54.35,51.61,51.61,4508
2021-12-31,52.11,53.48,52.11,53.25,21601
2022-01-04,53.25,53.8,53.16,53.8,31601
2022-01-05,53.94,54.85,53.48,54.85,23599
2022-01-06,54.35,54.81,53.25,53.48,1400
2022-01-07,53.57,53.57,53.48,53.57,1100
2022-01-10,53.57,53.57,52.57,52.57,3602
2022-01-11,53.02,53.02,51.61,51.65,15412
2022-01-12,53.62,53.62,52.43,52.52,1600
2022-01-13,51.65,53.02,51.65,52.84,4900
2022-01-14,51.65,51.65,51.56,51.65,5800
2022-01-17,52.57,52.57,51.38,51.38,2900
2022-01-18,51.42,52.11,51.42,51.65,2900
2022-01-19,51.65,51.65,51.42,51.65,4962
2022-01-20,51.65,51.97,51.61,51.88,6100
2022-01-21,51.88,51.88,51.7,51.88,6610
2022-01-24,51.65,51.84,50.28,51.2,10600
2022-01-25,51.42,51.42,50.51,50.65,13700
2022-01-26,50.92,50.92,50.28,50.28,19600
2022-01-27,50.56,50.56,49.82,50.24,12600
2022-01-28,50.37,50.97,50.28,50.33,19328
2022-02-07,54.62,54.62,50.78,50.78,11600
2022-02-08,50.28,54.71,50.28,53.48,18000
2022-02-09,52.93,52.93,51.1,52.57,15930
2022-02-10,51.79,52.11,51.1,52.11,23002
2022-02-11,53.39,53.39,51.2,51.2,4205
2022-02-14,51.2,51.38,51.06,51.38,3100
2022-02-15,52.52,52.52,50.28,50.28,20000
2022-02-16,52.02,52.11,50.83,52.06,9500
2022-02-17,52.75,52.75,50.83,51.88,5300
2022-02-18,51.2,52.02,51.2,52.02,2600
2022-02-21,52.11,52.11,51.2,51.2,5900
2022-02-22,51.24,51.24,50.37,51.2,3500
2022-02-23,50.92,50.92,50.83,50.88,900
2022-02-24,51.01,51.42,50.28,51.42,8900
2022-02-25,51.61,51.61,51.1,51.2,3200
2022-02-28,52.11,52.11,50.65,51.24,2800
2022-03-01,51.2,51.2,51.1,51.1,1262
2022-03-02,51.01,51.2,50.28,50.46,9500
2022-03-03,51.1,51.1,50.83,50.88,2600
2022-03-04,50.97,50.97,50.83,50.83,10700
2022-03-07,50.51,50.97,50.51,50.92,9100
2022-03-08,50.56,50.88,50.05,50.05,12926
2022-03-09,50.05,50.74,49.82,50.28,9602
2022-03-10,50.28,50.74,50.19,50.74,10579
2022-03-11,50.74,52.11,50.28,50.74,6702
2022-03-14,50.51,50.74,49.64,50.69,7410
2022-03-15,49.82,50.28,49.64,50.19,1748
2022-03-16,49.92,50.14,49.64,50.14,11205
2022-03-17,50.05,50.05,49.82,49.82,2300
2022-03-18,50.28,50.28,49.82,50.28,4400
2022-03-21,50.74,50.74,49.87,49.87,1800
2022-03-22,50.74,50.74,49.82,50.28,17500
2022-03-23,50.1,53.48,50.1,53.48,101400
2022-03-24,53.48,53.48,51.06,52.48,17569
2022-03-25,51.2,51.2,51.2,51.2,3109
2022-03-28,51.24,51.24,51.06,51.2,10300
2022-03-29,51.2,52.52,50.74,51.7,32630
2022-03-30,52.57,53.48,51.65,51.88,12400
2022-03-31,52.02,52.98,50.74,52.89,6600
2022-04-01,50.78,52.57,50.78,52.52,3912
2022-04-04,52.43,52.57,51.88,52.57,76140
2022-04-05,52.52,52.93,51.88,52.75,68200
2022-04-06,53.02,53.02,51.2,52.48,1800
2022-04-07,51.93,52.11,51.65,52.11,11040
2022-04-08,52.11,52.11,51.24,51.29,3700
2022-04-12,51.29,51.65,50.83,51.33,11535
2022-04-13,52.06,52.06,51.2,51.2,11954
2022-04-14,51.65,52.11,51.2,52.06,6100
2022-04-15,52.11,52.16,51.2,51.2,6000
2022-04-18,52.11,52.98,51.65,51.65,12400
2022-04-19,51.93,54.76,51.65,51.7,4000
2022-04-20,53.94,53.94,50.74,50.74,62407
2022-04-21,52.52,52.52,50.51,50.97,84712
2022-04-22,52.11,52.11,50.28,50.74,64527
2022-04-25,52.02,52.02,48.91,50.74,33400
2022-04-26,48.45,50.19,48.41,50.19,1702
2022-04-27,51.1,51.1,48.45,48.45,1801
2022-04-28,51.1,51.1,48.77,50.05,3000
2022-04-29,50.97,50.97,49.18,50.05,2445
2022-05-04,50.28,50.28,49.73,49.82,6200
2022-05-05,50.28,50.28,49.37,49.37,1700
2022-05-06,49.37,50.51,47.63,49.37,3201
2022-05-09,49.37,49.37,49.28,49.28,400
2022-05-10,48.86,48.86,48.22,48.22,1400
2022-05-11,48.91,50.97,48.91,49.37,15500
2022-05-12,50.92,50.92,49.37,50.24,600
2022-05-13,45.71,48.0,45.71,47.95,2200
2022-05-16,48.0,49.37,46.62,46.62,3700
2022-05-17,48.91,48.91,46.17,47.54,3200
2022-05-18,47.08,48.0,46.17,46.85,2000
2022-05-19,47.95,47.95,46.62,46.85,900
2022-05-20,47.95,48.0,46.94,46.94,1713
2022-05-23,47.54,47.54,46.62,47.31,2400
2022-05-24,47.95,47.95,46.17,46.3,1617
2022-05-25,47.95,47.95,46.17,46.3,1300
2022-05-26,47.95,52.11,46.67,46.85,900
2022-05-27,47.31,47.31,46.17,46.85,12408
2022-05-30,46.62,46.85,45.76,45.94,5600
2022-05-31,47.04,51.65,45.85,47.04,4700
2022-06-01,45.85,46.17,45.71,46.12,8600
2022-06-02,47.08,47.08,45.71,45.71,10700
2022-06-03,45.71,45.71,45.71,45.71,4000
2022-06-06,45.71,45.71,45.25,45.71,6200
2022-06-07,45.25,45.71,44.29,45.25,6002
2022-06-08,46.17,46.21,46.17,46.17,25200
2022-06-09,46.58,46.58,45.71,45.71,1700
2022-06-10,45.71,46.26,45.71,45.71,1500
2022-06-13,45.71,45.71,45.02,45.02,7400
2022-06-14,45.25,46.62,45.25,45.25,26100
2022-06-15,49.78,49.78,44.34,45.25,3400
2022-06-16,45.12,46.62,45.12,45.66,25200
2022-06-17,45.66,45.66,44.34,44.8,1200
2022-06-20,45.71,46.17,44.11,45.07,1800
2022-06-21,44.43,45.66,44.38,45.12,5400
2022-06-22,44.8,44.8,44.57,44.57,28000
2022-06-23,43.47,44.34,43.42,44.34,1410
2022-06-24,43.47,44.75,41.14,44.75,3200
2022-06-27,47.9,47.9,43.52,44.8,9300
2022-06-28,47.04,47.04,44.34,44.43,5800
2022-06-29,44.8,44.8,44.57,44.57,10350
2022-06-30,44.34,44.57,44.34,44.57,4400
2022-07-01,43.42,43.42,43.42,43.42,600
2022-07-04,43.42,43.88,43.42,43.65,3100
2022-07-05,43.56,43.56,43.42,43.42,2400
2022-07-06,43.42,43.42,42.74,43.24,600
2022-07-07,43.42,43.42,42.51,43.06,719
2022-07-08,43.06,43.38,42.51,42.51,11900
2022-07-11,42.97,43.15,42.33,42.51,26131
2022-07-12,42.51,42.51,42.28,42.28,3600
2022-07-13,42.51,42.56,42.28,42.28,3600
2022-07-14,42.05,42.05,38.62,38.62,32100
2022-07-15,41.14,41.23,38.85,39.4,15800
2022-07-18,38.85,39.31,38.85,39.17,6500
2022-07-19,39.26,40.64,39.26,40.59,4000
2022-07-20,40.22,41.14,40.22,41.05,5810
2022-07-21,41.14,42.19,41.0,42.19,22700
2022-07-22,42.14,43.38,41.6,42.05,4600
2022-07-25,43.52,43.52,41.14,41.14,17905
2022-07-26,42.24,43.42,41.14,43.2,13500
