date,open,high,low,close,volume
2021-10-12,14.45,15.01,14.33,14.56,9712700
2021-10-13,14.74,14.74,14.42,14.48,3548300
2021-10-14,14.48,15.15,14.48,14.95,8674900
2021-10-15,14.98,15.15,14.68,14.8,4471300
2021-10-18,14.8,15.15,14.74,14.86,4809600
2021-10-19,14.86,14.86,14.45,14.45,4278100
2021-10-20,14.51,14.56,14.21,14.39,5686200
2021-10-21,14.53,14.74,14.51,14.51,2953400
2021-10-22,14.62,14.71,14.51,14.56,2436300
2021-10-25,14.74,15.01,14.59,14.59,5195500
2021-10-26,14.62,14.74,14.42,14.56,3049100
2021-10-27,14.77,15.33,14.59,15.33,6562400
2021-10-28,15.33,15.33,14.86,14.92,6391400
2021-10-29,14.92,14.98,14.62,14.71,6284600
2021-11-01,14.92,15.15,14.62,14.71,5950000
2021-11-02,14.71,15.04,14.62,14.95,4236600
2021-11-03,15.04,15.12,14.56,14.59,5753500
2021-11-04,14.53,14.8,14.45,14.59,3994100
2021-11-05,14.71,14.89,14.65,14.68,3172400
2021-11-08,14.89,15.15,14.8,14.92,4552100
2021-11-09,15.04,15.95,14.89,15.95,8959900
2021-11-10,16.01,16.24,15.92,15.98,5342000
2021-11-11,16.1,16.1,15.37,15.55,3726400
2021-11-12,15.37,16.07,15.12,15.67,5454100
2021-11-15,15.7,16.38,15.55,15.98,5660300
2021-11-16,15.86,16.53,15.61,16.04,5514200
2021-11-17,16.04,16.19,15.8,15.8,3474000
2021-11-18,15.8,15.8,15.18,15.31,7022500
2021-11-19,15.18,15.21,14.23,15.0,10350500
2021-11-22,14.69,14.69,14.08,14.08,3703300
2021-11-23,14.2,14.91,14.14,14.91,2055900
2021-11-24,14.94,15.06,14.54,14.69,2843800
2021-11-25,14.72,14.88,14.51,14.57,2542300
2021-11-26,14.51,14.85,14.39,14.6,2783900
2021-11-29,14.08,14.51,14.08,14.45,2394200
2021-11-30,14.63,15.0,14.42,14.45,2970400
2021-12-01,14.45,14.82,14.45,14.69,2025800
2021-12-02,14.69,15.0,14.69,14.69,2280200
2021-12-03,14.76,14.76,14.14,14.14,1996600
2021-12-06,14.14,14.27,13.16,13.47,2959200
2021-12-07,13.78,14.17,13.62,14.08,2075200
2021-12-08,14.39,14.39,13.9,13.9,1191800
2021-12-09,14.05,14.27,13.9,14.17,1263300
2021-12-10,14.05,14.3,14.05,14.3,1432200
2021-12-13,14.45,14.63,14.33,14.63,1951000
2021-12-14,14.66,15.24,14.39,14.82,2826500
2021-12-15,14.76,15.18,14.76,14.91,3477400
2021-12-16,14.91,14.97,14.57,14.76,2837800
2021-12-17,14.76,14.94,14.57,14.69,2404000
2021-12-20,14.48,14.54,14.08,14.17,2499900
2021-12-21,14.17,14.39,13.99,14.23,1435000
2021-12-22,14.36,14.42,13.96,13.96,2376800
2021-12-23,14.02,14.66,13.87,14.51,3064700
2021-12-24,14.63,14.85,14.51,14.57,2176300
2021-12-27,14.82,14.85,14.57,14.69,3105800
2021-12-28,14.94,14.94,14.54,14.54,3349800
2021-12-29,14.63,14.63,14.39,14.51,2122800
2021-12-30,14.54,14.82,14.51,14.57,1717500
2021-12-31,14.57,14.88,14.42,14.76,3071100
2022-01-04,14.94,15.55,14.82,15.43,5887700
2022-01-05,15.61,15.64,15.18,15.24,3523500
2022-01-06,15.09,15.58,15.06,15.21,2807900
2022-01-07,15.43,15.55,15.31,15.31,3965000
2022-01-10,15.24,15.49,14.69,14.69,3735200
2022-01-11,14.69,14.76,14.33,14.33,2974100
2022-01-12,14.51,15.0,14.11,14.63,3181400
2022-01-13,14.91,14.91,14.14,14.14,2487300
2022-01-14,13.87,14.45,13.84,14.27,1530300
2022-01-17,14.51,14.6,13.41,13.44,3172400
2022-01-18,13.26,13.84,12.52,12.86,3977900
2022-01-19,13.1,13.29,12.86,13.04,2156800
2022-01-20,13.04,13.62,12.86,13.62,1365700
2022-01-21,13.59,13.74,13.32,13.35,2193000
2022-01-24,13.47,13.71,12.86,13.26,2553900
2022-01-25,13.01,13.35,12.86,13.16,1422200
2022-01-26,13.29,13.41,13.07,13.1,1708100
2022-01-27,13.32,13.32,12.8,12.86,1890100
2022-01-28,12.98,13.16,12.61,12.98,1921700
2022-02-07,13.47,13.59,13.29,13.41,1551900
2022-02-08,13.47,13.74,13.35,13.62,1424500
2022-02-09,13.71,14.2,13.62,14.08,2237400
2022-02-10,14.33,14.36,13.99,14.14,1591900
2022-02-11,14.14,14.36,13.96,13.99,1430100
2022-02-14,14.02,14.39,14.02,14.2,2893000
2022-02-15,14.3,14.3,13.9,13.96,1599800
2022-02-16,13.9,14.08,13.81,14.05,1518300
2022-02-17,14.05,14.51,13.99,14.11,4751400
2022-02-18,14.08,14.33,13.99,14.02,1519200
2022-02-21,14.05,14.27,13.99,14.08,2110500
2022-02-22,14.02,14.42,13.99,14.23,3956300
2022-02-23,14.45,15.21,14.33,15.21,10558400
2022-02-24,15.18,15.77,15.03,15.31,8880500
2022-02-25,15.24,15.37,14.82,14.88,3829400
2022-02-28,15.0,15.73,14.94,15.24,5945500
2022-03-01,15.31,15.52,15.21,15.31,4572700
2022-03-02,16.1,16.16,15.7,15.92,9083500
2022-03-03,16.22,17.02,15.86,17.02,16894900
2022-03-04,17.14,17.45,16.56,16.78,5329600
2022-03-07,17.45,17.94,17.14,17.82,7833800
2022-03-08,17.2,17.69,16.96,16.96,8899100
2022-03-09,17.17,18.06,16.65,17.42,12877500
2022-03-10,17.33,17.33,16.84,16.93,5822400
2022-03-11,16.71,17.14,15.8,16.1,9261700
2022-03-14,15.8,15.98,15.09,15.09,9150400
2022-03-15,14.82,15.89,14.63,15.61,5572900
2022-03-16,15.67,15.89,15.43,15.49,2645100
2022-03-17,15.46,16.07,15.18,15.8,4745000
2022-03-18,16.16,16.22,15.8,15.8,4453900
2022-03-21,15.92,16.16,15.58,15.92,4150200
2022-03-22,16.22,16.41,15.98,16.13,4420400
2022-03-23,16.13,16.22,15.67,15.73,4302600
2022-03-24,16.01,16.04,15.67,15.67,3525600
2022-03-25,15.61,15.83,15.49,15.67,4033000
2022-03-28,15.49,16.16,15.46,15.92,3593400
2022-03-29,15.92,16.47,15.73,16.35,6931700
2022-03-30,16.16,16.47,15.67,15.67,4563500
2022-03-31,15.8,16.04,15.4,15.73,3031800
2022-04-01,15.43,15.73,15.18,15.49,4066200
2022-04-04,15.8,15.8,15.24,15.37,4344100
2022-04-05,15.49,15.67,15.31,15.34,2927200
2022-04-06,15.31,15.43,14.91,15.0,4859100
2022-04-07,15.0,15.37,14.91,15.12,3706000
2022-04-08,15.18,15.24,14.57,14.57,2629100
2022-04-12,14.6,14.85,14.08,14.08,4786400
2022-04-13,14.39,14.51,13.96,14.42,3018400
2022-04-14,14.45,15.0,14.42,14.57,2496900
2022-04-15,14.6,14.85,14.33,14.39,2060700
2022-04-18,14.23,14.6,13.59,13.78,3873200
2022-04-19,13.93,14.39,13.71,14.08,3770800
2022-04-20,14.02,14.23,13.16,13.16,3631800
2022-04-21,12.95,13.65,12.31,12.86,6094800
2022-04-22,12.98,13.32,11.97,12.24,7286600
2022-04-25,12.37,12.43,11.39,11.39,3681700
2022-04-26,10.74,11.94,10.74,11.94,5087400
2022-04-27,11.88,12.18,11.57,12.03,2732200
2022-04-28,12.0,12.34,11.88,11.88,2226800
2022-04-29,11.91,12.43,11.91,12.43,3723100
2022-05-04,12.46,12.92,12.4,12.55,2600900
2022-05-05,12.8,12.95,12.15,12.55,2962000
2022-05-06,12.18,12.37,11.79,11.79,2209700
2022-05-09,11.63,11.88,10.99,10.99,6043500
2022-05-10,10.59,11.54,10.59,11.45,3496100
2022-05-11,11.57,11.79,11.45,11.6,2240300
2022-05-12,11.63,11.72,10.81,10.81,3188400
2022-05-13,11.02,11.08,10.07,10.13,5314200
2022-05-16,10.65,10.84,10.59,10.84,3582300
2022-05-17,10.84,11.57,10.81,11.57,2694700
2022-05-18,11.57,11.88,11.39,11.54,2821000
2022-05-19,11.08,12.21,11.05,11.94,4565500
2022-05-20,12.06,12.31,11.66,11.88,2604500
2022-05-23,12.0,12.24,11.72,11.94,2333600
2022-05-24,11.76,11.97,11.14,11.82,3494200
2022-05-25,11.94,12.64,11.85,12.64,4664100
2022-05-26,12.73,12.8,12.46,12.64,3183200
2022-05-27,12.67,12.83,12.46,12.52,2566800
2022-05-30,12.77,13.07,12.55,12.67,3064000
2022-05-31,12.73,13.29,12.58,13.1,4237400
2022-06-01,12.98,13.78,12.98,13.68,4819000
2022-06-02,13.47,13.71,13.04,13.19,4393300
2022-06-03,13.22,13.41,13.13,13.26,2510000
2022-06-06,13.59,13.78,13.26,13.38,5528300
2022-06-07,13.38,14.23,12.89,14.23,6282700
2022-06-08,14.42,14.72,14.2,14.27,5435900
2022-06-09,14.33,14.51,14.17,14.36,3524900
2022-06-10,14.14,14.33,13.38,13.38,6275500
2022-06-13,12.67,13.16,12.46,12.46,6512400
2022-06-14,12.4,12.98,12.24,12.86,3663800
2022-06-15,12.8,13.1,12.28,12.46,2783800
2022-06-16,12.73,13.16,12.52,12.89,3459000
2022-06-17,12.43,13.35,12.12,13.1,4445900
2022-06-20,12.98,13.04,12.21,12.21,3975000
2022-06-21,11.97,12.77,11.76,12.15,3889600
2022-06-22,12.24,12.55,11.33,11.33,4409600
2022-06-23,11.08,12.06,11.08,12.06,2139300
2022-06-24,12.37,12.37,11.76,11.76,1310300
2022-06-27,12.0,12.37,12.0,12.34,2128700
2022-06-28,12.55,12.95,12.43,12.86,2861300
2022-06-29,12.86,13.32,12.67,13.16,3309300
2022-06-30,13.22,13.35,12.37,12.37,3552600
2022-07-01,12.28,12.64,12.0,12.55,3081100
2022-07-04,12.73,12.8,12.34,12.55,1655500
2022-07-05,12.55,12.73,12.24,12.4,2889000
2022-07-06,11.88,12.18,11.54,11.54,3517200
2022-07-07,11.36,11.63,11.08,11.33,1816000
2022-07-08,11.63,11.82,11.51,11.66,798200
2022-07-11,11.45,11.76,11.33,11.39,1352300
2022-07-12,11.42,12.0,11.39,11.94,1739500
2022-07-13,11.63,11.88,11.63,11.72,1984200
2022-07-14,11.85,11.91,11.72,11.79,963700
2022-07-15,11.85,11.88,11.63,11.63,1669500
2022-07-18,11.79,12.0,11.69,12.0,1588500
2022-07-19,12.15,12.37,12.06,12.15,1296600
2022-07-20,12.37,12.37,12.15,12.18,3186300
2022-07-21,12.18,12.24,12.06,12.21,1287200
2022-07-22,12.21,12.37,12.0,12.0,1459200
2022-07-25,11.94,11.94,11.57,11.6,1515700
2022-07-26,11.69,11.82,11.63,11.63,1057200
2022-07-27,11.6,11.6,11.51,11.51,1040900
2022-07-28,11.79,11.82,11.63,11.76,1527600
2022-07-29,11.82,11.85,11.57,11.57,1693900
2022-08-01,11.57,12.0,11.57,12.0,2230200
2022-08-02,12.0,12.18,11.82,12.12,2674500
2022-08-03,12.12,12.67,12.03,12.61,3177000
2022-08-04,12.61,12.61,12.37,12.52,2341600
2022-08-05,12.4,13.04,12.34,12.86,3919600
