date,open,high,low,close,volume
2021-12-22,65.01,65.39,64.71,64.79,1844400
2021-12-23,64.79,64.79,64.1,64.25,2147800
2021-12-24,64.25,65.24,64.25,65.24,1148400
2021-12-27,65.24,65.54,65.01,65.32,1138300
2021-12-28,65.39,65.39,64.63,64.86,1544400
2021-12-29,64.86,64.94,64.56,64.63,945400
2021-12-30,64.71,64.94,64.56,64.71,893100
2021-12-31,64.86,66.38,64.71,65.54,2325100
2022-01-04,66.15,66.3,65.77,65.77,1885600
2022-01-05,65.85,66.0,65.24,65.39,3124600
2022-01-06,65.32,65.32,64.71,64.79,2848200
2022-01-07,64.71,64.94,64.48,64.63,2553900
2022-01-10,65.4,65.56,64.4,64.55,2146400
2022-01-11,64.48,64.79,64.4,64.55,1829000
2022-01-12,64.63,64.63,63.78,64.09,2183600
2022-01-13,64.32,64.55,63.94,64.09,1711600
2022-01-14,64.09,65.63,63.78,65.33,2516600
2022-01-17,65.56,65.56,63.94,63.94,2100400
2022-01-18,63.94,64.4,63.71,64.32,2100400
2022-01-19,63.94,64.4,63.78,64.32,1764900
2022-01-20,64.01,64.25,63.94,64.01,1488400
2022-01-21,64.01,64.25,63.63,63.71,1576400
2022-01-24,63.71,63.78,62.47,62.47,2222200
2022-01-25,62.09,62.47,61.01,61.08,3758600
2022-01-26,61.16,62.09,61.16,61.47,1452100
2022-01-27,61.78,64.32,61.78,64.09,2039000
2022-01-28,64.01,64.94,63.86,64.09,2257400
2022-02-07,64.17,64.79,63.94,64.4,1324200
2022-02-08,64.32,64.4,63.24,63.24,2708900
2022-02-09,63.24,64.55,63.24,63.86,1799300
2022-02-10,63.86,64.25,63.47,63.78,1612500
2022-02-11,63.63,63.71,63.17,63.24,1624600
2022-02-14,62.86,63.24,62.47,62.55,2971800
2022-02-15,62.55,62.86,62.47,62.63,1465300
2022-02-16,62.63,62.7,61.93,62.01,2825100
2022-02-17,62.09,62.63,62.01,62.32,1787700
2022-02-18,61.78,62.32,61.78,62.16,1808100
2022-02-21,62.4,62.94,62.4,62.47,1280600
2022-02-22,62.4,62.47,61.47,61.7,3204500
2022-02-23,61.7,62.09,61.55,61.7,2200300
2022-02-24,61.7,61.7,60.54,60.62,2723500
2022-02-25,60.93,61.32,60.85,60.85,1347700
2022-02-28,60.85,60.93,60.0,60.47,2258900
2022-03-01,60.47,61.24,60.31,61.08,1273100
2022-03-02,61.08,61.08,60.16,60.54,2037100
2022-03-03,60.7,60.93,60.31,60.47,1486600
2022-03-04,60.47,60.47,60.0,60.08,2511600
2022-03-07,60.08,60.08,59.16,59.23,3530800
2022-03-08,58.85,59.0,58.62,58.69,2383000
2022-03-09,58.62,59.23,57.84,57.92,3003700
2022-03-10,58.62,60.08,58.62,59.46,2971800
2022-03-11,59.54,60.54,59.46,60.16,2322900
2022-03-14,60.16,60.16,59.31,59.54,1654700
2022-03-15,59.39,59.77,58.85,59.54,1482600
2022-03-16,59.54,60.16,59.39,59.62,1850400
2022-03-17,59.85,60.0,58.92,58.92,1354400
2022-03-18,59.08,59.39,58.62,58.62,4233000
2022-03-21,58.62,60.08,58.62,59.85,1884100
2022-03-22,60.08,60.08,59.23,59.31,2390200
2022-03-23,59.23,59.39,58.54,58.69,3226000
2022-03-24,58.62,58.69,58.0,58.31,3389800
2022-03-25,58.31,58.46,57.92,58.0,2699500
2022-03-28,58.08,58.31,56.61,56.61,4038700
2022-03-29,56.69,58.23,56.69,58.23,2139300
2022-03-30,58.23,59.08,57.92,58.77,3413800
2022-03-31,58.77,62.47,58.62,62.4,9645800
