ticker,date,open,high,low,close,volume
AAA,2021-10-14,15.65,16.13,15.6,15.89,10532000
AAA,2021-10-15,15.94,16.04,15.65,15.7,5276900
AAA,2021-10-18,15.7,15.8,15.46,15.51,4792000
AAA,2021-10-19,15.51,15.65,15.41,15.46,4283200
AAA,2021-10-20,15.46,15.6,15.12,15.36,5431100
AAA,2021-10-21,15.36,15.41,15.17,15.27,4488900
AAA,2021-10-22,15.32,15.65,15.27,15.51,4055900
AAA,2021-10-25,15.56,15.8,15.46,15.51,5513200
AAA,2021-10-26,15.56,15.56,15.32,15.56,3588500
AAA,2021-10-27,15.8,16.52,15.6,16.42,18813200
AAA,2021-10-28,16.57,16.57,16.23,16.23,7035200
AAA,2021-10-29,16.28,16.76,16.23,16.52,8258600
AAA,2021-11-01,16.52,17.14,16.28,16.85,13662600
AAA,2021-11-02,16.71,17.19,16.71,16.81,7492300
AAA,2021-11-03,17.0,17.0,15.99,16.04,13100200
AAA,2021-11-04,16.04,16.23,15.84,15.94,5645900
AAA,2021-11-05,16.04,16.57,15.99,16.33,6214100
AAA,2021-11-08,16.61,16.81,16.33,16.57,6970500
AAA,2021-11-09,16.61,16.81,16.37,16.42,8201100
AAA,2021-11-10,16.52,17.53,16.33,17.43,16572600
AAA,2021-11-11,17.48,17.62,17.0,17.29,9821700
AAA,2021-11-12,17.29,17.96,17.19,17.57,8413900
AAA,2021-11-15,17.57,18.34,17.29,17.67,10735500
AAA,2021-11-16,17.48,17.72,17.0,17.09,9594700
AAA,2021-11-17,17.14,17.48,17.05,17.19,6020300
AAA,2021-11-18,17.29,18.05,17.19,17.86,9068100
AAA,2021-11-19,17.81,18.15,16.61,16.81,12341000
AAA,2021-11-22,16.85,17.05,15.94,15.94,8562500
AAA,2021-11-23,15.94,16.52,15.84,16.42,4224800
AAA,2021-11-24,16.61,16.66,16.18,16.33,6844400
AAA,2021-11-25,16.33,16.76,16.23,16.42,4322600
AAA,2021-11-26,16.52,16.57,16.13,16.23,5054800
AAA,2021-11-29,15.75,16.28,15.75,16.13,5164400
AAA,2021-11-30,16.42,16.76,16.09,16.18,6030000
AAA,2021-12-01,16.18,16.81,16.18,16.71,5479000
AAA,2021-12-02,16.71,17.24,16.71,16.85,6386300
AAA,2021-12-03,16.85,16.95,16.23,16.23,5144600
AAA,2021-12-06,16.23,16.37,15.32,15.6,7035200
AAA,2021-12-07,15.75,16.04,15.65,15.89,3526300
AAA,2021-12-08,16.09,16.33,15.89,15.94,3454600
AAA,2021-12-09,15.89,16.33,15.89,16.13,2235200
AAA,2021-12-10,16.13,16.47,16.09,16.33,3543500
AAA,2021-12-13,16.61,17.09,16.42,16.95,8393300
AAA,2021-12-14,17.05,17.77,16.71,17.62,10845800
AAA,2021-12-15,17.67,18.53,17.67,17.77,12036100
AAA,2021-12-16,17.67,18.44,17.38,17.96,9366900
AAA,2021-12-17,18.01,18.44,17.77,17.86,6935400
AAA,2021-12-20,17.77,17.96,17.19,17.38,7088500
AAA,2021-12-21,17.29,18.58,16.9,18.58,15444900
AAA,2021-12-22,19.21,19.78,18.92,19.21,11386100
AAA,2021-12-23,19.21,20.55,18.73,20.55,18312800
AAA,2021-12-24,20.65,21.32,20.12,20.5,10541100
AAA,2021-12-27,20.5,21.37,20.21,21.03,8671300
AAA,2021-12-28,21.13,21.37,20.26,20.45,10859700
AAA,2021-12-29,20.45,20.93,20.21,20.69,7501300
AAA,2021-12-30,20.84,20.98,20.17,20.17,5194100
AAA,2021-12-31,20.17,20.41,19.21,19.4,10379500
AAA,2022-01-04,19.3,20.55,19.3,19.88,7354500
AAA,2022-01-05,19.97,20.93,19.83,20.12,7187400
AAA,2022-01-06,20.07,21.51,19.97,21.51,12375600
AAA,2022-01-07,22.04,22.23,21.65,21.89,7009900
AAA,2022-01-10,22.09,22.47,20.41,20.41,11396800
AAA,2022-01-11,20.45,20.89,19.21,19.21,13383600
AAA,2022-01-12,19.01,19.69,17.86,18.82,12757700
AAA,2022-01-13,18.82,19.4,17.53,17.53,7501100
AAA,2022-01-14,17.14,18.25,17.0,17.62,7069100
AAA,2022-01-17,17.72,17.96,16.42,16.42,10039900
AAA,2022-01-18,16.23,17.19,16.23,16.9,5835200
AAA,2022-01-19,17.09,17.38,16.52,16.9,3173800
AAA,2022-01-20,16.95,17.62,16.76,17.33,4607700
AAA,2022-01-21,17.29,17.43,17.05,17.05,4433200
AAA,2022-01-24,16.85,16.95,15.89,15.89,7863000
AAA,2022-01-25,15.75,16.37,15.46,16.33,4383700
AAA,2022-01-26,16.42,16.61,15.89,15.89,3096900
AAA,2022-01-27,15.89,16.23,15.84,15.94,2972100
AAA,2022-01-28,16.13,16.13,15.75,15.84,3178100
AAA,2022-02-07,16.33,16.71,16.04,16.66,4002100
AAA,2022-02-08,16.76,17.05,16.42,16.71,3086200
AAA,2022-02-09,16.81,17.09,16.61,17.05,3788100
AAA,2022-02-10,17.19,17.43,17.0,17.09,5336500
AAA,2022-02-11,17.19,17.38,16.9,17.19,3413200
AAA,2022-02-14,16.81,17.19,16.61,16.66,4556700
AAA,2022-02-15,16.71,16.9,16.57,16.71,2987100
AAA,2022-02-16,17.05,17.53,16.85,17.29,4148000
AAA,2022-02-17,17.29,17.62,17.24,17.33,4481600
AAA,2022-02-18,17.19,17.62,17.09,17.38,3703100
AAA,2022-02-21,17.43,18.1,17.33,17.91,6603500
AAA,2022-02-22,17.57,17.67,17.05,17.33,6484000
AAA,2022-02-23,17.33,17.62,17.33,17.43,3252300
AAA,2022-02-24,17.38,17.48,16.42,16.85,8530200
AAA,2022-02-25,17.14,17.38,17.0,17.09,3916600
AAA,2022-02-28,17.19,17.19,16.85,16.95,3552800
AAA,2022-03-01,16.9,17.57,16.85,17.29,5617200
AAA,2022-03-02,17.33,17.33,16.81,16.95,4857200
AAA,2022-03-03,17.09,17.77,16.95,17.77,11340700
AAA,2022-03-04,17.86,18.01,17.57,17.67,4733200
AAA,2022-03-07,17.38,17.57,17.14,17.33,8825100
AAA,2022-03-08,17.14,17.62,17.0,17.0,5894000
AAA,2022-03-09,17.09,17.24,16.66,16.85,5467600
