date,open,high,low,close,volume
2021-10-14,21.5,23.34,21.5,22.97,2793521
2021-10-15,22.97,23.34,22.79,22.97,1969556
2021-10-18,22.97,23.71,22.79,23.34,1991262
2021-10-19,23.62,23.71,22.97,23.25,1114078
2021-10-20,23.25,24.07,22.6,23.52,2117658
2021-10-21,23.52,23.71,23.16,23.52,1101480
2021-10-22,23.62,24.9,23.43,24.35,1547873
2021-10-25,24.44,24.72,23.8,23.8,1235644
2021-10-26,23.8,23.8,21.5,23.16,2335309
2021-10-27,23.16,24.44,22.97,23.98,1628425
2021-10-28,24.17,25.09,23.98,24.07,1148682
2021-10-29,24.17,24.17,23.43,23.89,1750674
2021-11-01,23.89,23.89,22.97,23.16,2411530
2021-11-02,23.16,23.98,23.06,23.34,1149930
2021-11-03,23.52,23.89,21.5,21.5,2309033
2021-11-04,21.5,22.51,21.5,22.51,1002308
2021-11-05,22.51,23.34,21.87,22.6,708312
2021-11-08,22.6,23.25,22.42,22.97,1302511
2021-11-09,22.97,23.34,22.42,22.42,984112
2021-11-10,22.42,23.89,22.05,23.34,1957384
2021-11-11,23.62,23.9,23.06,23.62,1708736
2021-11-12,23.9,25.94,23.62,25.57,4119702
2021-11-15,25.57,26.04,25.11,25.57,2351854
2021-11-16,25.57,27.34,24.92,26.22,2453658
2021-11-17,26.5,26.5,25.11,25.66,1647547
2021-11-18,25.66,26.04,25.11,25.39,1406485
2021-11-19,25.39,26.59,22.97,24.64,2497612
2021-11-22,24.64,24.92,22.22,22.22,1849065
2021-11-23,22.22,23.71,21.39,23.71,1027793
2021-11-24,23.71,24.55,23.25,23.53,892825
2021-11-25,23.25,24.18,22.78,23.53,822769
2021-11-26,23.53,25.01,22.78,24.55,1797296
2021-11-29,22.32,25.39,22.13,25.11,1987145
2021-11-30,25.11,26.59,25.11,25.85,2684441
2021-12-01,25.85,25.85,25.11,25.39,969702
2021-12-02,25.39,26.5,24.83,25.66,1283276
2021-12-03,25.66,26.04,24.27,24.27,1385402
2021-12-06,24.27,24.55,22.32,23.25,1302823
2021-12-07,23.25,24.46,23.15,24.18,708614
2021-12-08,24.18,24.64,23.99,24.18,569206
2021-12-09,24.18,24.83,23.71,24.73,742741
2021-12-10,24.73,25.94,24.73,25.76,2615737
2021-12-13,25.76,26.78,25.11,25.11,2703202
2021-12-14,25.11,25.29,24.18,24.46,1876129
2021-12-15,24.46,25.11,23.53,24.73,1780515
2021-12-16,24.64,24.83,23.99,24.27,1111166
2021-12-17,24.27,24.73,23.8,23.99,1093187
2021-12-20,24.08,24.27,23.25,23.71,1738512
2021-12-21,23.62,24.18,23.06,23.8,1310418
2021-12-22,23.8,24.18,22.97,22.97,1332617
2021-12-23,22.97,23.15,22.22,22.6,1237756
2021-12-24,22.69,22.87,21.57,21.57,933098
2021-12-27,21.57,21.94,20.27,20.46,1842419
2021-12-28,20.46,21.85,20.27,21.39,1611825
2021-12-29,21.39,21.85,21.2,21.39,417447
2021-12-30,21.01,21.39,20.83,20.92,680086
2021-12-31,20.92,21.67,20.64,21.01,793271
2022-01-04,21.01,22.78,21.01,22.78,1472234
2022-01-05,22.78,23.43,22.41,22.41,992709
2022-01-06,22.41,22.41,21.67,21.67,1133683
2022-01-07,21.57,22.32,21.2,21.85,1006615
2022-01-10,21.67,22.32,21.57,21.76,1068936
2022-01-11,21.39,22.32,19.62,21.11,919680
2022-01-12,21.2,22.13,20.83,21.39,1115590
2022-01-13,21.2,21.85,20.83,20.92,586815
2022-01-14,20.55,21.2,20.08,20.46,422876
2022-01-17,20.46,20.74,18.41,18.41,1185759
2022-01-18,18.41,18.41,16.64,16.64,844849
2022-01-19,16.37,17.67,15.99,17.02,412286
2022-01-20,17.11,18.13,17.02,18.13,435850
2022-01-21,18.32,18.88,18.32,18.41,393607
2022-01-24,18.41,18.41,16.64,16.74,371256
2022-01-25,16.83,17.2,15.81,16.37,700819
2022-01-26,16.37,16.83,16.18,16.37,511485
2022-01-27,16.27,16.55,16.27,16.46,153841
2022-01-28,16.46,16.46,16.18,16.46,181559
2022-02-07,16.46,17.67,16.46,17.48,499353
2022-02-08,17.48,18.13,17.48,17.95,391670
2022-02-09,17.95,19.16,17.95,19.06,474106
2022-02-10,19.06,19.25,18.41,18.6,467146
2022-02-11,18.6,18.6,18.23,18.41,308277
2022-02-14,18.41,19.06,17.85,18.6,521980
2022-02-15,18.6,18.78,18.32,18.6,203423
2022-02-16,18.69,19.16,18.69,18.97,517367
2022-02-17,19.25,19.25,18.78,18.88,406617
2022-02-18,18.88,19.62,18.6,19.43,663539
2022-02-21,19.43,20.27,19.06,19.9,669182
2022-02-22,19.9,19.9,18.88,19.34,581092
2022-02-23,19.34,19.53,19.16,19.43,481710
2022-02-24,19.43,19.43,17.67,18.41,826092
2022-02-25,18.41,19.25,18.41,18.88,365143
2022-02-28,18.97,20.36,18.41,19.81,909991
2022-03-01,19.81,20.64,19.81,20.18,1123299
2022-03-02,20.18,20.36,19.62,19.71,501272
2022-03-03,19.71,21.57,19.25,21.11,2003447
2022-03-04,21.11,22.04,21.11,21.2,1002413
2022-03-07,21.11,21.94,20.92,21.2,978548
2022-03-08,21.2,21.2,20.27,20.27,1242759
2022-03-09,19.81,20.46,19.16,19.9,931467
2022-03-10,19.9,21.39,19.9,21.2,1227980
2022-03-11,21.2,22.87,20.46,22.32,3870928
2022-03-14,22.32,23.15,22.04,22.97,2611351
2022-03-15,22.87,23.62,21.85,22.5,1654224
2022-03-16,22.5,23.06,22.22,22.6,1429916
2022-03-17,22.78,23.53,22.41,22.6,1458231
2022-03-18,22.69,22.78,21.85,21.85,1423929
2022-03-21,22.6,22.78,21.85,21.94,993123
2022-03-22,22.04,22.69,21.94,22.13,1048693
2022-03-23,22.22,22.6,22.04,22.22,1003858
2022-03-24,22.22,23.53,21.94,23.43,2566972
2022-03-25,23.71,23.71,22.97,23.06,969071
2022-03-28,23.06,23.8,22.5,23.25,2008025
2022-03-29,23.15,24.08,23.06,23.9,2324178
2022-03-30,23.9,23.99,22.5,22.78,1589324
2022-03-31,22.78,23.15,21.39,21.39,1281491
2022-04-01,21.48,22.04,20.74,21.76,1345452
2022-04-04,22.13,22.78,21.48,22.41,947932
2022-04-05,22.41,22.69,22.32,22.6,552267
2022-04-06,22.6,23.71,22.13,22.97,2136884
2022-04-07,23.53,23.62,22.04,22.32,781323
2022-04-08,22.41,23.25,21.94,22.6,797907
2022-04-12,22.78,23.43,20.83,20.83,1181561
2022-04-13,20.83,21.57,19.71,21.39,1091549
2022-04-14,21.48,21.57,19.71,20.92,631080
2022-04-15,20.92,21.2,19.71,20.46,1025077
2022-04-18,20.46,20.55,18.41,18.41,1465118
2022-04-19,18.41,18.88,16.64,16.64,715779
2022-04-20,16.74,17.02,15.9,15.9,733100
2022-04-21,15.9,16.64,14.69,15.53,829804
2022-04-22,15.62,16.37,15.06,15.71,440793
2022-04-25,15.81,16.18,14.23,14.23,785589
2022-04-26,14.23,14.41,12.83,14.41,871319
2022-04-27,14.6,15.34,14.23,15.16,344600
2022-04-28,15.16,15.62,14.97,14.97,367400
2022-04-29,14.97,15.44,14.51,15.25,750354
2022-05-04,15.34,16.74,15.34,16.74,884636
2022-05-05,17.11,17.76,16.55,17.02,615684
2022-05-06,16.74,16.92,15.99,16.18,409550
2022-05-09,16.18,16.18,14.6,14.6,695593
2022-05-10,14.04,15.34,13.58,15.16,519889
2022-05-11,15.44,15.62,14.97,15.53,243120
2022-05-12,15.53,15.53,14.13,14.13,572938
2022-05-13,13.95,14.41,12.74,12.74,819062
2022-05-16,12.18,13.85,11.53,12.27,381521
2022-05-17,12.55,13.48,12.27,13.48,405082
2022-05-18,13.76,14.23,13.67,13.85,435984
2022-05-19,13.67,13.95,13.02,13.85,374922
2022-05-20,13.85,14.78,13.85,14.23,609486
2022-05-23,14.41,14.69,13.58,13.76,484265
2022-05-24,13.76,14.13,13.3,13.95,284250
2022-05-25,14.04,14.88,14.04,14.6,820577
2022-05-26,14.88,15.06,14.51,14.69,415326
2022-05-27,14.69,15.71,14.51,15.16,744069
2022-05-30,15.16,15.34,14.88,15.16,498432
2022-05-31,15.06,15.34,14.69,15.06,602815
2022-06-01,14.88,15.53,14.6,15.34,512466
2022-06-02,15.44,16.27,14.97,15.62,1259844
2022-06-03,15.62,15.99,15.44,15.62,503749
2022-06-06,15.62,15.81,15.25,15.53,560731
2022-06-07,15.53,15.99,14.69,15.99,1024789
2022-06-08,16.09,16.92,15.71,16.37,1152242
2022-06-09,16.18,16.46,16.09,16.27,566221
2022-06-10,16.18,17.39,15.9,16.55,1814856
2022-06-13,16.46,16.46,14.97,14.97,1115976
2022-06-14,13.48,15.34,13.48,14.78,493804
2022-06-15,14.6,14.88,13.39,13.48,1232087
2022-06-16,13.67,14.6,13.67,14.04,475902
2022-06-17,14.69,14.69,13.11,13.39,569750
2022-06-20,13.39,13.95,12.27,12.27,656495
2022-06-21,12.09,12.92,11.07,12.83,600023
2022-06-22,13.2,13.58,11.62,13.58,509300
2022-06-23,13.58,13.58,12.92,13.58,375800
2022-06-24,13.58,13.76,13.2,13.2,422140
2022-06-27,13.2,13.67,13.11,13.48,604811
2022-06-28,13.58,14.13,13.48,13.85,550210
2022-06-29,13.67,13.85,13.39,13.67,349804
2022-06-30,13.67,13.85,13.02,13.02,366933
2022-07-01,12.92,13.48,12.27,13.02,503250
2022-07-04,13.39,13.48,13.02,13.2,265505
2022-07-05,13.3,13.3,12.74,12.74,371900
2022-07-06,12.55,12.83,12.18,12.18,285011
2022-07-07,12.18,12.55,12.0,12.18,226604
2022-07-08,12.46,12.83,12.37,12.55,233005
2022-07-11,12.55,13.39,12.46,13.2,563559
2022-07-12,13.02,13.67,13.02,13.48,502265
2022-07-13,13.48,13.85,13.48,13.67,493100
2022-07-14,13.48,13.85,13.39,13.58,406297
2022-07-15,13.58,13.95,13.48,13.48,648750
2022-07-18,13.48,14.32,13.48,13.67,594110
2022-07-19,13.67,13.85,13.48,13.48,285746
2022-07-20,13.48,13.95,13.39,13.76,531324
2022-07-21,13.67,14.51,13.67,14.51,1452332
2022-07-22,14.51,14.51,14.23,14.32,478645
2022-07-25,14.13,14.32,13.95,13.95,513000
2022-07-26,13.95,14.23,13.95,13.95,559444
2022-07-27,13.95,14.13,13.58,14.13,357300
2022-07-28,14.23,14.78,14.23,14.32,1040121
2022-07-29,14.32,14.41,14.04,14.23,660755
2022-08-01,14.04,14.78,13.95,14.69,1129108
2022-08-02,14.69,15.06,14.51,14.69,860845
2022-08-03,14.69,15.06,14.51,14.97,773162
2022-08-04,14.97,15.34,14.69,14.69,926428
2022-08-05,14.69,14.88,14.6,14.78,459610
2022-08-08,14.78,15.25,14.78,15.06,617400
2022-08-09,15.06,15.06,14.78,14.88,542902
2022-08-10,14.88,15.25,14.78,14.97,737928
2022-08-11,15.06,15.34,14.51,14.78,781865
2022-08-12,14.69,14.88,14.6,14.88,550500
2022-08-15,14.97,15.16,14.78,14.88,496555
2022-08-16,14.97,15.81,14.97,15.53,1783832
2022-08-17,15.53,15.62,15.16,15.25,672355
2022-08-18,15.16,15.25,14.97,14.97,425584
2022-08-19,14.97,15.06,14.69,14.78,645311
2022-08-22,14.78,14.78,14.23,14.32,819719
2022-08-23,14.32,14.78,14.13,14.78,650810
2022-08-24,15.17,15.26,14.69,14.78,327705
2022-08-25,14.78,15.26,14.69,14.98,325802
2022-08-26,15.07,15.17,14.69,14.88,623112
2022-08-29,14.59,14.59,13.82,14.4,861599
2022-08-30,14.4,14.59,14.02,14.02,574913
2022-08-31,14.02,14.4,13.82,14.21,455315
2022-09-05,14.21,14.4,14.11,14.4,282627
2022-09-06,14.5,14.59,14.11,14.21,648614
2022-09-07,14.11,14.3,13.92,13.92,499100
2022-09-08,13.92,13.92,13.34,13.34,592600
2022-09-09,13.34,13.44,12.86,13.15,522284
2022-09-12,13.34,13.54,13.25,13.25,504113
2022-09-13,13.25,13.34,13.06,13.25,253486
2022-09-14,13.25,13.44,12.77,13.44,443440
2022-09-15,13.54,13.54,13.34,13.34,182548
2022-09-16,13.34,13.44,12.86,13.06,299503
2022-09-19,13.06,13.06,12.58,12.67,363730
2022-09-20,12.77,12.96,12.38,12.58,390330
2022-09-21,12.58,12.96,12.48,12.86,220315
2022-09-22,12.86,13.25,12.77,13.25,375204
2022-09-23,13.34,13.73,13.06,13.44,337938
2022-09-26,13.25,13.25,12.48,12.77,478842
2022-09-27,12.86,13.63,12.86,13.44,1266227
2022-09-28,13.44,13.82,12.96,13.06,746154
2022-09-29,13.15,13.44,12.19,12.19,836984
2022-09-30,12.19,12.38,11.14,12.1,742681
2022-10-03,12.0,12.1,10.94,11.04,486151
2022-10-04,11.04,11.42,10.56,10.56,305480
2022-10-05,9.6,11.04,9.6,10.94,257085
2022-10-06,11.04,11.04,9.98,9.98,202567
2022-10-07,9.98,9.98,9.22,9.22,560000
2022-10-10,8.64,9.7,8.35,9.41,360996
2022-10-11,8.54,9.6,8.54,8.54,316600
2022-10-12,7.78,9.02,7.78,8.74,438600
2022-10-13,8.83,8.93,8.54,8.74,209700
2022-10-14,8.93,9.22,8.93,9.22,339015
2022-10-17,9.22,9.22,8.93,9.22,192558
