date,open,high,low,close,volume
2021-10-14,33.33,33.4,33.21,33.27,107200
2021-10-15,33.33,33.4,33.21,33.27,87300
2021-10-18,33.27,33.4,33.21,33.27,36400
2021-10-19,33.33,33.33,33.08,33.08,74700
2021-10-20,33.08,33.4,33.08,33.4,75300
2021-10-21,33.33,34.84,33.21,34.77,144700
2021-10-22,34.9,34.9,34.15,34.27,97600
2021-10-25,34.27,34.77,34.27,34.65,88200
2021-10-26,34.84,35.96,34.65,35.65,156900
2021-10-27,35.65,35.78,35.46,35.65,100800
2021-10-28,35.65,37.53,35.4,37.34,382300
2021-10-29,37.34,37.59,36.78,37.59,163200
2021-11-01,39.1,39.1,37.47,37.59,262500
2021-11-02,37.53,37.91,37.4,37.84,124500
2021-11-03,37.84,38.22,37.59,38.22,220300
2021-11-04,38.22,39.1,38.22,38.97,168500
2021-11-05,39.22,39.47,38.72,39.41,101700
2021-11-08,39.66,40.66,39.41,39.47,87600
2021-11-09,39.47,39.47,38.91,38.91,73400
2021-11-10,38.97,39.79,38.85,39.16,93200
2021-11-11,39.28,39.66,39.03,39.16,138200
2021-11-12,39.1,39.16,38.28,38.72,46600
2021-11-15,39.54,39.54,37.03,37.03,103600
2021-11-16,37.03,38.53,36.65,37.59,100500
2021-11-17,37.53,37.91,37.34,37.34,21600
2021-11-18,38.03,38.03,37.03,37.34,80500
2021-11-19,37.34,38.03,37.03,37.22,63600
2021-11-22,37.78,37.78,36.34,36.65,48700
2021-11-23,36.65,37.59,36.03,37.4,34500
2021-11-24,37.53,37.59,36.97,37.03,42600
2021-11-25,37.03,37.91,36.47,37.91,123100
2021-11-26,37.91,37.97,37.47,37.59,93300
2021-11-29,37.4,37.47,36.72,37.03,14000
2021-11-30,37.03,37.66,36.9,37.59,106300
2021-12-01,37.84,37.91,37.22,37.22,29100
2021-12-02,37.03,37.28,36.78,36.78,41200
2021-12-03,36.78,36.78,36.34,36.34,54200
2021-12-06,36.21,36.21,34.96,35.09,80700
2021-12-07,34.77,36.03,34.77,36.03,28500
2021-12-08,36.65,36.65,36.03,36.34,34400
2021-12-09,35.71,36.78,35.71,36.78,28500
2021-12-10,36.9,36.9,36.4,36.59,17800
2021-12-13,36.72,36.9,36.4,36.4,30800
2021-12-14,36.4,37.72,36.4,37.59,91900
2021-12-15,38.22,38.22,37.28,37.72,53300
2021-12-16,37.72,37.72,37.28,37.47,31300
2021-12-17,37.66,37.91,37.28,37.91,86500
2021-12-20,37.97,39.1,37.97,38.97,149400
2021-12-21,40.04,40.04,38.85,38.97,79000
2021-12-22,38.97,38.97,38.09,38.22,118900
2021-12-23,37.66,37.97,36.34,36.65,65900
2021-12-24,35.53,36.65,35.53,36.65,36000
2021-12-27,36.65,37.53,36.65,37.22,50600
2021-12-28,37.59,37.59,36.4,37.53,57100
2021-12-29,36.4,37.59,36.4,36.84,28200
2021-12-30,36.4,37.4,36.4,37.28,50700
2021-12-31,36.97,37.53,36.97,37.53,28300
2022-01-04,38.53,38.53,36.84,36.97,51400
2022-01-05,37.59,37.59,36.84,36.9,216500
2022-01-06,36.9,36.9,36.4,36.65,76700
2022-01-07,36.84,36.84,36.53,36.59,61100
2022-01-10,37.4,37.4,36.21,36.47,68900
2022-01-11,36.15,36.4,36.15,36.21,23300
2022-01-12,36.21,36.65,36.09,36.34,16800
2022-01-13,36.84,37.53,36.34,37.03,58000
2022-01-14,36.17,37.32,36.17,36.93,7400
2022-01-17,37.45,37.45,34.44,35.78,41300
2022-01-18,35.85,36.49,35.72,35.72,72600
2022-01-19,35.72,36.49,35.72,36.49,22800
2022-01-20,36.61,37.25,36.55,37.25,22100
2022-01-21,37.32,37.32,36.49,36.87,58000
2022-01-24,36.87,37.13,36.49,36.68,21700
2022-01-25,36.17,36.87,36.17,36.55,76400
2022-01-26,36.49,37.83,36.49,37.77,278100
2022-01-27,37.96,38.41,37.96,38.15,203700
2022-01-28,38.22,39.5,38.22,39.37,300400
2022-02-07,39.75,40.07,39.37,39.94,260500
2022-02-08,39.82,39.82,38.34,38.41,195900
2022-02-09,38.09,39.69,38.09,38.79,61900
2022-02-10,39.05,39.05,38.47,38.73,44400
2022-02-11,38.73,38.86,38.41,38.41,63500
2022-02-14,38.09,38.41,37.64,37.64,105500
2022-02-15,37.25,37.77,37.25,37.7,56600
2022-02-16,37.7,38.41,37.45,37.77,62500
2022-02-17,37.83,38.41,37.83,37.96,44600
2022-02-18,38.28,39.37,37.96,39.37,171400
2022-02-21,39.37,40.71,39.37,40.52,247300
2022-02-22,40.65,41.29,40.33,41.1,294100
2022-02-23,41.48,41.99,40.9,41.93,313200
2022-02-24,41.93,41.93,40.84,41.03,161100
2022-02-25,40.84,42.06,40.84,41.16,105600
2022-02-28,41.48,41.48,40.9,41.03,130300
2022-03-01,41.61,41.61,40.26,40.52,150700
2022-03-02,40.52,40.52,38.41,38.92,257500
2022-03-03,39.05,39.82,38.73,39.82,103000
2022-03-04,40.33,40.52,39.69,40.01,120900
2022-03-07,39.69,39.94,38.79,38.86,133400
2022-03-08,38.73,38.92,38.28,38.28,98900
2022-03-09,38.28,39.56,37.13,39.37,134200
2022-03-10,39.37,39.37,38.86,39.05,50900
2022-03-11,38.09,38.98,38.09,38.28,65200
2022-03-14,38.28,38.6,37.77,37.77,79800
2022-03-15,37.38,38.41,37.38,38.41,40400
2022-03-16,38.47,39.05,38.09,38.28,120900
2022-03-17,38.41,38.41,37.77,38.34,33500
2022-03-18,38.73,38.73,37.9,37.9,32200
2022-03-21,37.77,38.28,37.77,37.83,49500
2022-03-22,38.09,38.34,37.83,37.83,44900
2022-03-23,37.83,38.28,37.83,38.15,33700
2022-03-24,38.09,39.37,38.09,39.05,168000
2022-03-25,39.11,39.75,39.11,39.56,97300
2022-03-28,39.62,39.62,38.66,38.73,64500
2022-03-29,39.56,39.56,38.41,38.86,64200
2022-03-30,38.47,39.05,38.15,38.73,80400
2022-03-31,38.47,39.69,38.41,39.3,65100
2022-04-01,39.24,41.74,39.05,41.74,253400
2022-04-04,41.74,41.74,40.97,41.35,97800
2022-04-05,40.97,41.35,40.46,40.65,43200
2022-04-06,40.33,41.29,40.01,40.52,69700
