date,open,high,low,close,volume
2021-10-14,33.7,34.68,33.55,33.86,248900
2021-10-15,34.33,34.33,33.16,33.16,541000
2021-10-18,33.31,34.1,32.72,32.76,719200
2021-10-19,32.76,33.94,32.53,33.86,862000
2021-10-20,33.86,33.94,33.39,33.47,441600
2021-10-21,33.47,34.41,33.31,34.41,513900
2021-10-22,34.41,34.57,33.78,34.41,382200
2021-10-25,34.41,34.41,34.06,34.1,253900
2021-10-26,33.74,34.1,33.35,33.63,275700
2021-10-27,33.63,34.17,33.59,33.78,334300
2021-10-28,34.29,34.61,33.78,34.57,425200
2021-10-29,34.8,35.66,34.72,34.8,372300
2021-11-01,35.19,36.29,34.88,35.04,374800
2021-11-02,35.04,36.06,34.49,35.27,348200
2021-11-03,35.27,35.27,34.17,34.49,384600
2021-11-04,34.49,34.84,34.25,34.57,150600
2021-11-05,34.88,35.04,34.13,35.04,319900
2021-11-08,34.88,36.06,34.88,35.74,389400
2021-11-09,35.7,36.06,35.27,35.35,247100
2021-11-10,35.35,35.58,35.04,35.47,231200
2021-11-11,35.51,36.06,34.88,35.43,322400
2021-11-12,35.51,35.9,35.43,35.51,131000
2021-11-15,35.58,35.7,34.84,34.88,373800
2021-11-16,34.88,34.96,34.64,34.88,251200
2021-11-17,36.06,36.06,35.27,35.9,304500
2021-11-18,35.82,35.86,35.27,35.55,348900
2021-11-19,35.7,36.06,35.62,35.74,617300
2021-11-22,35.9,35.94,35.51,35.7,499300
2021-11-23,35.7,37.62,35.66,36.84,336600
2021-11-24,37.07,38.41,37.07,38.25,354400
2021-11-25,38.09,38.41,37.86,38.01,250200
2021-11-26,38.01,38.21,36.8,37.39,182200
2021-11-29,35.98,37.62,35.98,37.23,140200
2021-11-30,37.15,37.23,36.45,36.84,189400
2021-12-01,36.8,37.07,36.06,36.84,251400
2021-12-02,36.84,37.19,36.53,36.84,183400
2021-12-03,36.6,36.8,35.66,35.66,240000
2021-12-06,35.66,35.66,34.8,35.43,151200
2021-12-07,35.39,35.66,34.96,35.43,594800
2021-12-08,35.47,35.47,35.27,35.43,325200
2021-12-09,35.43,35.7,35.31,35.51,394100
2021-12-10,35.62,35.98,35.43,35.98,1650700
2021-12-13,36.45,37.07,36.13,37.03,1309600
2021-12-14,37.03,37.58,36.92,37.23,579800
2021-12-15,36.76,37.23,36.13,37.03,745100
2021-12-16,36.92,36.92,36.13,36.21,341300
2021-12-17,36.06,36.25,35.51,35.66,622800
2021-12-20,35.51,35.74,34.57,34.96,674600
2021-12-21,34.96,35.98,34.57,35.74,454100
2021-12-22,35.74,36.76,35.74,35.9,408900
2021-12-23,35.9,36.06,34.49,35.23,695000
2021-12-24,35.27,35.66,34.8,34.96,132700
2021-12-27,35.04,35.27,34.53,34.64,140300
2021-12-28,34.68,35.7,34.68,35.58,291300
2021-12-29,35.58,35.58,35.0,35.04,79900
2021-12-30,35.11,35.19,34.88,34.96,157800
2021-12-31,35.44,35.44,34.55,34.55,216100
2022-01-04,34.55,35.52,33.02,34.96,189200
2022-01-05,35.64,35.64,34.55,34.64,193900
2022-01-06,34.64,34.64,33.87,34.23,315500
2022-01-07,33.87,35.52,33.87,35.52,425200
2022-01-10,35.52,36.25,34.64,35.6,310300
2022-01-11,35.44,35.44,34.88,35.28,160100
2022-01-12,35.24,36.09,35.2,36.0,337900
2022-01-13,36.17,36.61,35.72,36.61,241700
2022-01-14,36.25,36.65,35.56,36.61,303900
2022-01-17,36.61,36.61,35.76,36.0,223100
2022-01-18,36.0,36.25,35.56,35.64,185100
2022-01-19,35.6,36.65,35.6,36.09,130900
2022-01-20,36.09,36.33,35.84,36.17,273600
2022-01-21,36.17,36.29,35.88,36.09,388500
2022-01-24,36.09,36.13,35.68,35.68,213300
2022-01-25,35.44,35.92,35.24,35.92,234600
2022-01-26,36.25,36.25,35.56,35.72,195700
2022-01-27,35.72,35.72,34.72,35.68,161200
2022-01-28,35.64,35.72,35.16,35.6,98200
2022-02-07,35.92,35.92,34.51,35.44,500800
2022-02-08,34.84,36.17,34.84,35.92,321000
2022-02-09,35.96,37.45,35.88,37.45,1013800
2022-02-10,37.29,38.26,37.21,38.26,758800
2022-02-11,37.86,38.26,37.7,37.78,190200
2022-02-14,37.41,38.9,37.05,38.54,595200
2022-02-15,38.54,38.66,38.18,38.58,279500
2022-02-16,38.58,38.82,38.42,38.5,303500
2022-02-17,38.5,38.58,37.78,38.5,211000
2022-02-18,38.34,38.54,37.86,38.34,231500
2022-02-21,38.42,41.0,38.42,41.0,1565800
2022-02-22,41.0,42.05,40.27,41.48,836700
2022-02-23,41.72,41.72,40.68,41.48,250600
2022-02-24,41.08,41.32,38.66,39.87,792700
2022-02-25,39.87,41.0,39.79,40.11,320100
2022-02-28,39.87,40.27,39.15,39.27,392400
2022-03-01,39.27,40.52,38.82,39.87,422200
2022-03-02,39.39,40.43,39.23,39.35,311300
2022-03-03,39.63,40.03,38.9,39.79,236300
2022-03-04,39.95,39.95,39.23,39.79,298200
2022-03-07,39.79,41.32,39.47,40.27,468200
2022-03-08,40.27,40.68,39.35,39.67,388600
2022-03-09,39.71,39.71,36.93,38.74,466500
2022-03-10,38.86,39.95,38.74,39.47,322900
2022-03-11,39.31,39.39,37.9,38.3,341500
2022-03-14,38.3,38.34,37.45,37.45,360400
2022-03-15,37.45,38.9,36.25,38.58,389000
2022-03-16,38.62,39.51,38.18,39.51,287000
2022-03-17,39.43,39.99,39.07,39.55,145000
2022-03-18,39.07,39.59,39.07,39.59,111600
2022-03-21,39.79,39.95,39.47,39.87,232500
2022-03-22,39.87,40.03,39.63,39.67,210700
2022-03-23,39.71,39.71,39.15,39.47,144800
2022-03-24,39.07,40.84,39.07,40.68,356400
2022-03-25,40.68,41.48,40.6,41.08,317300
2022-03-28,40.6,42.29,40.6,41.64,337400
2022-03-29,41.56,43.5,41.16,42.85,484500
2022-03-30,42.85,42.85,41.72,42.29,254800
2022-03-31,42.53,43.09,41.72,41.8,206800
2022-04-01,41.8,43.5,41.32,42.21,385700
2022-04-04,42.21,42.77,41.24,42.61,301400
2022-04-05,42.69,42.85,41.88,42.69,174100
2022-04-06,42.69,43.58,42.69,43.42,250900
2022-04-07,43.5,43.5,42.69,42.69,336700
2022-04-08,42.05,43.01,42.05,42.69,406300
2022-04-12,42.69,43.5,42.53,42.85,344700
2022-04-13,42.21,43.5,42.21,43.5,208600
2022-04-14,43.9,46.48,43.25,46.48,803600
2022-04-15,46.72,48.33,46.48,47.52,289600
2022-04-18,47.52,49.13,46.64,48.65,437100
2022-04-19,48.33,49.94,47.93,49.54,387500
2022-04-20,49.38,49.38,47.52,47.52,440200
2022-04-21,46.72,48.49,44.7,44.7,831300
2022-04-22,45.11,45.99,42.45,45.11,955400
2022-04-25,44.38,44.7,41.97,43.09,647500
2022-04-26,40.76,43.74,40.27,43.74,543100
2022-04-27,43.74,43.82,41.88,42.61,384700
2022-04-28,42.05,43.25,41.88,41.88,266700
2022-04-29,42.05,43.09,42.05,42.93,196900
2022-05-04,42.69,44.3,42.69,43.25,185100
2022-05-05,43.5,43.9,42.29,43.33,222000
2022-05-06,42.53,42.85,40.68,40.76,534600
2022-05-09,40.68,41.97,37.94,37.94,586700
2022-05-10,36.33,40.52,36.33,39.91,299800
2022-05-11,40.19,41.88,40.19,41.8,152000
2022-05-12,39.11,41.64,39.11,39.31,239000
2022-05-13,39.31,40.27,38.06,38.66,277400
2022-05-16,39.51,41.0,38.34,38.34,79900
2022-05-17,37.86,40.27,37.86,40.27,144400
2022-05-18,41.08,41.08,39.95,39.95,238400
