date,open,high,low,close,volume
2021-10-14,46.3,46.76,46.04,46.1,223800
2021-10-15,46.37,46.37,45.7,45.84,216300
2021-10-18,45.84,46.04,45.17,45.17,422600
2021-10-19,45.11,45.31,44.98,45.17,132100
2021-10-20,45.17,45.9,45.17,45.7,84300
2021-10-21,45.7,45.7,45.17,45.44,134900
2021-10-22,45.97,46.7,45.44,46.7,441600
2021-10-25,47.23,47.29,46.5,46.63,335100
2021-10-26,46.76,47.1,46.1,47.03,406500
2021-10-27,46.7,47.76,46.7,47.69,616600
2021-10-28,47.69,47.76,47.23,47.36,162300
2021-10-29,47.69,48.16,47.03,47.63,585600
2021-11-01,47.16,48.88,47.16,48.42,607500
2021-11-02,48.55,48.69,47.76,47.76,236000
2021-11-03,47.76,47.96,46.5,47.36,593300
2021-11-04,46.76,47.43,46.76,47.43,380000
2021-11-05,47.43,48.09,47.03,48.02,341300
2021-11-08,48.02,48.55,47.36,48.16,657700
2021-11-09,48.16,48.82,47.76,48.55,696200
2021-11-10,48.35,49.08,48.35,48.69,373500
2021-11-11,48.75,49.35,48.42,49.22,319600
2021-11-12,49.28,49.55,48.42,48.82,306000
2021-11-15,48.75,48.82,48.02,48.09,433000
2021-11-16,47.69,48.02,46.9,47.63,802100
2021-11-17,47.69,50.67,47.69,50.14,2418800
2021-11-18,50.94,50.94,49.61,49.68,937800
2021-11-19,49.68,49.94,47.36,47.69,1108300
2021-11-22,48.09,48.09,44.45,45.37,1609600
2021-11-23,45.7,46.7,45.04,45.04,1031400
2021-11-24,46.5,48.16,46.5,48.16,543800
2021-11-25,50.01,50.14,49.02,49.81,783100
2021-11-26,49.35,49.68,48.35,49.02,699000
2021-11-29,47.82,49.68,47.76,49.55,463400
2021-11-30,49.75,52.99,49.75,52.99,1949300
2021-12-01,53.59,54.58,52.73,52.99,656400
2021-12-02,52.39,53.12,49.35,51.6,1161700
2021-12-03,51.8,52.66,50.34,51.0,742300
2021-12-06,50.94,52.26,49.68,50.34,795600
2021-12-07,51.07,51.47,50.34,51.0,616100
2021-12-08,51.67,54.32,51.0,53.98,1248900
2021-12-09,53.65,57.76,53.45,57.76,1692600
2021-12-10,58.29,59.62,57.3,59.55,933100
2021-12-13,60.14,61.8,59.95,59.95,991000
2021-12-14,59.62,59.62,57.96,58.49,812400
2021-12-15,59.15,61.87,58.49,60.41,697700
2021-12-16,60.94,60.94,59.62,60.48,381300
2021-12-17,61.27,61.27,57.96,60.48,600900
2021-12-20,60.61,60.61,58.29,58.82,724400
2021-12-21,58.62,59.62,57.43,59.02,612800
2021-12-22,59.15,61.6,59.09,59.95,504000
