date,open,high,low,close,volume
2021-10-14,26.8,27.11,26.77,26.94,84700
2021-10-15,26.83,26.88,26.66,26.77,66400
2021-10-18,26.8,26.8,26.52,26.6,34300
2021-10-19,26.52,27.0,26.52,27.0,43900
2021-10-20,27.0,27.0,26.49,26.71,145300
2021-10-21,26.94,26.94,26.52,26.71,21800
2021-10-22,26.57,26.83,26.55,26.6,80600
2021-10-25,26.66,28.18,26.6,28.18,228000
2021-10-26,27.05,27.95,27.05,27.73,37900
2021-10-27,27.76,27.76,27.5,27.73,57700
2021-10-28,27.73,28.01,27.56,27.62,78300
2021-10-29,27.62,27.73,27.19,27.33,193100
2021-11-01,27.17,28.15,27.17,27.9,252200
2021-11-02,27.9,28.74,27.9,28.18,154200
2021-11-03,28.18,28.18,27.56,27.79,99800
2021-11-04,27.5,27.67,27.33,27.67,158500
2021-11-05,27.67,27.93,27.39,27.67,128500
2021-11-08,27.67,28.57,27.48,28.52,228600
2021-11-09,28.57,28.74,28.35,28.63,193800
2021-11-10,28.63,28.74,28.41,28.57,125000
2021-11-11,28.74,29.87,28.18,29.36,408700
2021-11-12,29.93,29.93,29.08,29.25,76000
2021-11-15,29.25,29.87,29.03,29.76,364400
2021-11-16,29.14,29.87,28.97,29.87,258800
2021-11-17,29.81,29.81,29.31,29.42,104000
2021-11-18,29.31,29.59,29.14,29.31,296100
2021-11-19,29.48,29.98,29.31,29.76,410700
2021-11-22,29.98,31.17,29.98,30.15,334500
2021-11-23,30.15,30.38,29.42,30.38,73400
2021-11-24,30.43,31.96,30.27,31.73,578900
2021-11-25,31.62,32.35,31.28,31.39,207600
2021-11-26,31.45,31.62,31.11,31.11,104300
2021-11-29,31.17,32.63,31.17,32.35,471900
2021-11-30,32.69,32.69,31.84,32.24,254100
2021-12-01,32.13,32.63,31.56,31.84,165500
2021-12-02,31.56,32.13,31.0,32.13,218300
2021-12-03,32.13,32.18,31.67,32.13,333500
2021-12-06,32.01,32.01,31.0,31.56,129200
2021-12-07,31.17,31.67,31.11,31.56,93600
2021-12-08,31.56,31.56,30.94,31.11,94500
2021-12-09,30.94,31.11,30.49,31.0,92600
2021-12-10,31.0,31.0,29.93,30.04,145300
2021-12-13,29.87,29.87,28.52,29.36,212000
2021-12-14,29.36,30.1,29.36,29.93,104600
2021-12-15,30.15,30.38,29.81,29.98,53300
2021-12-16,29.93,29.98,29.59,29.59,54700
2021-12-17,29.31,29.48,29.03,29.48,62400
2021-12-20,29.42,29.42,28.74,29.42,132000
2021-12-21,29.42,29.98,29.42,29.48,94400
2021-12-22,29.87,29.87,28.91,29.59,67800
2021-12-23,29.76,29.76,28.97,29.48,119000
2021-12-24,29.03,29.31,28.69,29.03,77900
2021-12-27,29.14,29.19,28.91,29.14,50000
2021-12-28,28.74,31.17,28.69,29.25,127800
2021-12-29,29.25,29.81,28.91,29.76,91300
2021-12-30,29.7,30.15,29.03,30.15,64800
2021-12-31,30.1,30.1,29.25,29.25,100500
2022-01-04,29.31,29.31,29.03,29.19,102400
2022-01-05,29.19,29.19,28.91,29.03,62400
2022-01-06,28.86,29.03,28.46,28.63,115600
2022-01-07,28.74,28.74,28.15,28.29,83200
2022-01-10,28.29,28.46,27.73,27.98,193500
2022-01-11,27.59,28.07,27.59,28.07,60300
2022-01-12,27.9,29.31,27.9,29.19,105200
2022-01-13,29.03,29.81,28.18,29.48,101200
2022-01-14,29.03,29.81,28.29,29.53,59100
2022-01-17,29.42,29.42,28.52,28.63,94200
2022-01-18,28.52,28.74,27.93,28.74,62700
2022-01-19,28.24,28.86,28.24,28.86,47500
2022-01-20,28.86,28.86,28.52,28.8,13400
2022-01-21,28.29,28.91,28.29,28.69,38500
2022-01-24,28.69,28.69,27.79,27.9,82200
2022-01-25,27.62,28.18,27.62,27.9,68700
2022-01-26,27.64,28.63,27.64,28.07,97100
2022-01-27,27.67,28.63,27.62,28.01,123700
2022-01-28,27.9,28.63,27.9,28.18,256100
2022-02-07,28.74,28.74,28.24,28.57,6000
2022-02-08,28.57,29.31,28.57,28.8,30700
