date,open,high,low,close,volume
2021-10-14,36.92,37.49,36.07,36.63,1229600
2021-10-15,36.63,36.92,36.35,36.81,616300
2021-10-18,36.81,38.91,36.75,37.94,929400
2021-10-19,37.88,38.62,37.37,38.05,757600
2021-10-20,37.6,38.23,36.35,38.0,752500
2021-10-21,37.83,38.62,36.63,38.4,1488500
2021-10-22,38.51,40.04,38.05,39.65,1004500
2021-10-25,40.33,41.46,40.04,40.33,993300
2021-10-26,40.84,42.03,39.47,42.03,937300
2021-10-27,41.46,42.94,41.46,42.54,1577800
2021-10-28,42.6,45.44,42.6,45.44,1346400
2021-10-29,44.93,48.28,44.93,48.28,990100
2021-11-01,48.28,49.41,47.65,48.79,1418400
2021-11-02,48.73,51.91,48.17,51.69,1004300
2021-11-03,51.69,52.42,48.11,48.11,2318300
2021-11-04,44.81,50.55,44.76,50.55,4185800
2021-11-05,50.55,51.06,48.56,49.47,1384500
2021-11-08,48.51,48.85,47.37,48.22,1470800
2021-11-09,47.48,48.85,47.03,48.17,1589700
2021-11-10,48.28,49.36,48.28,49.36,1121700
2021-11-11,49.98,50.49,47.99,49.76,1148000
2021-11-12,48.28,49.7,47.71,49.36,1313000
2021-11-15,48.96,49.3,47.2,48.73,1909000
2021-11-16,49.13,51.06,48.73,50.21,1459800
2021-11-17,50.49,52.2,50.44,52.03,1111500
2021-11-18,52.03,54.53,52.03,54.53,1158900
2021-11-19,54.53,56.68,50.72,53.84,1268400
2021-11-22,51.4,52.71,50.1,50.1,1698000
2021-11-23,49.98,52.71,48.56,52.71,939400
2021-11-24,52.77,52.94,50.44,51.63,1197200
2021-11-25,51.63,52.25,50.04,51.4,895000
2021-11-26,51.52,52.2,49.47,50.55,780800
2021-11-29,49.53,51.69,49.41,50.78,828100
2021-11-30,50.78,51.12,48.85,49.64,1314600
2021-12-01,48.79,49.41,47.71,48.85,954900
2021-12-02,48.28,49.36,47.6,49.07,931700
2021-12-03,49.24,49.3,46.57,48.22,846600
2021-12-06,47.77,48.85,44.87,44.87,528900
2021-12-07,44.93,46.52,42.6,46.52,894800
2021-12-08,46.35,47.37,45.21,47.03,845500
2021-12-09,46.52,47.37,45.89,47.03,826200
2021-12-10,46.57,47.09,46.23,46.86,789200
2021-12-13,46.29,46.57,45.44,45.44,1212300
2021-12-14,45.33,45.33,42.26,42.26,1512200
2021-12-15,39.47,42.6,39.47,42.6,2321100
2021-12-16,42.49,42.49,40.04,40.55,997100
2021-12-17,41.46,43.34,41.46,43.34,2099300
2021-12-20,43.11,43.34,41.92,43.17,1031400
2021-12-21,43.11,43.11,42.09,42.88,444900
2021-12-22,42.14,42.77,40.61,41.97,1136800
2021-12-23,41.24,41.46,39.47,40.78,968300
2021-12-24,40.78,41.18,38.62,40.61,796300
2021-12-27,41.07,42.03,40.67,41.86,576100
2021-12-28,41.86,43.22,41.86,43.17,909800
2021-12-29,43.11,43.28,42.03,42.94,590400
2021-12-30,42.94,42.94,42.03,42.71,506500
2021-12-31,42.6,43.11,41.46,42.6,335200
2022-01-04,42.6,43.17,41.75,42.6,1075900
2022-01-05,42.88,45.44,42.66,45.27,1709100
2022-01-06,45.38,46.86,45.15,45.44,817400
2022-01-07,45.5,48.28,44.87,48.28,1027800
2022-01-10,47.71,48.39,45.44,46.29,937700
2022-01-11,46.52,46.57,44.59,45.44,936600
2022-01-12,44.19,45.38,42.26,44.59,1124400
2022-01-13,44.59,44.64,41.52,41.52,896900
2022-01-14,38.91,43.17,38.91,42.31,777900
2022-01-17,42.6,43.17,39.7,41.46,534100
2022-01-18,40.04,41.35,38.57,38.57,734700
