date,open,high,low,close,volume
2021-10-14,19.91,20.44,19.79,20.32,2696000
2021-10-15,20.47,20.5,19.85,20.2,1400500
2021-10-18,19.79,19.97,19.02,19.02,4286900
2021-10-19,19.05,19.05,18.61,18.79,2137000
2021-10-20,18.79,19.14,18.67,19.08,1393300
2021-10-21,19.08,19.2,18.73,18.76,1263600
2021-10-22,18.79,19.02,18.67,18.85,1168200
2021-10-25,18.96,19.61,18.91,19.38,1941900
2021-10-26,19.29,19.5,19.14,19.29,790700
2021-10-27,19.26,19.55,19.26,19.35,1228800
2021-10-28,19.32,19.91,19.14,19.73,2175000
2021-10-29,19.91,19.91,19.44,19.5,1597400
2021-11-01,19.5,20.29,19.26,20.12,3707500
2021-11-02,20.38,20.56,20.15,20.18,2453900
2021-11-03,20.18,20.38,19.53,19.58,2786500
2021-11-04,19.5,19.82,19.14,19.35,1451200
2021-11-05,19.5,20.2,19.2,20.09,3558600
2021-11-08,20.38,21.36,20.09,21.18,5350800
2021-11-09,21.12,21.18,20.74,20.91,1802800
2021-11-10,20.74,21.56,20.74,21.5,3773800
2021-11-11,21.5,22.04,21.39,21.71,5170600
2021-11-12,21.71,22.12,21.45,22.1,3082000
2021-11-15,22.21,22.39,21.56,21.74,2931700
2021-11-16,21.74,21.86,21.03,21.39,3086800
2021-11-17,21.27,22.39,21.06,22.15,2742100
2021-11-18,22.15,22.72,22.15,22.39,2444900
2021-11-19,22.51,22.57,20.83,20.83,3987200
2021-11-22,20.53,20.88,19.5,19.64,2763200
2021-11-23,19.64,20.35,19.64,20.32,1387600
2021-11-24,20.65,20.65,20.03,20.15,2056400
2021-11-25,20.09,20.62,19.88,20.62,2096700
2021-11-26,20.68,20.68,20.09,20.12,1644700
2021-11-29,19.79,20.62,19.58,20.44,1477200
2021-11-30,20.47,21.24,20.44,20.88,2511200
2021-12-01,20.88,21.15,20.83,20.94,1130100
2021-12-02,20.94,21.47,20.71,21.15,1837700
2021-12-03,21.24,21.24,20.2,20.2,1537400
2021-12-06,20.15,20.47,19.32,19.61,1647200
2021-12-07,19.88,20.06,19.44,20.06,1309100
2021-12-08,20.15,20.26,19.91,20.12,742500
2021-12-09,19.97,20.5,19.97,20.38,761200
2021-12-10,20.41,20.59,20.12,20.12,755100
2021-12-13,20.38,20.38,20.09,20.2,892200
2021-12-14,20.44,20.65,20.2,20.32,1255600
2021-12-15,20.35,20.62,20.12,20.32,753900
2021-12-16,20.38,20.47,20.15,20.18,1176400
2021-12-17,20.32,20.32,19.78,20.02,1715700
2021-12-20,20.05,20.05,19.78,19.81,1235100
2021-12-21,19.81,20.26,19.54,19.87,1229200
2021-12-22,19.87,20.29,19.84,19.96,1231900
2021-12-23,19.99,20.14,19.37,19.54,971200
2021-12-24,19.72,19.78,19.4,19.45,710700
2021-12-27,19.48,19.63,19.13,19.37,1248100
2021-12-28,19.37,19.69,18.95,19.54,1760100
2021-12-29,19.72,19.93,19.54,19.54,498600
2021-12-30,19.48,19.78,19.48,19.57,548300
2021-12-31,19.6,19.72,19.45,19.57,789700
2022-01-04,19.69,20.11,19.6,20.11,1342200
2022-01-05,20.23,20.23,19.81,20.05,1230300
2022-01-06,19.9,19.9,19.66,19.72,873700
2022-01-07,19.72,20.02,19.45,19.9,1209400
2022-01-10,20.11,20.14,19.28,19.28,1189900
2022-01-11,19.28,19.45,19.07,19.13,897900
2022-01-12,19.13,19.19,18.23,18.59,1315000
2022-01-13,18.71,19.01,18.47,18.5,768400
2022-01-14,18.29,18.65,18.17,18.29,905700
2022-01-17,18.47,18.59,17.15,17.15,1335000
2022-01-18,17.27,17.3,16.49,16.82,956600
2022-01-19,17.12,17.36,16.91,17.15,521500
2022-01-20,17.18,17.6,17.15,17.51,369100
2022-01-21,17.57,17.63,17.12,17.21,731900
2022-01-24,17.09,17.12,16.19,16.19,735400
2022-01-25,16.25,16.61,16.01,16.55,551200
2022-01-26,16.79,16.97,16.64,16.79,413100
2022-01-27,16.79,16.97,16.73,16.82,212300
2022-01-28,16.85,17.03,16.79,16.85,254100
2022-02-07,17.27,17.63,17.09,17.57,381800
2022-02-08,17.39,18.23,17.39,18.05,695500
2022-02-09,18.05,18.44,17.93,18.23,602800
2022-02-10,18.23,18.32,18.11,18.29,293000
2022-02-11,18.23,18.5,18.11,18.41,641000
2022-02-14,18.14,18.29,17.99,17.99,549000
2022-02-15,17.84,18.08,17.81,17.93,438400
2022-02-16,18.05,18.47,18.05,18.47,509200
2022-02-17,18.71,19.07,18.59,18.83,696100
2022-02-18,18.68,18.89,18.62,18.86,585600
2022-02-21,18.86,18.95,18.59,18.71,495300
2022-02-22,18.59,18.71,18.23,18.71,784000
2022-02-23,18.47,18.8,18.47,18.71,584400
2022-02-24,18.71,18.77,18.05,18.59,881200
2022-02-25,18.68,19.25,18.65,19.1,1114100
2022-02-28,19.04,19.66,18.98,19.4,859800
2022-03-01,19.4,19.45,19.22,19.4,466000
2022-03-02,19.22,19.28,19.07,19.1,776000
2022-03-03,18.98,19.34,17.99,19.31,1361600
2022-03-04,19.48,19.66,19.31,19.66,1123200
2022-03-07,19.63,20.08,19.37,19.72,780900
2022-03-08,19.45,20.35,19.45,20.14,2436400
2022-03-09,20.14,20.62,20.14,20.5,1958000
2022-03-10,20.38,20.44,20.08,20.14,638000
2022-03-11,20.05,20.05,19.31,20.05,1076400
2022-03-14,19.78,19.84,19.25,19.54,1127300
2022-03-15,19.54,19.54,19.07,19.25,671000
2022-03-16,19.54,19.57,19.25,19.57,438600
2022-03-17,19.72,20.59,19.63,20.35,1507400
2022-03-18,20.35,20.38,19.99,20.08,516200
2022-03-21,19.72,20.08,19.66,19.9,986000
2022-03-22,20.08,20.08,19.6,19.66,985100
2022-03-23,19.66,19.96,19.54,19.6,682600
2022-03-24,19.75,19.9,19.37,19.9,905000
2022-03-25,20.08,20.2,19.96,20.02,815400
2022-03-28,19.78,19.99,19.25,19.54,704600
2022-03-29,19.69,20.53,19.48,20.38,1898100
2022-03-30,20.35,21.22,20.26,20.62,2122400
2022-03-31,20.86,21.88,20.71,21.28,2852000
2022-04-01,20.98,21.58,20.77,21.34,1501000
2022-04-04,21.55,21.7,21.04,21.49,1729000
2022-04-05,21.28,21.55,21.07,21.07,1053700
2022-04-06,20.98,21.58,20.71,21.4,1547600
2022-04-07,21.46,22.3,21.4,21.58,3149600
2022-04-08,21.58,21.85,20.26,20.65,1062300
