date,open,high,low,close,volume
2021-10-14,16.77,17.31,16.77,17.13,328860
2021-10-15,17.08,17.31,16.81,16.95,523035
2021-10-18,16.9,17.58,16.9,17.22,406928
2021-10-19,17.26,17.8,17.13,17.35,250128
2021-10-20,17.4,17.76,17.35,17.62,299717
2021-10-21,17.62,18.21,17.58,18.21,334574
2021-10-22,18.16,19.11,18.16,18.7,381356
2021-10-25,18.7,19.69,18.7,18.97,321900
2021-10-26,18.88,18.97,18.07,18.88,411149
2021-10-27,18.88,19.55,18.88,19.29,200193
2021-10-28,18.97,21.17,18.97,21.17,547460
2021-10-29,21.17,23.29,21.17,22.93,609381
2021-11-01,22.93,23.78,22.7,23.06,753232
2021-11-02,23.06,23.69,23.06,23.56,373248
2021-11-03,23.56,25.71,21.22,21.22,922074
2021-11-04,21.22,22.48,21.08,22.03,608252
2021-11-05,22.07,22.75,22.03,22.21,282853
2021-11-08,22.25,22.43,21.8,22.21,362658
2021-11-09,22.21,22.39,21.94,22.39,385223
2021-11-10,22.39,24.14,22.39,24.14,553406
2021-11-11,24.5,26.07,24.28,25.44,721965
2021-11-12,25.49,25.53,24.28,24.28,456954
2021-11-15,24.5,24.5,22.12,23.06,867031
2021-11-16,23.11,23.15,21.89,22.12,546128
2021-11-17,22.16,22.16,20.95,21.62,632389
2021-11-18,21.62,22.43,21.53,22.07,427979
2021-11-19,22.34,22.48,21.58,21.85,474414
2021-11-22,21.85,21.85,20.0,20.0,778457
2021-11-23,19.78,20.59,18.43,20.54,224141
2021-11-24,20.59,21.31,20.45,21.13,211821
2021-11-25,21.13,21.67,21.08,21.44,138706
2021-11-26,21.8,21.8,20.32,20.54,294404
2021-11-29,20.54,20.95,20.05,20.77,215493
2021-11-30,20.81,21.53,20.81,21.13,240654
2021-12-01,21.13,21.22,20.68,21.08,138484
2021-12-02,20.86,21.17,20.68,21.13,248128
2021-12-03,21.13,21.13,20.23,20.23,209236
2021-12-06,20.23,20.23,18.66,19.33,282880
2021-12-07,19.33,19.87,19.11,19.78,196790
2021-12-08,19.87,19.91,19.55,19.78,87932
2021-12-09,19.78,21.76,19.64,21.76,446532
2021-12-10,22.03,23.11,21.85,22.48,404191
2021-12-13,22.48,23.47,22.03,23.15,343472
2021-12-14,23.15,23.15,22.16,22.43,249130
2021-12-15,22.43,22.43,21.76,22.03,167478
2021-12-16,22.03,22.48,21.8,22.25,209881
2021-12-17,22.25,23.47,22.25,23.15,331089
2021-12-20,23.33,24.05,22.12,23.6,352020
2021-12-21,23.38,23.6,22.93,23.38,240805
2021-12-22,23.38,23.69,23.24,23.38,328905
2021-12-23,23.38,23.38,21.8,22.21,333246
2021-12-24,22.25,23.51,22.12,22.48,244003
2021-12-27,22.48,22.52,22.03,22.43,127336
2021-12-28,22.43,22.7,22.07,22.16,215350
2021-12-29,22.25,24.19,22.03,23.83,505715
2021-12-30,23.83,23.83,23.33,23.33,152060
2021-12-31,23.33,23.38,22.88,23.06,92080
2022-01-04,23.06,23.29,22.61,22.97,242870
2022-01-05,22.97,23.02,22.52,22.52,205651
2022-01-06,22.57,24.77,22.43,24.77,924085
2022-01-07,27.2,27.2,24.77,26.12,505833
2022-01-10,26.12,26.34,25.17,25.17,336078
2022-01-11,24.5,25.17,24.28,24.45,449176
2022-01-12,24.32,24.45,22.03,23.33,513283
2022-01-13,23.38,23.6,21.04,21.04,423944
2022-01-14,21.04,21.89,19.6,21.8,240204
2022-01-17,21.8,21.85,19.69,19.69,245880
2022-01-18,19.69,19.69,17.98,18.43,369120
2022-01-19,18.43,19.55,17.53,19.46,203951
2022-01-20,19.46,21.13,18.88,20.86,184857
2022-01-21,20.99,21.62,20.45,20.45,151114
2022-01-24,20.45,20.45,18.43,18.61,303852
2022-01-25,18.52,19.73,17.53,19.73,161970
2022-01-26,19.78,19.96,18.07,18.97,144200
2022-01-27,18.43,19.2,18.07,18.3,195707
2022-01-28,18.25,18.57,18.21,18.34,142700
2022-02-07,18.39,19.2,18.39,18.84,119969
2022-02-08,18.88,20.0,18.84,19.6,158144
2022-02-09,19.78,19.91,19.11,19.87,114058
2022-02-10,19.82,20.23,19.42,19.69,72936
2022-02-11,19.6,19.6,19.29,19.55,251509
2022-02-14,19.51,19.51,18.93,19.29,141252
2022-02-15,19.33,19.38,18.75,19.24,108547
2022-02-16,19.29,20.18,19.29,20.18,204061
2022-02-17,20.23,20.5,19.82,20.09,102803
