date,open,high,low,close,volume
2021-10-14,14.69,15.11,14.64,14.78,4537500
2021-10-15,14.83,14.97,14.45,14.64,4492200
2021-10-18,14.64,14.88,14.31,14.31,4106400
2021-10-19,14.31,14.73,14.03,14.41,3489600
2021-10-20,14.59,14.64,14.03,14.31,3864400
2021-10-21,14.41,14.83,14.22,14.73,3813500
2021-10-22,15.02,15.76,15.02,15.44,8852200
2021-10-25,15.44,15.72,15.16,15.3,4325000
2021-10-26,15.25,15.44,14.97,15.39,3823100
2021-10-27,15.39,15.86,15.3,15.53,4766700
2021-10-28,15.72,15.72,15.39,15.44,4160900
2021-10-29,15.62,16.33,15.48,15.81,5530600
2021-11-01,15.9,16.0,15.34,15.44,5900600
2021-11-02,15.44,16.23,15.44,16.18,6276100
2021-11-03,16.28,16.42,15.06,15.06,9223500
2021-11-04,15.02,15.48,14.78,15.2,4248000
2021-11-05,15.39,15.44,15.06,15.34,2747200
2021-11-08,15.34,15.72,15.2,15.48,4680500
2021-11-09,15.53,15.86,15.34,15.53,4045600
2021-11-10,15.72,16.56,15.39,16.56,10410000
2021-11-11,16.75,16.98,16.18,16.47,6232700
2021-11-12,16.56,17.07,16.18,16.89,6023800
2021-11-15,17.03,17.5,16.65,17.12,7929400
2021-11-16,17.12,17.6,16.41,17.12,6186700
2021-11-17,17.03,17.12,16.84,16.93,3024300
2021-11-18,16.93,17.79,16.74,17.17,6234200
2021-11-19,17.31,17.84,15.98,17.03,7980100
2021-11-22,17.12,17.27,15.84,15.84,6736700
2021-11-23,15.7,16.6,15.7,16.46,3910400
2021-11-24,16.55,16.79,15.7,16.27,4106300
2021-11-25,16.22,16.74,16.17,16.55,3388700
2021-11-26,16.74,17.69,16.6,17.69,8817400
2021-11-29,18.84,18.93,18.08,18.93,8529000
2021-11-30,20.22,20.22,19.22,20.22,9630300
2021-12-01,20.22,20.88,19.31,19.84,12773600
2021-12-02,19.79,21.21,19.41,21.21,5438400
2021-12-03,22.69,22.69,20.45,20.45,10720000
2021-12-06,21.4,21.88,20.74,21.83,12901700
2021-12-07,22.59,23.07,21.5,21.83,7794700
2021-12-08,21.93,22.31,21.17,21.31,7982400
2021-12-09,20.83,22.78,20.64,22.78,8606700
2021-12-10,23.59,24.26,23.12,23.36,6840700
2021-12-13,23.31,24.97,23.31,24.64,7462000
2021-12-14,24.64,25.97,24.26,25.54,7994900
2021-12-15,25.69,26.35,25.02,25.4,6318400
2021-12-16,25.31,26.64,24.35,26.4,10092700
2021-12-17,26.4,27.02,26.35,26.49,5692000
2021-12-20,26.45,26.45,24.83,25.35,6989200
2021-12-21,24.97,25.88,24.83,25.21,6578400
2021-12-22,25.54,26.97,25.07,26.97,8868200
2021-12-23,27.59,28.83,27.02,28.83,7347800
2021-12-24,29.63,29.97,27.87,28.06,4679800
2021-12-27,27.68,28.54,26.97,27.97,4803800
2021-12-28,28.25,28.92,27.68,28.49,4541400
2021-12-29,28.25,28.54,27.16,27.16,6733700
2021-12-30,27.16,28.11,26.92,26.92,3556400
2021-12-31,27.02,27.4,26.02,26.16,5266100
2022-01-04,25.88,27.97,25.88,27.97,3815700
2022-01-05,29.59,29.92,29.02,29.92,6412700
2022-01-06,30.35,30.73,29.21,30.35,6782700
2022-01-07,30.73,31.06,30.06,30.63,3491700
2022-01-10,30.92,32.77,30.25,30.87,6992000
2022-01-11,31.39,33.01,30.49,32.92,7827800
2022-01-12,32.73,35.2,31.39,34.25,7951800
2022-01-13,34.53,35.15,31.87,31.87,4631800
2022-01-14,29.68,33.96,29.68,31.01,10044500
2022-01-17,31.87,31.96,28.87,28.87,5334300
2022-01-18,26.88,26.88,26.88,26.88,826500
2022-01-19,25.02,25.69,25.02,25.02,4435500
2022-01-20,23.31,26.73,23.31,26.73,15275000
2022-01-21,27.59,28.11,26.64,26.92,3391300
2022-01-24,26.26,26.26,25.07,25.07,3532400
2022-01-25,23.36,24.35,23.36,23.36,7716600
2022-01-26,23.36,23.97,21.74,21.74,6322200
2022-01-27,20.45,20.93,20.26,20.26,3031600
2022-01-28,18.88,20.93,18.88,20.93,6940200
2022-02-07,21.31,22.36,21.07,22.07,2269500
2022-02-08,21.5,22.26,20.55,20.74,5009700
2022-02-09,19.84,22.17,19.6,22.17,7043400
2022-02-10,22.4,23.31,22.07,22.4,3508000
2022-02-11,21.98,22.5,21.64,21.79,3065200
2022-02-14,21.02,23.02,20.93,22.17,5915400
2022-02-15,22.45,22.74,22.07,22.36,2265200
2022-02-16,22.74,23.69,22.45,23.36,4071900
2022-02-17,23.26,23.45,22.83,23.02,3485300
2022-02-18,22.93,24.16,22.59,23.97,3739100
2022-02-21,24.26,25.21,24.07,24.64,5288200
2022-02-22,23.78,24.45,23.02,23.64,6265500
2022-02-23,23.78,24.64,23.69,24.21,3191300
2022-02-24,24.16,24.35,22.55,23.07,5278600
2022-02-25,23.4,23.55,22.93,22.93,3957400
2022-02-28,22.78,23.78,22.26,23.59,3469400
2022-03-01,23.59,24.26,23.4,23.69,3696000
2022-03-02,23.59,24.07,23.02,23.21,3123100
2022-03-03,23.26,23.69,22.69,23.59,3573300
2022-03-04,24.16,25.02,23.97,24.54,6014100
2022-03-07,24.26,24.78,23.88,24.16,3385300
2022-03-08,23.5,24.12,23.02,23.02,4364100
2022-03-09,22.93,23.4,21.88,22.5,4096700
2022-03-10,23.12,23.69,23.07,23.12,2016000
2022-03-11,22.74,23.93,22.74,23.02,3864700
2022-03-14,22.83,23.83,22.83,23.36,3872200
2022-03-15,23.78,24.97,23.4,24.97,7055600
2022-03-16,25.31,25.88,24.97,24.97,5813800
2022-03-17,25.02,25.64,24.83,25.02,3353700
2022-03-18,25.16,26.26,25.02,26.02,7337900
2022-03-21,26.21,27.21,26.21,26.73,4671200
2022-03-22,26.73,27.49,26.16,26.26,6248300
2022-03-23,26.16,26.54,25.69,25.69,6154300
2022-03-24,25.5,27.21,25.35,26.73,5750400
2022-03-25,26.83,27.16,26.54,26.54,3068800
2022-03-28,26.45,26.45,24.73,25.73,6645200
2022-03-29,25.78,26.4,25.73,26.35,2724000
2022-03-30,26.3,27.07,25.4,25.97,5937700
2022-03-31,26.07,26.45,25.73,25.88,3139900
2022-04-01,25.69,26.54,25.31,26.49,3998000
2022-04-04,26.73,27.49,26.35,27.02,6585400
2022-04-05,27.21,28.49,26.83,28.25,7585100
2022-04-06,27.78,28.78,26.92,27.16,7660100
2022-04-07,27.16,27.54,26.4,26.45,4141900
2022-04-08,26.64,27.54,26.26,26.68,4700200
2022-04-12,26.73,27.87,26.54,26.88,5242700
2022-04-13,27.21,27.83,26.35,27.83,3852400
2022-04-14,28.06,28.06,27.26,27.4,3951500
2022-04-15,27.11,28.35,26.68,27.21,5121900
2022-04-18,26.92,27.49,25.31,25.31,8345000
2022-04-19,25.21,25.21,23.55,23.55,4419700
2022-04-20,21.93,22.64,21.93,21.93,4733000
2022-04-21,20.41,21.4,20.41,20.41,3945000
2022-04-22,19.98,21.21,18.98,19.03,7065400
2022-04-25,19.31,19.74,17.69,17.69,3714100
2022-04-26,17.03,18.55,16.65,18.55,3096300
2022-04-27,18.17,19.5,18.08,19.41,2196700
2022-04-28,19.41,20.12,19.07,19.07,2632000
2022-04-29,18.84,19.45,18.84,19.31,3003200
2022-05-04,19.6,20.64,19.17,20.41,5190300
2022-05-05,20.5,20.79,19.31,19.98,2494900
2022-05-06,19.31,19.93,18.6,18.6,2152600
2022-05-09,17.89,18.22,17.31,17.31,2742300
2022-05-10,16.17,17.31,16.13,16.74,3717300
2022-05-11,17.03,17.27,16.65,16.74,2155100
2022-05-12,16.74,17.5,15.6,15.6,2529600
2022-05-13,15.32,15.79,14.56,14.56,3070200
2022-05-16,15.22,15.32,13.6,13.6,2392400
2022-05-17,12.94,14.56,12.94,14.56,2704500
2022-05-18,15.03,15.41,14.6,14.84,2328000
2022-05-19,14.41,15.13,14.37,14.84,2137300
2022-05-20,14.94,15.84,14.84,15.84,5141400
2022-05-23,16.46,16.7,15.51,16.08,3279700
2022-05-24,15.79,16.36,15.32,16.36,2608100
2022-05-25,16.32,17.27,16.13,16.93,4335400
2022-05-26,17.03,17.12,16.46,16.55,2675600
2022-05-27,16.46,16.93,16.46,16.55,1879000
2022-05-30,16.65,17.03,16.51,16.74,2241300
2022-05-31,16.74,17.65,16.41,17.22,3930400
2022-06-01,17.41,17.89,17.12,17.41,2789800
2022-06-02,17.41,17.74,17.03,17.41,3283200
2022-06-03,17.46,17.74,17.12,17.22,3071300
2022-06-06,17.12,17.22,16.17,16.17,3564800
2022-06-07,15.79,15.98,15.08,15.46,4424900
2022-06-08,15.89,16.51,15.55,16.51,1743500
2022-06-09,16.55,17.12,16.51,16.55,1517200
2022-06-10,16.17,16.79,15.98,15.98,2444900
2022-06-13,15.03,15.55,14.89,14.89,3324000
2022-06-14,14.27,15.22,14.27,14.51,2072600
2022-06-15,14.75,14.75,13.51,13.51,2904400
2022-06-16,13.98,14.03,13.37,13.37,1610800
2022-06-17,12.75,12.84,12.46,12.46,3252700
2022-06-20,11.89,12.56,11.61,11.61,1905300
2022-06-21,10.85,12.13,10.8,11.32,3069800
2022-06-22,11.56,12.08,11.56,11.99,1877400
2022-06-23,11.99,12.32,11.8,12.32,1333000
2022-06-24,12.37,12.84,12.18,12.18,2381100
2022-06-27,12.51,12.65,12.13,12.61,1248400
2022-06-28,12.75,13.13,12.65,12.84,1888900
2022-06-29,12.56,13.13,12.51,12.65,1705500
2022-06-30,12.8,12.8,11.89,11.89,1910600
2022-07-01,11.89,12.32,11.27,12.08,1995800
2022-07-04,12.22,12.65,12.18,12.46,1433500
2022-07-05,12.46,12.56,11.99,11.99,1351800
2022-07-06,11.61,12.22,11.42,11.42,1527400
2022-07-07,11.46,11.84,11.27,11.7,1369700
2022-07-08,12.08,12.51,11.94,12.51,2881200
2022-07-11,12.51,12.99,12.51,12.75,2694200
2022-07-12,12.7,13.6,12.7,13.6,3928200
2022-07-13,13.6,14.27,13.46,13.75,2824300
2022-07-14,13.56,14.08,13.46,13.65,2658800
2022-07-15,13.79,14.08,13.37,13.37,2557500
2022-07-18,13.6,14.27,13.51,14.27,4381600
2022-07-19,14.17,14.46,13.79,14.08,2600700
2022-07-20,14.37,14.65,14.22,14.46,2872300
2022-07-21,14.41,14.56,14.08,14.08,2661200
2022-07-22,14.03,14.56,13.98,14.17,2791800
2022-07-25,14.17,14.51,13.98,14.41,2318300
2022-07-26,14.56,15.08,14.56,14.65,3544300
2022-07-27,14.37,14.89,14.37,14.89,2330600
2022-07-28,15.32,15.46,14.94,14.98,3411100
2022-07-29,14.94,15.13,14.7,14.75,2638300
2022-08-01,15.03,15.41,14.79,15.17,3174200
2022-08-02,15.17,15.84,15.17,15.51,3352300
2022-08-03,15.22,15.55,15.13,15.36,3151700
2022-08-04,15.41,15.7,15.22,15.32,2944700
2022-08-05,15.22,15.6,15.13,15.55,2910500
2022-08-08,15.7,16.03,15.6,15.74,3002300
2022-08-09,15.74,15.93,15.55,15.6,2355700
2022-08-10,15.55,16.13,15.41,15.7,2865500
2022-08-11,15.98,15.98,15.08,15.13,3895000
2022-08-12,14.98,15.46,14.98,15.22,2143700
2022-08-15,15.41,15.51,15.27,15.32,1977800
2022-08-16,15.36,15.7,15.32,15.7,2692800
2022-08-17,15.89,15.89,15.32,15.41,2542600
2022-08-18,15.32,15.46,15.17,15.17,1740300
2022-08-19,15.13,15.32,14.75,14.79,2980800
2022-08-22,14.65,14.84,14.17,14.17,3191400
2022-08-23,13.98,14.89,13.94,14.84,2356300
2022-08-24,15.08,15.17,14.79,14.94,1241700
2022-08-25,14.94,15.17,14.84,14.89,1641200
2022-08-26,14.89,15.03,14.41,14.46,2127800
2022-08-29,14.32,14.46,13.7,14.17,3156600
2022-08-30,14.27,14.41,14.03,14.08,1643900
2022-08-31,14.37,14.46,13.98,14.37,1525600
2022-09-05,14.46,14.51,14.27,14.32,940600
2022-09-06,14.46,14.89,14.46,14.7,3040000
2022-09-07,14.7,15.32,14.56,14.79,4259900
2022-09-08,14.94,14.94,14.22,14.22,1959900
2022-09-09,14.37,14.51,13.7,14.27,2341800
2022-09-12,14.27,14.46,14.17,14.27,1060711
2022-09-13,14.37,14.37,14.08,14.37,1322406
2022-09-14,14.13,14.89,14.03,14.84,4216850
2022-09-15,14.98,15.08,14.7,14.75,1854506
2022-09-16,14.75,15.41,14.65,15.22,6664622
2022-09-19,15.41,15.6,15.03,15.13,6716126
2022-09-20,15.32,15.41,14.27,14.94,2771193
2022-09-21,14.75,15.79,14.56,15.55,6467608
2022-09-22,15.51,16.03,15.51,16.03,4444457
2022-09-23,16.18,16.56,15.88,15.88,5730925
2022-09-26,15.5,16.03,15.11,15.79,6052122
2022-09-27,15.98,16.32,15.4,15.4,3544449
2022-09-28,15.01,15.5,14.33,14.33,6887143
2022-09-29,14.33,14.53,13.37,13.37,5380517
2022-09-30,12.69,13.27,12.45,13.22,4121804
2022-10-03,12.69,13.27,12.3,12.3,2435746
2022-10-04,12.54,12.54,11.62,11.62,1827301
2022-10-05,12.11,12.4,11.77,12.35,1614305
2022-10-06,12.4,12.54,11.57,11.57,2229631
2022-10-07,11.43,11.43,10.8,10.8,3132071
2022-10-10,10.65,11.24,10.27,11.24,1220791
2022-10-11,10.94,11.24,10.46,10.46,1919281
2022-10-12,10.17,10.9,10.17,10.61,1380489
2022-10-13,10.75,10.99,10.65,10.85,945866
2022-10-14,11.14,11.38,10.94,11.24,1673855
2022-10-17,10.99,11.48,10.8,11.43,1460644
2022-10-18,11.82,12.01,11.57,11.57,1621071
2022-10-19,11.62,11.77,11.43,11.57,1078374
2022-10-20,11.57,11.67,11.33,11.33,750645
2022-10-21,11.53,11.53,10.56,10.56,2061798
2022-10-24,10.65,10.65,9.83,9.83,2630782
2022-10-25,9.4,10.07,9.14,9.59,1922113
2022-10-26,9.4,9.78,8.92,8.92,1364382
2022-10-27,8.52,9.54,8.52,9.54,1138172
2022-10-28,9.83,9.93,9.47,9.64,1705391
2022-10-31,9.64,9.78,9.21,9.57,1086561
2022-11-01,9.57,9.83,9.57,9.65,1339225
2022-11-02,9.69,9.93,9.59,9.65,1388814
2022-11-03,9.51,10.32,9.45,9.98,1680569
2022-11-04,9.88,9.98,9.28,9.28,1683683
2022-11-07,9.28,9.3,8.63,8.63,1407394
2022-11-08,8.03,8.42,8.03,8.03,2080107
2022-11-09,8.38,8.52,7.94,8.03,1101299
2022-11-10,7.55,7.85,7.47,7.47,1182055
2022-11-11,7.29,7.6,6.95,6.95,2912728
2022-11-14,6.59,6.69,6.47,6.47,1423677
