date,open,high,low,close,volume
2021-10-14,22.78,22.84,22.28,22.65,1156800
2021-10-15,22.59,22.81,22.25,22.71,1547400
2021-10-18,22.68,23.49,22.59,22.87,1854400
2021-10-19,23.06,23.12,22.43,22.87,869900
2021-10-20,22.87,22.87,21.78,21.78,2601400
2021-10-21,21.78,22.25,21.47,21.78,1318200
2021-10-22,21.78,21.94,21.19,21.75,1203500
2021-10-25,22.03,22.03,21.16,21.16,1497900
2021-10-26,21.03,22.15,20.6,22.09,1679000
2021-10-27,22.4,22.4,21.72,21.78,1874800
2021-10-28,22.09,22.34,21.75,22.25,2030700
2021-10-29,22.34,22.53,21.78,22.0,1855700
2021-11-01,22.25,22.25,21.44,21.5,1645400
2021-11-02,21.25,22.06,21.16,21.78,1257400
2021-11-03,21.78,21.94,20.85,20.85,1617300
2021-11-04,20.75,21.31,20.75,21.1,778200
2021-11-05,20.97,21.44,20.69,21.13,1796100
2021-11-08,21.47,22.03,21.34,21.84,1344800
2021-11-09,22.09,22.65,21.94,22.56,2231100
2021-11-10,22.71,22.71,22.25,22.28,1394200
2021-11-11,22.25,22.71,21.78,22.0,1511600
2021-11-12,22.0,22.03,21.53,21.66,1353000
2021-11-15,21.62,22.25,21.62,21.97,1714000
2021-11-16,21.94,23.49,21.69,23.49,4262400
2021-11-17,23.93,24.46,23.52,23.55,1765600
2021-11-18,23.65,23.65,23.18,23.4,1422600
2021-11-19,23.34,23.55,21.78,22.09,3175700
2021-11-22,21.78,21.94,20.91,21.0,2499000
2021-11-23,20.78,21.66,20.78,21.56,979900
2021-11-24,21.62,22.03,21.44,21.47,1329100
2021-11-25,21.5,21.66,21.16,21.31,1182200
2021-11-26,21.28,21.75,21.03,21.47,1294800
2021-11-29,21.16,22.65,21.13,22.53,1793100
2021-11-30,22.59,22.81,22.06,22.37,1039800
2021-12-01,22.22,22.37,21.78,21.9,993300
2021-12-02,21.78,22.34,21.72,21.87,842000
2021-12-03,22.06,22.06,21.31,21.34,979600
2021-12-06,21.19,21.41,20.38,20.5,1131800
2021-12-07,20.85,21.25,20.6,21.1,679700
2021-12-08,21.16,21.22,20.75,20.85,603600
2021-12-09,20.85,21.56,20.85,21.53,926900
2021-12-10,21.47,22.09,21.41,21.53,676900
2021-12-13,21.75,21.9,21.22,21.53,596000
2021-12-14,21.53,21.69,21.31,21.44,629900
2021-12-15,21.66,22.93,21.66,22.46,3295600
2021-12-16,22.71,22.84,22.09,22.34,771200
2021-12-17,22.31,22.46,21.9,21.97,597300
2021-12-20,21.81,21.9,21.31,21.38,1845900
2021-12-21,21.16,21.87,21.16,21.59,792400
2021-12-22,21.9,21.9,21.28,21.44,833200
2021-12-23,21.72,21.72,20.66,20.88,1113900
2021-12-24,21.31,21.41,20.75,21.28,721200
2021-12-27,21.5,21.62,21.22,21.5,518900
2021-12-28,21.5,21.62,21.22,21.25,462100
2021-12-29,21.25,21.62,21.03,21.19,677000
2021-12-30,21.16,21.47,21.0,21.31,507400
2021-12-31,21.31,21.41,21.1,21.1,381900
2022-01-04,21.16,21.31,21.06,21.13,580100
2022-01-05,21.19,21.41,20.91,21.0,1240900
2022-01-06,20.91,21.0,20.69,20.69,970100
2022-01-07,20.57,21.75,20.04,21.47,1983300
2022-01-10,21.44,21.47,20.85,20.85,548900
2022-01-11,20.85,20.91,20.38,20.6,389700
2022-01-12,20.54,20.85,19.91,20.07,746400
2022-01-13,20.6,20.6,20.04,20.04,501000
2022-01-14,19.66,20.04,19.51,20.04,602800
2022-01-17,19.88,20.22,18.64,18.64,884900
2022-01-18,18.54,18.79,17.89,18.36,809400
2022-01-19,18.36,18.89,18.11,18.89,361700
2022-01-20,18.89,19.42,18.67,19.26,258600
2022-01-21,19.26,20.04,19.1,19.91,476300
2022-01-24,19.85,19.85,18.64,18.7,358500
2022-01-25,18.61,18.86,18.26,18.76,335600
2022-01-26,19.2,19.2,18.48,18.76,311000
2022-01-27,18.76,18.98,18.58,18.7,185400
2022-01-28,18.54,19.6,18.54,19.6,706600
2022-02-07,20.19,20.97,19.91,20.97,1018000
2022-02-08,21.13,21.53,20.72,21.13,757600
2022-02-09,21.16,21.75,20.85,21.47,677400
2022-02-10,21.41,22.03,21.1,21.87,1134400
2022-02-11,21.94,22.56,21.66,22.09,1369000
2022-02-14,21.78,23.18,21.72,22.78,2470100
2022-02-15,22.78,22.9,22.4,22.5,611100
2022-02-16,22.62,22.99,22.53,22.56,561100
2022-02-17,22.5,24.11,22.4,24.05,3641700
2022-02-18,23.96,25.36,23.65,25.17,2201500
