date,open,high,low,close,volume
2021-10-14,30.56,33.47,30.5,33.36,6293130
2021-10-15,33.3,34.82,33.3,34.58,4550503
2021-10-18,34.58,35.86,33.82,35.05,2849528
2021-10-19,35.05,36.1,34.06,35.81,2253374
2021-10-20,35.86,36.1,34.82,35.81,2102128
2021-10-21,35.86,36.1,35.4,35.92,1575634
2021-10-22,35.92,36.8,35.46,36.62,3078383
2021-10-25,36.62,39.13,36.16,38.66,3869802
2021-10-26,38.66,38.72,36.97,38.2,3262023
2021-10-27,38.2,40.88,37.79,40.12,4741041
2021-10-28,40.12,44.09,40.12,43.45,6767358
2021-10-29,44.32,44.32,41.99,43.21,3639598
2021-11-01,43.15,44.32,42.34,43.1,4391140
2021-11-02,43.1,46.71,42.86,45.78,6209755
2021-11-03,44.55,47.24,42.51,42.51,6527260
2021-11-04,42.51,46.71,42.22,46.71,6750751
2021-11-05,46.71,51.38,46.71,50.56,6151844
2021-11-08,50.74,55.4,50.04,55.11,6201436
2021-11-09,55.11,58.04,53.79,56.55,6124856
2021-11-10,56.55,56.85,53.14,56.85,5279809
2021-11-11,56.79,56.85,53.85,55.05,3087490
2021-11-12,54.99,56.25,52.6,53.25,3593779
2021-11-15,53.25,54.15,48.41,49.07,4593659
2021-11-16,49.07,49.6,46.91,49.37,2695762
2021-11-17,49.37,49.9,47.75,48.65,3196870
2021-11-18,48.65,49.72,48.47,49.6,1677673
2021-11-19,49.43,53.37,49.43,52.66,4056417
2021-11-22,52.66,53.91,50.8,52.66,3482500
2021-11-23,52.66,53.85,51.28,52.24,2907949
2021-11-24,52.36,52.9,49.31,50.32,3406705
2021-11-25,50.32,50.86,47.75,49.37,3487831
2021-11-26,49.37,49.43,46.07,47.87,2928635
2021-11-29,47.69,48.23,45.54,47.87,1994227
2021-11-30,47.99,48.77,46.67,46.67,1414275
2021-12-01,46.67,46.85,44.88,44.88,925080
2021-12-02,44.88,46.67,44.88,46.07,954752
2021-12-03,46.07,46.91,44.94,46.25,852866
2021-12-06,46.25,46.91,44.64,44.88,2651310
2021-12-07,44.88,49.37,44.76,49.37,5471421
2021-12-08,50.26,54.27,49.43,53.08,6954681
