date,open,high,low,close,volume
2021-10-14,16.03,16.03,15.82,15.82,7159000
2021-10-15,15.82,16.21,15.66,16.03,9299100
2021-10-18,16.18,16.23,15.77,15.82,6827600
2021-10-19,15.82,16.1,15.51,15.9,5842300
2021-10-20,16.08,16.6,15.87,16.29,9426300
2021-10-21,16.31,16.39,16.0,16.18,4480400
2021-10-22,16.39,16.89,16.23,16.63,8439900
2021-10-25,16.76,17.64,16.65,17.17,10680200
2021-10-26,17.02,17.28,16.7,17.07,6051600
2021-10-27,17.15,17.95,17.12,17.51,7746600
2021-10-28,17.54,17.85,17.35,17.64,6764300
2021-10-29,17.74,17.85,17.28,17.38,6821800
2021-11-01,17.38,17.69,16.96,17.12,9518900
2021-11-02,17.12,18.32,17.02,18.32,7791200
2021-11-03,19.25,19.59,17.04,17.07,16039800
2021-11-04,17.17,17.93,16.91,17.69,7884900
2021-11-05,17.9,18.16,17.46,17.9,5995800
2021-11-08,18.0,18.81,17.69,18.39,7224800
2021-11-09,18.39,18.47,18.0,18.16,5556700
2021-11-10,18.16,18.68,17.85,18.52,6765100
2021-11-11,18.55,19.36,18.45,18.99,9628800
2021-11-12,19.1,19.1,18.42,18.73,4956600
2021-11-15,19.2,19.2,17.48,18.21,8658300
2021-11-16,17.85,18.06,17.17,17.3,10711200
2021-11-17,17.33,17.8,17.25,17.56,5187500
2021-11-18,17.56,17.95,17.2,17.51,6625600
2021-11-19,17.69,17.74,16.29,16.29,15178600
2021-11-22,16.21,16.29,15.17,15.17,9521200
2021-11-23,14.73,16.03,14.73,15.92,4775600
2021-11-24,16.13,16.18,15.64,15.77,4377900
2021-11-25,15.64,16.31,15.48,15.87,4116500
2021-11-26,16.03,16.1,15.53,15.56,5442600
2021-11-29,15.09,16.03,15.06,15.71,5390500
2021-11-30,16.13,16.57,15.77,16.31,6356200
2021-12-01,16.23,16.63,16.18,16.47,3626800
2021-12-02,16.39,16.5,16.13,16.13,3636900
2021-12-03,16.13,16.23,15.35,15.35,4468300
2021-12-06,15.38,15.84,14.96,15.3,4748600
2021-12-07,15.56,15.79,15.3,15.61,2466200
2021-12-08,15.77,16.29,15.69,15.82,3174500
2021-12-09,15.61,16.23,15.61,16.0,2206500
2021-12-10,16.13,16.21,15.74,15.97,3393000
2021-12-13,16.13,17.07,16.13,17.02,7800700
2021-12-14,17.22,17.38,16.7,16.86,5898800
2021-12-15,16.89,17.04,16.55,16.57,4070200
2021-12-16,16.6,17.17,16.5,17.17,6959000
2021-12-17,17.51,17.51,16.91,16.99,6076100
2021-12-20,16.7,16.89,16.18,16.31,5972700
2021-12-21,16.34,16.76,16.18,16.55,5282700
2021-12-22,16.65,17.48,16.55,17.38,8864500
2021-12-23,17.38,17.82,16.81,17.09,8206800
2021-12-24,17.2,17.22,16.7,16.86,2850800
2021-12-27,16.99,17.02,16.47,16.68,3373500
2021-12-28,16.86,17.07,16.47,16.52,5479900
2021-12-29,16.5,16.76,15.64,15.87,7352700
2021-12-30,15.87,16.29,15.82,16.21,3194500
2021-12-31,16.21,16.29,15.9,16.29,2619700
2022-01-04,16.37,16.78,16.18,16.7,4244200
2022-01-05,16.78,17.3,16.68,17.09,7439700
2022-01-06,17.12,17.59,16.89,17.3,6228400
2022-01-07,17.3,17.46,17.07,17.07,5055000
2022-01-10,17.02,18.13,16.81,17.43,11140000
2022-01-11,17.38,18.06,16.91,17.56,6616100
2022-01-12,17.33,17.56,16.34,16.65,5957600
2022-01-13,16.68,17.12,16.29,16.29,5250800
2022-01-14,15.51,16.42,15.51,15.82,3429200
2022-01-17,16.0,16.23,14.73,14.73,6454100
2022-01-18,14.31,14.73,14.05,14.08,4256900
2022-01-19,14.57,14.99,14.21,14.99,2405400
2022-01-20,15.09,15.61,14.88,15.45,2465400
2022-01-21,15.35,15.51,14.93,15.04,2505800
2022-01-24,15.09,15.09,14.0,14.0,3025400
2022-01-25,13.89,14.57,13.89,14.49,1654300
2022-01-26,14.65,14.67,14.31,14.41,1699400
2022-01-27,14.41,14.52,13.97,14.08,1644200
2022-01-28,14.05,14.31,13.95,14.31,1817500
2022-02-07,14.62,14.99,14.47,14.83,1310000
2022-02-08,14.86,15.06,14.73,14.99,1501000
2022-02-09,14.73,15.35,14.73,15.19,1960300
2022-02-10,15.3,15.3,14.83,14.91,1760800
2022-02-11,14.96,15.27,14.91,15.06,1461900
2022-02-14,15.04,15.45,14.88,15.14,2217200
2022-02-15,15.17,15.35,14.99,15.17,1063600
2022-02-16,15.3,15.66,15.19,15.51,1948500
2022-02-17,15.51,15.51,15.3,15.35,1188800
2022-02-18,15.14,15.45,15.09,15.32,2087700
2022-02-21,15.3,15.82,15.19,15.51,2885200
2022-02-22,15.3,15.45,14.57,15.01,2864000
2022-02-23,15.09,15.4,14.99,15.09,2128400
2022-02-24,15.06,15.4,14.36,14.91,3331400
2022-02-25,15.09,15.19,14.99,14.99,1326100
2022-02-28,14.99,15.09,14.8,14.91,1802200
2022-03-01,14.93,15.19,14.86,15.06,2494000
2022-03-02,15.06,15.19,14.96,14.96,2273900
2022-03-03,15.04,15.19,14.88,15.04,2158800
2022-03-04,15.06,15.9,15.06,15.61,5385000
2022-03-07,15.61,16.08,15.45,15.61,2672600
2022-03-08,15.45,15.66,15.14,15.14,1929100
2022-03-09,15.09,15.3,14.67,15.09,2856400
2022-03-10,15.19,15.4,14.73,15.09,1672600
2022-03-11,15.04,15.3,14.88,15.09,1590000
2022-03-14,15.04,15.06,14.57,14.57,2084900
2022-03-15,14.62,14.96,14.52,14.86,1472200
2022-03-16,15.04,15.04,14.8,14.83,1047600
2022-03-17,14.91,15.09,14.83,14.86,1182200
2022-03-18,14.88,15.01,14.86,14.93,1279500
2022-03-21,15.12,15.22,14.99,15.19,2107900
2022-03-22,15.27,15.48,15.17,15.17,1915400
2022-03-23,15.19,15.25,15.06,15.09,1764400
2022-03-24,15.14,15.74,14.99,15.66,5574800
2022-03-25,15.82,15.9,15.45,15.45,2523600
2022-03-28,15.35,15.58,14.99,15.4,3171600
2022-03-29,15.4,15.61,15.3,15.43,2213500
2022-03-30,15.17,15.43,14.96,14.99,2524000
2022-03-31,14.88,15.17,14.88,14.88,1423800
2022-04-01,14.83,15.17,14.78,15.01,1422100
2022-04-04,15.01,15.3,15.01,15.12,1675100
2022-04-05,15.25,15.25,15.06,15.06,1414800
2022-04-06,14.88,15.06,14.83,14.93,1914700
2022-04-07,15.01,15.04,14.83,14.83,1558600
2022-04-08,14.83,14.99,14.15,14.15,2364500
2022-04-12,14.36,14.47,13.76,13.76,1905300
2022-04-13,13.82,14.26,13.53,14.26,1757900
2022-04-14,14.36,14.36,14.02,14.1,645300
2022-04-15,14.05,14.28,13.89,13.92,1323100
2022-04-18,13.92,13.92,12.96,12.96,3911900
2022-04-19,12.96,13.16,12.49,12.49,1917400
2022-04-20,12.38,12.46,11.63,11.63,2627400
2022-04-21,11.19,11.97,10.82,11.32,4201100
2022-04-22,11.6,11.86,11.11,11.4,1083000
2022-04-25,11.53,11.53,10.62,10.62,1469700
2022-04-26,10.41,10.72,9.99,10.72,1478500
2022-04-27,10.67,11.08,10.56,10.95,984500
2022-04-28,10.98,11.37,10.98,10.98,975400
2022-04-29,10.82,11.29,10.77,11.24,1357500
2022-05-04,11.14,11.34,10.98,11.24,705300
2022-05-05,11.47,11.5,10.93,11.19,1033900
2022-05-06,10.72,11.03,10.67,10.67,721900
2022-05-09,10.77,10.77,9.94,9.94,2417600
2022-05-10,9.34,9.91,9.26,9.63,1558600
2022-05-11,9.94,9.94,9.63,9.7,600100
2022-05-12,9.7,9.76,9.03,9.03,1721000
2022-05-13,8.59,9.0,8.4,8.4,3046000
2022-05-16,8.46,8.77,8.25,8.33,892400
2022-05-17,8.4,8.9,8.12,8.9,1315900
2022-05-18,9.0,9.26,8.98,9.11,1442800
2022-05-19,8.82,9.11,8.74,9.03,893800
2022-05-20,8.92,9.31,8.92,9.16,1054200
2022-05-23,9.26,9.47,8.92,9.08,1295300
2022-05-24,9.08,9.29,8.77,9.05,833300
2022-05-25,9.11,9.47,9.05,9.44,1390000
2022-05-26,9.55,9.73,9.47,9.57,1568600
2022-05-27,9.73,9.89,9.63,9.78,1455900
2022-05-30,9.78,10.04,9.73,10.02,1755300
2022-05-31,9.99,10.51,9.83,10.35,2219700
2022-06-01,10.38,10.9,10.3,10.8,2903200
2022-06-02,10.8,11.42,10.8,11.27,2989600
2022-06-03,11.42,11.55,10.82,10.85,1748400
2022-06-06,10.77,11.03,10.67,10.72,1284600
2022-06-07,10.51,10.72,10.22,10.46,1846900
2022-06-08,10.56,11.19,10.56,11.19,2060000
2022-06-09,11.4,11.42,11.19,11.32,1474500
