date,open,high,low,close,volume
2021-10-14,22.23,23.24,21.72,22.56,721394
2021-10-15,22.65,22.73,22.31,22.48,477937
2021-10-18,22.56,22.65,21.97,21.97,493698
2021-10-19,21.97,22.23,19.78,21.05,734722
2021-10-20,21.05,21.05,19.2,19.78,1449028
2021-10-21,19.78,19.78,18.61,19.03,895635
2021-10-22,19.03,20.88,18.02,20.88,1082666
2021-10-25,20.88,21.81,20.04,20.21,503657
2021-10-26,20.21,20.71,19.36,20.04,421654
2021-10-27,19.53,20.21,19.45,19.95,564677
2021-10-28,19.78,19.95,19.53,19.7,375879
2021-10-29,19.7,20.37,19.62,19.7,426813
2021-11-01,19.7,20.12,19.36,19.36,456044
2021-11-02,19.28,19.36,18.52,18.86,920497
2021-11-03,18.86,19.03,17.68,17.68,873883
2021-11-04,17.68,18.86,17.68,18.61,332714
2021-11-05,18.61,18.77,18.27,18.52,259329
2021-11-08,18.52,18.94,18.02,18.69,513024
2021-11-09,18.77,18.94,18.44,18.61,292612
2021-11-10,18.69,18.94,18.35,18.94,374830
2021-11-11,19.03,20.8,18.94,20.46,1440470
2021-11-12,20.46,21.72,20.46,21.13,1387204
2021-11-15,21.13,21.81,20.54,20.63,742449
2021-11-16,20.63,20.63,19.45,19.62,520409
2021-11-17,19.62,20.37,19.03,19.78,600263
2021-11-18,19.78,19.78,19.03,19.28,708282
2021-11-19,18.94,20.46,18.1,18.19,864289
2021-11-22,18.19,18.35,16.59,16.92,599549
2021-11-23,16.92,18.35,16.84,18.1,232185
2021-11-24,18.1,18.44,17.51,17.51,290924
2021-11-25,17.6,17.85,17.34,17.68,319387
2021-11-26,17.68,17.76,17.51,17.51,308874
2021-11-29,17.34,17.43,16.84,17.01,315969
2021-11-30,17.09,17.34,16.84,17.09,338874
2021-12-01,17.09,17.09,16.42,16.59,361272
2021-12-02,16.84,17.09,16.59,16.59,226489
2021-12-03,16.5,16.84,15.66,15.66,337427
2021-12-06,15.74,15.74,14.14,14.14,611053
2021-12-07,14.14,14.48,13.22,13.72,414704
2021-12-08,13.72,14.73,13.72,14.23,375736
2021-12-09,14.57,14.9,14.31,14.82,312640
2021-12-10,14.82,14.99,14.23,14.9,211897
2021-12-13,15.66,15.66,14.4,14.4,278333
2021-12-14,14.4,14.57,14.06,14.14,279865
2021-12-15,14.14,14.82,13.98,14.48,343400
2021-12-16,14.65,14.73,14.31,14.4,174425
2021-12-17,14.14,14.48,14.14,14.31,226500
2021-12-20,14.31,14.31,13.72,13.72,258556
2021-12-21,13.72,14.06,13.55,13.72,264002
2021-12-22,13.89,13.98,13.55,13.55,289029
2021-12-23,13.55,13.55,12.8,12.88,278142
2021-12-24,13.13,13.47,12.88,13.13,119027
2021-12-27,13.13,13.39,12.88,12.97,127630
2021-12-28,12.97,13.3,12.8,12.88,235655
2021-12-29,12.97,14.14,12.8,14.14,490149
2021-12-30,14.4,15.49,14.4,15.49,410656
2021-12-31,15.58,16.75,15.15,15.15,501760
2022-01-04,15.15,15.58,14.4,14.9,445981
2022-01-05,14.9,15.66,14.73,14.73,292032
2022-01-06,14.73,15.07,14.48,14.65,220796
2022-01-07,14.9,15.66,14.73,15.32,464248
2022-01-10,15.32,15.66,14.65,14.65,235430
2022-01-11,14.82,14.9,14.48,14.48,178505
2022-01-12,14.48,14.9,13.13,13.81,220801
2022-01-13,13.81,14.31,13.55,14.06,147327
2022-01-14,14.06,15.15,14.06,14.65,459315
2022-01-17,14.65,15.32,14.31,14.31,448297
2022-01-18,14.31,14.57,13.64,14.57,126000
2022-01-19,14.57,14.82,13.13,13.22,418896
2022-01-20,13.72,13.72,11.96,12.8,448710
2022-01-21,12.71,13.05,12.54,12.54,141754
2022-01-24,12.46,12.54,11.37,11.37,359010
2022-01-25,12.04,12.04,10.27,10.61,318400
2022-01-26,10.61,11.11,10.36,10.78,114103
2022-01-27,10.86,11.28,10.44,10.61,62964
2022-01-28,10.61,10.86,10.61,10.69,98500
2022-02-07,10.69,11.7,10.69,11.7,124031
2022-02-08,11.7,12.54,11.7,12.29,198602
2022-02-09,12.21,12.46,12.21,12.29,88622
2022-02-10,12.38,12.46,11.96,12.29,188507
2022-02-11,12.21,13.47,12.04,13.47,334417
2022-02-14,13.72,14.82,13.47,14.4,545972
2022-02-15,14.4,14.57,13.64,13.81,255156
2022-02-16,13.81,13.81,13.13,13.55,248974
2022-02-17,13.55,13.98,13.05,13.47,253256
2022-02-18,13.47,13.98,13.3,13.89,322946
2022-02-21,13.98,13.98,13.64,13.81,228030
2022-02-22,13.81,13.81,13.3,13.55,196073
2022-02-23,13.55,14.9,13.55,14.65,833527
2022-02-24,14.65,15.07,13.89,14.4,589016
2022-02-25,14.65,15.41,14.4,14.99,552075
2022-02-28,14.99,16.42,14.99,16.42,1155450
2022-03-01,17.68,18.02,16.42,16.92,1226795
2022-03-02,17.18,17.85,17.01,17.51,672418
2022-03-03,18.1,19.2,17.85,19.2,1292005
2022-03-04,19.78,20.71,19.03,19.28,1500509
2022-03-07,19.78,21.13,19.78,21.13,1220785
2022-03-08,21.89,21.89,19.53,19.87,1336106
2022-03-09,19.87,21.38,19.03,21.05,1336710
2022-03-10,21.05,21.72,20.04,20.37,720510
2022-03-11,20.21,20.29,18.35,18.35,1387289
2022-03-14,18.1,18.19,16.84,17.68,1183564
2022-03-15,17.68,17.85,16.16,17.85,712800
2022-03-16,17.51,17.85,17.26,17.26,272454
2022-03-17,17.18,17.43,16.5,16.59,638040
2022-03-18,16.59,17.43,16.42,16.75,581184
2022-03-21,16.75,17.26,16.33,16.59,503755
2022-03-22,16.59,18.19,16.33,18.19,1230522
2022-03-23,18.52,18.86,17.68,18.02,593501
2022-03-24,18.19,18.35,17.68,17.93,420426
2022-03-25,17.93,17.93,16.75,17.34,533476
2022-03-28,17.34,17.93,16.84,17.18,394705
2022-03-29,16.92,17.85,16.84,17.6,619016
2022-03-30,17.6,17.68,16.59,16.75,375459
2022-03-31,16.84,17.43,16.67,16.67,440319
2022-04-01,16.67,17.09,16.5,16.92,381917
2022-04-04,17.01,17.51,16.92,17.09,312155
2022-04-05,17.09,17.51,16.92,17.01,350437
2022-04-06,17.18,18.69,17.18,18.69,1381062
2022-04-07,18.77,19.7,17.68,17.85,681700
2022-04-08,17.85,18.52,17.43,17.43,308797
2022-04-12,17.43,17.43,15.74,15.74,741996
2022-04-13,15.15,16.42,14.31,16.33,403952
2022-04-14,16.67,17.09,15.83,16.0,296927
2022-04-15,15.91,16.75,15.15,15.32,218153
2022-04-18,15.24,15.49,14.31,14.48,531683
2022-04-19,14.48,15.24,14.06,14.06,283523
2022-04-20,14.06,14.65,13.89,13.89,272871
2022-04-21,13.72,13.72,12.63,12.71,362521
2022-04-22,12.71,13.81,12.46,12.71,312341
2022-04-25,12.8,13.3,11.45,11.45,517259
2022-04-26,11.37,12.21,10.52,12.12,287210
2022-04-27,11.79,12.63,11.62,12.38,239011
2022-04-28,12.21,12.97,12.21,12.46,230882
2022-04-29,12.46,12.97,12.46,12.63,231034
2022-05-04,12.8,13.81,12.54,13.55,346600
2022-05-05,13.64,14.48,13.3,13.81,333623
2022-05-06,13.64,13.98,12.97,12.97,285524
2022-05-09,12.97,13.3,11.79,11.79,405400
2022-05-10,11.7,12.97,10.94,12.97,238940
2022-05-11,12.63,13.39,12.63,12.71,117203
2022-05-12,13.05,13.05,11.79,11.79,315443
2022-05-13,11.79,12.04,11.2,11.28,317600
2022-05-16,11.45,12.12,11.45,11.62,143821
2022-05-17,11.79,12.71,11.62,12.63,236923
2022-05-18,12.71,13.89,12.63,13.22,361738
2022-05-19,12.71,13.05,12.12,12.63,233821
2022-05-20,12.71,12.97,12.46,12.8,231927
2022-05-23,12.88,12.97,12.38,12.46,194920
2022-05-24,12.63,12.88,12.29,12.46,121905
2022-05-25,12.54,13.05,12.46,12.97,174505
2022-05-26,12.88,14.23,12.88,14.14,689865
2022-05-27,14.23,14.57,14.14,14.14,207146
2022-05-30,14.31,14.57,14.14,14.31,188701
2022-05-31,14.23,14.4,13.55,14.14,440969
2022-06-01,14.14,15.49,14.14,15.49,701990
2022-06-02,15.74,16.08,15.24,15.58,356182
2022-06-03,15.49,15.49,14.48,14.57,362241
2022-06-06,14.57,15.58,14.4,14.73,501416
2022-06-07,14.73,15.58,14.57,15.15,601601
2022-06-08,15.15,16.0,15.15,15.32,450507
2022-06-09,15.49,15.66,15.15,15.58,242517
2022-06-10,15.58,16.84,15.32,15.83,893232
2022-06-13,15.24,15.41,14.31,14.31,462768
2022-06-14,12.92,14.75,12.92,14.4,233500
2022-06-15,14.31,14.4,13.0,13.0,542901
2022-06-16,13.09,13.88,11.96,13.35,214500
2022-06-17,12.65,13.18,12.31,13.18,290481
2022-06-20,13.09,13.53,12.22,12.31,197918
2022-06-21,12.22,13.0,11.78,11.87,160700
2022-06-22,11.87,12.83,11.87,12.83,244200
2022-06-23,12.74,13.27,12.31,13.27,150240
2022-06-24,13.35,13.61,12.74,12.74,124000
2022-06-27,12.74,13.27,12.65,13.09,218300
2022-06-28,13.09,13.27,12.74,13.18,179050
2022-06-29,13.18,13.27,12.57,13.18,176810
2022-06-30,13.18,14.4,13.0,13.18,253400
2022-07-01,12.92,13.18,12.57,13.09,138400
2022-07-04,11.78,13.35,11.78,12.74,107200
2022-07-05,12.92,13.09,12.31,12.31,137600
2022-07-06,12.31,13.09,12.22,12.57,232600
2022-07-07,12.65,12.92,12.48,12.74,79431
2022-07-08,12.74,13.18,12.74,13.09,207916
2022-07-11,13.09,13.7,13.09,13.7,438318
2022-07-12,13.7,14.23,13.7,13.88,343800
2022-07-13,13.27,14.14,12.65,13.53,218307
2022-07-14,13.53,14.84,13.44,14.84,850854
2022-07-15,14.84,15.27,14.14,14.49,381917
2022-07-18,14.66,14.92,14.23,14.31,167600
2022-07-19,14.31,14.31,13.7,14.31,415100
