date,open,high,low,close,volume
2021-10-14,73.07,73.14,72.43,72.64,2839800
2021-10-15,72.64,72.86,72.29,72.43,2172700
2021-10-18,72.43,72.57,72.08,72.22,2239700
2021-10-19,72.36,73.85,71.86,72.86,3478600
2021-10-20,72.86,73.71,72.08,72.64,2454000
2021-10-21,72.79,72.86,72.22,72.43,2612700
2021-10-22,72.43,73.78,72.36,73.35,1784500
2021-10-25,73.57,74.49,73.14,73.71,3351400
2021-10-26,73.85,74.35,72.86,73.35,2546300
2021-10-27,73.35,74.21,72.93,73.78,1833600
2021-10-28,73.85,78.11,73.64,76.55,7631700
2021-10-29,77.62,79.53,77.33,77.62,6730000
2021-11-01,78.61,78.75,77.4,77.83,3415000
2021-11-02,76.62,77.4,76.48,76.76,3542600
2021-11-03,76.69,76.76,74.63,74.7,5703800
2021-11-04,74.92,75.49,73.85,73.85,3375700
2021-11-05,73.85,75.13,73.57,74.56,2986600
2021-11-08,74.78,75.13,74.14,74.28,2638200
2021-11-09,74.21,74.49,73.14,73.14,3589700
2021-11-10,73.57,74.28,73.14,73.85,2111500
2021-11-11,74.56,76.62,73.85,74.92,3163200
2021-11-12,75.27,75.98,74.56,75.27,1497600
2021-11-15,75.84,75.84,73.57,73.57,2376800
2021-11-16,73.57,74.28,73.21,73.21,2298500
2021-11-17,73.92,73.92,73.14,73.28,2048900
2021-11-18,73.57,73.57,72.72,72.93,2695500
2021-11-19,72.86,73.14,72.08,72.57,2540600
2021-11-22,72.79,72.93,72.01,72.5,1917700
2021-11-23,72.57,75.41,72.57,75.41,2972100
2021-11-24,76.12,76.69,75.13,75.56,2981500
2021-11-25,75.98,77.97,75.77,77.4,4256200
2021-11-26,77.54,80.17,77.47,78.61,5239300
2021-11-29,76.27,78.61,76.27,78.25,3468700
2021-11-30,78.82,79.46,76.76,78.11,4574900
2021-12-01,78.82,81.66,78.47,80.95,3838200
2021-12-02,82.37,82.94,80.31,81.17,4444600
2021-12-03,82.73,82.73,78.61,78.82,5174600
2021-12-06,78.11,80.53,77.4,78.82,5882400
2021-12-07,78.96,80.17,78.11,79.96,3348700
2021-12-08,80.24,80.95,79.18,80.88,3467000
2021-12-09,80.95,82.23,80.6,81.66,5716900
2021-12-10,82.02,82.16,80.24,80.24,2890300
2021-12-13,80.24,80.95,78.82,79.6,4328000
2021-12-14,78.96,81.02,78.89,80.31,5114500
2021-12-15,80.31,81.66,79.53,81.66,3435200
2021-12-16,82.23,83.08,80.95,81.66,4674800
2021-12-17,81.73,82.87,80.88,81.81,4684800
2021-12-20,81.59,82.02,80.88,81.88,2891900
2021-12-21,81.88,83.08,81.24,82.8,3944800
2021-12-22,83.08,83.72,81.31,82.87,5141500
2021-12-23,82.37,83.44,79.18,80.24,6151100
2021-12-24,83.53,83.53,80.93,82.69,3490400
2021-12-27,82.69,83.62,81.67,82.79,1044900
2021-12-28,83.16,83.16,80.93,80.93,1816700
2021-12-29,81.02,81.67,79.16,80.93,1950300
