date,open,high,low,close,volume
2021-10-14,15.88,16.25,15.81,15.88,6589700
2021-10-15,16.03,16.07,15.59,15.74,6379400
2021-10-18,15.74,15.74,15.34,15.34,5473900
2021-10-19,15.41,15.59,15.26,15.48,2677200
2021-10-20,15.56,15.63,15.23,15.34,3329400
2021-10-21,15.45,15.48,15.23,15.23,3154400
2021-10-22,15.34,15.59,15.16,15.34,3801500
2021-10-25,15.37,15.45,15.16,15.16,4436900
2021-10-26,15.16,15.63,15.05,15.59,3663300
2021-10-27,15.81,15.85,15.48,15.56,3302400
2021-10-28,15.63,16.18,15.45,16.1,11010800
2021-10-29,16.32,16.32,15.88,16.03,8281000
2021-11-01,16.03,16.54,15.88,16.32,10452400
2021-11-02,16.39,16.69,16.07,16.69,9643500
2021-11-03,16.98,17.3,16.43,16.43,13190100
2021-11-04,16.54,16.76,16.28,16.36,5658900
2021-11-05,16.54,17.09,16.25,16.94,9122700
2021-11-08,17.38,18.11,17.34,18.11,17594700
2021-11-09,18.32,18.65,17.85,18.22,11065500
2021-11-10,18.14,19.13,18.07,18.8,10595600
2021-11-11,18.91,18.94,18.22,18.65,10230800
2021-11-12,18.87,19.2,18.36,18.94,6535300
2021-11-15,19.13,19.71,18.65,19.02,9286500
2021-11-16,18.8,19.02,18.14,18.14,11448800
2021-11-17,18.14,18.62,17.81,18.36,7428800
2021-11-18,18.69,19.53,18.43,19.27,10255800
2021-11-19,19.67,20.04,18.22,18.83,12995800
2021-11-22,18.73,18.91,17.52,17.52,7889600
2021-11-23,17.52,18.29,17.52,18.22,4444900
2021-11-24,18.47,18.58,17.92,17.92,5600900
2021-11-25,18.03,18.51,17.96,18.25,4457600
2021-11-26,18.18,18.43,17.49,17.71,6964700
2021-11-29,17.12,17.71,17.12,17.41,5202100
2021-11-30,17.85,18.4,17.52,17.85,5419700
2021-12-01,17.78,18.4,17.67,18.07,4671400
2021-12-02,18.22,18.65,18.0,18.07,3819600
2021-12-03,18.29,18.29,17.23,17.23,4946500
2021-12-06,17.09,17.49,16.18,16.39,5773900
2021-12-07,16.72,17.12,16.39,17.09,3326500
2021-12-08,17.34,17.34,16.79,16.9,2573400
2021-12-09,16.98,17.34,16.98,17.16,2038100
2021-12-10,17.2,17.34,16.94,17.05,2794600
2021-12-13,17.12,17.41,17.01,17.09,2653000
2021-12-14,17.12,17.71,17.09,17.41,3337300
2021-12-15,17.6,18.03,17.49,17.85,3679600
2021-12-16,17.85,17.92,17.52,17.78,2448700
2021-12-17,17.85,18.11,17.56,17.56,4149500
2021-12-20,17.63,17.78,17.12,17.3,3417400
2021-12-21,17.27,17.27,16.87,16.94,4685200
2021-12-22,17.09,17.71,16.87,17.45,5345900
2021-12-23,17.63,18.18,17.49,17.96,7211500
2021-12-24,18.0,18.58,18.0,18.0,4678300
2021-12-27,18.07,18.65,17.85,18.14,4255400
2021-12-28,18.36,18.58,17.89,18.07,5284200
2021-12-29,18.07,18.36,17.81,18.14,3747600
2021-12-30,18.22,19.38,18.22,19.2,8816400
2021-12-31,19.24,19.64,18.87,18.87,4399400
2022-01-04,18.94,19.2,18.76,19.13,6290100
2022-01-05,19.24,19.85,18.94,19.09,7148900
2022-01-06,19.02,19.05,18.58,18.94,7905900
2022-01-07,18.87,19.31,18.69,19.13,5416200
2022-01-10,19.16,20.4,19.16,19.56,11894100
2022-01-11,19.64,19.96,18.65,18.65,5840500
2022-01-12,18.65,19.02,17.49,18.58,5947200
2022-01-13,18.36,18.94,17.41,17.41,7885100
2022-01-14,17.09,17.78,16.83,17.56,3727200
2022-01-17,17.56,17.71,16.36,16.36,7879200
2022-01-18,16.07,16.32,15.23,15.23,6788700
2022-01-19,15.41,16.21,15.23,16.21,3804700
2022-01-20,16.39,16.47,16.03,16.47,2300800
2022-01-21,16.28,16.5,16.03,16.18,3727700
2022-01-24,15.99,16.03,15.05,15.05,4684100
2022-01-25,15.05,15.88,15.05,15.88,2539700
2022-01-26,15.96,16.18,15.67,16.03,2465000
2022-01-27,16.03,16.18,15.59,16.03,2353600
2022-01-28,16.03,16.03,15.56,16.03,3055100
2022-02-07,16.28,16.61,16.03,16.47,1892700
2022-02-08,16.58,16.83,16.39,16.76,2706300
2022-02-09,16.76,16.98,16.54,16.76,2843300
2022-02-10,16.94,17.01,16.65,16.76,2927500
2022-02-11,16.69,16.87,16.61,16.65,2771700
2022-02-14,16.47,16.76,16.36,16.36,4267400
2022-02-15,16.32,16.39,16.03,16.36,3057000
2022-02-16,16.32,16.83,16.32,16.76,2951200
2022-02-17,16.79,17.05,16.61,16.76,3351700
2022-02-18,16.65,16.79,16.58,16.69,3172200
2022-02-21,16.61,16.94,16.58,16.76,4183500
2022-02-22,16.61,16.72,16.32,16.61,3724100
2022-02-23,16.69,17.23,16.61,17.2,6157900
2022-02-24,17.09,17.27,16.25,16.58,4868000
2022-02-25,16.69,16.9,16.54,16.69,3865400
2022-02-28,16.61,16.65,16.36,16.47,2819700
2022-03-01,16.61,16.9,16.47,16.76,4549300
2022-03-02,17.01,17.05,16.61,16.76,4501500
