date,open,high,low,close,volume
2021-09-23,17.0,17.0,16.0,16.1,34184
2021-09-24,16.1,16.3,16.1,16.2,61000
2021-09-27,16.2,17.0,16.2,16.3,17600
2021-09-28,16.5,16.9,16.4,16.9,55200
2021-09-29,17.0,17.0,16.9,16.9,31625
2021-09-30,17.0,17.3,17.0,17.1,67085
2021-10-01,18.8,18.8,16.7,17.4,97856
2021-10-04,17.4,18.5,17.2,18.2,111150
2021-10-05,18.2,18.7,17.9,18.4,78400
2021-10-06,18.4,19.0,17.6,18.5,56957
2021-10-07,18.4,18.6,18.3,18.4,55265
2021-10-08,18.5,19.1,18.2,19.0,73163
2021-10-11,19.0,19.1,18.7,19.0,36200
2021-10-12,19.1,19.4,18.9,19.3,51520
2021-10-13,19.3,19.4,19.2,19.3,50626
2021-10-14,19.4,19.5,19.0,19.5,54548
2021-10-15,19.5,19.6,19.1,19.4,48100
2021-10-18,19.4,19.5,19.2,19.4,51300
2021-10-19,19.4,19.4,19.1,19.3,51500
2021-10-20,19.3,19.3,18.7,19.0,50300
2021-10-21,19.0,19.0,18.7,19.0,50341
2021-10-22,19.0,19.0,18.3,18.6,35848
2021-10-25,18.6,18.6,17.7,18.3,38630
2021-10-26,18.2,18.4,18.1,18.1,37015
2021-10-27,18.1,18.2,18.0,18.1,34951
2021-10-28,18.1,18.1,17.5,17.8,38821
2021-10-29,17.8,17.8,17.6,17.8,23986
2021-11-01,17.8,17.8,17.5,17.8,32716
2021-11-02,17.8,17.9,17.7,17.8,34883
2021-11-03,17.8,17.8,17.7,17.7,14905
2021-11-04,17.6,17.7,17.5,17.7,20000
2021-11-05,17.7,17.7,17.2,17.5,26010
2021-11-08,17.5,17.6,17.4,17.5,21300
2021-11-09,17.5,17.6,17.4,17.6,25518
2021-11-10,17.6,17.6,17.4,17.5,26599
2021-11-11,17.5,17.5,17.2,17.4,33395
2021-11-12,17.5,18.0,17.4,17.4,23089
2021-11-15,17.4,18.4,17.4,17.6,31447
2021-11-16,17.7,19.1,17.7,17.9,42310
2021-11-17,18.0,18.0,17.6,17.8,24197
2021-11-18,17.8,17.8,17.2,17.7,25130
2021-11-19,17.4,17.5,16.9,17.1,60403
2021-11-22,16.9,17.1,15.4,16.5,57107
2021-11-23,16.5,16.5,16.1,16.5,18565
2021-11-24,17.7,17.7,16.2,16.2,22254
2021-11-25,16.3,16.3,16.2,16.2,18528
2021-11-26,16.3,16.4,16.1,16.2,31120
2021-11-29,16.1,16.3,16.0,16.2,28900
2021-11-30,16.2,16.2,16.0,16.0,25895
2021-12-01,16.0,16.0,15.9,16.0,21205
2021-12-02,16.1,16.1,15.9,16.0,30381
2021-12-03,16.0,16.0,15.9,15.9,21300
2021-12-06,15.9,16.0,15.6,15.7,20816
2021-12-07,15.8,15.8,15.6,15.8,15300
2021-12-08,15.7,15.8,15.6,15.6,13100
2021-12-09,15.6,15.8,15.4,15.7,24164
2021-12-10,15.7,16.0,15.7,16.0,25101
2021-12-13,16.2,17.0,16.0,17.0,61409
2021-12-14,17.1,17.1,16.2,16.7,22190
2021-12-15,16.7,17.7,16.3,16.6,10700
2021-12-16,16.6,16.7,16.2,16.7,17372
2021-12-17,16.7,16.8,16.0,16.5,16219
2021-12-20,17.3,17.3,16.2,16.4,18791
2021-12-21,16.3,16.3,16.1,16.3,15710
2021-12-22,16.1,17.0,15.7,17.0,21197
2021-12-23,16.5,17.6,16.0,16.2,10891
