date,open,high,low,close,volume
2021-10-14,24.32,24.32,23.98,24.13,31300
2021-10-15,24.02,24.25,23.94,24.21,50200
2021-10-18,24.21,24.21,23.63,23.63,42000
2021-10-19,23.63,23.98,23.55,23.63,53100
2021-10-20,23.67,23.75,23.55,23.71,24200
2021-10-21,23.71,23.71,23.44,23.47,38600
2021-10-22,23.47,23.47,22.63,22.97,161200
2021-10-25,23.13,23.36,22.97,23.01,51100
2021-10-26,23.01,23.94,22.78,23.55,57200
2021-10-27,23.55,23.71,23.36,23.55,29000
2021-10-28,23.55,23.75,23.44,23.47,81900
2021-10-29,23.59,23.78,23.17,23.78,95100
2021-11-01,23.71,25.1,23.71,24.9,226500
2021-11-02,25.83,26.64,25.48,26.64,361500
2021-11-03,27.03,28.19,26.29,26.29,171700
2021-11-04,26.25,27.41,25.87,26.76,120400
2021-11-05,26.14,26.64,26.1,26.22,80500
2021-11-08,26.25,27.22,26.06,26.83,100300
2021-11-09,26.29,27.22,26.29,26.49,49200
2021-11-10,26.53,26.95,26.02,26.37,61300
2021-11-11,26.37,26.83,26.18,26.64,102800
2021-11-12,26.64,26.99,26.25,26.64,102600
2021-11-15,26.64,26.68,26.29,26.29,62100
2021-11-16,26.33,28.07,26.29,27.68,199900
2021-11-17,27.53,28.57,27.53,27.99,103400
2021-11-18,27.34,29.38,27.34,29.38,252800
2021-11-19,30.04,30.04,27.41,28.96,162100
2021-11-22,28.96,29.0,26.95,27.57,251600
2021-11-23,26.53,27.99,26.53,27.99,100300
2021-11-24,28.57,28.69,27.8,28.19,86400
2021-11-25,29.3,29.58,28.3,29.58,194500
2021-11-26,27.8,30.58,27.8,29.65,188700
2021-11-29,29.73,30.46,29.65,29.96,141600
2021-11-30,29.81,30.46,29.69,29.73,138900
2021-12-01,29.81,30.12,29.46,29.73,50800
2021-12-02,29.73,30.0,29.34,29.65,107800
2021-12-03,29.73,29.96,28.92,29.65,108700
2021-12-06,29.65,30.0,29.0,29.54,96800
2021-12-07,29.54,29.61,29.15,29.58,103700
2021-12-08,29.73,31.62,29.58,31.51,300200
2021-12-09,31.51,31.51,29.69,30.73,82900
