date,open,high,low,close,volume
2021-10-14,35.28,37.77,35.23,37.77,1226000
2021-10-15,37.77,40.38,37.66,40.38,1772800
2021-10-18,40.78,41.91,39.7,40.83,971500
2021-10-19,40.21,41.0,39.7,40.49,566400
2021-10-20,39.81,40.49,39.64,40.21,887700
2021-10-21,40.21,42.87,39.93,42.81,1266100
2021-10-22,42.47,42.93,41.34,42.47,1089200
2021-10-25,41.91,43.21,41.62,42.76,1173300
2021-10-26,42.47,43.04,41.62,42.47,966500
2021-10-27,41.91,43.21,41.91,43.21,1600200
2021-10-28,43.61,43.61,42.42,43.15,1448600
2021-10-29,43.04,44.17,42.76,43.95,2032500
2021-11-01,43.95,45.19,43.44,44.17,1449100
2021-11-02,43.89,44.68,42.76,44.06,1304400
2021-11-03,44.0,44.06,41.62,43.61,1211000
2021-11-04,42.02,43.44,41.62,42.47,1357500
2021-11-05,41.96,45.42,41.85,45.42,1840400
2021-11-08,45.31,45.31,44.06,44.74,929700
2021-11-09,44.06,44.74,43.95,44.34,665300
2021-11-10,43.66,44.68,43.66,44.17,607200
2021-11-11,44.91,44.91,43.04,44.12,1374800
2021-11-12,43.21,44.46,43.04,44.17,1350100
2021-11-15,44.46,44.46,43.04,43.72,741500
2021-11-16,43.15,43.72,42.42,43.15,709400
2021-11-17,43.04,45.82,42.59,45.53,2131500
2021-11-18,45.48,45.7,44.17,45.25,908200
2021-11-19,44.4,46.95,43.89,46.27,1674400
2021-11-22,46.44,46.72,44.74,46.49,1462700
2021-11-23,46.44,46.66,44.74,46.49,1166900
2021-11-24,46.44,46.44,45.31,45.99,473700
2021-11-25,45.08,46.61,45.02,45.87,877500
2021-11-26,45.31,46.27,44.63,45.02,777600
2021-11-29,42.76,44.4,42.13,42.47,934800
2021-11-30,42.19,43.78,41.17,43.04,1335700
2021-12-01,42.64,43.32,41.85,42.47,444400
2021-12-02,42.47,42.98,41.34,41.34,697100
2021-12-03,41.4,42.36,40.83,42.36,885400
2021-12-06,41.91,42.19,39.42,39.42,395300
2021-12-07,39.64,41.91,37.66,41.28,989600
2021-12-08,40.78,42.42,40.49,41.28,644900
2021-12-09,41.28,41.45,40.15,41.11,396400
2021-12-10,41.11,41.23,39.7,40.21,501900
2021-12-13,40.55,41.34,39.64,40.21,486400
2021-12-14,40.61,40.89,39.7,40.72,870600
2021-12-15,40.61,40.89,39.7,40.66,421500
2021-12-16,40.21,43.49,40.21,41.91,1286600
2021-12-17,41.62,42.42,40.32,41.62,689900
2021-12-20,40.95,41.91,40.27,40.78,287900
2021-12-21,40.04,40.72,39.3,39.64,715000
2021-12-22,39.64,40.15,37.94,38.79,1164800
2021-12-23,38.17,39.53,36.81,38.74,707400
2021-12-24,38.23,38.96,37.43,38.51,280000
2021-12-27,38.45,38.51,37.32,38.51,735000
2021-12-28,38.34,38.51,37.38,37.89,659500
2021-12-29,37.49,38.28,37.09,37.66,646300
2021-12-30,37.6,37.72,36.81,37.38,461700
2021-12-31,36.81,37.55,36.64,36.92,385500
2022-01-04,36.98,37.38,36.7,37.38,685600
