date,open,high,low,close,volume
2021-10-14,20.57,21.33,20.04,20.04,1794600
2021-10-15,19.95,20.93,19.95,20.26,891400
2021-10-18,20.44,21.2,20.04,20.57,1004600
2021-10-19,21.11,22.0,20.71,22.0,2661000
2021-10-20,22.44,23.16,21.55,22.44,1730800
2021-10-21,22.67,23.69,21.91,23.6,1874800
2021-10-22,23.2,24.0,23.2,23.82,2084600
2021-10-25,24.05,24.76,23.2,23.87,1632800
2021-10-26,22.71,23.96,22.71,23.6,1692200
2021-10-27,23.42,25.25,23.33,25.25,1638800
2021-10-28,25.92,26.05,24.94,25.38,1048100
2021-10-29,25.2,26.63,25.2,26.09,1249300
2021-11-01,26.09,27.92,25.2,27.79,1892900
2021-11-02,28.5,29.7,28.19,29.7,1372500
2021-11-03,30.81,30.81,27.65,27.65,2720800
2021-11-04,25.83,27.65,25.74,27.07,2935400
2021-11-05,27.16,27.25,25.83,26.01,849600
2021-11-08,25.83,26.9,24.76,26.54,1375500
2021-11-09,26.45,26.45,25.83,25.92,965300
2021-11-10,25.78,27.16,25.47,26.85,983100
2021-11-11,27.16,28.05,27.03,27.74,1534300
2021-11-12,28.5,28.5,27.16,27.43,648100
2021-11-15,27.56,27.61,25.83,26.98,2119400
2021-11-16,26.63,26.72,25.65,25.74,1488900
2021-11-17,25.74,26.45,25.65,25.65,873900
2021-11-18,25.56,26.5,24.85,25.78,1157200
2021-11-19,25.83,26.27,24.0,24.05,1607900
2021-11-22,23.6,24.58,22.4,22.4,1034300
2021-11-23,21.64,23.33,21.46,23.33,656700
2021-11-24,24.58,24.58,23.2,23.24,363900
2021-11-25,23.16,24.31,23.16,24.05,449500
2021-11-26,23.96,24.76,23.16,23.69,736900
2021-11-29,23.38,24.49,22.71,24.22,897300
2021-11-30,24.76,25.38,24.22,24.94,1089200
2021-12-01,25.38,25.38,24.62,24.62,714400
2021-12-02,24.62,24.62,23.82,23.87,711700
2021-12-03,24.13,24.4,22.75,22.98,957300
2021-12-06,22.98,23.6,21.37,21.37,751500
2021-12-07,21.46,22.26,21.24,22.0,430700
2021-12-08,22.44,22.44,21.82,22.0,600900
2021-12-09,22.0,22.62,21.91,22.35,454100
2021-12-10,22.44,22.8,22.35,22.4,403600
2021-12-13,22.53,23.96,22.53,23.96,762300
2021-12-14,24.31,25.38,24.05,24.54,871700
2021-12-15,24.4,24.67,23.6,23.91,807700
2021-12-16,23.91,25.29,23.69,25.29,2170800
2021-12-17,26.01,26.09,25.25,25.6,1527700
2021-12-20,25.52,25.52,24.05,24.58,1374500
2021-12-21,24.31,25.34,23.78,24.89,1469300
2021-12-22,25.03,26.63,24.89,26.63,3415100
2021-12-23,28.45,28.45,26.36,27.34,4190800
2021-12-24,27.43,27.43,25.47,25.52,2942100
2021-12-27,25.29,26.27,24.31,26.18,1419900
2021-12-28,25.78,26.18,25.29,25.29,1710900
2021-12-29,24.98,25.29,24.31,24.49,1597200
2021-12-30,24.49,25.11,24.49,24.58,887100
2021-12-31,24.76,25.03,23.6,24.94,995900
2022-01-04,25.38,26.14,24.89,25.74,1593300
2022-01-05,26.01,26.81,25.83,25.83,1949100
2022-01-06,25.65,26.36,25.11,25.87,1755300
2022-01-07,26.36,26.36,25.43,25.56,1389300
2022-01-10,25.56,27.07,25.11,26.36,5045900
2022-01-11,26.36,28.19,26.01,28.19,6345400
2022-01-12,27.96,28.94,26.67,27.25,3229700
2022-01-13,27.25,27.56,25.38,25.38,2884200
2022-01-14,23.69,25.83,23.69,24.31,2363200
2022-01-17,24.18,24.76,22.62,22.62,2564700
2022-01-18,21.2,21.82,21.06,21.06,1331800
2022-01-19,19.68,22.0,19.68,22.0,1631300
2022-01-20,21.86,22.93,21.64,22.58,1031300
2022-01-21,22.62,22.98,22.0,22.0,922700
2022-01-24,21.91,21.91,20.48,20.48,1296000
2022-01-25,19.59,21.55,19.5,20.75,861600
2022-01-26,20.66,21.2,19.68,19.68,643200
2022-01-27,19.59,20.39,18.7,19.5,847100
2022-01-28,18.97,19.86,18.93,19.68,622800
2022-02-07,20.13,21.02,19.95,20.39,572800
2022-02-08,20.26,20.93,20.26,20.57,598400
2022-02-09,20.57,21.77,20.57,21.64,630900
2022-02-10,21.64,22.26,21.64,22.13,752900
2022-02-11,21.77,23.65,21.77,23.65,1488000
2022-02-14,23.42,23.65,22.53,22.8,1406000
2022-02-15,22.8,23.11,22.49,22.8,708100
2022-02-16,22.8,23.51,22.49,23.2,1532900
2022-02-17,23.33,23.73,23.07,23.29,701500
2022-02-18,22.89,23.16,22.0,22.26,2350900
2022-02-21,22.0,23.07,21.55,22.35,2145700
2022-02-22,21.82,22.09,21.55,21.73,944900
2022-02-23,21.51,22.35,21.51,22.09,539600
2022-02-24,22.0,22.0,20.57,21.37,1602700
2022-02-25,21.37,21.73,21.37,21.46,494900
2022-02-28,21.37,21.51,20.57,20.93,569200
2022-03-01,20.93,21.69,20.84,21.42,678600
2022-03-02,21.37,21.73,21.02,21.02,503400
2022-03-03,21.06,21.33,20.8,20.97,603900
2022-03-04,20.97,21.73,20.97,21.46,858200
2022-03-07,21.46,22.31,21.2,22.0,1368200
2022-03-08,21.86,22.22,21.46,21.46,949300
2022-03-09,21.37,21.55,20.84,21.06,708500
