date,open,high,low,close,volume
2021-10-14,208.27,209.09,208.18,208.55,490300
2021-10-15,208.64,209.09,208.55,208.64,502949
2021-10-18,208.73,209.55,208.64,208.73,466300
2021-10-19,208.82,209.55,208.73,208.91,483000
2021-10-20,209.0,209.91,207.09,207.18,481600
2021-10-21,207.37,208.27,207.27,207.64,471600
2021-10-22,207.82,208.46,207.73,207.91,455300
2021-10-25,208.0,208.64,207.64,208.18,505800
2021-10-26,208.27,208.73,208.18,208.37,470400
2021-10-27,208.46,212.73,208.46,210.82,525600
2021-10-28,210.91,212.46,210.82,212.46,546400
2021-10-29,212.55,214.55,212.55,212.73,589800
2021-11-01,213.0,219.09,212.82,213.64,737710
2021-11-02,213.82,214.64,213.64,214.09,489205
2021-11-03,214.18,215.27,213.64,213.64,511600
2021-11-04,213.64,214.55,213.64,213.82,482400
2021-11-05,213.82,214.55,213.82,214.09,476910
2021-11-08,214.09,215.0,214.09,214.27,449014
2021-11-09,214.27,215.09,212.64,212.91,476038
2021-11-10,213.37,214.18,212.91,213.27,444002
2021-11-11,213.37,214.0,211.82,212.82,466109
2021-11-12,213.0,213.55,211.46,213.18,404910
2021-11-15,213.55,214.09,206.37,206.37,480900
2021-11-16,207.09,227.0,204.27,227.0,815050
2021-11-17,236.37,238.37,227.28,238.37,634208
2021-11-18,239.0,243.18,233.64,238.73,703500
2021-11-19,239.09,239.91,216.37,216.37,625500
2021-11-22,216.46,216.64,210.46,212.64,1292708
2021-11-23,214.0,214.27,212.91,213.82,514909
2021-11-24,214.27,218.91,213.91,218.91,502439
2021-11-25,219.27,222.27,219.0,222.27,553413
2021-11-26,222.82,225.91,222.55,225.46,621009
2021-11-29,225.82,239.64,225.46,228.73,649817
2021-11-30,229.28,231.37,227.82,229.46,944303
2021-12-01,229.46,230.46,228.82,229.64,561900
2021-12-02,214.09,230.73,214.09,229.82,496300
2021-12-03,229.09,230.64,226.91,228.64,573139
2021-12-06,229.73,233.82,224.27,226.0,540800
2021-12-07,226.09,228.91,226.09,228.91,486800
2021-12-08,229.0,231.55,229.0,229.37,394200
2021-12-09,229.09,230.73,229.09,229.82,455000
2021-12-10,229.91,230.64,229.82,230.09,402408
2021-12-13,230.09,230.91,230.09,230.28,360900
2021-12-14,230.73,231.55,230.28,230.46,432715
2021-12-15,230.64,232.0,229.73,230.55,426703
2021-12-16,230.91,231.46,230.55,230.64,384400
2021-12-17,231.09,232.28,221.82,221.82,641016
2021-12-20,222.27,223.37,222.18,222.55,466714
2021-12-21,222.64,224.09,222.64,223.18,387100
2021-12-22,223.46,224.73,223.27,223.46,418000
2021-12-23,223.73,224.55,220.91,221.64,438500
2021-12-24,222.0,223.18,221.64,222.27,389445
2021-12-27,222.55,223.64,222.37,222.64,428301
2021-12-28,222.73,229.09,222.73,228.0,552945
2021-12-29,228.28,229.09,228.09,228.46,372511
2021-12-30,229.0,230.28,228.55,229.0,303035
2021-12-31,229.46,251.82,229.46,251.82,317800
2022-01-04,240.28,251.82,236.55,239.28,330860
