date,open,high,low,close,volume
2021-10-14,7.82,7.99,7.71,7.71,7600
2021-10-15,7.66,8.15,7.66,8.15,2900
2021-10-18,8.15,8.15,8.15,8.15,0
2021-10-19,8.15,8.15,8.15,8.15,0
2021-10-20,8.15,8.21,8.15,8.15,2600
2021-10-21,8.15,8.59,7.66,8.59,18500
2021-10-22,7.93,7.93,7.93,7.93,1450
2021-10-25,8.15,8.26,8.15,8.26,210
2021-10-26,9.09,9.09,8.15,8.81,10600
2021-10-27,9.14,9.14,8.87,8.87,5450
2021-10-28,8.87,8.87,8.59,8.65,5300
2021-10-29,8.59,8.59,8.43,8.43,1800
2021-11-01,8.7,8.7,8.1,8.1,12400
2021-11-02,8.1,8.48,8.1,8.15,5600
2021-11-03,8.26,8.43,8.04,8.04,13100
2021-11-04,8.04,8.04,8.04,8.04,200
2021-11-05,8.54,8.81,8.1,8.81,49454
2021-11-08,8.76,9.2,8.76,8.92,2420
2021-11-09,9.25,9.25,8.87,8.92,5200
2021-11-10,8.98,9.8,8.81,9.69,21000
2021-11-11,9.91,10.63,9.91,10.63,17600
2021-11-12,10.63,11.57,10.57,11.07,5300
2021-11-15,11.02,11.02,10.08,10.13,2900
2021-11-16,9.2,10.85,9.2,9.64,4200
2021-11-17,8.92,10.57,8.92,10.46,1930
2021-11-18,10.57,10.57,9.58,10.52,2200
2021-11-19,10.68,10.68,9.47,10.41,1700
2021-11-22,10.74,10.74,9.42,10.46,9830
2021-11-23,9.42,10.41,9.42,10.41,1401
2021-11-24,9.47,10.35,9.42,10.19,6020
2021-11-25,9.36,9.97,9.31,9.8,7100
2021-11-26,9.69,9.97,9.64,9.69,4500
2021-11-29,9.03,9.69,9.03,9.69,4600
2021-11-30,9.58,9.8,9.42,9.8,1854
2021-12-01,9.86,10.24,9.86,10.02,11200
2021-12-02,10.02,10.68,9.91,10.68,8900
2021-12-03,10.02,10.52,10.02,10.46,5000
2021-12-06,9.47,10.24,9.42,10.24,6400
2021-12-07,9.31,10.24,9.25,10.19,7540
2021-12-08,9.25,10.13,9.2,10.13,4100
2021-12-09,9.25,9.75,9.2,9.75,6200
2021-12-10,8.87,9.75,8.87,9.31,5510
2021-12-13,9.31,9.31,9.31,9.31,0
2021-12-14,9.42,9.8,8.98,9.8,800
2021-12-15,9.8,9.8,9.8,9.8,0
2021-12-16,9.8,9.8,9.8,9.8,0
2021-12-17,9.75,9.75,8.98,8.98,3600
2021-12-20,9.03,9.03,8.98,8.98,5000
