date,open,high,low,close,volume
2021-10-14,17.94,18.59,17.89,18.29,2935687
2021-10-15,18.29,18.94,18.06,18.47,4318847
2021-10-18,18.47,18.76,18.12,18.29,2560386
2021-10-19,18.53,18.64,18.18,18.18,1941832
2021-10-20,18.18,18.29,17.3,17.71,4464948
2021-10-21,17.71,18.29,17.36,18.0,2484747
2021-10-22,18.06,18.29,17.94,18.12,2143082
2021-10-25,18.18,19.52,18.12,18.7,5663497
2021-10-26,18.64,18.82,18.35,18.82,2249477
2021-10-27,18.82,19.23,18.64,18.7,2513240
2021-10-28,18.76,19.58,18.64,18.99,3675355
2021-10-29,19.05,19.46,18.94,19.05,3258979
2021-11-01,19.05,19.4,18.94,18.94,3457891
2021-11-02,18.94,20.04,18.7,19.46,5115994
2021-11-03,19.46,19.75,18.29,18.35,3441818
2021-11-04,18.41,18.7,18.29,18.35,2293055
2021-11-05,18.41,19.69,18.41,19.46,4348091
2021-11-08,19.52,20.33,19.23,19.58,4165417
2021-11-09,19.58,19.87,19.23,19.34,2360445
2021-11-10,19.34,19.75,19.34,19.34,3057133
2021-11-11,19.4,19.63,18.76,18.94,3962740
2021-11-12,18.94,19.17,18.64,18.88,2037324
2021-11-15,18.88,19.46,18.88,19.17,2875706
2021-11-16,19.23,20.33,19.11,19.81,4267355
2021-11-17,20.1,20.1,19.34,19.34,1777608
2021-11-18,19.4,19.81,19.28,19.28,2757988
2021-11-19,19.23,19.46,17.48,18.35,6537771
2021-11-22,18.35,18.64,16.9,16.9,3080398
2021-11-23,16.9,18.0,16.72,17.54,1711958
2021-11-24,17.83,18.0,17.65,17.77,1443756
2021-11-25,17.77,18.53,17.77,18.06,1431334
2021-11-26,18.12,18.35,17.83,18.06,1597718
2021-11-29,18.0,18.0,17.48,17.77,1384404
2021-11-30,17.83,18.41,17.77,17.77,1594813
2021-12-01,17.77,19.11,17.77,18.82,2918956
2021-12-02,18.82,19.11,18.41,18.41,1390004
2021-12-03,18.47,18.82,18.0,18.0,1582684
2021-12-06,18.0,18.12,16.9,16.9,2379554
2021-12-07,16.9,17.77,16.9,17.54,1485189
2021-12-08,17.77,18.06,17.6,17.83,1069506
2021-12-09,18.06,18.53,17.65,17.94,1116095
2021-12-10,18.0,19.17,18.0,19.11,3912946
2021-12-13,19.17,19.58,18.88,18.99,2400788
2021-12-14,19.11,19.75,18.7,19.4,2991885
2021-12-15,19.46,19.58,18.94,18.94,1734576
2021-12-16,19.05,19.81,18.94,19.28,3045300
2021-12-17,19.34,20.8,19.28,20.1,4553174
2021-12-20,20.22,20.86,19.93,20.1,3369851
2021-12-21,20.39,20.39,19.58,19.81,2572123
2021-12-22,19.93,20.45,19.46,19.75,2931037
2021-12-23,19.75,19.87,18.7,18.94,3655472
2021-12-24,18.94,19.93,18.94,19.69,2179444
2021-12-27,19.81,20.22,19.23,19.69,1880770
2021-12-28,19.75,20.1,19.23,19.23,1884800
2021-12-29,19.28,19.4,18.82,18.82,1986946
2021-12-30,18.82,19.46,18.7,18.99,1472266
2021-12-31,18.99,19.34,18.94,19.11,1068337
2022-01-04,19.11,19.63,19.11,19.34,1705334
2022-01-05,19.34,20.16,19.34,19.93,3170114
2022-01-06,20.1,20.16,19.69,19.93,2339818
2022-01-07,19.93,21.5,19.93,21.03,4409504
2022-01-10,21.03,21.21,19.81,19.81,2499891
2022-01-11,19.81,20.1,19.4,19.4,2044371
2022-01-12,19.4,19.4,17.77,18.7,3139964
2022-01-13,18.94,19.65,18.82,18.88,1353732
2022-01-14,19.06,19.35,18.58,19.17,744047
2022-01-17,19.41,19.65,17.4,17.4,2568497
2022-01-18,17.64,17.99,17.29,17.4,1417165
2022-01-19,17.52,18.11,17.4,17.7,1206735
2022-01-20,17.7,18.47,17.7,18.17,1138830
2022-01-21,18.29,18.35,18.05,18.11,952613
2022-01-24,18.17,18.17,16.4,16.4,1772410
2022-01-25,16.4,16.81,15.93,16.7,1379820
2022-01-26,16.7,17.11,16.52,16.52,825546
