date,open,high,low,close,volume
2021-10-14,14.22,14.49,14.22,14.44,273774
2021-10-15,14.33,14.6,14.33,14.55,245443
2021-10-18,14.44,14.6,14.44,14.44,235890
2021-10-19,14.33,14.6,14.33,14.6,256878
2021-10-20,14.6,14.66,14.39,14.44,243285
2021-10-21,14.44,14.76,14.39,14.49,305270
2021-10-22,14.39,14.6,14.39,14.6,218536
2021-10-25,14.49,16.06,14.49,16.06,391537
2021-10-26,16.22,17.63,16.22,17.52,336116
2021-10-27,17.52,17.68,17.31,17.58,471003
2021-10-28,17.47,17.63,15.85,17.63,561335
2021-10-29,17.85,18.33,17.25,18.33,585086
2021-11-01,18.17,20.12,18.17,20.12,657232
2021-11-02,20.06,22.12,20.06,21.58,854330
2021-11-03,21.52,22.93,21.52,22.17,516614
2021-11-04,21.79,22.98,20.12,22.98,1054510
2021-11-05,22.98,23.69,22.44,22.44,385411
2021-11-08,22.39,22.88,22.06,22.88,393071
2021-11-09,22.98,23.47,22.55,23.25,476813
2021-11-10,23.31,25.58,22.66,25.58,596415
2021-11-11,25.47,25.85,24.82,25.36,358808
2021-11-12,25.36,26.66,24.88,26.66,453328
2021-11-15,26.66,29.31,26.66,29.31,762459
2021-11-16,29.74,32.12,29.74,31.91,407305
2021-11-17,32.07,34.07,30.83,32.34,518282
2021-11-18,32.34,32.45,30.23,31.75,488945
2021-11-19,31.75,31.91,29.2,30.07,609871
2021-11-22,30.07,30.93,28.12,30.93,815448
2021-11-23,29.2,31.1,28.12,30.29,375879
2021-11-24,30.61,30.72,29.2,30.72,376923
2021-11-25,30.72,30.72,29.2,29.2,231300
2021-11-26,29.2,30.29,28.66,30.29,454233
2021-11-29,29.74,30.56,29.26,30.07,230409
2021-11-30,30.29,30.29,28.66,29.64,185585
2021-12-01,28.12,29.53,26.72,28.99,210059
2021-12-02,28.99,31.69,28.99,31.64,1339805
2021-12-03,31.42,34.07,31.42,32.34,1177655
2021-12-06,32.45,32.72,30.29,31.26,299530
2021-12-07,30.29,30.66,28.18,28.77,849647
2021-12-08,28.77,29.2,27.8,28.93,502899
2021-12-09,28.93,29.1,28.12,29.1,285808
2021-12-10,28.66,28.93,28.18,28.39,193603
2021-12-13,28.39,29.69,28.39,29.1,505004
2021-12-14,29.04,29.42,28.45,29.37,235402
2021-12-15,29.31,29.37,28.5,28.66,311705
2021-12-16,28.66,28.83,27.85,28.01,164807
2021-12-17,28.01,30.77,25.42,30.77,615262
2021-12-20,30.77,31.1,29.1,30.77,220762
2021-12-21,30.34,30.45,27.91,30.07,176700
2021-12-22,29.8,31.91,28.66,31.37,387793
2021-12-23,31.2,32.72,31.2,32.18,529826
2021-12-24,32.18,33.64,32.18,33.21,667304
2021-12-27,32.99,33.04,31.37,31.64,137870
2021-12-28,31.37,34.34,29.8,34.34,356554
2021-12-29,34.07,34.07,31.1,32.45,155363
2021-12-30,32.34,32.45,30.83,31.47,115311
2021-12-31,28.39,31.53,28.39,31.2,194932
2022-01-04,31.2,32.29,31.15,31.26,107357
2022-01-05,31.2,31.58,31.2,31.53,418800
2022-01-06,31.53,31.96,31.31,31.31,228694
2022-01-07,31.31,31.58,30.88,31.42,316746
2022-01-10,31.42,31.64,31.1,31.37,357182
2022-01-11,31.37,31.8,30.93,31.69,358172
2022-01-12,31.69,31.8,28.66,30.56,170107
2022-01-13,30.56,31.64,30.56,31.37,313300
2022-01-14,31.37,31.58,30.93,31.47,109913
2022-01-17,31.47,32.72,31.37,31.53,391242
2022-01-18,28.39,32.18,28.39,31.64,308408
2022-01-19,31.64,31.75,30.88,30.93,134509
2022-01-20,30.93,31.37,29.42,31.1,305300
2022-01-21,31.1,31.37,29.91,30.83,162212
2022-01-24,30.83,30.99,28.66,30.29,272800
2022-01-25,30.29,30.66,28.93,29.04,226062
2022-01-26,29.04,30.01,28.93,29.04,450110
2022-01-27,29.04,29.74,28.39,29.04,141500
2022-01-28,29.04,30.07,28.12,29.47,185583
2022-02-07,29.47,29.85,29.47,29.74,94804
2022-02-08,29.74,29.85,29.37,29.64,124600
2022-02-09,29.64,29.96,29.37,29.47,100721
2022-02-10,29.47,29.47,28.93,29.47,85100
2022-02-11,29.47,29.47,28.66,29.1,94013
2022-02-14,29.47,29.47,28.66,28.99,46992
2022-02-15,29.1,29.2,28.61,28.83,66700
2022-02-16,28.99,29.26,28.77,29.04,66804
2022-02-17,29.1,29.2,28.99,29.1,72600
2022-02-18,29.15,29.2,28.66,28.88,97700
2022-02-21,28.93,29.1,28.66,28.77,92440
2022-02-22,28.77,29.1,28.55,28.77,81000
2022-02-23,28.99,28.99,28.61,28.77,87802
2022-02-24,28.55,28.61,28.01,28.28,123756
2022-02-25,28.28,28.28,27.91,28.07,151800
2022-02-28,28.07,28.18,27.58,27.58,228630
2022-03-01,27.58,27.85,27.42,27.85,275405
2022-03-02,28.01,28.45,27.85,28.18,285056
2022-03-03,28.18,29.2,27.85,29.2,337990
2022-03-04,29.2,29.74,29.2,29.69,424216
2022-03-07,29.2,29.47,29.1,29.42,265901
2022-03-08,29.37,29.42,28.77,28.99,174736
2022-03-09,28.99,28.99,27.74,28.66,100435
2022-03-10,28.66,29.47,28.66,29.37,417068
2022-03-11,29.37,29.58,28.5,28.61,86900
2022-03-14,28.61,28.66,27.91,27.91,198200
2022-03-15,28.01,28.45,26.82,28.07,259848
2022-03-16,27.31,30.72,27.31,29.74,447850
2022-03-17,29.74,31.53,29.74,30.34,479455
2022-03-18,30.34,30.34,29.58,29.74,340502
2022-03-21,28.83,30.72,28.83,30.56,382032
2022-03-22,30.56,30.61,28.99,29.2,97320
2022-03-23,29.2,29.58,29.2,29.31,159400
2022-03-24,29.31,29.31,28.5,29.04,177199
2022-03-25,28.93,28.99,28.28,28.39,196704
2022-03-28,28.39,29.53,28.34,29.15,149831
2022-03-29,29.15,30.29,29.15,29.74,629450
2022-03-30,29.47,29.69,28.93,29.04,171000
2022-03-31,28.93,29.42,28.66,28.83,209109
2022-04-01,28.83,28.93,27.31,28.39,161500
2022-04-04,28.12,28.55,27.85,28.45,298501
2022-04-05,28.12,29.53,28.12,28.88,499900
2022-04-06,28.66,28.93,28.55,28.88,114100
2022-04-07,28.66,28.88,28.01,28.18,90300
2022-04-08,27.85,28.39,27.47,28.23,210919
2022-04-12,28.23,28.45,27.69,28.28,238917
2022-04-13,28.28,28.55,28.07,28.55,95097
2022-04-14,28.61,28.93,28.55,28.77,167804
2022-04-15,28.83,28.88,28.55,28.61,123910
2022-04-18,28.61,28.77,26.28,26.45,216700
2022-04-19,26.45,27.15,25.85,26.39,248002
2022-04-20,26.55,26.55,24.07,25.69,134100
2022-04-21,25.69,25.96,24.34,25.74,190600
2022-04-22,25.9,27.04,25.42,25.85,141136
2022-04-25,25.85,25.96,24.01,24.07,159316
2022-04-26,26.07,26.07,23.25,24.07,252000
2022-04-27,24.07,26.45,24.07,26.45,78676
2022-04-28,26.45,27.69,26.45,27.09,41623
2022-04-29,27.09,27.47,27.09,27.2,51213
2022-05-04,27.2,27.53,26.77,27.09,81924
2022-05-05,27.09,27.42,26.34,26.77,70800
2022-05-06,26.77,26.77,25.63,26.5,97700
2022-05-09,26.55,26.55,24.17,24.88,57103
2022-05-10,24.88,24.88,24.12,24.77,58700
2022-05-11,24.77,26.77,24.44,26.77,88700
2022-05-12,24.34,26.77,24.34,25.85,169000
2022-05-13,25.85,25.9,24.82,24.88,78900
2022-05-16,24.88,25.96,24.88,25.09,218100
2022-05-17,25.09,26.5,24.61,25.85,137400
2022-05-18,25.85,26.5,25.42,26.18,127111
2022-05-19,26.18,26.18,25.42,25.53,184800
2022-05-20,25.53,25.58,25.2,25.42,205804
2022-05-23,25.42,25.42,24.93,24.93,241400
2022-05-24,24.93,25.42,24.66,24.71,161141
2022-05-25,24.71,24.88,24.39,24.82,163527
2022-05-26,24.82,24.88,24.34,24.55,233432
2022-05-27,24.55,24.82,24.39,24.77,320900
2022-05-30,24.77,24.99,24.71,24.77,177900
2022-05-31,24.77,24.77,24.61,24.66,119918
2022-06-01,24.66,25.42,24.66,25.42,157347
2022-06-02,25.42,25.53,25.15,25.42,109400
2022-06-03,25.42,25.47,24.39,24.39,145523
2022-06-06,24.39,24.71,24.34,24.34,206600
2022-06-07,24.34,24.34,23.8,23.85,161800
2022-06-08,23.85,24.34,23.58,23.8,218423
2022-06-09,23.8,23.96,23.53,23.9,155200
2022-06-10,23.9,24.34,23.9,24.34,124500
2022-06-13,24.34,24.34,23.8,23.96,171030
2022-06-14,23.96,23.96,23.25,23.69,213241
2022-06-15,23.69,26.01,23.69,24.34,87457
2022-06-16,24.28,24.61,24.23,24.34,91900
2022-06-17,24.34,24.34,23.8,23.96,53700
2022-06-20,23.96,23.96,23.25,23.53,50400
2022-06-21,23.53,23.53,23.04,23.09,58500
2022-06-22,23.31,23.8,23.2,23.53,148300
2022-06-23,23.53,23.74,23.25,23.58,98300
2022-06-24,23.58,23.74,23.53,23.58,104800
2022-06-27,23.58,24.17,23.53,24.07,226600
2022-06-28,24.07,24.71,24.07,24.23,245301
2022-06-29,24.23,24.66,24.23,24.34,178500
2022-06-30,24.34,24.71,23.96,23.96,177600
2022-07-01,23.96,24.34,23.69,24.34,178900
2022-07-04,24.34,24.61,24.28,24.34,155900
2022-07-05,24.34,24.34,23.74,23.74,161800
2022-07-06,23.74,23.74,23.15,23.15,177700
2022-07-07,23.15,23.15,22.66,22.98,141720
2022-07-08,22.98,23.58,22.88,23.25,185065
2022-07-11,23.25,23.36,22.71,22.71,154000
2022-07-12,22.88,22.98,22.01,22.71,180617
2022-07-13,22.71,23.2,22.71,23.15,167903
2022-07-14,23.15,23.2,23.15,23.2,142200
2022-07-15,23.2,23.47,23.2,23.31,122828
2022-07-18,23.31,23.47,23.31,23.36,109800
2022-07-19,23.36,23.74,23.31,23.74,156300
2022-07-20,23.74,24.39,23.74,24.39,133395
2022-07-21,24.39,24.61,24.39,24.61,102700
2022-07-22,24.61,25.42,24.61,25.15,104900
2022-07-25,25.15,25.26,25.15,25.26,104200
2022-07-26,25.31,26.5,25.31,26.39,215507
2022-07-27,26.39,26.5,26.18,26.45,178800
2022-07-28,26.45,26.88,26.45,26.77,239900
2022-07-29,26.77,26.82,26.23,26.23,188264
2022-08-01,26.23,26.77,26.23,26.45,139031
2022-08-02,26.45,26.61,25.96,25.96,182300
2022-08-03,25.93,28.51,25.93,28.51,319473
2022-08-04,28.51,31.3,28.51,31.3,703300
2022-08-05,31.3,34.38,31.3,33.8,819124
2022-08-08,33.8,34.02,32.55,33.13,435900
2022-08-09,33.13,33.13,30.86,32.91,373143
2022-08-10,32.91,35.27,32.84,35.04,436437
2022-08-11,35.04,35.93,33.65,33.94,412500
2022-08-12,33.94,34.16,31.89,34.09,339508
2022-08-15,34.09,34.9,31.96,32.4,415000
2022-08-16,32.4,32.47,31.59,31.59,517100
2022-08-17,31.59,32.47,31.37,31.81,324745
2022-08-18,31.81,31.81,31.52,31.59,249308
2022-08-19,31.52,32.33,30.42,31.74,316800
2022-08-22,31.74,32.11,30.86,31.44,244900
2022-08-23,31.44,31.89,30.86,31.59,291500
2022-08-24,31.59,32.69,30.86,32.33,383215
2022-08-25,32.33,32.69,31.89,32.11,214000
2022-08-26,32.11,32.18,30.34,31.37,251100
2022-08-29,31.37,31.37,30.12,30.2,217704
2022-08-30,30.05,31.22,30.05,30.34,230700
2022-08-31,30.34,30.86,29.53,30.78,185300
2022-09-05,30.78,31.15,30.42,30.71,177840
2022-09-06,30.71,30.71,30.12,30.2,151806
2022-09-07,30.2,30.27,29.39,30.05,244035
2022-09-08,30.05,30.12,29.53,30.05,151900
2022-09-09,30.05,30.34,29.68,30.05,148922
2022-09-12,30.05,30.49,29.53,30.49,213116
2022-09-13,30.49,31.0,30.2,30.93,220167
2022-09-14,30.86,30.93,30.12,30.93,201433
2022-09-15,30.86,31.22,30.49,30.93,136201
2022-09-16,30.93,30.93,29.9,29.9,238489
2022-09-19,29.9,29.9,29.39,29.61,260120
2022-09-20,29.61,29.68,29.39,29.68,317606
2022-09-21,29.68,29.76,29.53,29.68,161700
2022-09-22,29.68,29.76,29.39,29.76,219900
2022-09-23,29.76,29.76,29.39,29.61,237300
2022-09-26,29.61,29.61,28.95,29.39,232700
2022-09-27,29.39,29.39,28.51,29.39,231650
2022-09-28,29.39,29.53,29.17,29.39,182801
2022-09-29,29.39,29.39,28.73,29.02,228045
2022-09-30,29.02,29.02,28.29,28.8,118200
2022-10-03,29.17,29.17,27.84,28.51,287385
2022-10-04,28.51,28.51,27.92,28.51,307900
2022-10-05,28.51,29.02,27.99,28.73,174600
2022-10-06,28.73,28.8,27.99,28.36,163500
2022-10-07,28.36,28.51,27.84,28.36,209000
2022-10-10,28.36,28.36,27.99,28.36,219600
2022-10-11,28.36,28.36,27.84,28.36,186400
2022-10-12,28.36,29.02,28.21,28.36,123431
2022-10-13,28.36,28.65,27.92,28.51,169000
2022-10-14,28.58,28.58,28.36,28.58,142300
2022-10-17,28.58,29.02,27.92,28.36,137300
2022-10-18,28.36,28.58,28.21,28.51,177000
2022-10-19,28.51,28.58,27.99,28.21,111930
2022-10-20,28.21,28.51,28.07,28.29,87800
2022-10-21,28.29,28.29,27.84,28.14,210301
2022-10-24,28.14,28.14,27.48,27.92,126900
2022-10-25,27.92,28.21,27.7,27.92,122700
2022-10-26,27.92,27.92,27.18,27.4,157350
2022-10-27,27.92,27.92,27.4,27.92,86341
2022-10-28,27.92,30.49,27.7,27.92,128201
2022-10-31,28.58,28.58,27.33,27.84,20497
2022-11-01,27.92,28.21,27.04,27.92,54310
2022-11-02,27.84,27.84,27.04,27.77,34901
2022-11-03,28.21,28.21,26.96,27.77,135600
2022-11-04,27.84,27.99,26.96,27.55,126189
2022-11-07,27.92,27.92,27.18,27.4,193701
2022-11-08,24.98,27.92,24.98,27.11,133201
2022-11-09,27.11,27.11,25.71,27.11,127901
2022-11-10,27.11,27.18,25.71,26.45,133400
2022-11-11,26.38,26.38,25.42,26.08,148000
2022-11-14,26.01,26.01,23.8,24.61,182000
2022-11-15,24.47,24.47,22.19,23.0,485105
2022-11-16,22.78,23.0,20.72,23.0,160694
2022-11-17,23.0,23.36,20.72,23.0,189500
2022-11-18,22.92,22.92,20.72,22.7,227900
2022-11-21,22.04,22.48,20.5,22.04,106702
2022-11-22,22.04,22.04,19.84,21.67,259117
2022-11-23,21.31,21.45,19.54,21.31,132801
2022-11-24,21.01,21.09,19.69,21.09,257600
2022-11-25,20.87,21.31,19.03,21.31,228700
2022-11-28,21.31,22.04,20.57,22.04,419800
2022-11-29,19.84,22.7,19.84,22.11,690982
2022-11-30,21.97,22.04,20.2,22.04,601300
2022-12-01,21.82,24.24,21.75,22.7,526850
2022-12-02,22.7,22.78,21.53,22.78,215400
2022-12-05,22.04,24.32,21.67,24.24,886133
2022-12-06,24.24,25.57,23.58,24.54,803769
2022-12-07,24.54,25.64,23.51,24.24,605301
2022-12-08,24.39,24.76,23.51,24.24,569883
2022-12-09,24.61,24.76,23.51,24.24,613850
2022-12-12,24.32,24.32,22.04,23.8,336550
2022-12-13,23.73,23.73,22.19,23.58,250800
2022-12-14,23.51,23.51,22.04,22.78,241249
2022-12-15,22.78,22.92,21.31,22.04,232101
2022-12-16,22.04,22.04,19.84,21.31,140718
2022-12-19,21.31,21.38,20.28,21.01,230800
2022-12-20,21.01,21.01,19.84,21.01,365803
2022-12-21,18.96,21.01,18.96,20.87,442800
2022-12-22,20.64,20.87,20.2,20.87,215529
2022-12-23,20.79,20.87,19.47,20.87,216250
2022-12-26,20.79,20.79,19.47,20.64,176100
2022-12-27,20.57,20.87,19.47,20.79,249600
2022-12-28,20.79,20.79,20.2,20.79,149234
2022-12-29,20.57,20.79,19.84,20.72,182300
2022-12-30,20.57,20.64,19.98,20.64,167910
2023-01-03,20.57,20.87,19.47,20.87,448912
2023-01-04,20.72,20.72,19.47,20.72,191200
2023-01-05,20.64,20.64,19.47,20.42,215250
2023-01-06,20.42,20.42,18.44,19.98,333337
2023-01-09,19.84,19.84,18.22,19.03,298925
2023-01-10,18.88,18.88,17.19,18.51,211045
2023-01-11,18.37,18.66,16.9,18.0,204229
2023-01-12,18.0,18.0,17.19,17.63,184600
2023-01-13,17.63,18.0,17.12,18.0,135604
2023-01-16,17.63,19.03,17.63,19.03,107800
2023-01-17,19.1,20.06,19.1,20.06,232503
2023-01-18,20.57,20.87,20.13,20.87,239300
