date,open,high,low,close,volume
2021-10-14,89.67,90.58,88.98,89.39,189810
2021-10-15,89.67,91.27,89.6,90.71,250405
2021-10-18,90.78,91.69,90.02,91.41,282134
2021-10-19,90.99,91.34,90.37,91.06,111109
2021-10-20,90.78,90.85,89.39,90.37,403900
2021-10-21,89.74,90.37,89.32,89.32,201145
2021-10-22,89.32,89.67,88.35,89.67,369111
2021-10-25,89.74,89.74,87.59,87.66,386003
2021-10-26,87.59,87.93,86.89,87.03,192306
2021-10-27,87.17,88.49,87.03,87.38,164090
2021-10-28,88.49,88.98,87.73,87.93,243576
2021-10-29,87.93,89.18,87.93,89.18,319450
2021-11-01,89.18,89.32,86.89,86.89,292747
2021-11-02,86.89,87.38,86.2,86.2,381530
2021-11-03,86.89,87.24,83.42,83.42,582093
2021-11-04,82.03,85.57,82.03,84.67,180284
2021-11-05,84.67,86.75,84.67,86.54,186625
2021-11-08,86.47,86.54,85.57,86.06,142347
2021-11-09,86.4,86.54,85.01,85.57,137833
2021-11-10,85.57,85.57,84.46,84.81,239254
2021-11-11,84.81,85.99,83.55,85.43,337562
2021-11-12,85.43,86.2,84.67,85.92,157355
2021-11-15,86.2,86.2,84.67,85.78,162143
2021-11-16,85.78,85.92,84.46,85.5,121234
2021-11-17,85.78,85.78,84.6,85.36,115303
2021-11-18,85.15,86.2,84.11,85.29,287008
2021-11-19,85.29,85.29,82.72,82.72,205385
2021-11-22,82.72,84.11,82.44,84.11,204385
2021-11-23,83.76,85.43,83.42,84.53,126284
2021-11-24,84.67,84.94,84.11,84.53,115890
2021-11-25,84.53,86.89,84.53,86.2,335803
2021-11-26,86.89,86.89,84.32,84.32,154955
2021-11-29,84.11,84.81,83.48,83.97,111339
2021-11-30,84.67,85.08,83.9,84.04,84425
2021-12-01,84.18,84.46,84.04,84.04,54945
2021-12-02,84.46,85.92,84.25,85.43,62652
2021-12-03,85.64,85.64,83.42,83.76,80566
2021-12-06,83.76,84.11,77.85,81.47,195433
2021-12-07,81.61,82.37,81.4,81.68,89302
2021-12-08,82.72,83.07,82.03,82.37,94408
2021-12-09,83.79,83.79,82.59,82.73,26991
2021-12-10,82.73,83.08,81.95,82.45,74111
2021-12-13,82.52,83.44,82.02,82.23,86392
2021-12-14,82.23,82.3,80.75,81.31,193831
2021-12-15,81.31,81.95,80.61,80.89,78619
2021-12-16,81.31,82.02,80.32,81.95,73084
2021-12-17,81.95,82.45,81.31,82.02,63555
2021-12-20,81.95,82.87,81.88,82.66,68705
2021-12-21,82.73,82.73,82.02,82.37,59505
2021-12-22,81.74,82.37,81.31,82.02,113343
