date,open,high,low,close,volume
2021-10-05,8.88,9.51,8.88,9.35,93500
2021-10-06,9.2,10.21,9.2,9.74,156400
2021-10-07,9.9,9.9,9.35,9.43,59400
2021-10-08,9.59,9.59,9.2,9.27,56200
2021-10-11,9.43,9.66,9.35,9.59,105604
2021-10-12,9.59,9.74,9.2,9.59,105600
2021-10-13,9.59,10.05,9.51,9.66,50600
2021-10-14,9.66,10.05,9.66,9.9,89800
2021-10-15,10.13,10.21,9.9,10.13,125800
2021-10-18,10.13,10.68,10.13,10.44,199901
2021-10-19,10.37,10.44,10.13,10.37,100300
2021-10-20,10.52,10.52,9.9,10.05,69000
2021-10-21,9.98,10.13,9.82,10.05,133301
2021-10-22,9.98,10.05,9.74,9.9,108900
2021-10-25,9.82,10.13,9.82,10.13,86800
2021-10-26,10.13,10.83,9.98,10.68,299500
2021-10-27,10.76,10.91,10.29,10.52,175800
2021-10-28,10.6,10.83,10.44,10.6,122100
2021-10-29,10.52,10.91,10.44,10.44,165600
2021-11-01,10.44,11.69,10.44,11.61,451300
2021-11-02,11.69,12.63,11.69,12.63,412200
2021-11-03,12.86,13.09,11.92,12.24,247004
2021-11-04,11.85,13.64,11.07,12.78,218000
2021-11-05,12.7,12.86,11.92,12.63,140400
2021-11-08,12.78,13.17,12.39,13.02,227800
2021-11-09,13.02,13.02,12.47,12.7,121822
2021-11-10,12.7,12.7,12.47,12.55,102002
2021-11-11,12.39,12.86,12.24,12.55,214306
2021-11-12,12.55,13.56,12.47,13.33,140701
2021-11-15,13.33,14.26,13.33,13.95,146900
2021-11-16,13.95,14.03,13.41,13.64,115700
2021-11-17,13.72,14.42,13.72,13.95,125800
2021-11-18,13.87,15.28,13.64,15.04,323520
2021-11-19,15.2,15.43,14.03,14.73,217966
2021-11-22,14.73,14.73,13.02,14.03,119100
2021-11-23,13.95,14.18,13.25,14.03,89169
2021-11-24,14.42,14.5,14.03,14.26,55570
2021-11-25,14.34,14.57,14.18,14.18,81919
2021-11-26,14.03,14.26,13.79,13.87,120980
2021-11-29,13.64,14.26,13.25,14.03,86716
2021-11-30,14.03,15.04,14.03,14.42,142150
2021-12-01,14.11,14.81,14.11,14.26,48571
2021-12-02,14.26,14.42,13.87,14.11,75820
2021-12-03,14.42,14.42,13.48,13.48,161800
2021-12-06,13.64,13.87,13.09,13.17,214582
2021-12-07,13.48,14.42,13.17,13.64,88115
2021-12-08,14.03,14.03,13.33,13.56,29373
2021-12-09,13.56,13.64,13.25,13.56,22475
