date,open,high,low,close,volume
2021-10-14,32.98,32.98,32.98,32.98,727
2021-10-15,36.2,36.2,35.93,36.2,2000
2021-10-18,39.61,39.61,39.61,39.61,2840
2021-10-19,39.61,39.61,39.61,39.61,0
2021-10-20,39.61,39.61,39.61,39.61,0
2021-10-21,39.61,39.61,39.61,39.61,100
2021-10-22,39.61,39.61,39.61,39.61,100
2021-10-25,39.61,39.61,39.61,39.61,0
2021-10-26,39.61,39.61,39.61,39.61,0
2021-10-27,39.61,39.61,39.61,39.61,40
2021-10-28,39.61,39.61,39.61,39.61,0
2021-10-29,39.61,39.61,39.61,39.61,0
2021-11-01,39.61,39.61,39.61,39.61,0
2021-11-02,39.61,39.61,39.61,39.61,0
2021-11-03,36.85,36.85,36.85,36.85,100
2021-11-04,33.16,33.16,33.16,33.16,501
2021-11-05,29.85,29.85,29.85,29.85,1100
2021-11-08,26.9,28.56,26.9,28.56,740
2021-11-09,28.56,28.56,28.56,28.56,705
2021-11-10,31.32,31.32,31.32,31.32,100
2021-11-11,31.32,31.32,31.32,31.32,200
2021-11-12,31.32,31.32,31.32,31.32,0
2021-11-15,28.56,28.56,28.56,28.56,1300
2021-11-16,28.56,28.56,28.56,28.56,0
2021-11-17,28.56,28.56,28.56,28.56,233
2021-11-18,28.56,28.56,28.1,28.47,3286
2021-11-19,27.64,28.56,27.64,28.56,1800
2021-11-22,28.56,28.56,28.56,28.56,20
2021-11-23,28.56,28.56,28.56,28.56,0
2021-11-24,28.56,28.56,28.56,28.56,33
2021-11-25,25.79,25.79,25.79,25.79,1400
2021-11-26,25.61,25.79,25.61,25.79,3005
2021-11-29,25.79,25.79,25.79,25.79,0
2021-11-30,25.79,25.79,25.79,25.79,0
2021-12-01,25.79,25.79,25.79,25.79,0
2021-12-02,25.79,25.79,25.79,25.79,3500
2021-12-03,25.79,25.79,25.79,25.79,100
2021-12-06,25.79,25.79,25.79,25.79,501
2021-12-07,25.79,25.79,25.79,25.79,3
2021-12-08,25.79,25.79,25.79,25.79,1833
2021-12-09,25.79,25.79,25.79,25.79,0
2021-12-10,25.79,25.79,25.79,25.79,24
2021-12-13,24.41,24.41,24.41,24.41,100
2021-12-14,24.41,24.41,24.41,24.41,0
2021-12-15,24.41,24.41,24.41,24.41,400
2021-12-16,24.41,24.41,24.41,24.41,2
2021-12-17,24.41,24.41,24.41,24.41,0
2021-12-20,24.41,24.41,24.41,24.41,1
2021-12-21,24.41,24.41,22.11,22.11,300
2021-12-22,22.11,22.11,22.11,22.11,0
2021-12-23,22.11,22.11,22.11,22.11,0
2021-12-24,24.23,24.23,24.23,24.23,100
2021-12-27,26.53,26.62,26.53,26.53,1000
2021-12-28,26.53,26.53,26.53,26.53,235
2021-12-29,26.53,26.53,26.53,26.53,0
2021-12-30,26.53,26.53,26.53,26.53,4
2021-12-31,26.53,26.53,26.53,26.53,0
2022-01-04,26.53,26.53,26.53,26.53,1
2022-01-05,26.53,26.53,26.53,26.53,0
2022-01-06,26.53,26.53,26.53,26.53,0
2022-01-07,24.23,25.7,24.23,25.7,1400
2022-01-10,25.7,25.7,25.7,25.7,0
2022-01-11,25.7,25.7,25.7,25.7,0
2022-01-12,25.7,25.7,25.7,25.7,1
2022-01-13,28.19,28.19,28.19,28.19,100
2022-01-14,28.19,28.19,28.19,28.19,0
2022-01-17,28.19,28.19,28.19,28.19,0
2022-01-18,28.19,28.19,28.19,28.19,0
2022-01-19,28.19,28.19,28.19,28.19,0
2022-01-20,28.19,28.19,28.19,28.19,0
2022-01-21,25.43,25.43,25.43,25.43,1400
2022-01-24,23.21,23.21,23.21,23.21,200
2022-01-25,23.21,23.21,23.21,23.21,0
2022-01-26,23.21,23.21,23.21,23.21,100
2022-01-27,23.21,23.21,23.21,23.21,0
2022-01-28,23.21,23.21,23.21,23.21,0
2022-02-07,23.21,23.21,23.21,23.21,0
2022-02-08,23.21,25.52,23.21,25.52,800
2022-02-09,25.52,25.52,25.52,25.52,0
2022-02-10,28.0,28.0,28.0,28.0,100
2022-02-11,30.68,30.68,30.68,30.68,104
2022-02-14,27.64,27.64,27.64,27.64,800
2022-02-15,26.25,27.64,26.25,27.64,300
2022-02-16,25.79,25.79,25.79,25.79,327
2022-02-17,23.21,25.79,23.21,25.79,500
2022-02-18,25.79,25.79,25.79,25.79,0
2022-02-21,25.79,25.79,25.79,25.79,0
2022-02-22,23.21,23.21,23.21,23.21,100
2022-02-23,23.49,23.68,23.49,23.68,200
2022-02-24,23.68,23.68,23.68,23.68,0
2022-02-25,23.68,23.68,23.68,23.68,0
2022-02-28,21.37,21.37,21.37,21.37,133
2022-03-01,21.37,21.37,21.37,21.37,0
2022-03-02,21.37,21.37,21.37,21.37,0
2022-03-03,21.37,21.37,21.37,21.37,4
2022-03-04,23.49,23.49,23.49,23.49,4822
2022-03-07,25.79,25.79,25.79,25.79,100
2022-03-08,28.37,28.37,28.37,28.37,100
2022-03-09,25.61,25.61,25.61,25.61,1500
2022-03-10,25.06,27.54,25.06,27.54,253
2022-03-11,27.54,27.54,27.54,27.54,0
