date,open,high,low,close,volume
2021-09-27,8.0,8.13,7.53,7.53,57144
2021-09-28,7.4,7.66,7.33,7.6,33438
2021-09-29,7.4,7.73,7.33,7.6,115300
2021-09-30,7.73,7.93,7.53,7.66,18239
2021-10-01,7.66,7.66,7.33,7.53,36618
2021-10-04,7.53,7.66,7.4,7.53,56425
2021-10-05,7.66,7.73,7.46,7.6,50301
2021-10-06,7.53,7.8,7.53,7.66,72925
2021-10-07,7.8,7.8,7.6,7.73,64600
2021-10-08,7.8,7.8,7.66,7.8,56114
2021-10-11,8.2,8.2,7.8,7.86,75913
2021-10-12,7.93,8.06,7.66,7.93,104950
2021-10-13,7.93,7.93,7.66,7.93,19504
2021-10-14,8.0,8.07,8.0,8.07,25578
2021-10-15,8.07,8.07,7.79,7.93,64430
2021-10-18,7.93,7.93,7.79,7.79,47920
2021-10-19,7.79,7.86,7.72,7.86,49461
2021-10-20,7.86,8.0,7.86,7.86,19524
2021-10-21,7.79,7.93,7.79,7.86,13604
2021-10-22,7.86,8.07,7.86,8.07,36003
2021-10-25,8.0,8.83,8.0,8.63,112785
2021-10-26,8.63,8.63,8.35,8.56,31600
2021-10-27,8.7,8.77,8.49,8.77,111473
2021-10-28,8.77,8.83,8.56,8.7,48970
2021-10-29,8.7,8.83,8.56,8.63,43525
2021-11-01,8.63,9.18,8.63,9.04,175285
2021-11-02,9.04,9.67,8.9,9.53,169360
2021-11-03,9.67,9.67,8.7,9.04,52550
2021-11-04,8.97,9.11,8.56,9.04,29031
2021-11-05,9.04,9.04,8.77,8.97,40170
2021-11-08,9.04,9.6,9.04,9.04,63146
2021-11-09,9.25,9.25,8.97,9.11,180300
2021-11-10,9.32,9.6,8.83,9.32,81400
2021-11-11,9.53,9.74,9.11,9.53,132221
2021-11-12,9.53,9.74,9.46,9.74,109810
2021-11-15,9.88,10.71,9.74,10.71,526152
2021-11-16,10.71,11.69,10.71,11.27,243818
2021-11-17,11.06,11.2,10.5,11.06,99252
2021-11-18,10.71,11.48,10.43,11.13,167881
2021-11-19,11.13,11.27,10.09,10.57,175430
2021-11-22,10.85,10.85,9.6,9.74,165601
2021-11-23,9.11,10.23,8.97,10.09,101530
2021-11-24,10.43,10.71,10.37,10.5,111070
2021-11-25,10.43,10.92,10.43,10.92,271666
2021-11-26,11.06,11.27,10.92,11.06,259283
2021-11-29,11.06,12.1,11.06,12.1,451442
2021-11-30,13.29,13.29,13.29,13.29,223350
2021-12-01,14.61,14.61,13.77,14.61,734289
2021-12-02,15.3,16.07,15.17,16.07,595185
2021-12-03,17.39,17.39,15.24,16.07,223795
2021-12-06,15.3,16.07,14.47,14.47,472669
2021-12-07,14.47,14.96,13.5,13.84,410357
2021-12-08,13.91,15.17,13.91,15.17,466126
2021-12-09,16.63,16.63,15.65,16.63,380572
2021-12-10,18.23,18.23,17.32,17.88,733109
2021-12-13,17.88,19.2,17.04,18.44,426032
2021-12-14,18.44,18.78,18.09,18.37,267821
2021-12-15,18.09,18.09,17.6,17.67,145216
2021-12-16,17.18,18.16,17.18,17.6,182409
2021-12-17,17.6,18.57,17.32,18.3,569705
