date,open,high,low,close,volume
2021-10-14,20.52,21.04,20.15,20.62,2143900
2021-10-15,20.48,20.57,20.2,20.48,2479600
2021-10-18,20.48,21.27,20.2,20.85,2927100
2021-10-19,21.04,21.13,20.48,20.71,1356500
2021-10-20,20.9,20.94,20.15,20.76,2788300
2021-10-21,20.9,20.9,20.43,20.57,1560800
2021-10-22,20.66,20.66,20.15,20.34,1845900
2021-10-25,20.34,20.48,19.73,19.87,2155000
2021-10-26,20.11,21.22,20.11,21.22,3904800
2021-10-27,22.66,22.66,21.92,22.66,6973100
2021-10-28,22.66,24.2,22.25,23.55,5363200
2021-10-29,23.55,24.67,23.18,23.27,4268500
2021-11-01,23.08,23.36,22.34,22.43,4506900
2021-11-02,22.06,23.6,21.55,23.18,6063100
2021-11-03,23.27,23.55,21.59,21.59,5675700
2021-11-04,20.71,21.87,20.71,21.04,2937400
2021-11-05,21.04,21.41,20.57,21.36,4029500
2021-11-08,21.87,21.87,21.08,21.22,2518100
2021-11-09,21.41,22.34,20.94,21.73,2857100
2021-11-10,21.87,21.87,21.32,21.32,2498000
2021-11-11,21.32,21.69,20.9,20.9,3681900
2021-11-12,20.8,21.41,20.48,21.08,3832900
2021-11-15,21.41,21.41,20.57,20.62,2946000
2021-11-16,20.38,21.87,20.11,21.41,5176000
2021-11-17,21.5,22.11,21.04,21.04,2976800
2021-11-18,20.99,20.99,20.57,20.62,2269700
2021-11-19,20.2,20.43,19.17,19.27,6273900
2021-11-22,18.43,19.27,17.96,17.96,3883400
2021-11-23,16.94,19.22,16.94,19.22,2424600
2021-11-24,19.83,19.97,18.48,18.48,1463800
2021-11-25,18.71,18.99,18.06,18.52,1320500
2021-11-26,18.24,18.62,18.06,18.06,1523400
2021-11-29,17.03,19.08,17.03,18.1,2001500
2021-11-30,18.24,18.62,17.87,18.01,1489800
2021-12-01,18.15,18.52,17.96,18.15,1171900
2021-12-02,18.1,18.62,18.06,18.38,1211500
2021-12-03,18.43,18.43,17.69,17.69,1408000
2021-12-06,17.69,17.96,16.48,16.52,1954200
2021-12-07,16.75,17.13,16.52,17.03,1207100
2021-12-08,17.03,17.22,16.89,16.94,856600
2021-12-09,16.89,17.69,16.89,17.36,773600
2021-12-10,17.41,17.69,17.03,17.13,977300
2021-12-13,17.22,17.41,17.08,17.17,1082100
2021-12-14,17.17,18.15,17.17,18.01,2020000
2021-12-15,18.38,19.27,18.15,19.27,2109200
2021-12-16,20.57,20.57,19.55,19.64,3911400
2021-12-17,19.5,19.5,18.52,18.62,2235900
2021-12-20,18.66,19.08,17.87,18.48,1731500
2021-12-21,18.15,18.62,17.78,18.06,2165800
2021-12-22,18.24,18.57,17.96,18.06,1534600
2021-12-23,17.96,18.01,17.08,17.45,2091500
2021-12-24,17.45,17.96,17.36,17.59,824100
2021-12-27,17.59,18.1,17.5,17.5,803700
2021-12-28,17.5,17.64,17.13,17.31,1385000
2021-12-29,17.27,17.59,17.03,17.31,1163200
2021-12-30,17.17,17.87,17.17,17.41,904800
2021-12-31,17.64,17.87,17.41,17.69,993900
2022-01-04,18.06,18.06,17.59,17.73,1159500
2022-01-05,17.96,18.15,17.59,17.59,1702600
2022-01-06,17.59,17.59,17.17,17.22,1987800
2022-01-07,17.22,17.87,17.22,17.69,1538600
2022-01-10,17.87,17.92,17.13,17.13,1887400
2022-01-11,17.13,17.22,16.75,16.75,1200700
2022-01-12,16.57,16.75,15.59,16.01,2053400
2022-01-13,16.57,16.57,15.5,15.54,1141200
2022-01-14,14.52,15.36,14.47,14.94,1355700
2022-01-17,15.36,15.36,13.92,13.92,1741000
2022-01-18,13.03,13.87,12.98,12.98,1296300
2022-01-19,12.19,12.98,12.19,12.43,1078900
2022-01-20,12.43,13.26,12.43,13.26,401000
2022-01-21,13.96,14.15,13.78,14.15,474700
2022-01-24,14.99,15.13,13.87,14.06,1679000
2022-01-25,13.92,14.29,13.45,14.15,608600
2022-01-26,14.43,14.8,14.06,14.06,538700
2022-01-27,13.87,14.06,13.54,13.59,404200
2022-01-28,13.45,13.82,13.36,13.59,470900
2022-02-07,14.43,14.52,14.01,14.52,326700
2022-02-08,15.45,15.5,14.89,15.5,843700
2022-02-09,16.01,16.57,15.92,16.2,2204700
2022-02-10,16.01,16.2,15.73,15.82,971600
2022-02-11,15.82,16.29,15.45,15.92,829500
2022-02-14,15.64,16.99,15.36,16.89,2728600
2022-02-15,16.85,16.85,16.29,16.48,617200
2022-02-16,16.57,17.03,16.38,16.66,745300
2022-02-17,16.57,17.59,16.24,17.13,2325400
2022-02-18,16.94,17.5,16.94,17.31,1444700
2022-02-21,17.59,17.59,17.08,17.17,1427000
2022-02-22,16.75,16.94,16.29,16.48,1858900
2022-02-23,16.66,17.13,16.66,16.94,1184900
2022-02-24,16.94,17.08,15.78,16.15,2032800
2022-02-25,16.43,16.75,16.24,16.24,1182900
2022-02-28,16.34,16.85,16.34,16.85,1284400
2022-03-01,17.22,18.01,17.13,18.01,3886000
2022-03-02,18.48,18.76,17.92,18.06,3179000
2022-03-03,18.15,19.31,18.06,19.31,4582200
2022-03-04,20.66,20.66,19.69,20.34,9768000
2022-03-07,20.38,21.41,19.59,21.04,3669000
2022-03-08,20.29,20.94,19.59,19.59,4517200
2022-03-09,19.45,20.94,18.24,20.94,10162700
2022-03-10,21.69,21.69,20.38,20.48,3076400
2022-03-11,20.48,21.13,20.11,20.43,3416500
2022-03-14,19.69,20.43,19.03,19.03,5457000
2022-03-15,19.03,19.64,17.96,19.36,2982800
2022-03-16,19.55,19.97,19.22,19.22,1494400
2022-03-17,19.36,19.41,18.71,18.9,1858600
2022-03-18,19.08,19.5,18.9,19.22,2143400
2022-03-21,19.55,19.97,19.55,19.55,2301800
2022-03-22,19.78,20.48,19.55,20.01,3169500
2022-03-23,20.01,20.66,19.92,19.92,2957500
2022-03-24,19.83,20.85,19.69,20.38,3532900
2022-03-25,20.38,20.8,19.59,19.69,3679100
2022-03-28,18.94,20.01,18.9,19.45,2809000
2022-03-29,19.55,20.8,19.55,20.8,5756800
2022-03-30,21.04,22.25,20.48,21.59,8338100
2022-03-31,21.41,22.2,20.99,21.27,3259400
2022-04-01,20.85,21.59,20.48,21.18,3444200
2022-04-04,21.41,21.87,20.76,20.76,3030300
2022-04-05,20.76,21.59,20.48,20.94,2378500
2022-04-06,20.94,21.18,19.55,19.55,3539600
2022-04-07,19.55,19.92,18.48,18.62,5547700
