date,open,high,low,close,volume
2021-10-14,29.05,29.99,29.05,29.93,726500
2021-10-15,29.93,30.2,29.93,29.99,504100
2021-10-18,29.99,30.03,29.72,30.03,854300
2021-10-19,30.03,30.2,29.72,29.72,772500
2021-10-20,29.72,29.86,29.05,29.05,450800
2021-10-21,29.12,29.25,28.91,28.98,604800
2021-10-22,28.98,29.45,28.85,29.12,771200
2021-10-25,29.12,29.32,29.05,29.18,676000
2021-10-26,29.12,29.18,28.91,29.15,634800
2021-10-27,29.15,29.66,29.05,29.59,599400
2021-10-28,29.59,30.33,29.59,30.2,537500
2021-10-29,30.2,30.4,29.72,30.13,601800
2021-11-01,30.13,30.13,29.18,29.18,739400
2021-11-02,29.18,30.8,29.05,30.47,632300
2021-11-03,30.47,31.14,29.86,29.86,654900
2021-11-04,29.86,31.92,29.72,31.92,934800
2021-11-05,33.1,34.11,33.03,33.71,1355100
2021-11-08,33.98,34.59,33.78,33.91,794700
2021-11-09,33.84,35.13,32.56,35.13,878600
2021-11-10,35.2,35.33,34.18,35.13,775500
2021-11-11,35.11,37.53,35.11,36.11,943700
2021-11-12,35.74,37.53,34.92,37.53,950400
2021-11-15,37.67,37.9,36.11,37.53,1114300
2021-11-16,37.53,37.53,36.11,36.41,542900
2021-11-17,36.41,37.6,36.41,37.6,520500
2021-11-18,37.6,39.01,37.38,38.64,526800
2021-11-19,38.71,39.38,36.93,39.38,658400
2021-11-22,39.16,39.31,38.27,38.64,698200
2021-11-23,38.71,39.46,37.9,39.16,813000
2021-11-24,39.23,39.46,38.12,38.86,335300
2021-11-25,38.27,38.86,38.19,38.64,897200
2021-11-26,38.57,39.38,38.49,38.49,612600
2021-11-29,37.53,39.38,37.53,38.71,776400
2021-11-30,38.71,39.75,38.12,39.75,1480300
2021-12-01,39.68,41.02,39.68,39.83,874100
2021-12-02,39.9,40.87,39.75,40.13,712600
2021-12-03,40.2,40.28,38.94,39.68,355500
2021-12-06,39.23,39.46,37.6,38.64,605100
2021-12-07,38.86,40.13,37.82,40.13,890900
2021-12-08,40.2,40.94,40.05,40.28,609500
2021-12-09,40.5,40.87,39.9,40.35,739400
2021-12-10,40.42,40.5,40.13,40.5,470100
2021-12-13,41.46,43.32,41.39,42.73,1219900
2021-12-14,43.1,43.17,42.13,42.65,1084900
2021-12-15,42.65,43.17,40.87,42.28,1172800
2021-12-16,42.36,42.65,40.13,41.98,1139600
2021-12-17,42.06,42.5,39.61,39.61,1550900
2021-12-20,39.61,40.2,39.23,39.9,1033000
2021-12-21,39.9,40.5,37.9,40.42,1250200
2021-12-22,40.72,41.69,40.72,41.02,863000
2021-12-23,41.09,41.24,39.68,40.13,966300
2021-12-24,41.02,41.61,39.75,40.5,1149100
2021-12-27,40.57,40.72,39.83,40.57,1289700
2021-12-28,40.65,40.94,39.38,40.72,1560100
2021-12-29,40.8,41.09,39.38,40.35,1328600
2021-12-30,40.5,40.87,40.05,40.72,1209600
2021-12-31,40.8,41.09,39.98,40.8,1315900
2022-01-04,40.8,41.69,40.65,41.61,1378700
2022-01-05,41.54,44.51,41.32,42.95,1556600
2022-01-06,43.47,44.29,43.4,44.06,1254000
2022-01-07,44.06,44.88,43.1,44.73,1369300
2022-01-10,44.81,45.33,43.4,43.84,1217100
2022-01-11,42.8,45.48,42.06,43.17,1512600
2022-01-12,42.36,43.17,41.98,43.17,1351700
2022-01-13,43.17,43.47,42.28,43.25,1383200
2022-01-14,42.88,44.59,42.21,43.92,1431400
2022-01-17,43.99,44.44,42.65,43.02,1257400
2022-01-18,42.95,44.06,42.65,43.25,1476000
2022-01-19,43.17,43.77,42.73,43.54,1073600
2022-01-20,43.54,44.29,43.32,44.29,1279800
2022-01-21,44.36,45.11,44.29,44.59,1219000
2022-01-24,44.66,44.96,43.4,43.84,1366200
2022-01-25,43.84,44.29,43.54,43.99,1314900
2022-01-26,44.29,44.59,43.47,44.44,1116300
2022-01-27,44.51,44.51,43.4,43.69,1405800
2022-01-28,43.69,44.21,43.25,43.92,1210700
2022-02-07,43.99,45.77,43.92,44.81,1550200
2022-02-08,44.96,45.4,44.29,45.18,1548100
2022-02-09,45.25,46.15,45.11,45.63,1607000
2022-02-10,45.63,45.7,45.18,45.25,1608300
2022-02-11,45.18,45.4,44.73,45.18,1694100
2022-02-14,45.03,45.7,44.29,44.88,1631400
2022-02-15,44.29,46.07,44.29,45.7,1987300
2022-02-16,45.92,46.22,45.63,45.63,1479900
2022-02-17,45.7,46.07,45.25,45.77,1514400
2022-02-18,45.33,46.15,45.25,46.0,1630900
2022-02-21,46.81,48.0,46.74,47.48,1626900
2022-02-22,47.48,47.48,46.37,47.33,1510900
2022-02-23,47.26,47.71,46.59,47.41,1576800
2022-02-24,47.41,47.78,46.07,47.26,1713300
2022-02-25,47.56,48.67,47.19,48.08,1934300
2022-02-28,48.15,48.97,48.15,48.3,1483500
2022-03-01,48.37,48.89,48.3,48.3,1666200
2022-03-02,48.52,48.75,47.33,47.63,1738500
2022-03-03,47.63,48.23,47.11,48.15,1292800
2022-03-04,48.15,48.82,47.41,48.37,1395600
2022-03-07,48.45,48.67,47.48,47.63,1292600
2022-03-08,47.63,47.71,46.44,47.11,1210800
2022-03-09,47.11,47.56,46.0,47.41,1494600
2022-03-10,47.19,47.63,46.0,47.26,1155000
2022-03-11,47.04,47.11,46.37,46.74,1485500
2022-03-14,46.74,46.74,44.59,45.85,1128200
2022-03-15,45.77,46.22,44.96,46.22,1819200
2022-03-16,46.22,46.52,44.59,46.07,1867200
2022-03-17,46.0,46.81,45.48,45.7,1210400
2022-03-18,45.77,46.44,44.73,44.73,1338900
2022-03-21,44.73,46.81,44.73,45.7,1261300
2022-03-22,45.77,46.81,45.7,45.85,1021400
2022-03-23,45.85,46.89,45.77,46.81,1703300
2022-03-24,46.81,47.78,46.37,46.96,1366700
2022-03-25,47.04,47.63,46.67,47.26,1226100
2022-03-28,47.11,47.33,45.77,46.07,1474000
2022-03-29,46.29,46.67,46.0,46.0,1172500
2022-03-30,45.48,46.89,45.18,45.7,1256700
2022-03-31,45.77,46.44,45.33,45.48,1432400
2022-04-01,45.33,46.89,45.11,46.59,1174500
2022-04-04,46.67,47.19,46.0,46.22,1073500
2022-04-05,46.22,46.81,45.7,45.92,994200
2022-04-06,45.85,46.89,45.7,46.81,1149400
2022-04-07,46.81,46.81,45.33,46.07,989700
2022-04-08,46.15,46.15,44.88,44.88,1005500
2022-04-12,44.88,44.96,42.8,43.47,983000
2022-04-13,43.54,46.44,42.58,45.33,1245400
2022-04-14,45.77,45.92,45.25,45.25,976200
2022-04-15,45.4,45.55,44.96,44.96,1109300
2022-04-18,45.03,45.33,44.59,45.11,1400200
2022-04-19,45.11,45.7,44.21,44.59,1147100
2022-04-20,44.29,45.33,43.84,43.99,1439300
2022-04-21,43.92,44.29,43.62,44.14,945300
2022-04-22,43.84,44.59,43.47,43.99,829600
2022-04-25,43.84,44.06,42.21,43.1,1004600
2022-04-26,42.36,43.62,42.21,43.47,854200
2022-04-27,43.4,44.59,42.13,44.59,1074100
2022-04-28,44.51,45.48,43.84,45.33,1238500
2022-04-29,45.25,46.07,45.18,45.48,1288100
2022-05-04,45.33,45.4,45.18,45.18,1168100
2022-05-05,45.25,46.07,44.59,46.0,1244000
2022-05-06,45.92,45.92,44.96,44.96,1037900
2022-05-09,44.96,44.96,43.69,44.21,959400
2022-05-10,43.92,44.51,43.69,44.51,1176500
2022-05-11,44.59,44.88,44.21,44.51,1253500
2022-05-12,44.96,44.96,43.99,44.21,1028500
2022-05-13,44.29,44.29,43.02,43.77,1140700
2022-05-16,43.84,44.29,43.62,43.77,1369300
2022-05-17,44.06,45.33,43.62,45.33,1389900
2022-05-18,45.7,45.92,44.59,44.59,1090400
2022-05-19,44.59,44.96,43.84,44.59,1315500
2022-05-20,44.59,44.81,43.84,43.92,1103800
2022-05-23,43.47,44.44,43.47,43.77,1550100
2022-05-24,43.77,43.92,42.73,42.73,1034300
2022-05-25,42.95,45.7,42.58,45.55,1429400
2022-05-26,45.55,45.92,45.48,45.63,1337600
2022-05-27,45.77,46.22,45.33,45.33,1729600
2022-05-30,45.4,46.15,45.33,45.7,1186200
2022-05-31,45.77,45.77,45.33,45.7,1415500
2022-06-01,45.33,47.56,45.33,46.81,1376800
2022-06-02,46.89,47.19,46.37,46.59,1263100
2022-06-03,46.59,46.67,46.07,46.29,1076600
2022-06-06,46.07,46.89,45.7,45.7,1176600
2022-06-07,45.77,46.07,44.51,45.03,883300
2022-06-08,45.11,46.22,44.59,46.07,1009100
2022-06-09,46.15,46.59,45.48,45.48,1176200
2022-06-10,45.4,46.07,45.33,45.4,1306900
2022-06-13,45.18,45.25,44.59,45.18,965000
2022-06-14,45.25,46.15,45.03,45.48,800200
2022-06-15,45.48,45.92,44.96,45.11,911800
2022-06-16,45.33,46.15,45.33,45.92,795200
2022-06-17,45.92,45.92,45.11,45.18,1064600
2022-06-20,45.18,45.85,44.44,45.03,1020000
2022-06-21,45.03,45.77,44.44,45.33,1216500
2022-06-22,45.33,47.48,45.03,47.48,690700
2022-06-23,47.48,47.93,46.67,46.67,715900
2022-06-24,46.67,47.48,46.59,46.96,678000
2022-06-27,46.96,47.48,46.67,47.26,1011600
2022-06-28,46.89,47.63,46.07,47.48,1080200
2022-06-29,47.41,47.93,46.81,47.56,1192900
2022-06-30,47.56,47.93,46.74,46.81,1420000
2022-07-01,46.74,46.74,46.15,46.29,1291300
2022-07-04,46.29,46.37,45.7,45.85,1314400
2022-07-05,45.85,46.29,45.33,45.85,930200
2022-07-06,45.77,46.81,45.33,45.63,1281800
2022-07-07,45.55,45.85,45.33,45.77,1189200
2022-07-08,45.63,47.04,45.55,46.29,982000
2022-07-11,46.37,46.37,45.92,46.22,896200
2022-07-12,46.22,46.44,45.77,46.0,1027600
2022-07-13,46.07,46.74,45.63,46.07,987700
2022-07-14,46.07,46.74,45.85,46.37,1283100
2022-07-15,46.37,47.04,46.37,46.67,1369400
2022-07-18,46.67,47.56,46.44,47.11,993900
2022-07-19,47.11,47.56,46.37,46.74,887300
2022-07-20,46.74,47.56,46.74,47.56,902400
2022-07-21,47.56,48.0,46.74,47.19,889300
2022-07-22,47.19,47.33,46.44,46.96,1071200
2022-07-25,47.11,47.56,46.74,47.11,1304200
2022-07-26,47.04,47.33,46.67,46.74,931700
2022-07-27,46.67,46.81,46.44,46.52,866300
2022-07-28,46.44,46.74,46.0,46.59,1063300
2022-07-29,46.59,46.89,46.0,46.07,1100700
2022-08-01,46.07,48.67,46.0,48.67,1454300
2022-08-02,48.67,49.04,48.3,48.82,1181900
2022-08-03,48.82,49.12,48.52,48.82,1325600
2022-08-04,48.82,49.12,48.23,48.67,1112800
2022-08-05,48.67,48.75,48.08,48.6,1053100
2022-08-08,48.45,48.52,48.08,48.08,947000
2022-08-09,48.08,48.45,47.71,48.37,1574200
2022-08-10,48.3,49.34,48.15,48.67,1213600
2022-08-11,48.75,49.12,48.37,48.52,1044300
