date,open,high,low,close,volume
2021-10-14,29.26,29.84,29.17,29.65,4094600
2021-10-15,29.65,29.79,29.36,29.46,2438000
2021-10-18,29.65,30.13,29.41,29.75,5583000
2021-10-19,29.75,29.75,29.26,29.26,3672000
2021-10-20,29.26,30.04,29.17,29.89,6908600
2021-10-21,29.79,29.99,29.55,29.55,5049000
2021-10-22,29.55,29.94,29.51,29.6,6222800
2021-10-25,29.7,29.7,29.36,29.36,4937100
2021-10-26,29.26,29.55,28.39,29.55,7925500
2021-10-27,29.55,30.13,29.46,30.13,10007500
2021-10-28,30.42,30.42,29.75,29.94,7355600
2021-10-29,29.94,30.13,29.65,30.13,10513500
2021-11-01,30.33,30.33,29.84,30.08,10261800
2021-11-02,30.13,30.13,29.65,29.79,8209600
2021-11-03,29.99,31.39,29.75,30.62,13730900
2021-11-04,30.66,30.86,30.13,30.47,6827500
2021-11-05,30.81,30.81,29.99,30.13,5909000
2021-11-08,29.94,30.13,29.7,29.79,8782700
2021-11-09,29.75,29.79,29.31,29.36,9569900
2021-11-10,29.36,29.99,29.36,29.84,7357000
2021-11-11,29.89,29.94,29.26,29.26,7440400
2021-11-12,29.36,29.36,28.97,29.07,6538800
2021-11-15,29.26,29.51,29.07,29.17,7837800
2021-11-16,29.26,29.55,28.97,29.02,5663300
2021-11-17,29.07,29.46,29.02,29.41,6727900
2021-11-18,29.41,30.13,29.31,30.04,12995600
2021-11-19,30.04,30.33,28.97,29.46,10339200
2021-11-22,29.46,29.55,28.88,28.88,5636600
2021-11-23,28.64,29.46,28.35,29.12,7276000
2021-11-24,29.17,30.33,29.07,30.04,10222300
2021-11-25,30.42,30.62,29.75,29.79,11957400
2021-11-26,29.75,30.33,29.26,29.36,12697200
2021-11-29,28.78,29.65,28.78,29.12,9488000
2021-11-30,29.31,29.36,28.59,28.78,9891400
2021-12-01,28.83,29.36,28.59,28.68,7203300
2021-12-02,28.68,28.88,28.64,28.64,3984100
2021-12-03,28.68,28.88,27.14,27.14,10289600
2021-12-06,27.14,27.67,26.95,27.04,8876400
2021-12-07,27.19,28.93,27.19,28.93,8994800
2021-12-08,28.93,29.55,28.88,29.07,9301000
2021-12-09,28.97,29.46,28.68,29.41,9697000
2021-12-10,29.17,29.51,29.07,29.31,6830900
2021-12-13,29.36,29.51,29.17,29.41,7975300
2021-12-14,29.31,29.41,29.07,29.17,5586400
2021-12-15,29.22,29.36,29.02,29.36,4180000
2021-12-16,29.46,29.51,29.07,29.07,4561100
2021-12-17,29.12,30.47,29.07,29.75,14701000
2021-12-20,29.75,30.33,29.75,29.99,7941600
2021-12-21,29.99,30.76,29.75,30.33,10867100
2021-12-22,30.42,30.81,29.94,30.42,8606500
2021-12-23,30.66,30.71,29.84,29.94,8710200
2021-12-24,29.94,30.42,29.75,30.18,6393100
2021-12-27,30.42,30.42,29.84,30.23,4668000
2021-12-28,30.23,30.28,29.6,29.75,5740600
2021-12-29,29.75,30.37,29.41,29.51,5010000
2021-12-30,29.46,30.08,29.36,29.46,4061200
2021-12-31,29.51,29.99,29.07,29.07,6177200
2022-01-04,29.26,30.42,29.26,30.08,8227900
2022-01-05,30.18,32.16,30.18,32.16,10789700
2022-01-06,33.32,34.38,32.93,34.38,24897800
2022-01-07,34.72,35.73,33.56,33.56,16447000
2022-01-10,33.46,35.25,33.46,33.8,11058000
2022-01-11,33.61,34.38,32.79,33.03,13557200
2022-01-12,32.79,34.82,31.1,34.77,17913300
2022-01-13,34.87,35.01,32.64,32.64,10549600
2022-01-14,31.87,33.46,31.87,33.22,5549300
2022-01-17,33.03,33.51,30.91,30.91,10933900
2022-01-18,30.52,32.06,30.42,31.29,9207200
2022-01-19,31.49,32.16,31.39,32.11,4998000
2022-01-20,31.77,33.13,31.58,32.45,5387000
2022-01-21,32.5,32.84,31.97,31.97,4567900
2022-01-24,31.97,31.97,29.94,29.94,6704400
2022-01-25,30.76,32.02,29.94,32.02,6177100
2022-01-26,32.45,34.04,32.02,32.74,8966300
2022-01-27,32.64,33.75,32.45,33.03,6133600
2022-01-28,32.93,34.58,32.93,33.75,9720700
2022-02-07,34.58,35.59,33.9,34.29,12205700
2022-02-08,34.29,34.72,33.8,34.29,5480400
2022-02-09,34.29,34.67,34.19,34.67,5340100
2022-02-10,34.77,35.44,34.09,34.77,11025800
2022-02-11,34.72,34.72,33.42,33.42,7741700
2022-02-14,32.45,33.08,31.87,31.87,9234200
2022-02-15,31.87,32.84,31.58,32.84,8107200
2022-02-16,33.03,33.27,32.6,33.13,4748300
2022-02-17,33.13,33.56,32.84,33.27,3764700
2022-02-18,32.84,33.18,32.35,32.45,6182000
2022-02-21,32.4,33.03,32.31,32.93,5509700
2022-02-22,32.74,33.61,32.35,33.32,7445200
2022-02-23,33.75,34.24,33.42,33.71,6769800
2022-02-24,33.46,33.71,32.02,32.84,12182800
2022-02-25,33.22,33.32,32.84,32.84,4080500
2022-02-28,32.84,33.03,32.35,32.35,5203100
2022-03-01,32.35,32.74,32.16,32.35,4021300
2022-03-02,32.26,32.35,31.49,31.68,7563900
2022-03-03,31.87,31.97,31.39,31.58,6796000
2022-03-04,31.53,32.84,31.24,32.6,12248000
2022-03-07,32.16,32.16,31.68,31.77,10892800
2022-03-08,31.63,31.87,31.39,31.39,4935000
2022-03-09,31.39,31.49,30.52,30.52,6560500
2022-03-10,31.0,31.49,30.91,30.91,14045300
2022-03-11,30.62,31.39,30.42,30.76,3607800
2022-03-14,30.57,31.34,29.94,30.91,5191300
2022-03-15,30.91,31.15,30.57,30.66,3266700
2022-03-16,30.91,31.05,30.66,30.66,3471300
2022-03-17,30.91,31.15,30.86,31.15,2487300
2022-03-18,31.34,32.21,31.05,31.87,6805500
2022-03-21,31.87,32.16,31.68,32.06,3556300
2022-03-22,31.87,32.21,31.82,32.06,4008800
2022-03-23,31.97,32.35,31.73,31.73,3724800
2022-03-24,31.73,31.97,31.63,31.68,3310600
2022-03-25,31.68,31.82,31.49,31.58,2087800
2022-03-28,31.39,31.77,30.91,30.91,3672900
2022-03-29,31.29,31.63,31.05,31.44,2705000
2022-03-30,31.44,32.02,31.29,31.39,3398500
2022-03-31,31.73,32.6,31.58,32.31,5659000
2022-04-01,32.26,32.89,31.92,32.89,6486100
2022-04-04,33.42,33.46,32.89,32.89,4018900
2022-04-05,32.64,33.03,32.35,32.5,3095300
2022-04-06,32.5,32.98,32.26,32.45,5411400
2022-04-07,32.5,32.64,31.53,31.53,4387100
2022-04-08,31.44,31.87,31.1,31.1,3245800
2022-04-12,31.1,31.34,30.04,30.04,4993200
2022-04-13,30.18,30.81,30.13,30.76,2713700
2022-04-14,30.91,31.0,30.66,30.76,2223100
2022-04-15,30.76,31.29,30.42,30.42,3170900
2022-04-18,30.37,30.91,30.18,30.28,3516800
2022-04-19,30.18,30.76,29.79,29.79,3404000
2022-04-20,29.79,29.99,29.41,29.6,3604800
2022-04-21,29.6,29.7,27.57,29.46,5572100
2022-04-22,29.7,30.13,29.46,29.84,3238200
2022-04-25,30.28,30.28,27.77,28.06,5632400
2022-04-26,28.1,29.99,27.43,29.99,6142800
2022-04-27,29.94,29.94,28.59,29.46,4010600
2022-04-28,29.46,29.51,28.83,28.83,3488600
2022-04-29,28.97,29.84,28.83,29.84,4185700
2022-05-04,29.7,29.7,28.78,28.93,2433100
2022-05-05,29.07,29.36,28.59,29.26,2500200
2022-05-06,28.59,29.46,28.59,28.59,7483500
2022-05-09,28.78,28.88,26.95,27.24,7497200
2022-05-10,26.95,27.38,26.85,27.14,4226400
2022-05-11,27.53,28.68,27.24,27.91,4343100
2022-05-12,27.53,27.91,25.98,25.98,3703900
2022-05-13,25.84,26.37,24.24,24.43,6901900
2022-05-16,24.63,25.88,24.63,25.35,4649600
2022-05-17,25.11,26.56,24.92,26.46,4233100
2022-05-18,26.56,26.7,25.84,26.46,6037800
2022-05-19,25.59,26.95,25.59,26.46,2294100
2022-05-20,26.46,26.75,25.93,26.41,2127600
2022-05-23,26.17,26.9,25.5,26.41,2267400
2022-05-24,26.41,27.14,25.69,27.14,2611100
2022-05-25,27.09,28.44,26.7,28.44,4121200
2022-05-26,28.39,28.73,27.96,28.59,1976300
2022-05-27,28.2,28.78,28.01,28.78,2959400
2022-05-30,28.78,28.93,28.2,28.93,2849200
2022-05-31,28.83,29.26,28.39,29.12,2498300
2022-06-01,28.88,29.12,28.54,29.02,2301500
2022-06-02,28.78,29.17,28.59,28.93,1947800
2022-06-03,28.49,28.93,28.3,28.93,1491300
2022-06-06,28.93,28.97,28.49,28.93,1387000
2022-06-07,28.64,28.88,28.15,28.88,1839000
2022-06-08,28.68,29.46,28.68,29.36,2170300
2022-06-09,29.36,29.84,28.97,29.84,1442400
2022-06-10,29.55,29.55,28.93,29.46,1936600
2022-06-13,28.1,28.39,27.43,28.01,3179400
2022-06-14,26.22,28.15,26.22,28.15,2289700
2022-06-15,28.15,28.15,27.33,27.91,2498100
2022-06-16,27.91,29.46,27.67,28.2,3090500
2022-06-17,27.82,28.83,27.53,28.35,2350300
2022-06-20,28.3,28.3,27.14,27.72,2183100
2022-06-21,26.66,27.38,26.66,27.04,2572900
2022-06-22,27.53,27.91,27.14,27.53,1221700
2022-06-23,27.09,27.48,27.04,27.09,801400
2022-06-24,27.14,27.43,26.61,26.61,974300
2022-06-27,26.75,27.82,26.7,27.77,1271000
2022-06-28,27.43,28.44,27.43,27.86,1367000
2022-06-29,27.72,28.15,27.43,27.48,1095400
2022-06-30,27.53,27.86,27.04,27.57,1605000
2022-07-01,27.57,27.67,26.95,27.67,1806800
2022-07-04,27.96,27.96,27.38,27.53,969000
2022-07-05,27.53,27.82,26.99,26.99,1079500
2022-07-06,26.66,27.04,25.11,25.11,3210800
2022-07-07,25.3,26.08,25.3,26.08,2402600
2022-07-08,26.08,26.32,25.69,26.08,1037500
2022-07-11,25.11,25.59,24.29,25.11,3468900
2022-07-12,25.21,25.55,24.72,25.3,1087600
2022-07-13,25.3,25.69,24.92,25.35,806000
2022-07-14,25.59,25.59,25.01,25.16,1161000
2022-07-15,25.11,25.4,24.77,25.3,1215800
2022-07-18,25.4,25.55,25.11,25.16,508500
2022-07-19,24.92,25.16,24.87,25.11,937900
2022-07-20,25.21,25.35,25.11,25.16,1423900
2022-07-21,25.21,25.55,25.11,25.4,2005900
2022-07-22,25.45,25.79,25.11,25.11,1146000
2022-07-25,25.16,25.4,24.97,25.4,1173900
2022-07-26,25.21,25.5,25.11,25.16,550700
2022-07-27,25.3,25.4,25.11,25.4,676600
2022-07-28,25.5,27.14,25.45,27.14,4379900
2022-07-29,27.43,27.57,26.66,27.04,2024600
2022-08-01,27.04,28.01,26.85,28.01,2238700
2022-08-02,27.72,28.01,27.38,28.01,2183100
2022-08-03,27.53,28.06,27.33,28.06,1940500
2022-08-04,27.91,28.49,27.67,28.01,1213600
2022-08-05,27.53,28.1,27.53,27.96,1298600
2022-08-08,27.72,27.96,27.72,27.72,933200
2022-08-09,27.82,27.91,27.57,27.57,771900
2022-08-10,27.53,27.91,27.43,27.43,824100
2022-08-11,27.67,28.54,27.53,27.91,2321200
