baseline_config,comparison_config,model,fold_id,date,metric,baseline_value,comparison_value,delta,n_baseline_observations,n_comparison_observations,pair_status,artifact_schema_version
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-11,balanced_accuracy,0.428030303030303,0.428030303030303,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-11,auc,0.42992424242424243,0.42992424242424243,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-11,f1,0.5054945054945055,0.5054945054945055,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-11,precision_at_10_by_date,0.6,0.6,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-11,daily_rank_ic,-0.306094702297234,-0.306094702297234,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-14,balanced_accuracy,0.4532828282828283,0.4532828282828283,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-14,auc,0.4627525252525253,0.4627525252525253,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-14,f1,0.5274725274725275,0.5274725274725275,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-14,precision_at_10_by_date,0.6,0.6,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-14,daily_rank_ic,-0.19308485700890765,-0.19308485700890765,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-15,balanced_accuracy,0.4532828282828283,0.4532828282828283,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-15,auc,0.4772727272727273,0.4772727272727273,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-15,f1,0.5274725274725275,0.5274725274725275,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-15,precision_at_10_by_date,0.7,0.7,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-15,daily_rank_ic,-0.1456165025785279,-0.1456165025785279,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-16,balanced_accuracy,0.4179761156505343,0.4179761156505343,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-16,auc,0.4481458202388435,0.4481458202388435,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-16,f1,0.4888888888888889,0.4888888888888889,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-16,precision_at_10_by_date,0.6,0.6,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-16,daily_rank_ic,-0.08863103609939053,-0.08863103609939053,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-17,balanced_accuracy,0.4532828282828283,0.4532828282828283,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-17,auc,0.4457070707070707,0.4457070707070707,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-17,f1,0.5274725274725275,0.5274725274725275,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-17,precision_at_10_by_date,0.5,0.5,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-17,daily_rank_ic,-0.10761837787154242,-0.10761837787154242,0.0,80,80,paired,outperform_ml_paired_daily_v1
A_technical,B_technical_keyword,LogisticRegression,1,2022-02-18,balanced_accuracy,0.4727954971857411,0.4727954971857411,0.0,80,80,paired,outperform_ml_paired_daily_v1
