artifact_schema_version,news_id,ticker,effective_date,placebo_window,pre_window_start_offset,pre_window_end_offset,pre_window_start_date,pre_window_end_date,ticker_relevance,materiality,direction,event_type,raw_return,benchmark_return,market_adjusted_return
placebo_pre_event_outcomes_v1,76175bf56ac0018b,ABB,2025-01-02,T-20:T-1,-20,-1,2024-12-04,2024-12-31,direct,low,neutral,earnings,0.013493253373313419,0.021259099813771165,-0.0077658464404577465
placebo_pre_event_outcomes_v1,76175bf56ac0018b,ABB,2025-01-02,T-60:T-21,-60,-21,2024-10-09,2024-12-03,direct,low,neutral,earnings,-0.06451612903225801,-0.024979521784920244,-0.03953660724733776
placebo_pre_event_outcomes_v1,4eb06d4f458c89b0,ACB,2023-04-12,T-20:T-1,-20,-1,2023-03-15,2023-04-11,direct,low,neutral,governance,0.005586592178770999,0.00684434988090632,-0.0012577577021353203
placebo_pre_event_outcomes_v1,4eb06d4f458c89b0,ACB,2023-04-12,T-60:T-21,-60,-21,2023-01-11,2023-03-14,direct,low,neutral,governance,-0.005728314238952592,-0.014804501022959604,0.009076186784007012
placebo_pre_event_outcomes_v1,6022742da611a1d5,ACB,2024-06-10,T-20:T-1,-20,-1,2024-05-13,2024-06-07,direct,high,support,dividend,0.05731343283582091,0.038220258349594305,0.019093174486226605
placebo_pre_event_outcomes_v1,6022742da611a1d5,ACB,2024-06-10,T-60:T-21,-60,-21,2024-03-12,2024-05-10,direct,high,support,dividend,0.035228677379480766,-0.00024096385542160537,0.03546964123490237
placebo_pre_event_outcomes_v1,c7b80f1af91e67ba,ACB,2025-12-17,T-20:T-1,-20,-1,2025-11-19,2025-12-16,direct,medium,risk,debt,-0.03589743589743588,0.0183020012128563,-0.05419943711029218
placebo_pre_event_outcomes_v1,c7b80f1af91e67ba,ACB,2025-12-17,T-60:T-21,-60,-21,2025-09-24,2025-11-18,direct,medium,risk,debt,-0.03437499999999993,0.001484198713694429,-0.03585919871369436
placebo_pre_event_outcomes_v1,4eec191da8766931,ACB,2026-06-05,T-20:T-1,-20,-1,2026-05-08,2026-06-04,direct,high,support,dividend,0.148806500761808,-0.04376177970835915,0.19256828047016716
placebo_pre_event_outcomes_v1,4eec191da8766931,ACB,2026-06-05,T-60:T-21,-60,-21,2026-03-10,2026-05-07,direct,high,support,dividend,-0.01102756892230572,0.13853154652209954,-0.14955911544440526
placebo_pre_event_outcomes_v1,b3e9706d0a256bda,ANV,2026-01-05,T-20:T-1,-20,-1,2025-12-04,2025-12-31,direct,low,neutral,governance,-0.1091854419410746,0.02719831456793531,-0.1363837565090099
