field,actual,predicted_rule,count
consensus_direction,mixed,mixed,0
consensus_direction,mixed,neutral,0
consensus_direction,mixed,risk,2
consensus_direction,mixed,support,7
consensus_direction,mixed,unclear,0
consensus_direction,neutral,mixed,0
consensus_direction,neutral,neutral,0
consensus_direction,neutral,risk,16
consensus_direction,neutral,support,17
consensus_direction,neutral,unclear,20
consensus_direction,risk,mixed,0
consensus_direction,risk,neutral,0
consensus_direction,risk,risk,11
consensus_direction,risk,support,1
consensus_direction,risk,unclear,4
consensus_direction,support,mixed,0
consensus_direction,support,neutral,0
consensus_direction,support,risk,2
consensus_direction,support,support,35
consensus_direction,support,unclear,7
consensus_direction,unclear,mixed,0
consensus_direction,unclear,neutral,0
consensus_direction,unclear,risk,0
consensus_direction,unclear,support,0
consensus_direction,unclear,unclear,0
consensus_event_type,analyst,analyst,0
consensus_event_type,analyst,capital,0
consensus_event_type,analyst,debt,0
consensus_event_type,analyst,dividend,0
consensus_event_type,analyst,earnings,1
consensus_event_type,analyst,governance,0
consensus_event_type,analyst,legal,0
consensus_event_type,analyst,market,0
consensus_event_type,analyst,other,0
consensus_event_type,analyst,project,0
consensus_event_type,analyst,sector,0
consensus_event_type,analyst,unclear,0
consensus_event_type,capital,analyst,0
consensus_event_type,capital,capital,0
consensus_event_type,capital,debt,0
consensus_event_type,capital,dividend,10
consensus_event_type,capital,earnings,2
consensus_event_type,capital,governance,0
consensus_event_type,capital,legal,4
consensus_event_type,capital,market,0
consensus_event_type,capital,other,0
consensus_event_type,capital,project,1
consensus_event_type,capital,sector,0
consensus_event_type,capital,unclear,8
consensus_event_type,debt,analyst,0
consensus_event_type,debt,capital,0
consensus_event_type,debt,debt,0
consensus_event_type,debt,dividend,0
consensus_event_type,debt,earnings,0
consensus_event_type,debt,governance,0
consensus_event_type,debt,legal,15
consensus_event_type,debt,market,0
consensus_event_type,debt,other,0
consensus_event_type,debt,project,0
consensus_event_type,debt,sector,0
consensus_event_type,debt,unclear,2
consensus_event_type,dividend,analyst,0
consensus_event_type,dividend,capital,0
consensus_event_type,dividend,debt,0
consensus_event_type,dividend,dividend,5
consensus_event_type,dividend,earnings,6
consensus_event_type,dividend,governance,0
consensus_event_type,dividend,legal,0
consensus_event_type,dividend,market,0
consensus_event_type,dividend,other,0
consensus_event_type,dividend,project,0
consensus_event_type,dividend,sector,0
consensus_event_type,dividend,unclear,4
