model,config,precision_class0,recall_class0,f1_class0,precision_class1,recall_class1,f1_class1,balanced_accuracy,auc_roc,unit,cutoff
Logistic_Regression,Config_A,0.6666666666666666,0.8169014084507042,0.7341772151898734,0.7936507936507936,0.6329113924050633,0.704225352112676,0.7249064004278838,0.755214833303619,quarter,2025Q1
Logistic_Regression,Config_C,0.6585365853658537,0.7605633802816901,0.7058823529411765,0.75,0.6455696202531646,0.6938775510204082,0.7030665002674273,0.760028525583883,quarter,2025Q1
Logistic_Regression,delta_C_minus_A,-0.008130081300812941,-0.05633802816901412,-0.028294862248696928,-0.04365079365079361,0.012658227848101222,-0.01034780109226785,-0.02183990016045645,0.004813692280263959,quarter,2025Q1
Random_Forest,Config_A,0.7108433734939759,0.8309859154929577,0.7662337662337663,0.8208955223880597,0.6962025316455697,0.7534246575342466,0.7635942235692637,0.8224282403280442,quarter,2025Q1
Random_Forest,Config_C,0.7428571428571429,0.7323943661971831,0.7375886524822695,0.7625,0.7721518987341772,0.7672955974842768,0.7522731324656802,0.8033517561062578,quarter,2025Q1
Random_Forest,delta_C_minus_A,0.03201376936316702,-0.09859154929577463,-0.02864511375149681,-0.058395522388059784,0.07594936708860756,0.013870939950030192,-0.01132109110358348,-0.019076484221786427,quarter,2025Q1
XGBoost,Config_A,0.6666666666666666,0.8169014084507042,0.7341772151898734,0.7936507936507936,0.6329113924050633,0.704225352112676,0.7249064004278838,0.809235157782136,quarter,2025Q1
XGBoost,Config_C,0.6794871794871795,0.7464788732394366,0.7114093959731543,0.75,0.6835443037974683,0.7152317880794702,0.7150115885184525,0.8201105366375468,quarter,2025Q1
XGBoost,delta_C_minus_A,0.012820512820512886,-0.07042253521126762,-0.02276781921671911,-0.04365079365079361,0.050632911392405,0.011006435966794181,-0.009894811909431311,0.0108753788554109,quarter,2025Q1
LightGBM,Config_A,0.6746987951807228,0.7887323943661971,0.7272727272727273,0.7761194029850746,0.6582278481012658,0.7123287671232876,0.7234801212337314,0.7931895168479229,quarter,2025Q1
LightGBM,Config_C,0.6753246753246753,0.7323943661971831,0.7027027027027027,0.7397260273972602,0.6835443037974683,0.7105263157894737,0.7079693349973257,0.8012123373150294,quarter,2025Q1
LightGBM,delta_C_minus_A,0.0006258801439524841,-0.05633802816901401,-0.02457002457002455,-0.036393375587814414,0.025316455696202556,-0.0018024513338139592,-0.015510786236405671,0.00802282046710645,quarter,2025Q1
