model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy
Majority_Class,Config_A,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_A,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_A,0.7275,0.7120418848167539,0.7157894736842105,0.7268837815320818,0.7785714285714286,0.7269423558897243
Random_Forest,Config_A,0.735,0.7142857142857143,0.7368421052631579,0.7346749768466372,0.8096365914786967,0.7350877192982456
XGBoost,Config_A,0.73,0.7157894736842105,0.7157894736842105,0.7293233082706767,0.8068170426065163,0.7293233082706767
LightGBM,Config_A,0.76,0.7422680412371134,0.7578947368421053,0.7596153846153846,0.8235087719298245,0.7598997493734336
Majority_Class,Config_B,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_B,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_B,0.5,0.47641509433962265,0.531578947368421,0.49998749968749223,0.5157268170426066,0.5015037593984962
Random_Forest,Config_B,0.52,0.4956140350877193,0.5947368421052631,0.519026027706105,0.5098245614035087,0.5235588972431078
XGBoost,Config_B,0.5275,0.5029239766081871,0.45263157894736844,0.5229651878166823,0.517468671679198,0.5239348370927318
LightGBM,Config_B,0.5225,0.49743589743589745,0.5105263157894737,0.5218275700203411,0.5232832080200502,0.5219298245614035
Majority_Class,Config_C,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_C,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_C,0.6975,0.6825396825396826,0.6789473684210526,0.6966639299569439,0.7481954887218045,0.6966165413533835
Random_Forest,Config_C,0.7125,0.6651982378854625,0.7947368421052632,0.7119797634477275,0.7816165413533835,0.7164160401002506
XGBoost,Config_C,0.725,0.696078431372549,0.7473684210526316,0.724938111074992,0.8070426065162908,0.7260651629072682
LightGBM,Config_C,0.735,0.7,0.7736842105263158,0.735,0.8181954887218045,0.7368421052631579
