ticker,has_price,trading_days,start,end,avg_volume_120d,in_hose80
ACB,True,1176,2021-10-14,2026-07-03,17090313.591666665,True
BCM,True,1176,2021-10-14,2026-07-03,867981.5,True
BID,True,1176,2021-10-14,2026-07-03,8585135.833333334,True
BVH,True,1176,2021-10-14,2026-07-03,849803.3333333334,True
CTG,True,1176,2021-10-14,2026-07-03,11616892.5,True
FPT,True,1176,2021-10-14,2026-07-03,11233236.741666667,True
GAS,True,1176,2021-10-14,2026-07-03,2667720.0,True
GVR,True,1176,2021-10-14,2026-07-03,5157777.5,True
HDB,True,1176,2021-10-14,2026-07-03,14086186.666666666,True
HPG,True,1176,2021-10-14,2026-07-03,35462451.666666664,True
MBB,True,1176,2021-10-14,2026-07-03,21283408.333333332,True
MSN,True,1176,2021-10-14,2026-07-03,5984580.833333333,True
MWG,True,1176,2021-10-14,2026-07-03,6759787.5,True
PLX,True,1176,2021-10-14,2026-07-03,6196005.0,True
POW,True,1176,2021-10-14,2026-07-03,15832920.833333334,True
SAB,True,1176,2021-10-14,2026-07-03,1082908.6916666667,True
SHB,True,1176,2021-10-14,2026-07-03,60663961.575,True
SSB,True,1176,2021-10-14,2026-07-03,2188149.1666666665,True
SSI,True,1176,2021-10-14,2026-07-03,26627507.5,True
STB,True,1176,2021-10-14,2026-07-03,9390325.833333334,True
TCB,True,1176,2021-10-14,2026-07-03,12803483.025,True
TPB,True,1176,2021-10-14,2026-07-03,12235580.0,True
VCB,True,1176,2021-10-14,2026-07-03,9240075.833333334,True
VHM,True,1176,2021-10-14,2026-07-03,6498016.741666666,True
VIB,True,1176,2021-10-14,2026-07-03,7196574.208333333,True
VIC,True,1176,2021-10-14,2026-07-03,4368921.666666667,True
VJC,True,1176,2021-10-14,2026-07-03,1286435.875,True
VNM,True,1176,2021-10-14,2026-07-03,5568594.891666667,True
VPB,True,1176,2021-10-14,2026-07-03,17421253.625,True
VRE,True,1176,2021-10-14,2026-07-03,7571899.55,True
EIB,True,1176,2021-10-14,2026-07-03,9172681.666666666,True
LPB,True,1176,2021-10-14,2026-07-03,1755292.325,True
MSB,True,1176,2021-10-14,2026-07-03,9735921.666666666,True
NAB,True,1176,2021-10-06,2026-07-03,1679346.5166666666,True
OCB,True,1176,2021-10-14,2026-07-03,2718653.85,True
PGB,False,0,,,0.0,True
VBB,False,0,,,0.0,True
BVB,False,0,,,0.0,True
ABB,False,0,,,0.0,True
KLB,False,0,,,0.0,True
BAB,False,0,,,0.0,True
VCI,True,1176,2021-10-14,2026-07-03,9933801.708333334,True
HCM,True,1176,2021-10-14,2026-07-03,12154179.075,True
VND,True,1176,2021-10-14,2026-07-03,14195632.183333334,True
MBS,True,1176,2021-10-14,2026-07-03,4867053.516666667,True
BSI,False,0,,,0.0,True
KDH,True,1176,2021-10-14,2026-07-03,4915142.5,True
NVL,True,1176,2021-10-14,2026-07-03,17909125.966666665,True
DXG,True,1176,2021-10-14,2026-07-03,15222915.241666667,True
PDR,True,1176,2021-10-14,2026-07-03,9980436.666666666,True
NLG,True,1176,2021-10-14,2026-07-03,2968577.025,True
DIG,True,1176,2021-10-14,2026-07-03,9584676.666666666,True
HDG,True,1176,2021-10-14,2026-07-03,2264356.6083333334,True
VCG,True,1176,2021-10-14,2026-07-03,8406701.666666666,True
SCR,False,0,,,0.0,True
HSG,True,1176,2021-10-14,2026-07-03,3715853.091666667,True
NKG,True,1176,2021-10-14,2026-07-03,4048214.8333333335,True
VGC,True,1176,2021-10-14,2026-07-03,1056444.1666666667,True
PHR,True,1176,2021-10-14,2026-07-03,605602.5,True
CSV,False,0,,,0.0,True
DPM,True,1176,2021-10-14,2026-07-03,6781261.666666667,True
DCM,True,1176,2021-10-14,2026-07-03,4374638.333333333,True
BMP,True,1176,2021-10-14,2026-07-03,185344.275,True
REE,True,1176,2021-10-14,2026-07-03,876539.3916666667,True
NT2,True,1176,2021-10-14,2026-07-03,1130871.6666666667,True
PPC,True,1176,2021-10-14,2026-07-03,375934.1666666667,True
GEX,True,1176,2021-10-14,2026-07-03,10956254.2,True
EVF,False,0,,,0.0,True
PNJ,True,1176,2021-10-14,2026-07-03,1544593.3083333333,True
DGW,True,1176,2021-10-14,2026-07-03,2165655.216666667,True
FRT,True,1176,2021-10-14,2026-07-03,471110.05833333335,True
MCH,False,0,,,0.0,True
VHC,True,1176,2021-10-14,2026-07-03,1018610.8333333334,True
ANV,True,1176,2021-10-14,2026-07-03,1089718.3333333333,True
CMG,True,1176,2021-10-14,2026-07-03,374631.26666666666,True
ELC,False,0,,,0.0,True
GMD,True,1176,2021-10-14,2026-07-03,1789613.6833333333,True
VSC,True,1176,2021-10-14,2026-07-03,6957165.833333333,True
PVT,True,1176,2021-10-14,2026-07-03,7564059.833333333,True
HAH,True,1176,2021-10-14,2026-07-03,1606463.3333333333,True
ITA,True,1176,2020-01-09,2024-09-25,2109915.1333333333,False
HAG,True,1176,2021-10-14,2026-07-03,5105814.166666667,False
HNG,True,1176,2021-10-04,2026-07-03,4132251.6666666665,False
DRC,True,1176,2021-10-14,2026-07-03,356632.95,False
SBT,True,1176,2021-10-14,2026-07-03,551770.725,False
PAN,True,1176,2021-10-14,2026-07-03,1030204.5083333333,False
TCH,True,1176,2021-10-14,2026-07-03,7796478.333333333,False
KBC,True,1176,2021-10-14,2026-07-03,4013748.3333333335,False
IJC,True,1176,2021-10-14,2026-07-03,2164109.0,False
TLG,True,1176,2021-10-14,2026-07-03,191032.53333333333,False
PC1,True,1176,2021-10-14,2026-07-03,7821315.833333333,False
KOS,True,1176,2021-10-14,2026-07-03,393145.0,False
VPI,True,1176,2021-10-14,2026-07-03,2302506.6666666665,False
AGG,True,1176,2021-10-14,2026-07-03,352286.6666666667,False
BWE,True,1176,2021-10-14,2026-07-03,175960.025,False
CTD,True,1176,2021-10-14,2026-07-03,864483.4333333333,False
FCN,True,1176,2021-10-14,2026-07-03,802782.5,False
HBC,True,1176,2021-10-04,2026-07-03,1148123.3333333333,False
LHG,True,1176,2021-10-14,2026-07-03,92414.16666666667,False
SJS,True,1176,2021-10-14,2026-07-03,32515.833333333332,False
VOS,True,1176,2021-10-14,2026-07-03,1693496.6666666667,False
TNH,True,1176,2021-10-14,2026-07-03,130693.33333333333,False
SZC,True,1176,2021-10-14,2026-07-03,890097.5,False
TDC,True,1176,2021-10-14,2026-07-03,154653.81666666668,False
VGS,True,1176,2021-10-14,2026-07-03,444686.7916666667,False
HT1,True,1176,2021-10-14,2026-07-03,473034.1666666667,False
BCC,True,1176,2021-10-14,2026-07-03,76305.0,False
TCM,True,1176,2021-10-14,2026-07-03,1194751.8416666666,False
TNG,True,1176,2021-10-14,2026-07-03,1656863.0083333333,False
TDM,True,1176,2021-10-13,2026-07-03,11587.7,False
AAA,True,1176,2021-10-14,2026-07-03,1163822.5,False
APG,True,1176,2021-10-14,2026-07-03,616291.6666666666,False
CII,True,1176,2021-10-14,2026-07-03,15915997.5,False
DBD,True,1176,2021-10-14,2026-07-03,38870.833333333336,False
DHC,True,1176,2021-10-14,2026-07-03,409152.0333333333,False
DPG,True,1176,2021-10-14,2026-07-03,682279.4833333333,False
DVN,True,1176,2021-10-14,2026-07-03,58290.0,False
GIL,True,1176,2021-10-14,2026-07-03,224317.5,False
GTN,False,0,,,0.0,False
IDI,True,1176,2021-10-14,2026-07-03,514751.6666666667,False
KDC,True,1176,2021-10-14,2026-07-03,457655.7166666667,False
LCG,True,1176,2021-10-14,2026-07-03,1879658.0,False
MSH,True,1176,2021-10-14,2026-07-03,418000.88333333336,False
