ticker,trading_days,start,end,avg_volume_120d,news_count
CII,1176,2021-10-14,2026-07-03,15915997.5,0.0
PC1,1176,2021-10-14,2026-07-03,7821315.833333333,0.0
TCH,1176,2021-10-14,2026-07-03,7796478.333333333,0.0
HAG,1176,2021-10-14,2026-07-03,5105814.166666667,0.0
HNG,1176,2021-10-04,2026-07-03,4132251.6666666665,0.0
KBC,1176,2021-10-14,2026-07-03,4013748.3333333335,0.0
VPI,1176,2021-10-14,2026-07-03,2302506.6666666665,0.0
IJC,1176,2021-10-14,2026-07-03,2164109.0,0.0
LCG,1176,2021-10-14,2026-07-03,1879658.0,0.0
VOS,1176,2021-10-14,2026-07-03,1693496.6666666667,0.0
TNG,1176,2021-10-14,2026-07-03,1656863.0083333333,0.0
TCM,1176,2021-10-14,2026-07-03,1194751.8416666666,0.0
AAA,1176,2021-10-14,2026-07-03,1163822.5,0.0
HBC,1176,2021-10-04,2026-07-03,1148123.3333333333,0.0
PAN,1176,2021-10-14,2026-07-03,1030204.5083333333,0.0
SZC,1176,2021-10-14,2026-07-03,890097.5,0.0
CTD,1176,2021-10-14,2026-07-03,864483.4333333333,0.0
FCN,1176,2021-10-14,2026-07-03,802782.5,0.0
DPG,1176,2021-10-14,2026-07-03,682279.4833333333,0.0
APG,1176,2021-10-14,2026-07-03,616291.6666666666,0.0
SBT,1176,2021-10-14,2026-07-03,551770.725,0.0
IDI,1176,2021-10-14,2026-07-03,514751.6666666667,0.0
HT1,1176,2021-10-14,2026-07-03,473034.1666666667,0.0
KDC,1176,2021-10-14,2026-07-03,457655.7166666667,0.0
VGS,1176,2021-10-14,2026-07-03,444686.7916666667,0.0
MSH,1176,2021-10-14,2026-07-03,418000.88333333336,0.0
DHC,1176,2021-10-14,2026-07-03,409152.0333333333,0.0
KOS,1176,2021-10-14,2026-07-03,393145.0,0.0
DRC,1176,2021-10-14,2026-07-03,356632.95,0.0
AGG,1176,2021-10-14,2026-07-03,352286.6666666667,0.0
GIL,1176,2021-10-14,2026-07-03,224317.5,0.0
TLG,1176,2021-10-14,2026-07-03,191032.53333333333,0.0
BWE,1176,2021-10-14,2026-07-03,175960.025,0.0
TDC,1176,2021-10-14,2026-07-03,154653.81666666668,0.0
TNH,1176,2021-10-14,2026-07-03,130693.33333333333,0.0
LHG,1176,2021-10-14,2026-07-03,92414.16666666667,0.0
DBD,1176,2021-10-14,2026-07-03,38870.833333333336,0.0
SJS,1176,2021-10-14,2026-07-03,32515.833333333332,0.0
