ticker,trading_days,start,end,avg_volume_120d
CII,1176,2021-10-14,2026-07-03,15915997.5
PC1,1176,2021-10-14,2026-07-03,7821315.833333333
TCH,1176,2021-10-14,2026-07-03,7796478.333333333
KBC,1176,2021-10-14,2026-07-03,4013748.3333333335
VPI,1176,2021-10-14,2026-07-03,2302506.6666666665
IJC,1176,2021-10-14,2026-07-03,2164109.0
LCG,1176,2021-10-14,2026-07-03,1879658.0
VOS,1176,2021-10-14,2026-07-03,1693496.6666666667
TCM,1176,2021-10-14,2026-07-03,1194751.8416666666
AAA,1176,2021-10-14,2026-07-03,1163822.5
PAN,1176,2021-10-14,2026-07-03,1030204.5083333333
SZC,1176,2021-10-14,2026-07-03,890097.5
CTD,1176,2021-10-14,2026-07-03,864483.4333333333
FCN,1176,2021-10-14,2026-07-03,802782.5
DPG,1176,2021-10-14,2026-07-03,682279.4833333333
SBT,1176,2021-10-14,2026-07-03,551770.725
IDI,1176,2021-10-14,2026-07-03,514751.6666666667
HT1,1176,2021-10-14,2026-07-03,473034.1666666667
KDC,1176,2021-10-14,2026-07-03,457655.7166666667
MSH,1176,2021-10-14,2026-07-03,418000.88333333336
DHC,1176,2021-10-14,2026-07-03,409152.0333333333
KOS,1176,2021-10-14,2026-07-03,393145.0
DRC,1176,2021-10-14,2026-07-03,356632.95
AGG,1176,2021-10-14,2026-07-03,352286.6666666667
GIL,1176,2021-10-14,2026-07-03,224317.5
TLG,1176,2021-10-14,2026-07-03,191032.53333333333
BWE,1176,2021-10-14,2026-07-03,175960.025
TDC,1176,2021-10-14,2026-07-03,154653.81666666668
TNH,1176,2021-10-14,2026-07-03,130693.33333333333
LHG,1176,2021-10-14,2026-07-03,92414.16666666667
DBD,1176,2021-10-14,2026-07-03,38870.833333333336
SJS,1176,2021-10-14,2026-07-03,32515.833333333332
