keyword,direction,n_occurrences,n_excluded,chi_statistic,chi_p_raw,chi_p_adj,chi_test_used,mw_statistic,mw_p_raw,mw_p_adj,logit_coef,logit_ci_lower,logit_ci_upper,logit_p_raw,logit_p_adj,significant_chi,significant_mw,significant_logit,significant_any,subgroup,subgroup_n
lợi nhuận tăng,positive,22,0,0.0,1.0,1.0,chi_square,50513.5,0.952706749844747,0.9928974676361426,,,,,,False,False,False,False,news_count>=15,636
doanh thu tăng,positive,7,0,0.7334905660377359,0.7227225178630926,1.0,fisher_exact,50388.0,0.6864647903236532,0.8980109365127421,,,,,,False,False,False,False,news_count>=15,636
tăng trưởng mạnh,positive,19,0,0.0017432211073435734,0.966696480228655,1.0,chi_square,50351.5,0.7635894466870594,0.9163073360244712,,,,,,False,False,False,False,news_count>=15,636
vượt kế hoạch,positive,15,0,0.31315034467140657,0.5757534114756562,1.0,chi_square,50054.0,0.4088422858084966,0.7495441906489104,,,,,,False,False,False,False,news_count>=15,636
kỷ lục,positive,63,0,0.9663360486447463,0.3255956607992133,1.0,chi_square,51785.5,0.30672969513085824,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
tăng trưởng,positive,174,0,0.692972753706607,0.4051550738453773,1.0,chi_square,52152.5,0.3808060587359807,0.7180914250449922,,,,,,False,False,False,False,news_count>=15,636
lãi ròng,positive,37,0,0.0034967045654639315,0.9528462223968072,1.0,chi_square,50310.0,0.7927014169505295,0.9339881217235071,,,,,,False,False,False,False,news_count>=15,636
kết quả tích cực,positive,1,0,inf,1.0,1.0,fisher_exact,50715.0,0.3234145728107669,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
lãi khủng,positive,1,0,inf,1.0,1.0,fisher_exact,50715.0,0.3234145728107669,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
lãi lớn,positive,11,0,1.5580803495569846,0.21194651548906043,1.0,chi_square,49746.5,0.12133656990828691,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
lãi đậm,positive,4,0,0.325,0.3691460331241556,1.0,fisher_exact,50234.0,0.3085971124198723,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
báo lãi,positive,101,0,0.1092984310347231,0.7409442799731571,1.0,chi_square,51159.5,0.6832113354182943,0.8980109365127421,,,,,,False,False,False,False,news_count>=15,636
lợi nhuận kỷ lục,positive,2,0,0.0,0.24491160303075318,1.0,fisher_exact,50236.5,0.15371918022971526,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
doanh thu kỷ lục,positive,6,0,0.9811320754716981,1.0,1.0,fisher_exact,50548.5,0.9825183967643987,0.9928974676361426,,,,,,False,False,False,False,news_count>=15,636
lãi kỷ lục,positive,23,0,0.6456311467515947,0.42167900295153427,1.0,chi_square,51336.0,0.2991595700038301,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
bứt phá,positive,37,0,0.38254050114315763,0.5362467294634118,1.0,chi_square,51309.5,0.42395181476984867,0.7562383722921625,,,,,,False,False,False,False,news_count>=15,636
tăng vọt,positive,10,0,1.480952380952381,0.7520617603620529,1.0,fisher_exact,50862.0,0.5425613371361704,0.8439360937409085,,,,,,False,False,False,False,news_count>=15,636
tăng mạnh,positive,40,0,1.1701782242094598,0.2793646232636049,1.0,chi_square,51778.5,0.21058587404490114,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
khởi sắc,positive,6,0,0.9811320754716981,1.0,1.0,fisher_exact,50547.0,0.9794340485560213,0.9928974676361426,,,,,,False,False,False,False,news_count>=15,636
phục hồi,positive,21,0,0.0,1.0,1.0,chi_square,50665.0,0.8813970654261187,0.9859695986122684,,,,,,False,False,False,False,news_count>=15,636
lập đỉnh,positive,13,0,0.0011812432628201758,0.9725827280849987,1.0,chi_square,50368.0,0.7392612493283227,0.9035415269568388,,,,,,False,False,False,False,news_count>=15,636
hoàn thành kế hoạch,positive,7,0,inf,0.015141134756376393,0.404148541899619,fisher_exact,51660.0,0.008485070421712072,0.2465328725660489,,,,,,False,False,False,False,news_count>=15,636
chia cổ tức,positive,89,0,5.850126445391368,0.015575932013609607,0.404148541899619,chi_square,54053.5,0.012369176958059799,0.2465328725660489,,,,,,False,False,False,False,news_count>=15,636
cổ tức cao,positive,1,0,inf,1.0,1.0,fisher_exact,50715.0,0.3234145728107669,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
mua lại cổ phiếu,positive,24,0,0.025914872698820077,0.8721083888959696,1.0,chi_square,50824.0,0.7280065273339933,0.9035415269568388,,,,,,False,False,False,False,news_count>=15,636
tăng vốn điều lệ,positive,159,0,0.16982643524699598,0.6802661062303517,1.0,chi_square,51809.0,0.4776000936613035,0.8295159521485798,,,,,,False,False,False,False,news_count>=15,636
cổ tức tiền mặt,positive,41,0,0.06785399730897648,0.7944873717587981,1.0,chi_square,50984.5,0.6653992570179634,0.8980109365127421,,,,,,False,False,False,False,news_count>=15,636
giảm nợ,positive,3,0,0.4890625,0.6208887078806238,1.0,fisher_exact,50393.0,0.5508609342387951,0.8439360937409085,,,,,,False,False,False,False,news_count>=15,636
trả nợ,positive,16,0,3.0077768207071776,0.08286587313252947,0.781306803820992,chi_square,51800.0,0.04813353929333052,0.4538305133371163,,,,,,False,False,False,False,news_count>=15,636
hệ số an toàn vốn,positive,3,0,1.968652037617555,1.0,1.0,fisher_exact,50712.0,0.5754109730051649,0.8439360937409085,,,,,,False,False,False,False,news_count>=15,636
ký kết hợp đồng,positive,51,0,2.341995814541169,0.12592812235593118,0.9362876772492166,chi_square,48723.0,0.09278338364321312,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
mở rộng thị trường,positive,3,0,1.968652037617555,1.0,1.0,fisher_exact,50713.0,0.5729328652569801,0.8439360937409085,,,,,,False,False,False,False,news_count>=15,636
dự án mới,positive,1,0,0.0,0.49528301886792453,1.0,fisher_exact,50397.0,0.31425488672528257,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
hợp tác chiến lược,positive,12,0,4.297945408693073,0.03815844568937997,0.5036914830998156,chi_square,49277.5,0.01911053593848803,0.25225907438804196,,,,,,False,False,False,False,news_count>=15,636
thắng thầu,positive,2,0,0.98125,1.0,1.0,fisher_exact,50555.0,0.9928974676361426,0.9928974676361426,,,,,,False,False,False,False,news_count>=15,636
lợi nhuận giảm,negative,7,0,1.3123028391167193,1.0,1.0,fisher_exact,50705.5,0.7246098999387101,0.9035415269568388,,,,,,False,False,False,False,news_count>=15,636
thua lỗ,negative,3,0,0.4890625,0.6208887078806238,1.0,fisher_exact,50393.0,0.5508609342387951,0.8439360937409085,,,,,,False,False,False,False,news_count>=15,636
lỗ ròng,negative,3,0,1.968652037617555,1.0,1.0,fisher_exact,50712.0,0.5754109730051649,0.8439360937409085,,,,,,False,False,False,False,news_count>=15,636
sụt giảm,negative,11,0,0.3326621968685522,0.5640956790951398,1.0,chi_square,51024.0,0.3730840522458626,0.7180914250449922,,,,,,False,False,False,False,news_count>=15,636
báo lỗ,negative,4,0,2.9622641509433962,0.6238832678499713,1.0,fisher_exact,50870.0,0.3253635775668823,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
lỗ lớn,negative,1,0,0.0,0.49528301886792453,1.0,fisher_exact,50397.0,0.31425488672528257,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
lỗ kỷ lục,negative,1,0,inf,1.0,1.0,fisher_exact,50715.0,0.3234145728107669,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
lỗ lũy kế,negative,2,0,0.98125,1.0,1.0,fisher_exact,50554.0,0.9893463773315961,0.9928974676361426,,,,,,False,False,False,False,news_count>=15,636
lao dốc,negative,6,0,4.968354430379747,0.21665768781563044,1.0,fisher_exact,51183.0,0.10714631774179958,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
giảm sâu,negative,13,0,0.0,1.0,1.0,chi_square,50685.0,0.8230306579105733,0.9365521279672041,,,,,,False,False,False,False,news_count>=15,636
giảm mạnh,negative,25,0,1.3835193591455275,0.23950258095457896,1.0,chi_square,51600.5,0.18137627032317438,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
tụt dốc,negative,1,0,0.0,0.49528301886792453,1.0,fisher_exact,50397.0,0.31425488672528257,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
không chia cổ tức,negative,5,0,inf,0.06157353093916745,0.6773088403308419,fisher_exact,51345.0,0.026374789785202798,0.29012268763723076,,,,,,False,False,False,False,news_count>=15,636
