model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,n_train,n_test,n_features,train_start,train_end,test_start,test_end
Logistic_Regression,Config_A,0.49871244635193135,0.4083333333333333,0.3951612903225806,0.48516236046201905,0.47009559284439945,0.48532354501181346,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19
Random_Forest,Config_A,0.5218884120171674,0.4419047619047619,0.46774193548387094,0.5144703772346798,0.5294327715897584,0.5148874101933555,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19
Logistic_Regression,Config_LLM,0.5012875536480687,0.3950617283950617,0.3225806451612903,0.47429145285271246,0.5020809224167029,0.47818120449394863,5d,4670,1165,86,2021-10-13,2025-07-11,2025-07-14,2026-06-19
Random_Forest,Config_LLM,0.5330472103004292,0.4289940828402367,0.2923387096774194,0.49204272945280136,0.5260484473696899,0.5019242128357202,5d,4670,1165,86,2021-10-13,2025-07-11,2025-07-14,2026-06-19
Logistic_Regression,Config_Hybrid,0.4858369098712446,0.3988212180746562,0.4092741935483871,0.4759523139021872,0.47738861565167073,0.47593754520468684,5d,4670,1165,112,2021-10-13,2025-07-11,2025-07-14,2026-06-19
Random_Forest,Config_Hybrid,0.5064377682403434,0.43894899536321486,0.5725806451612904,0.5062616962264721,0.5160190341867978,0.514989874150152,5d,4670,1165,112,2021-10-13,2025-07-11,2025-07-14,2026-06-19
Logistic_Regression,Config_A,0.5121739130434783,0.45787545787545786,0.4854368932038835,0.5092345153847734,0.49981499885329866,0.5096475804602094,20d,4610,1150,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29
Random_Forest,Config_A,0.5130434782608696,0.45098039215686275,0.40194174757281553,0.5013642797191535,0.5202935555385675,0.502545676936014,20d,4610,1150,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29
Logistic_Regression,Config_LLM,0.46695652173913044,0.375,0.2854368932038835,0.44204405236134997,0.4770430395229722,0.44980506077517013,20d,4610,1150,86,2021-10-13,2025-06-25,2025-06-26,2026-05-29
Random_Forest,Config_LLM,0.5356521739130434,0.483065953654189,0.5262135922330097,0.5337214811575188,0.5596987997859492,0.5347603394235915,20d,4610,1150,86,2021-10-13,2025-06-25,2025-06-26,2026-05-29
Logistic_Regression,Config_Hybrid,0.5121739130434783,0.4555984555984556,0.458252427184466,0.5070716856750135,0.503334607445914,0.5070789694977449,20d,4610,1150,112,2021-10-13,2025-06-25,2025-06-26,2026-05-29
Random_Forest,Config_Hybrid,0.5008695652173913,0.4331065759637188,0.37087378640776697,0.48624912831241285,0.5029691919578014,0.48858649950309607,20d,4610,1150,112,2021-10-13,2025-06-25,2025-06-26,2026-05-29
