model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,n_train,n_test,n_features,train_start,train_end,test_start,test_end,variant,lag_days
Logistic_Regression,Config_A,0.5196581196581197,0.45454545454545453,0.4775828460038986,0.5147220319769501,0.5332348289970656,0.5150471307645064,1d,4685,1170,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant,0
Random_Forest,Config_A,0.5307692307692308,0.4533678756476684,0.341130604288499,0.5041680207555778,0.5133233048798217,0.5099869155384656,1d,4685,1170,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant,0
Logistic_Regression,Config_LLM,0.48547008547008547,0.4397834912043302,0.6335282651072125,0.4829302527720354,0.49688613551467037,0.5016956394029213,1d,4685,1170,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant,0
Random_Forest,Config_LLM,0.49230769230769234,0.42011834319526625,0.4152046783625731,0.48382352941176476,0.48991369002584256,0.4838580469438436,1d,4685,1170,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant,0
Logistic_Regression,Config_Hybrid,0.49572649572649574,0.4479025710419486,0.645224171539961,0.4932372909227589,0.5132283609412505,0.5121098026649576,1d,4685,1170,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant,0
Random_Forest,Config_Hybrid,0.5324786324786325,0.46271929824561403,0.41130604288499023,0.518260834219672,0.5142920297530569,0.5191994445779593,1d,4685,1170,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant,0
Logistic_Regression,Config_A,0.49871244635193135,0.4083333333333333,0.3951612903225806,0.48516236046201905,0.47009559284439945,0.48532354501181346,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant,0
Random_Forest,Config_A,0.5218884120171674,0.4419047619047619,0.46774193548387094,0.5144703772346798,0.5294327715897584,0.5148874101933555,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant,0
Logistic_Regression,Config_LLM,0.45236051502145924,0.41857798165137616,0.7358870967741935,0.4352120338962444,0.4774428612758571,0.48901978157095327,5d,4670,1165,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant,0
Random_Forest,Config_LLM,0.49098712446351933,0.4277198211624441,0.5786290322580645,0.4909856243014218,0.49919083610588744,0.502319000433965,5d,4670,1165,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant,0
