model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,n_train,n_test,n_features,train_start,train_end,test_start,test_end,variant,ticker,lag_days
Logistic_Regression,Config_A,0.5555555555555556,0.4700854700854701,0.5670103092783505,0.5522849363455735,0.589284370532019,0.5572277823764016,1d,937,234,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,FPT,0
Random_Forest,Config_A,0.4829059829059829,0.42,0.6494845360824743,0.48130507263634204,0.5231018135299872,0.5072240198660547,1d,937,234,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,FPT,0
Logistic_Regression,Config_LLM,0.5512820512820513,0.4523809523809524,0.3917525773195876,0.5270179221129228,0.5249454435999699,0.5279930769809617,1d,937,234,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,FPT,0
Random_Forest,Config_LLM,0.4829059829059829,0.42105263157894735,0.6597938144329897,0.4807724046872421,0.5170065467680036,0.508729024004816,1d,937,234,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,FPT,0
Logistic_Regression,Config_Hybrid,0.5085470085470085,0.40625,0.4020618556701031,0.4929816297691945,0.5416509895402212,0.49300173075475956,1d,937,234,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,FPT,0
Random_Forest,Config_Hybrid,0.5213675213675214,0.4489795918367347,0.6804123711340206,0.5204918032786885,0.5744600797652193,0.5445857476108059,1d,937,234,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,FPT,0
Logistic_Regression,Config_A,0.5407725321888412,0.27906976744186046,0.13636363636363635,0.4319015608978011,0.4960815047021944,0.46128526645768025,5d,934,233,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,FPT,0
Random_Forest,Config_A,0.4034334763948498,0.3835616438356164,0.9545454545454546,0.3365087169401594,0.5301724137931034,0.5117554858934169,5d,934,233,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,FPT,0
Logistic_Regression,Config_LLM,0.4892703862660944,0.32967032967032966,0.3409090909090909,0.46028069219239676,0.44545454545454544,0.46010971786833854,5d,934,233,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,FPT,0
Random_Forest,Config_LLM,0.351931330472103,0.3315508021390374,0.7045454545454546,0.3301665873393622,0.44768808777429475,0.42123824451410663,5d,934,233,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,FPT,0
Logistic_Regression,Config_Hybrid,0.44635193133047213,0.25301204819277107,0.23863636363636365,0.4041629497472495,0.406269592476489,0.405525078369906,5d,934,233,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,FPT,0
Random_Forest,Config_Hybrid,0.44635193133047213,0.39901477832512317,0.9204545454545454,0.409779086892489,0.5314655172413792,0.539537617554859,5d,934,233,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,FPT,0
Logistic_Regression,Config_A,0.6077586206896551,0.4166666666666667,0.30864197530864196,0.5364380914739916,0.5132859128444117,0.5384269479192216,10d,930,232,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,FPT,0
Random_Forest,Config_A,0.3922413793103448,0.3598130841121495,0.9506172839506173,0.3438571858389329,0.6774180361376829,0.5216662578693484,10d,930,232,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,FPT,0
Logistic_Regression,Config_LLM,0.46551724137931033,0.25842696629213485,0.2839506172839506,0.4244097639055622,0.42735671653993956,0.4234322622843594,10d,930,232,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,FPT,0
Random_Forest,Config_LLM,0.31896551724137934,0.3005181347150259,0.7160493827160493,0.2958893584325778,0.336726351075137,0.4110048238083558,10d,930,232,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,FPT,0
Logistic_Regression,Config_Hybrid,0.4353448275862069,0.1875,0.18518518518518517,0.37699608470163787,0.39326302019458753,0.37736080451312237,10d,930,232,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,FPT,0
Random_Forest,Config_Hybrid,0.3577586206896552,0.3482142857142857,0.9629629629629629,0.2871842457985359,0.43410187229171776,0.49803777287220996,10d,930,232,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,FPT,0
Logistic_Regression,Config_A,0.49130434782608695,0.359375,0.5679012345679012,0.487027964696239,0.4978042919877372,0.5087828320490513,20d,922,230,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,FPT,0
Random_Forest,Config_A,0.3695652173913043,0.3584070796460177,1.0,0.2899874390581423,0.7317921948794432,0.5134228187919463,20d,922,230,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,FPT,0
Logistic_Regression,Config_LLM,0.49130434782608695,0.2857142857142857,0.2962962962962963,0.44714946070878275,0.39448173005219983,0.4468058662689535,20d,922,230,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,FPT,0
Random_Forest,Config_LLM,0.34347826086956523,0.2916666666666667,0.6049382716049383,0.3389672433811074,0.35893611732537906,0.40314027674206643,20d,922,230,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,FPT,0
Logistic_Regression,Config_Hybrid,0.4391304347826087,0.16666666666666666,0.14814814814814814,0.3683336526793128,0.38801889137459605,0.37273179219487945,20d,922,230,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,FPT,0
Random_Forest,Config_Hybrid,0.3521739130434783,0.3521739130434783,1.0,0.2604501607717042,0.5691026597066865,0.5,20d,922,230,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,FPT,0
Logistic_Regression,Config_A,0.5854700854700855,0.5405405405405406,0.2,0.49945972170154584,0.5763432835820895,0.5365671641791044,1d,937,234,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_A,0.5897435897435898,0.5833333333333334,0.14,0.47336834208552137,0.571044776119403,0.5326865671641792,1d,937,234,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_LLM,0.47435897435897434,0.423841059602649,0.64,0.471569941432427,0.48425373134328364,0.4953731343283582,1d,937,234,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_LLM,0.47863247863247865,0.39,0.39,0.46738805970149255,0.46682835820895524,0.46738805970149255,1d,937,234,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_Hybrid,0.5128205128205128,0.41025641025641024,0.32,0.48322355676094536,0.4833582089552239,0.48835820895522386,1d,937,234,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_Hybrid,0.5641025641025641,0.4642857142857143,0.13,0.4515625,0.5285820895522388,0.5090298507462687,1d,937,234,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_A,0.5793991416309013,0.0,0.0,0.36684782608695654,0.5888133030990175,0.5,5d,934,233,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_A,0.6051502145922747,0.5681818181818182,0.25510204081632654,0.5340810293861937,0.6378684807256236,0.5571806500377929,5d,934,233,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_LLM,0.47639484978540775,0.4142857142857143,0.5918367346938775,0.4761536193424738,0.5155706727135299,0.4922146636432351,5d,934,233,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_LLM,0.4678111587982833,0.4322916666666667,0.8469387755102041,0.43393416927899686,0.5020030234315949,0.5197656840513983,5d,934,233,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_Hybrid,0.5965665236051502,0.5294117647058824,0.3673469387755102,0.5602008032128514,0.6000755857898714,0.5651549508692366,5d,934,233,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_Hybrid,0.592274678111588,0.5789473684210527,0.11224489795918367,0.4579139421546298,0.5911186696900983,0.5264928193499622,5d,934,233,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_A,0.5474137931034483,0.0,0.0,0.35376044568245124,0.5201349831271092,0.5,10d,930,232,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_A,0.5646551724137931,1.0,0.0380952380952381,0.3944437265796615,0.6782527184101986,0.5190476190476191,10d,930,232,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_LLM,0.49137931034482757,0.45038167938931295,0.5619047619047619,0.49122807017543857,0.47761529808773906,0.4974878140232471,10d,930,232,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_LLM,0.40948275862068967,0.3933333333333333,0.5619047619047619,0.40362135284735906,0.44476940382452196,0.42268466441694785,10d,930,232,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_Hybrid,0.521551724137931,0.45588235294117646,0.29523809523809524,0.4884691019605506,0.5088113985751781,0.5019497562804649,10d,930,232,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_Hybrid,0.5474137931034483,0.0,0.0,0.35376044568245124,0.5953880764904387,0.5,10d,930,232,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,HPG,0
