model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,n_train,n_test,n_features,train_start,train_end,test_start,test_end,variant,direct_only,lag_days
Logistic_Regression,Config_A,0.51994301994302,0.459375,0.47266881028938906,0.514981661175612,0.5269857978141628,0.5151067836613186,1d,2811,702,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_material,False,0
Random_Forest,Config_A,0.5541310541310541,0.4941860465116279,0.2733118971061093,0.5060594411961074,0.5383220532725883,0.5254027516221084,1d,2811,702,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_material,False,0
Logistic_Regression,Config_LLM,0.5356125356125356,0.4556213017751479,0.24758842443729903,0.4840097402597403,0.5073272423746515,0.5061471533951201,1d,2811,702,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_material,False,0
Random_Forest,Config_LLM,0.50997150997151,0.4472843450479233,0.45016077170418006,0.5038461538461538,0.5084209833800709,0.5038527643687141,1d,2811,702,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_material,False,0
Logistic_Regression,Config_Hybrid,0.5113960113960114,0.44405594405594406,0.40836012861736337,0.5002148287907942,0.51170631820462,0.5008552561245385,1d,2811,702,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_material,False,0
Random_Forest,Config_Hybrid,0.5498575498575499,0.4861878453038674,0.2829581993569132,0.5056161745827985,0.5313813208772954,0.5225532684764106,1d,2811,702,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_material,False,0
Logistic_Regression,Config_A,0.5236051502145923,0.44155844155844154,0.3333333333333333,0.4965643431374457,0.4896805202148713,0.5025445292620865,5d,2802,699,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_material,False,0
Random_Forest,Config_A,0.5679542203147353,0.5117647058823529,0.28431372549019607,0.5189987057729817,0.5650393321026459,0.5365588983685077,5d,2802,699,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_material,False,0
Logistic_Regression,Config_LLM,0.5579399141630901,0.49142857142857144,0.28104575163398693,0.5103099912260218,0.49772988075637375,0.5272913236541437,5d,2802,699,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_material,False,0
Random_Forest,Config_LLM,0.5135908440629471,0.4462025316455696,0.46078431372549017,0.507615937945437,0.5057418217499043,0.5077458464301751,5d,2802,699,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_material,False,0
Logistic_Regression,Config_Hybrid,0.5522174535050072,0.48,0.27450980392156865,0.5039709619862291,0.48238786608791095,0.5214788205358479,5d,2802,699,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_material,False,0
Random_Forest,Config_Hybrid,0.5636623748211731,0.5024875621890548,0.3300653594771242,0.5280550408755537,0.5451071862163016,0.5378062166342363,5d,2802,699,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_material,False,0
Logistic_Regression,Config_A,0.46551724137931033,0.37185929648241206,0.23052959501557632,0.4290049400141143,0.4604029075804777,0.4485981308411215,10d,2790,696,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_material,False,0
Random_Forest,Config_A,0.5402298850574713,0.5027027027027027,0.2897196261682243,0.5032075589539522,0.5463966770508827,0.5221931464174455,10d,2790,696,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_material,False,0
Logistic_Regression,Config_LLM,0.5474137931034483,0.515,0.32087227414330216,0.5168701009936292,0.5618400830737279,0.5311028037383178,10d,2790,696,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_material,False,0
Random_Forest,Config_LLM,0.5373563218390804,0.49843260188087773,0.4953271028037383,0.534341755319149,0.5607850467289719,0.5343302180685359,10d,2790,696,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_material,False,0
Logistic_Regression,Config_Hybrid,0.5517241379310345,0.5221674876847291,0.3302180685358255,0.5225665740317305,0.5435181723779855,0.5357757009345794,10d,2790,696,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_material,False,0
Random_Forest,Config_Hybrid,0.5675287356321839,0.5520833333333334,0.3302180685358255,0.5354103879341889,0.6027206645898235,0.5504423676012461,10d,2790,696,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_material,False,0
Logistic_Regression,Config_A,0.5072463768115942,0.4692982456140351,0.3282208588957055,0.4873296562092989,0.5316439695274051,0.49790163823906153,20d,2766,690,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_material,False,0
