ticker,event_type,relevance_to_ticker,n_articles,variant
FPT,capital,direct,16,material_events_only
FPT,capital,indirect,4,material_events_only
FPT,capital,irrelevant,2,material_events_only
FPT,debt_risk,indirect,1,material_events_only
FPT,dividend,direct,6,material_events_only
FPT,earnings,direct,5,material_events_only
FPT,legal_risk,direct,1,material_events_only
HPG,capital,direct,6,material_events_only
HPG,capital,indirect,1,material_events_only
HPG,dividend,direct,2,material_events_only
HPG,earnings,direct,4,material_events_only
HPG,legal_risk,direct,4,material_events_only
SSI,capital,direct,27,material_events_only
SSI,dividend,direct,2,material_events_only
SSI,earnings,direct,1,material_events_only
SSI,legal_risk,direct,2,material_events_only
VCB,capital,direct,19,material_events_only
VCB,capital,indirect,4,material_events_only
VCB,capital,irrelevant,3,material_events_only
VCB,earnings,direct,3,material_events_only
VCB,legal_risk,direct,5,material_events_only
VCB,legal_risk,indirect,1,material_events_only
VNM,capital,direct,3,material_events_only
VNM,dividend,direct,11,material_events_only
VNM,earnings,direct,3,material_events_only
VNM,legal_risk,direct,1,material_events_only
FPT,capital,direct,16,direct_material_only
FPT,dividend,direct,6,direct_material_only
FPT,earnings,direct,5,direct_material_only
FPT,legal_risk,direct,1,direct_material_only
HPG,capital,direct,6,direct_material_only
HPG,dividend,direct,2,direct_material_only
HPG,earnings,direct,4,direct_material_only
HPG,legal_risk,direct,4,direct_material_only
SSI,capital,direct,27,direct_material_only
SSI,dividend,direct,2,direct_material_only
SSI,earnings,direct,1,direct_material_only
SSI,legal_risk,direct,2,direct_material_only
VCB,capital,direct,19,direct_material_only
VCB,earnings,direct,3,direct_material_only
VCB,legal_risk,direct,5,direct_material_only
VNM,capital,direct,3,direct_material_only
VNM,dividend,direct,11,direct_material_only
VNM,earnings,direct,3,direct_material_only
VNM,legal_risk,direct,1,direct_material_only
FPT,capital,direct,16,material_lag1
FPT,capital,indirect,4,material_lag1
FPT,capital,irrelevant,2,material_lag1
FPT,debt_risk,indirect,1,material_lag1
FPT,dividend,direct,6,material_lag1
FPT,earnings,direct,5,material_lag1
FPT,legal_risk,direct,1,material_lag1
HPG,capital,direct,6,material_lag1
HPG,capital,indirect,1,material_lag1
HPG,dividend,direct,2,material_lag1
HPG,earnings,direct,4,material_lag1
HPG,legal_risk,direct,4,material_lag1
SSI,capital,direct,27,material_lag1
SSI,dividend,direct,2,material_lag1
SSI,earnings,direct,1,material_lag1
SSI,legal_risk,direct,2,material_lag1
VCB,capital,direct,19,material_lag1
VCB,capital,indirect,4,material_lag1
VCB,capital,irrelevant,3,material_lag1
VCB,earnings,direct,3,material_lag1
VCB,legal_risk,direct,5,material_lag1
VCB,legal_risk,indirect,1,material_lag1
VNM,capital,direct,3,material_lag1
VNM,dividend,direct,11,material_lag1
VNM,earnings,direct,3,material_lag1
VNM,legal_risk,direct,1,material_lag1
FPT,capital,direct,16,direct_material_lag1
FPT,dividend,direct,6,direct_material_lag1
FPT,earnings,direct,5,direct_material_lag1
FPT,legal_risk,direct,1,direct_material_lag1
HPG,capital,direct,6,direct_material_lag1
HPG,dividend,direct,2,direct_material_lag1
HPG,earnings,direct,4,direct_material_lag1
HPG,legal_risk,direct,4,direct_material_lag1
SSI,capital,direct,27,direct_material_lag1
SSI,dividend,direct,2,direct_material_lag1
SSI,earnings,direct,1,direct_material_lag1
SSI,legal_risk,direct,2,direct_material_lag1
VCB,capital,direct,19,direct_material_lag1
VCB,earnings,direct,3,direct_material_lag1
VCB,legal_risk,direct,5,direct_material_lag1
VNM,capital,direct,3,direct_material_lag1
VNM,dividend,direct,11,direct_material_lag1
VNM,earnings,direct,3,direct_material_lag1
VNM,legal_risk,direct,1,direct_material_lag1
