universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
VN30,Logistic_Regression,Config_A,0.6909722222222222,0.4514388489208633,0.6419437340153452,0.6499414657116901,0.7338105466416682,0.675595317913297,direct,1week,0.02,7320,244,1440,16,361,405,0.2715277777777777
VN30,Random_Forest,Config_A,0.7680555555555556,0.6432160804020101,0.3273657289002558,0.6440233883502331,0.7613620571534454,0.6298411103986503,direct,1week,0.02,7320,244,1440,16,361,405,0.2715277777777777
VN30,XGBoost,Config_A,0.7291666666666666,0.5012048192771085,0.5319693094629157,0.6640433010856379,0.7502895218683487,0.6673192591165865,direct,1week,0.02,7320,244,1440,16,361,405,0.2715277777777777
VN30,LightGBM,Config_A,0.7256944444444444,0.4959839357429719,0.6317135549872123,0.6786438862394837,0.7712106768350809,0.696219027255284,direct,1week,0.02,7320,244,1440,16,361,405,0.2715277777777777
VN30,Logistic_Regression,Config_LLM,0.3166666666666666,0.2748671222475323,0.9258312020460358,0.2921485720680036,0.50829312534895,0.5077201768094812,direct,1week,0.02,7320,244,1440,36,361,405,0.2715277777777777
VN30,Random_Forest,Config_LLM,0.3333333333333333,0.2785992217898833,0.9156010230179028,0.3149327222702368,0.5166337932362816,0.5159511311467017,direct,1week,0.02,7320,244,1440,36,361,405,0.2715277777777777
VN30,XGBoost,Config_LLM,0.3277777777777778,0.2785878741366078,0.928388746803069,0.3061912792098289,0.5173079220497416,0.5161486155369015,direct,1week,0.02,7320,244,1440,36,361,405,0.2715277777777777
VN30,LightGBM,Config_LLM,0.3291666666666666,0.2796934865900383,0.9335038363171356,0.3072730749617542,0.5210991347258015,0.5187061602939348,direct,1week,0.02,7320,244,1440,36,361,405,0.2715277777777777
VN30,Logistic_Regression,Config_Hybrid,0.6979166666666666,0.4598540145985401,0.6445012787723785,0.6563149656068066,0.7348467301704948,0.6811638901011559,direct,1week,0.02,7320,244,1440,52,361,405,0.2715277777777777
VN30,Random_Forest,Config_Hybrid,0.7729166666666667,0.6584158415841584,0.340153452685422,0.6527922689355703,0.7750750318778814,0.637188261137754,direct,1week,0.02,7320,244,1440,52,361,405,0.2715277777777777
VN30,XGBoost,Config_Hybrid,0.73125,0.5047169811320755,0.5473145780051151,0.6688720866323029,0.7489022549791666,0.6735619601179055,direct,1week,0.02,7320,244,1440,52,361,405,0.2715277777777777
VN30,LightGBM,Config_Hybrid,0.7166666666666667,0.4835589941972921,0.639386189258312,0.671882120613702,0.7766207738950017,0.6924290336186698,direct,1week,0.02,7320,244,1440,52,361,405,0.2715277777777777
VN30,Logistic_Regression,Config_A,0.7125,0.5323741007194245,0.6577777777777778,0.6837756810259044,0.7462805836139169,0.6975757575757575,direct,2week,0.02,3690,123,720,16,342,405,0.3125
VN30,Random_Forest,Config_A,0.7736111111111111,0.7039473684210527,0.4755555555555555,0.707149826201307,0.7851447811447811,0.6923232323232323,direct,2week,0.02,3690,123,720,16,342,405,0.3125
VN30,XGBoost,Config_A,0.7361111111111112,0.5764192139737991,0.5866666666666667,0.6944000142970753,0.7686644219977553,0.6953535353535354,direct,2week,0.02,3690,123,720,16,342,405,0.3125
VN30,LightGBM,Config_A,0.7333333333333333,0.5652173913043478,0.6355555555555555,0.6993710801242181,0.7716184062850728,0.7066666666666667,direct,2week,0.02,3690,123,720,16,342,405,0.3125
VN30,Logistic_Regression,Config_LLM,0.6194444444444445,0.2941176470588235,0.1555555555555555,0.4767441860465116,0.4987340067340068,0.4929292929292929,direct,2week,0.02,3690,123,720,36,342,405,0.3125
VN30,Random_Forest,Config_LLM,0.6444444444444445,0.2987012987012987,0.1022222222222222,0.4636809087629046,0.5045925925925927,0.4965656565656565,direct,2week,0.02,3690,123,720,36,342,405,0.3125
VN30,XGBoost,Config_LLM,0.6430555555555556,0.3222222222222222,0.1288888888888889,0.4778412698412698,0.5141369248035915,0.5028282828282828,direct,2week,0.02,3690,123,720,36,342,405,0.3125
VN30,LightGBM,Config_LLM,0.6361111111111111,0.3203883495145631,0.1466666666666666,0.4828040007018775,0.5122514029180695,0.5026262626262626,direct,2week,0.02,3690,123,720,36,342,405,0.3125
VN30,Logistic_Regression,Config_Hybrid,0.7222222222222222,0.5454545454545454,0.6666666666666666,0.6936170212765957,0.763097643097643,0.7070707070707071,direct,2week,0.02,3690,123,720,52,342,405,0.3125
VN30,Random_Forest,Config_Hybrid,0.7708333333333334,0.6875,0.4888888888888889,0.7075152335815843,0.7861863075196409,0.693939393939394,direct,2week,0.02,3690,123,720,52,342,405,0.3125
VN30,XGBoost,Config_Hybrid,0.7208333333333333,0.5476190476190477,0.6133333333333333,0.684946805384118,0.7579259259259258,0.6915151515151514,direct,2week,0.02,3690,123,720,52,342,405,0.3125
VN30,LightGBM,Config_Hybrid,0.7444444444444445,0.5816733067729084,0.6488888888888888,0.7112870044283274,0.7783973063973063,0.7183838383838383,direct,2week,0.02,3690,123,720,52,342,405,0.3125
VN30,Logistic_Regression,Config_A,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5912975609756098,0.6051707317073171,direct,month,0.02,1680,56,330,16,298,405,0.3787878787878788
VN30,Random_Forest,Config_A,0.7090909090909091,0.638095238095238,0.536,0.6796764408493428,0.7251121951219511,0.6753170731707316,direct,month,0.02,1680,56,330,16,298,405,0.3787878787878788
VN30,XGBoost,Config_A,0.6333333333333333,0.5144927536231884,0.568,0.6175690300830372,0.6752780487804878,0.6205853658536585,direct,month,0.02,1680,56,330,16,298,405,0.3787878787878788
VN30,LightGBM,Config_A,0.6636363636363637,0.5507246376811594,0.608,0.6491748953654308,0.6893658536585365,0.652780487804878,direct,month,0.02,1680,56,330,16,298,405,0.3787878787878788
VN30,Logistic_Regression,Config_LLM,0.5636363636363636,0.4095238095238095,0.344,0.5195146612740141,0.5385951219512195,0.5207804878048781,direct,month,0.02,1680,56,330,36,298,405,0.3787878787878788
VN30,Random_Forest,Config_LLM,0.5484848484848485,0.3285714285714285,0.184,0.457733664185277,0.4710439024390244,0.4773658536585365,direct,month,0.02,1680,56,330,36,298,405,0.3787878787878788
VN30,XGBoost,Config_LLM,0.5575757575757576,0.36,0.216,0.4763043478260869,0.488409756097561,0.4909268292682927,direct,month,0.02,1680,56,330,36,298,405,0.3787878787878788
VN30,LightGBM,Config_LLM,0.5575757575757576,0.3820224719101123,0.272,0.4952013746280541,0.5110243902439024,0.5018536585365854,direct,month,0.02,1680,56,330,36,298,405,0.3787878787878788
VN30,Logistic_Regression,Config_Hybrid,0.6,0.472,0.472,0.5750243902439025,0.5822048780487805,0.5750243902439025,direct,month,0.02,1680,56,330,52,298,405,0.3787878787878788
VN30,Random_Forest,Config_Hybrid,0.703030303030303,0.6238532110091743,0.544,0.6755748164198869,0.7141463414634147,0.672,direct,month,0.02,1680,56,330,52,298,405,0.3787878787878788
VN30,XGBoost,Config_Hybrid,0.6303030303030303,0.5102040816326531,0.6,0.6185187992722863,0.6817951219512195,0.624390243902439,direct,month,0.02,1680,56,330,52,298,405,0.3787878787878788
VN30,LightGBM,Config_Hybrid,0.6484848484848484,0.5328467153284672,0.584,0.6328973109823929,0.7022439024390246,0.6359024390243901,direct,month,0.02,1680,56,330,52,298,405,0.3787878787878788
VN30,Logistic_Regression,Config_A,0.54,0.453125,0.4603174603174603,0.5289244913749943,0.5931399379675241,0.5290093048713739,direct,2month,0.02,840,28,150,16,249,405,0.42
VN30,Random_Forest,Config_A,0.7266666666666667,0.6833333333333333,0.6507936507936508,0.7175141242937852,0.7850757161101988,0.7162014230979749,direct,2month,0.02,840,28,150,16,249,405,0.42
VN30,XGBoost,Config_A,0.7266666666666667,0.671875,0.6825396825396826,0.7200855673387647,0.7927385513592411,0.7205801860974275,direct,2month,0.02,840,28,150,16,249,405,0.42
VN30,LightGBM,Config_A,0.7066666666666667,0.6507936507936508,0.6507936507936508,0.69896004378763,0.786170406860062,0.69896004378763,direct,2month,0.02,840,28,150,16,249,405,0.42
VN30,Logistic_Regression,Config_LLM,0.5266666666666666,0.4310344827586206,0.3968253968253968,0.5082875479015652,0.5108556832694764,0.5087575259989053,direct,2month,0.02,840,28,150,36,249,405,0.42
VN30,Random_Forest,Config_LLM,0.4466666666666666,0.3809523809523809,0.5079365079365079,0.4464452447645725,0.4436234263820471,0.4551176792556103,direct,2month,0.02,840,28,150,36,249,405,0.42
VN30,XGBoost,Config_LLM,0.4733333333333333,0.4130434782608695,0.6031746031746031,0.4727474972191323,0.4630541871921182,0.4912424740010946,direct,2month,0.02,840,28,150,36,249,405,0.42
VN30,LightGBM,Config_LLM,0.4333333333333333,0.3854166666666667,0.5873015873015873,0.4312859627994112,0.4493705528188286,0.4545703338806787,direct,2month,0.02,840,28,150,36,249,405,0.42
VN30,Logistic_Regression,Config_Hybrid,0.5533333333333333,0.4696969696969697,0.492063492063492,0.5444036447708418,0.5927750410509031,0.5448823207443897,direct,2month,0.02,840,28,150,52,249,405,0.42
VN30,Random_Forest,Config_Hybrid,0.6933333333333334,0.6440677966101694,0.6031746031746031,0.6822619266899982,0.7568874293012223,0.6808976464148877,direct,2month,0.02,840,28,150,52,249,405,0.42
VN30,XGBoost,Config_Hybrid,0.7133333333333334,0.6515151515151515,0.6825396825396826,0.7076023391812865,0.7881773399014779,0.7090859332238643,direct,2month,0.02,840,28,150,52,249,405,0.42
VN30,LightGBM,Config_Hybrid,0.7133333333333334,0.6515151515151515,0.6825396825396826,0.7076023391812865,0.7785075716110198,0.7090859332238643,direct,2month,0.02,840,28,150,52,249,405,0.42
VN30,Logistic_Regression,Config_A,0.6777777777777778,0.5333333333333333,0.5161290322580645,0.6404463424714149,0.6101694915254237,0.6394204483324221,direct,quarter,0.02,540,18,90,16,204,405,0.3444444444444444
VN30,Random_Forest,Config_A,0.7666666666666667,0.6470588235294118,0.7096774193548387,0.7471571906354515,0.7867687260798251,0.753143794423182,direct,quarter,0.02,540,18,90,16,204,405,0.3444444444444444
VN30,XGBoost,Config_A,0.6777777777777778,0.5238095238095238,0.7096774193548387,0.6658558443221099,0.7441224712957901,0.6853471842536906,direct,quarter,0.02,540,18,90,16,204,405,0.3444444444444444
VN30,LightGBM,Config_A,0.7333333333333333,0.6129032258064516,0.6129032258064516,0.7047566976489885,0.7813012575177694,0.7047566976489885,direct,quarter,0.02,540,18,90,16,204,405,0.3444444444444444
VN30,Logistic_Regression,Config_LLM,0.5222222222222223,0.38,0.6129032258064516,0.5173961840628507,0.5595954073264078,0.5437397484964461,direct,quarter,0.02,540,18,90,36,204,405,0.3444444444444444
VN30,Random_Forest,Config_LLM,0.5222222222222223,0.375,0.5806451612903226,0.5149768141371098,0.5196828868234007,0.536085292509568,direct,quarter,0.02,540,18,90,36,204,405,0.3444444444444444
VN30,XGBoost,Config_LLM,0.4666666666666667,0.3333333333333333,0.5483870967741935,0.4624191139870582,0.4825041006014215,0.4860579551667577,direct,quarter,0.02,540,18,90,36,204,405,0.3444444444444444
VN30,LightGBM,Config_LLM,0.4555555555555555,0.2954545454545454,0.4193548387096774,0.44,0.4335702569710224,0.446965554948059,direct,quarter,0.02,540,18,90,36,204,405,0.3444444444444444
VN30,Logistic_Regression,Config_Hybrid,0.6777777777777778,0.5333333333333333,0.5161290322580645,0.6404463424714149,0.6139967195188628,0.6394204483324221,direct,quarter,0.02,540,18,90,52,204,405,0.3444444444444444
VN30,Random_Forest,Config_Hybrid,0.7333333333333333,0.6,0.6774193548387096,0.7129186602870814,0.7832148715144888,0.7200656096227447,direct,quarter,0.02,540,18,90,52,204,405,0.3444444444444444
VN30,XGBoost,Config_Hybrid,0.6666666666666666,0.5121951219512195,0.6774193548387096,0.6527777777777778,0.7594313832695463,0.669218151995626,direct,quarter,0.02,540,18,90,52,204,405,0.3444444444444444
VN30,LightGBM,Config_Hybrid,0.7222222222222222,0.5882352941176471,0.6451612903225806,0.6989966555183946,0.7479496992892292,0.7039365773646802,direct,quarter,0.02,540,18,90,52,204,405,0.3444444444444444
VN30,Logistic_Regression,Config_A,0.6909722222222222,0.4514388489208633,0.6419437340153452,0.6499414657116901,0.7338105466416682,0.675595317913297,direct_indirect,1week,0.02,7320,244,1440,16,381,426,0.2715277777777777
VN30,Random_Forest,Config_A,0.7680555555555556,0.6432160804020101,0.3273657289002558,0.6440233883502331,0.7613620571534454,0.6298411103986503,direct_indirect,1week,0.02,7320,244,1440,16,381,426,0.2715277777777777
VN30,XGBoost,Config_A,0.7291666666666666,0.5012048192771085,0.5319693094629157,0.6640433010856379,0.7502895218683487,0.6673192591165865,direct_indirect,1week,0.02,7320,244,1440,16,381,426,0.2715277777777777
VN30,LightGBM,Config_A,0.7256944444444444,0.4959839357429719,0.6317135549872123,0.6786438862394837,0.7712106768350809,0.696219027255284,direct_indirect,1week,0.02,7320,244,1440,16,381,426,0.2715277777777777
VN30,Logistic_Regression,Config_LLM,0.3256944444444444,0.2751937984496124,0.907928388746803,0.3062630518491763,0.5034072152506711,0.5083016586250698,direct_indirect,1week,0.02,7320,244,1440,36,381,426,0.2715277777777777
VN30,Random_Forest,Config_LLM,0.3375,0.2785208497246262,0.90537084398977,0.3213707741281499,0.5161949390358374,0.5156024858652376,direct_indirect,1week,0.02,7320,244,1440,36,381,426,0.2715277777777777
VN30,XGBoost,Config_LLM,0.3354166666666666,0.2785602503912363,0.9104859335038364,0.3181733846768116,0.5167666685358605,0.5157768085059696,direct_indirect,1week,0.02,7320,244,1440,36,381,426,0.2715277777777777
VN30,LightGBM,Config_LLM,0.3326388888888889,0.2787267080745341,0.918158567774936,0.3137344847132055,0.5177589666446428,0.5162766146786978,direct_indirect,1week,0.02,7320,244,1440,36,381,426,0.2715277777777777
VN30,Logistic_Regression,Config_Hybrid,0.6972222222222222,0.4588665447897623,0.6419437340153452,0.6553352115397706,0.7348930536694307,0.6798851177226393,direct_indirect,1week,0.02,7320,244,1440,52,381,426,0.2715277777777777
VN30,Random_Forest,Config_Hybrid,0.7784722222222222,0.6956521739130435,0.3273657289002558,0.6534112986890502,0.7667441163061154,0.636990776747554,direct_indirect,1week,0.02,7320,244,1440,52,381,426,0.2715277777777777
VN30,XGBoost,Config_Hybrid,0.7402777777777778,0.5205811138014528,0.5498721227621484,0.677335864032439,0.7507210618321187,0.6805604655755451,direct_indirect,1week,0.02,7320,244,1440,52,381,426,0.2715277777777777
VN30,LightGBM,Config_Hybrid,0.7125,0.4774951076320939,0.6240409207161125,0.6658588150363534,0.7690066535172945,0.68475639934757,direct_indirect,1week,0.02,7320,244,1440,52,381,426,0.2715277777777777
VN30,Logistic_Regression,Config_A,0.7125,0.5323741007194245,0.6577777777777778,0.6837756810259044,0.7462805836139169,0.6975757575757575,direct_indirect,2week,0.02,3690,123,720,16,358,426,0.3125
VN30,Random_Forest,Config_A,0.7736111111111111,0.7039473684210527,0.4755555555555555,0.707149826201307,0.7851447811447811,0.6923232323232323,direct_indirect,2week,0.02,3690,123,720,16,358,426,0.3125
VN30,XGBoost,Config_A,0.7361111111111112,0.5764192139737991,0.5866666666666667,0.6944000142970753,0.7686644219977553,0.6953535353535354,direct_indirect,2week,0.02,3690,123,720,16,358,426,0.3125
VN30,LightGBM,Config_A,0.7333333333333333,0.5652173913043478,0.6355555555555555,0.6993710801242181,0.7716184062850728,0.7066666666666667,direct_indirect,2week,0.02,3690,123,720,16,358,426,0.3125
VN30,Logistic_Regression,Config_LLM,0.6263888888888889,0.3,0.1466666666666666,0.4767880056729925,0.4939797979797979,0.4955555555555555,direct_indirect,2week,0.02,3690,123,720,36,358,426,0.3125
VN30,Random_Forest,Config_LLM,0.6444444444444445,0.2876712328767123,0.0933333333333333,0.4583857356104326,0.4902312008978676,0.4941414141414141,direct_indirect,2week,0.02,3690,123,720,36,358,426,0.3125
VN30,XGBoost,Config_LLM,0.6319444444444444,0.2959183673469387,0.1288888888888889,0.4711619746612304,0.4924309764309764,0.4947474747474747,direct_indirect,2week,0.02,3690,123,720,36,358,426,0.3125
VN30,LightGBM,Config_LLM,0.6388888888888888,0.3157894736842105,0.1333333333333333,0.4776785714285714,0.5022446689113356,0.501010101010101,direct_indirect,2week,0.02,3690,123,720,36,358,426,0.3125
VN30,Logistic_Regression,Config_Hybrid,0.7111111111111111,0.5304659498207885,0.6577777777777778,0.6825396825396826,0.7461907968574635,0.6965656565656566,direct_indirect,2week,0.02,3690,123,720,52,358,426,0.3125
