universe,relevance_variant,unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
HOSE80,any_relevance,1week,LightGBM,3920,0.7130821607389503,0.7110454074585635,-0.0020367532803867716,137,138,275,0.9520164761739385
HOSE80,any_relevance,1week,Logistic_Regression,3920,0.681427507769337,0.6826360713052486,0.0012085635359115887,2,9,11,0.038574218750000014
HOSE80,any_relevance,1week,Random_Forest,3920,0.6515047695096685,0.649443737051105,-0.002061032458563483,87,97,184,0.4623030339182512
HOSE80,any_relevance,1week,XGBoost,3920,0.6959761308701657,0.6950589174723757,-0.000917213397790051,259,261,520,0.9301885255927904
HOSE80,any_relevance,2month,LightGBM,400,0.6965876752041278,0.6887683183063379,-0.007819356897789898,13,13,26,0.8450189828872678
HOSE80,any_relevance,2month,Logistic_Regression,400,0.7276922258570706,0.6139790951887019,-0.11371313066836874,85,42,127,0.00012535822987511452
HOSE80,any_relevance,2month,Random_Forest,400,0.6834490278996782,0.692784382563366,0.009335354663687845,14,18,32,0.486850241664797
HOSE80,any_relevance,2month,XGBoost,400,0.7045134179100508,0.6979972871618926,-0.006516130748158266,19,19,38,0.8714146793645343
HOSE80,any_relevance,2week,LightGBM,1920,0.7250522851348831,0.727571628319825,0.002519343184941958,49,50,99,0.9204107626128203
HOSE80,any_relevance,2week,Logistic_Regression,1920,0.6856608430969733,0.6906704270514887,0.005009583954515451,39,63,102,0.01760905686790967
HOSE80,any_relevance,2week,Random_Forest,1920,0.6958711609614909,0.6916751218002225,-0.004196039161268428,71,61,132,0.38595875434107807
HOSE80,any_relevance,2week,XGBoost,1920,0.6923094221715429,0.7059743290239711,0.01366490685242816,100,130,230,0.04816305344074482
HOSE80,any_relevance,month,LightGBM,880,0.682225052932367,0.6764440925183184,-0.00578096041404863,40,37,77,0.7343420330298469
HOSE80,any_relevance,month,Logistic_Regression,880,0.6290746446789344,0.6794364209112974,0.05036177623236304,56,94,150,0.0018877311602805993
HOSE80,any_relevance,month,Random_Forest,880,0.6844083337636777,0.6801565306204419,-0.0042518031432358105,36,32,68,0.6304564917867982
HOSE80,any_relevance,month,XGBoost,880,0.6686720717929298,0.6823570252296605,0.013684953436730707,48,62,110,0.1836571719017746
HOSE80,any_relevance,quarter,LightGBM,240,0.6612001017035343,0.6639969488939741,0.0027968471904398218,9,7,16,0.629058837890625
HOSE80,any_relevance,quarter,Logistic_Regression,240,0.6159420289855072,0.6248410882278159,0.008899059242308716,31,37,68,0.4703685318581446
HOSE80,any_relevance,quarter,Random_Forest,240,0.6509026188660056,0.6362827358250699,-0.014619883040935755,9,4,13,0.17956542968749994
HOSE80,any_relevance,quarter,XGBoost,240,0.6496313246885329,0.6248410882278159,-0.024790236460716986,16,9,25,0.16863754391670238
HOSE80,direct,1week,LightGBM,3920,0.7130821607389503,0.7085446521063536,-0.00453750863259661,122,114,236,0.6033972369843795
HOSE80,direct,1week,Logistic_Regression,3920,0.681427507769337,0.6828087232389503,0.0013812154696132284,1,9,10,0.011718749999999997
HOSE80,direct,1week,Random_Forest,3920,0.6515047695096685,0.6514562111533149,-4.855835635364514e-05,83,101,184,0.1855589049245757
HOSE80,direct,1week,XGBoost,3920,0.6959761308701657,0.6899387085635359,-0.006037422306629847,263,239,502,0.28455971390216483
HOSE80,direct,2month,LightGBM,400,0.6965876752041278,0.6806298039841485,-0.01595787121997927,17,11,28,0.26493089646101003
HOSE80,direct,2month,Logistic_Regression,400,0.7276922258570706,0.5809728982153781,-0.1467193276416925,85,34,119,2.275257904564385e-06
HOSE80,direct,2month,Random_Forest,400,0.6834490278996782,0.6888747041144712,0.005425676214792952,11,15,26,0.44206833839416504
HOSE80,direct,2month,XGBoost,400,0.7045134179100508,0.6831298704752786,-0.02138354743477222,24,14,38,0.10812902140605732
HOSE80,direct,2week,LightGBM,1920,0.7250522851348831,0.720469977551455,-0.004582307583428036,65,51,116,0.19534905940457856
HOSE80,direct,2week,Logistic_Regression,1920,0.6856608430969733,0.6854677088858934,-0.00019313421107991502,4,2,6,0.45312499999999994
