universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality,Logistic_Regression,Config_A,0.6853518821603928,0.42332506203473946,0.694060211554109,0.6452188712611271,0.7509688317158156,0.6882435520738569,direct,1week,0.02,24489,247,4888,16,1036,1132,0.25143207855973815
HOSE100_quality,Random_Forest,Config_A,0.7917348608837971,0.654014598540146,0.3645240032546786,0.6693229898082572,0.7746644307614716,0.6498761038410589,direct,1week,0.02,24489,247,4888,16,1036,1132,0.25143207855973815
HOSE100_quality,XGBoost,Config_A,0.7207446808510638,0.4563543003851091,0.5785191212367778,0.6574595693278427,0.7533077706007524,0.6735175546058172,direct,1week,0.02,24489,247,4888,16,1036,1132,0.25143207855973815
HOSE100_quality,LightGBM,Config_A,0.7217675941080196,0.4641095890410959,0.6891781936533767,0.6761808229416861,0.7846419464383441,0.7109460249491262,direct,1week,0.02,24489,247,4888,16,1036,1132,0.25143207855973815
HOSE100_quality,Logistic_Regression,Config_LLM,0.28109656301145663,0.2507091424830897,0.9349064279902359,0.25445527295556775,0.5007253868266461,0.49819931948842217,direct,1week,0.02,24489,247,4888,36,1036,1132,0.25143207855973815
HOSE100_quality,Random_Forest,Config_LLM,0.28518821603927985,0.25093468220804926,0.9283970707892596,0.2607915512465374,0.5011726938780865,0.4987708229048785,direct,1week,0.02,24489,247,4888,36,1036,1132,0.25143207855973815
HOSE100_quality,XGBoost,Config_LLM,0.28600654664484454,0.25148384260276985,0.9308380797396257,0.2615241507912142,0.5035895751550342,0.5001279767378096,direct,1week,0.02,24489,247,4888,36,1036,1132,0.25143207855973815
HOSE100_quality,LightGBM,Config_LLM,0.28477905073649756,0.25169769989047097,0.9349064279902359,0.2593332058467453,0.5045994906281224,0.5006590079278865,direct,1week,0.02,24489,247,4888,36,1036,1132,0.25143207855973815
HOSE100_quality,Logistic_Regression,Config_Hybrid,0.685556464811784,0.42353525322740815,0.694060211554109,0.6453945077055839,0.7510637857853979,0.6883802014316049,direct,1week,0.02,24489,247,4888,52,1036,1132,0.25143207855973815
HOSE100_quality,Random_Forest,Config_Hybrid,0.7927577741407529,0.6661538461538462,0.35231895850284783,0.6663034439618173,0.7741868807276817,0.6465065686201039,direct,1week,0.02,24489,247,4888,52,1036,1132,0.25143207855973815
HOSE100_quality,XGBoost,Config_Hybrid,0.7229950900163666,0.46209824135839905,0.6200162733930025,0.6666228097658908,0.7620940240978752,0.6888001563740087,direct,1week,0.02,24489,247,4888,52,1036,1132,0.25143207855973815
HOSE100_quality,LightGBM,Config_Hybrid,0.726063829787234,0.47001090512540894,0.7013832384052074,0.6816915775225065,0.7848038353438616,0.7178684434715297,direct,1week,0.02,24489,247,4888,52,1036,1132,0.25143207855973815
HOSE100_quality,Logistic_Regression,Config_A,0.6716666666666666,0.44370860927152317,0.7010463378176383,0.6435547721668146,0.736615088092888,0.6806791481115921,direct,2week,0.02,12304,124,2400,16,985,1132,0.27875
HOSE100_quality,Random_Forest,Config_A,0.7691666666666667,0.6032315978456014,0.5022421524663677,0.696557793233896,0.790371481444062,0.687285143246471,direct,2week,0.02,12304,124,2400,16,985,1132,0.27875
HOSE100_quality,XGBoost,Config_A,0.7216666666666667,0.500587544065805,0.6367713004484304,0.6784338896020539,0.7671330585584768,0.6956242406343828,direct,2week,0.02,12304,124,2400,16,985,1132,0.27875
HOSE100_quality,LightGBM,Config_A,0.72125,0.5,0.70254110612855,0.6872808253635974,0.7873119989913985,0.7155108765766955,direct,2week,0.02,12304,124,2400,16,985,1132,0.27875
HOSE100_quality,Logistic_Regression,Config_LLM,0.6595833333333333,0.3238095238095238,0.20328849028400597,0.5148070697420297,0.5167688652972828,0.5196107384984443,direct,2week,0.02,12304,124,2400,36,985,1132,0.27875
HOSE100_quality,Random_Forest,Config_LLM,0.6829166666666666,0.3283582089552239,0.13153961136023917,0.49541817936690236,0.5026765074405957,0.5137767380891317,direct,2week,0.02,12304,124,2400,36,985,1132,0.27875
HOSE100_quality,XGBoost,Config_LLM,0.6820833333333334,0.3272058823529412,0.13303437967115098,0.49572042555335954,0.5029644942873254,0.5136575711180712,direct,2week,0.02,12304,124,2400,36,985,1132,0.27875
HOSE100_quality,LightGBM,Config_LLM,0.68125,0.32857142857142857,0.1375186846038864,0.4976193010505393,0.5051837632411345,0.5144554717069114,direct,2week,0.02,12304,124,2400,36,985,1132,0.27875
HOSE100_quality,Logistic_Regression,Config_Hybrid,0.7020833333333333,0.47695390781563124,0.7115097159940209,0.6714350076042883,0.7788701416791664,0.7049749619831456,direct,2week,0.02,12304,124,2400,52,985,1132,0.27875
HOSE100_quality,Random_Forest,Config_Hybrid,0.7766666666666666,0.6156521739130435,0.5291479820627802,0.7092003370961266,0.7978483453493362,0.7007380580446773,direct,2week,0.02,12304,124,2400,52,985,1132,0.27875
HOSE100_quality,XGBoost,Config_Hybrid,0.71625,0.4929906542056075,0.6307922272047832,0.6727518458265549,0.7699257106194178,0.6900350506330097,direct,2week,0.02,12304,124,2400,52,985,1132,0.27875
HOSE100_quality,LightGBM,Config_Hybrid,0.72125,0.5,0.6860986547085202,0.6851166427503579,0.7854122356846358,0.710467004997241,direct,2week,0.02,12304,124,2400,52,985,1132,0.27875
HOSE100_quality,Logistic_Regression,Config_A,0.7362132352941176,0.5297029702970297,0.6881028938906752,0.7010803023123351,0.7837920603193915,0.7217863246802154,direct,month,0.02,5689,58,1088,16,889,1132,0.2858455882352941
