universe,relevance_variant,unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
HOSE100_quality,any_relevance,1week,LightGBM,4888,0.7109460249491262,0.7132503845417444,0.0023043595926182103,157,162,319,0.7799063582791239
HOSE100_quality,any_relevance,1week,Logistic_Regression,4888,0.6882435520738569,0.7009394893516905,0.01269593727783358,144,229,373,1.0169923231897636e-05
HOSE100_quality,any_relevance,1week,Random_Forest,4888,0.6498761038410589,0.6432300972823345,-0.006646006558724382,118,101,219,0.2516819123551184
HOSE100_quality,any_relevance,1week,XGBoost,4888,0.6735175546058172,0.6881324758261838,0.014614921220366561,363,379,742,0.5572441454574817
HOSE100_quality,any_relevance,2month,LightGBM,488,0.6817959781812262,0.6809818448261825,-0.0008141333550436558,16,14,30,0.720100131817162
HOSE100_quality,any_relevance,2month,Logistic_Regression,488,0.6263127900350077,0.6044736627859644,-0.021839127249043355,25,30,55,0.5044037600228253
HOSE100_quality,any_relevance,2month,Random_Forest,488,0.6908328584222097,0.6837906049010828,-0.007042253521126862,15,13,28,0.7110711038112638
HOSE100_quality,any_relevance,2month,XGBoost,488,0.6575958642025563,0.6768297647154604,0.01923390051290408,27,36,63,0.2604354765766535
HOSE100_quality,any_relevance,2week,LightGBM,2400,0.7155108765766955,0.71408475880346,-0.0014261177732355357,83,86,169,0.8181059679029428
HOSE100_quality,any_relevance,2week,Logistic_Regression,2400,0.6806791481115921,0.7036498770766788,0.022970728965086673,114,184,298,4.7843472247742426e-05
HOSE100_quality,any_relevance,2week,Random_Forest,2400,0.687285143246471,0.6963729200830024,0.009087776836531392,71,85,156,0.26379574559812313
HOSE100_quality,any_relevance,2week,XGBoost,2400,0.6956242406343828,0.6866880130980044,-0.00893622753637835,157,134,291,0.17821091967153777
HOSE100_quality,any_relevance,month,LightGBM,1088,0.6825638224352051,0.6970270684097051,0.014463245974499994,49,49,98,0.9196068309220415
