universe,relevance_variant,unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
HOSE100_quality,any_relevance,1week,LightGBM,4888,0.7109460249491262,0.7208716160938031,0.009925591144676948,136,177,313,0.02053359609652275
HOSE100_quality,any_relevance,1week,Logistic_Regression,4888,0.6882435520738569,0.688923685614414,0.0006801335405570708,2,5,7,0.28906249999999994
HOSE100_quality,any_relevance,1week,Random_Forest,4888,0.6498761038410589,0.6444817342393478,-0.005394369601711024,116,122,238,0.6980219721257956
HOSE100_quality,any_relevance,1week,XGBoost,4888,0.6735175546058172,0.6919929035731417,0.0184753489673245,332,398,730,0.014586658581665607
HOSE100_quality,any_relevance,2month,LightGBM,488,0.6817959781812262,0.695066351868436,0.013270373687209847,15,17,32,0.7283324808813629
HOSE100_quality,any_relevance,2month,Logistic_Regression,488,0.6263127900350077,0.6263127900350077,0.0,5,5,10,0.75390625
HOSE100_quality,any_relevance,2month,Random_Forest,488,0.6908328584222097,0.6852356916062852,-0.005597166815924481,16,15,31,0.860050065908581
HOSE100_quality,any_relevance,2month,XGBoost,488,0.6575958642025563,0.6768297647154604,0.01923390051290408,24,33,57,0.23704711476271956
HOSE100_quality,any_relevance,2week,LightGBM,2400,0.7155108765766955,0.7155795271143719,6.865053767635132e-05,75,80,155,0.6890542729314678
HOSE100_quality,any_relevance,2week,Logistic_Regression,2400,0.6806791481115921,0.6803902977360866,-0.00028885037550552273,2,1,3,0.6249999999999999
HOSE100_quality,any_relevance,2week,Random_Forest,2400,0.687285143246471,0.6922279819591568,0.004942838712685749,73,79,152,0.6277709072003701
HOSE100_quality,any_relevance,2week,XGBoost,2400,0.6956242406343828,0.6955050736633223,-0.00011916697106051366,146,144,290,0.9066945944892664
HOSE100_quality,any_relevance,month,LightGBM,1088,0.6825638224352051,0.7021750735577102,0.01961125112250517,45,53,98,0.42152334361576993
HOSE100_quality,any_relevance,month,Logistic_Regression,1088,0.7217863246802154,0.6404031500494523,-0.08138317463076317,173,75,248,3.107199932314163e-10
HOSE100_quality,any_relevance,month,Random_Forest,1088,0.7028392655402302,0.692870178400725,-0.009969087139505284,47,39,86,0.39119096530075287
