event_variant,universe,relevance_variant,unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
all_event_types,HOSE100_quality_all_event_types,any_relevance,1week,LightGBM,4888,0.7109460249491262,0.7123156317747894,0.0013696068256632277,171,183,354,0.5242522631444066
all_event_types,HOSE100_quality_all_event_types,any_relevance,1week,Logistic_Regression,4888,0.6882435520738569,0.6899238165932126,0.0016802645193556565,32,70,102,0.00015323388084216889
all_event_types,HOSE100_quality_all_event_types,any_relevance,1week,Random_Forest,4888,0.6498761038410589,0.6436680645892258,-0.0062080392518331085,131,135,266,0.8066703070631563
all_event_types,HOSE100_quality_all_event_types,any_relevance,1week,XGBoost,4888,0.6735175546058172,0.6921015336972425,0.018583979091425284,357,406,763,0.07620013618596422
all_event_types,HOSE100_quality_all_event_types,any_relevance,2month,LightGBM,488,0.6817959781812262,0.7000325653342017,0.018236587152975492,22,26,48,0.5681724128491654
all_event_types,HOSE100_quality_all_event_types,any_relevance,2month,Logistic_Regression,488,0.6263127900350077,0.5633599283562647,-0.06295286167874303,63,18,81,3.3155201688474967e-07
all_event_types,HOSE100_quality_all_event_types,any_relevance,2month,Random_Forest,488,0.6908328584222097,0.7103313522755027,0.019498493853293053,21,23,44,0.7659918242447931
all_event_types,HOSE100_quality_all_event_types,any_relevance,2month,XGBoost,488,0.6575958642025563,0.6870267849873809,0.029430920784824566,34,40,74,0.48868297090314317
all_event_types,HOSE100_quality_all_event_types,any_relevance,2week,LightGBM,2400,0.7155108765766955,0.7162906430612441,0.000779766484548583,86,76,162,0.4335671268286536
all_event_types,HOSE100_quality_all_event_types,any_relevance,2week,Logistic_Regression,2400,0.6806791481115921,0.6783359627784556,-0.0023431853331364882,9,12,21,0.5234670639038085
all_event_types,HOSE100_quality_all_event_types,any_relevance,2week,Random_Forest,2400,0.687285143246471,0.6930945330856733,0.005809389839202206,81,90,171,0.49267221764855096
all_event_types,HOSE100_quality_all_event_types,any_relevance,2week,XGBoost,2400,0.6956242406343828,0.6965231740899918,0.0008989334556089856,157,149,306,0.6480409469756261
all_event_types,HOSE100_quality_all_event_types,any_relevance,month,LightGBM,1088,0.6825638224352051,0.6934764346339909,0.01091261219878581,88,66,154,0.07687597125332404
all_event_types,HOSE100_quality_all_event_types,any_relevance,month,Logistic_Regression,1088,0.7217863246802154,0.6326749349257388,-0.08911138975447663,195,76,271,2.1848881185232067e-13
all_event_types,HOSE100_quality_all_event_types,any_relevance,month,Random_Forest,1088,0.7028392655402302,0.7050780684221198,0.002238802881889601,63,47,110,0.12847543208575926
all_event_types,HOSE100_quality_all_event_types,any_relevance,month,XGBoost,1088,0.667442591879891,0.6976622925175979,0.03021970063770696,88,99,187,0.4224789095758399
all_event_types,HOSE100_quality_all_event_types,any_relevance,quarter,LightGBM,388,0.7008928571428572,0.6942287784679089,-0.006664078674948337,28,17,45,0.10380535550410733
all_event_types,HOSE100_quality_all_event_types,any_relevance,quarter,Logistic_Regression,388,0.604684265010352,0.5892210144927537,-0.015463250517598337,14,4,18,0.019210815429687507
all_event_types,HOSE100_quality_all_event_types,any_relevance,quarter,Random_Forest,388,0.6961697722567288,0.6910584886128364,-0.005111283643892461,37,21,58,0.03634317995705387
all_event_types,HOSE100_quality_all_event_types,any_relevance,quarter,XGBoost,388,0.6953286749482401,0.722955486542443,0.027626811594202882,18,23,41,0.44079906734259566
all_event_types,HOSE100_quality_all_event_types,direct,1week,LightGBM,4888,0.7109460249491262,0.7174740616392008,0.006528036690074623,168,196,364,0.14265623056500218
all_event_types,HOSE100_quality_all_event_types,direct,1week,Logistic_Regression,4888,0.6882435520738569,0.6893647661694884,0.0011212140956314842,26,52,78,0.0031830106288350626
all_event_types,HOSE100_quality_all_event_types,direct,1week,Random_Forest,4888,0.6498761038410589,0.6410779532883795,-0.008798150552679407,147,136,283,0.5140019327424026
all_event_types,HOSE100_quality_all_event_types,direct,1week,XGBoost,4888,0.6735175546058172,0.6945581088885238,0.02104055428270657,334,399,733,0.016373018096320215
all_event_types,HOSE100_quality_all_event_types,direct,2month,LightGBM,488,0.6817959781812262,0.7099649922657332,0.028169014084507005,17,25,42,0.22205282015602282
all_event_types,HOSE100_quality_all_event_types,direct,2month,Logistic_Regression,488,0.6263127900350077,0.5863999023039974,-0.039912887731010316,41,22,63,0.01685819004428111
all_event_types,HOSE100_quality_all_event_types,direct,2month,Random_Forest,488,0.6908328584222097,0.6882072783521941,-0.002625580070015565,27,18,45,0.18392482137699057
all_event_types,HOSE100_quality_all_event_types,direct,2month,XGBoost,488,0.6575958642025563,0.6905479117479443,0.03295204754538794,34,41,75,0.42219110499231527
all_event_types,HOSE100_quality_all_event_types,direct,2week,LightGBM,2400,0.7155108765766955,0.7147634924212397,-0.0007473841554558325,85,84,169,0.9388949735923945
all_event_types,HOSE100_quality_all_event_types,direct,2week,Logistic_Regression,2400,0.6806791481115921,0.6785561626162849,-0.002122985495307206,6,5,11,0.7744140625
all_event_types,HOSE100_quality_all_event_types,direct,2week,Random_Forest,2400,0.687285143246471,0.6979182048272985,0.010633061580827441,82,95,177,0.3298754764930276
all_event_types,HOSE100_quality_all_event_types,direct,2week,XGBoost,2400,0.6956242406343828,0.6943496721613003,-0.0012745684730824935,175,169,344,0.7467263456785921
all_event_types,HOSE100_quality_all_event_types,direct,month,LightGBM,1088,0.6825638224352051,0.6947655050548941,0.012201682619689014,79,62,141,0.1534437501643437
all_event_types,HOSE100_quality_all_event_types,direct,month,Logistic_Regression,1088,0.7217863246802154,0.6584170297996665,-0.06336929488054888,152,76,228,4.012619965412142e-07
all_event_types,HOSE100_quality_all_event_types,direct,month,Random_Forest,1088,0.7028392655402302,0.7205158764644295,0.017676610924199254,54,53,107,0.9234010375945975
all_event_types,HOSE100_quality_all_event_types,direct,month,XGBoost,1088,0.667442591879891,0.6674301770764792,-1.241480341174217e-05,105,87,192,0.19495973532361927
all_event_types,HOSE100_quality_all_event_types,direct,quarter,LightGBM,388,0.7008928571428572,0.708592132505176,0.007699275362318847,24,18,42,0.3603776529357674
all_event_types,HOSE100_quality_all_event_types,direct,quarter,Logistic_Regression,388,0.604684265010352,0.5871506211180124,-0.01753364389233958,28,11,39,0.0064265760956914155
all_event_types,HOSE100_quality_all_event_types,direct,quarter,Random_Forest,388,0.6961697722567288,0.7027691511387164,0.006599378881987583,32,21,53,0.1336742353641053
all_event_types,HOSE100_quality_all_event_types,direct,quarter,XGBoost,388,0.6953286749482401,0.7013457556935818,0.006017080745341685,24,20,44,0.5514843298025198
all_event_types,HOSE100_quality_all_event_types,direct_indirect,1week,LightGBM,4888,0.7109460249491262,0.7189522985889647,0.008006273639838524,165,188,353,0.22148925087331045
all_event_types,HOSE100_quality_all_event_types,direct_indirect,1week,Logistic_Regression,4888,0.6882435520738569,0.6906008368855865,0.0023572848117295875,27,66,93,4.4964320919685566e-05
all_event_types,HOSE100_quality_all_event_types,direct_indirect,1week,Random_Forest,4888,0.6498761038410589,0.6360623992780823,-0.013813704562976592,151,129,280,0.1892874028968412
all_event_types,HOSE100_quality_all_event_types,direct_indirect,1week,XGBoost,4888,0.6735175546058172,0.6945425426476086,0.021024988041791426,329,384,713,0.039484450399212154
all_event_types,HOSE100_quality_all_event_types,direct_indirect,2month,LightGBM,488,0.6817959781812262,0.6984042986241146,0.016608320442888402,26,26,52,0.889883965276537
all_event_types,HOSE100_quality_all_event_types,direct_indirect,2month,Logistic_Regression,488,0.6263127900350077,0.6046364894569731,-0.021676300578034602,34,19,53,0.04022356409571672
all_event_types,HOSE100_quality_all_event_types,direct_indirect,2month,Random_Forest,488,0.6908328584222097,0.7132215256859074,0.022388667263697704,20,24,44,0.5514843298025198
all_event_types,HOSE100_quality_all_event_types,direct_indirect,2month,XGBoost,488,0.6575958642025563,0.6884718716925833,0.030876007490026947,36,43,79,0.434042255345479
all_event_types,HOSE100_quality_all_event_types,direct_indirect,2week,LightGBM,2400,0.7155108765766955,0.7115032395282024,-0.004007637048493162,81,83,164,0.8763306838960274
all_event_types,HOSE100_quality_all_event_types,direct_indirect,2week,Logistic_Regression,2400,0.6806791481115921,0.6791338633672959,-0.0015452847442962714,6,7,13,0.7905273437499998
all_event_types,HOSE100_quality_all_event_types,direct_indirect,2week,Random_Forest,2400,0.687285143246471,0.6935530668656237,0.006267923619152627,80,89,169,0.4901385671038998
all_event_types,HOSE100_quality_all_event_types,direct_indirect,2week,XGBoost,2400,0.6956242406343828,0.6962161896101945,0.000591948975811718,181,164,345,0.36077542266264734
all_event_types,HOSE100_quality_all_event_types,direct_indirect,month,LightGBM,1088,0.6825638224352051,0.7005508034446941,0.017986981009489034,80,63,143,0.15633984208003984
all_event_types,HOSE100_quality_all_event_types,direct_indirect,month,Logistic_Regression,1088,0.7217863246802154,0.6127284841111208,-0.10905784056909462,211,64,275,1.0890768386193791e-19
all_event_types,HOSE100_quality_all_event_types,direct_indirect,month,Random_Forest,1088,0.7028392655402302,0.7134394385198244,0.010600172979594147,56,47,103,0.3775839232980986
all_event_types,HOSE100_quality_all_event_types,direct_indirect,month,XGBoost,1088,0.667442591879891,0.6889760683972903,0.02153347651739934,96,95,191,0.9424925696532238
all_event_types,HOSE100_quality_all_event_types,direct_indirect,quarter,LightGBM,388,0.7008928571428572,0.7058100414078674,0.004917184265010199,26,17,43,0.17417114727072652
all_event_types,HOSE100_quality_all_event_types,direct_indirect,quarter,Logistic_Regression,388,0.604684265010352,0.6169772256728778,0.012292960662525831,18,16,34,0.7358788008568808
all_event_types,HOSE100_quality_all_event_types,direct_indirect,quarter,Random_Forest,388,0.6961697722567288,0.7090450310559007,0.01287525879917184,31,22,53,0.22032849417661104
all_event_types,HOSE100_quality_all_event_types,direct_indirect,quarter,XGBoost,388,0.6953286749482401,0.6807065217391304,-0.014622153209109756,28,17,45,0.10380535550410733
core_material,HOSE100_quality_core_material,any_relevance,1week,LightGBM,4888,0.7109460249491262,0.7132503845417444,0.0023043595926182103,157,162,319,0.7799063582791239
core_material,HOSE100_quality_core_material,any_relevance,1week,Logistic_Regression,4888,0.6882435520738569,0.7009394893516905,0.01269593727783358,144,229,373,1.0169923231897636e-05
core_material,HOSE100_quality_core_material,any_relevance,1week,Random_Forest,4888,0.6498761038410589,0.6432300972823345,-0.006646006558724382,118,101,219,0.2516819123551184
core_material,HOSE100_quality_core_material,any_relevance,1week,XGBoost,4888,0.6735175546058172,0.6881324758261838,0.014614921220366561,363,379,742,0.5572441454574817
core_material,HOSE100_quality_core_material,any_relevance,2month,LightGBM,488,0.6817959781812262,0.6809818448261825,-0.0008141333550436558,16,14,30,0.720100131817162
core_material,HOSE100_quality_core_material,any_relevance,2month,Logistic_Regression,488,0.6263127900350077,0.6044736627859644,-0.021839127249043355,25,30,55,0.5044037600228253
core_material,HOSE100_quality_core_material,any_relevance,2month,Random_Forest,488,0.6908328584222097,0.6837906049010828,-0.007042253521126862,15,13,28,0.7110711038112638
core_material,HOSE100_quality_core_material,any_relevance,2month,XGBoost,488,0.6575958642025563,0.6768297647154604,0.01923390051290408,27,36,63,0.2604354765766535
core_material,HOSE100_quality_core_material,any_relevance,2week,LightGBM,2400,0.7155108765766955,0.71408475880346,-0.0014261177732355357,83,86,169,0.8181059679029428
core_material,HOSE100_quality_core_material,any_relevance,2week,Logistic_Regression,2400,0.6806791481115921,0.7036498770766788,0.022970728965086673,114,184,298,4.7843472247742426e-05
core_material,HOSE100_quality_core_material,any_relevance,2week,Random_Forest,2400,0.687285143246471,0.6963729200830024,0.009087776836531392,71,85,156,0.26379574559812313
core_material,HOSE100_quality_core_material,any_relevance,2week,XGBoost,2400,0.6956242406343828,0.6866880130980044,-0.00893622753637835,157,134,291,0.17821091967153777
core_material,HOSE100_quality_core_material,any_relevance,month,LightGBM,1088,0.6825638224352051,0.6970270684097051,0.014463245974499994,49,49,98,0.9196068309220415
core_material,HOSE100_quality_core_material,any_relevance,month,Logistic_Regression,1088,0.7217863246802154,0.6404031500494523,-0.08138317463076317,173,75,248,3.107199932314163e-10
core_material,HOSE100_quality_core_material,any_relevance,month,Random_Forest,1088,0.7028392655402302,0.6973726137713276,-0.005466651768902597,41,37,78,0.6529643755164596
core_material,HOSE100_quality_core_material,any_relevance,month,XGBoost,1088,0.667442591879891,0.6915645549086064,0.024121963028715387,67,91,158,0.05665599683377129
core_material,HOSE100_quality_core_material,any_relevance,quarter,LightGBM,388,0.7008928571428572,0.6746894409937889,-0.026203416149068293,26,13,39,0.038477308284200276
core_material,HOSE100_quality_core_material,any_relevance,quarter,Logistic_Regression,388,0.604684265010352,0.6145833333333333,0.009899068322981264,2,6,8,0.17968749999999994
core_material,HOSE100_quality_core_material,any_relevance,quarter,Random_Forest,388,0.6961697722567288,0.7016045548654244,0.005434782608695565,14,17,31,0.5966148958541452
core_material,HOSE100_quality_core_material,any_relevance,quarter,XGBoost,388,0.6953286749482401,0.6550207039337475,-0.04030797101449268,20,8,28,0.024119544774293906
core_material,HOSE100_quality_core_material,direct,1week,LightGBM,4888,0.7109460249491262,0.7178684434715297,0.006922418522403495,158,179,337,0.2533150894418905
core_material,HOSE100_quality_core_material,direct,1week,Logistic_Regression,4888,0.6882435520738569,0.6883802014316049,0.0001366493577480421,2,3,5,0.6875000000000002
core_material,HOSE100_quality_core_material,direct,1week,Random_Forest,4888,0.6498761038410589,0.6465065686201039,-0.0033695352209549556,112,117,229,0.7417150560659578
core_material,HOSE100_quality_core_material,direct,1week,XGBoost,4888,0.6735175546058172,0.6888001563740087,0.015282601768191517,358,369,727,0.6835320308905397
core_material,HOSE100_quality_core_material,direct,2month,LightGBM,488,0.6817959781812262,0.6830578848815436,0.00126190670031745,15,13,28,0.7110711038112638
core_material,HOSE100_quality_core_material,direct,2month,Logistic_Regression,488,0.6263127900350077,0.6227916632744444,-0.0035211267605633756,6,5,11,0.7744140625
core_material,HOSE100_quality_core_material,direct,2month,Random_Forest,488,0.6908328584222097,0.6732272246193927,-0.01760563380281699,15,10,25,0.32693958282470703
core_material,HOSE100_quality_core_material,direct,2month,XGBoost,488,0.6575958642025563,0.6689733778392901,0.011377513636733783,30,35,65,0.5385827752459463
core_material,HOSE100_quality_core_material,direct,2week,LightGBM,2400,0.7155108765766955,0.710467004997241,-0.0050438715794545175,63,63,126,0.9290596866317957
core_material,HOSE100_quality_core_material,direct,2week,Logistic_Regression,2400,0.6806791481115921,0.7049749619831456,0.02429581387155344,112,185,297,2.145477354165067e-05
core_material,HOSE100_quality_core_material,direct,2week,Random_Forest,2400,0.687285143246471,0.7007380580446773,0.013452914798206206,62,80,142,0.13197859831859352
core_material,HOSE100_quality_core_material,direct,2week,XGBoost,2400,0.6956242406343828,0.6900350506330097,-0.0055891900013730345,147,134,281,0.43890364792580455
core_material,HOSE100_quality_core_material,direct,month,LightGBM,1088,0.6825638224352051,0.6909210542651057,0.008357231829900669,48,49,97,0.9196068309220417
core_material,HOSE100_quality_core_material,direct,month,Logistic_Regression,1088,0.7217863246802154,0.6404031500494523,-0.08138317463076317,173,75,248,3.107199932314163e-10
core_material,HOSE100_quality_core_material,direct,month,Random_Forest,1088,0.7028392655402302,0.7018750491419302,-0.0009642163983000218,44,44,88,0.9151865048428769
core_material,HOSE100_quality_core_material,direct,month,XGBoost,1088,0.667442591879891,0.6790193960611968,0.0115768041813058,61,70,131,0.4335372697423327
core_material,HOSE100_quality_core_material,direct,quarter,LightGBM,388,0.7008928571428572,0.694616977225673,-0.006275879917184257,15,13,28,0.7110711038112638
core_material,HOSE100_quality_core_material,direct,quarter,Logistic_Regression,388,0.604684265010352,0.6163949275362319,0.011710662525879934,2,7,9,0.10937499999999997
core_material,HOSE100_quality_core_material,direct,quarter,Random_Forest,388,0.6961697722567288,0.6954580745341614,-0.0007116977225674059,15,19,34,0.4995598332025111
core_material,HOSE100_quality_core_material,direct,quarter,XGBoost,388,0.6953286749482401,0.6757893374741202,-0.019539337474119955,17,15,32,0.7283324808813629
core_material,HOSE100_quality_core_material,direct_indirect,1week,LightGBM,4888,0.7109460249491262,0.7149275358129169,0.003981510863790727,153,194,347,0.02781714858976659
core_material,HOSE100_quality_core_material,direct_indirect,1week,Logistic_Regression,4888,0.6882435520738569,0.6883802014316049,0.0001366493577480421,2,3,5,0.6875000000000002
core_material,HOSE100_quality_core_material,direct_indirect,1week,Random_Forest,4888,0.6498761038410589,0.6454196002544859,-0.004456503586573013,119,120,239,0.9485503941706395
core_material,HOSE100_quality_core_material,direct_indirect,1week,XGBoost,4888,0.6735175546058172,0.6775609968709633,0.00404344226514608,368,362,730,0.8243964681978079
core_material,HOSE100_quality_core_material,direct_indirect,2month,LightGBM,488,0.6817959781812262,0.6936212651632336,0.011825286982007466,18,19,37,0.8714146793645342
core_material,HOSE100_quality_core_material,direct_indirect,2month,Logistic_Regression,488,0.6263127900350077,0.619270536513881,-0.007042253521126751,7,5,12,0.5810546875
core_material,HOSE100_quality_core_material,direct_indirect,2month,Random_Forest,488,0.6908328584222097,0.6881258650166897,-0.002706993405519942,15,16,31,0.860050065908581
core_material,HOSE100_quality_core_material,direct_indirect,2month,XGBoost,488,0.6575958642025563,0.6816127981763414,0.024016933973785015,30,38,68,0.3355576182340152
core_material,HOSE100_quality_core_material,direct_indirect,2week,LightGBM,2400,0.7155108765766955,0.7173126293674048,0.0018017527907092656,63,74,137,0.3491151663767812
core_material,HOSE100_quality_core_material,direct_indirect,2week,Logistic_Regression,2400,0.6806791481115921,0.6803902977360866,-0.00028885037550552273,2,1,3,0.6249999999999999
core_material,HOSE100_quality_core_material,direct_indirect,2week,Random_Forest,2400,0.687285143246471,0.6952861691186566,0.008001025872185541,64,79,143,0.21115264054329347
core_material,HOSE100_quality_core_material,direct_indirect,2week,XGBoost,2400,0.6956242406343828,0.7022820474958098,0.006657806861427029,147,151,298,0.8171092142290026
core_material,HOSE100_quality_core_material,direct_indirect,month,LightGBM,1088,0.6825638224352051,0.684494324365707,0.0019305019305019266,47,50,97,0.7620362195292425
core_material,HOSE100_quality_core_material,direct_indirect,month,Logistic_Regression,1088,0.7217863246802154,0.691874924993896,-0.029911399686319395,78,48,126,0.007519595098399954
core_material,HOSE100_quality_core_material,direct_indirect,month,Random_Forest,1088,0.7028392655402302,0.6925453243781218,-0.010293941162108466,48,35,83,0.15565646371399716
core_material,HOSE100_quality_core_material,direct_indirect,month,XGBoost,1088,0.667442591879891,0.6571507198516845,-0.010291872028206472,80,70,150,0.4158554937643098
core_material,HOSE100_quality_core_material,direct_indirect,quarter,LightGBM,388,0.7008928571428572,0.6783126293995859,-0.022580227743271286,24,13,37,0.07295138851623056
core_material,HOSE100_quality_core_material,direct_indirect,quarter,Logistic_Regression,388,0.604684265010352,0.6145833333333333,0.009899068322981264,2,6,8,0.17968749999999994
core_material,HOSE100_quality_core_material,direct_indirect,quarter,Random_Forest,388,0.6961697722567288,0.713185817805383,0.017016045548654213,13,18,31,0.3770855874754488
core_material,HOSE100_quality_core_material,direct_indirect,quarter,XGBoost,388,0.6953286749482401,0.6847179089026916,-0.010610766045548559,19,19,38,0.8714146793645343
plus_macro_market,HOSE100_quality_plus_macro_market,any_relevance,1week,LightGBM,4888,0.7109460249491262,0.7105423033722482,-0.00040372157687795784,151,152,303,0.9542757995211829
plus_macro_market,HOSE100_quality_plus_macro_market,any_relevance,1week,Logistic_Regression,4888,0.6882435520738569,0.6937437721137909,0.005500220039934001,75,137,212,1.8908141449433363e-05
plus_macro_market,HOSE100_quality_plus_macro_market,any_relevance,1week,Random_Forest,4888,0.6498761038410589,0.6463668060141728,-0.0035092978268860264,108,110,218,0.8925354555605165
plus_macro_market,HOSE100_quality_plus_macro_market,any_relevance,1week,XGBoost,4888,0.6735175546058172,0.6812536427783427,0.007736088172525468,346,369,715,0.39005146672271057
plus_macro_market,HOSE100_quality_plus_macro_market,any_relevance,2month,LightGBM,488,0.6817959781812262,0.6809818448261825,-0.0008141333550436558,22,20,42,0.7607916425613439
plus_macro_market,HOSE100_quality_plus_macro_market,any_relevance,2month,Logistic_Regression,488,0.6263127900350077,0.6242367499796466,-0.002076040055361106,6,6,12,0.7744140624999998
plus_macro_market,HOSE100_quality_plus_macro_market,any_relevance,2month,Random_Forest,488,0.6908328584222097,0.7036554587641456,0.012822600341935941,15,21,36,0.32400860008783655
plus_macro_market,HOSE100_quality_plus_macro_market,any_relevance,2month,XGBoost,488,0.6575958642025563,0.6960636652283644,0.038467801025808046,24,42,66,0.02711999240312637
plus_macro_market,HOSE100_quality_plus_macro_market,any_relevance,2week,LightGBM,2400,0.7155108765766955,0.7145938090167947,-0.0009170675599008415,60,60,120,0.9273150210898833
