model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
Logistic_Regression,Config_A,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5912975609756098,0.6051707317073171,month,0.02,1680,56,330,16,238,288,0.3787878787878788
Random_Forest,Config_A,0.7090909090909091,0.638095238095238,0.536,0.6796764408493428,0.7251121951219511,0.6753170731707316,month,0.02,1680,56,330,16,238,288,0.3787878787878788
XGBoost,Config_A,0.6333333333333333,0.5144927536231884,0.568,0.6175690300830372,0.6752780487804878,0.6205853658536585,month,0.02,1680,56,330,16,238,288,0.3787878787878788
LightGBM,Config_A,0.6636363636363637,0.5507246376811594,0.608,0.6491748953654308,0.6893658536585365,0.652780487804878,month,0.02,1680,56,330,16,238,288,0.3787878787878788
Logistic_Regression,Config_LLM,0.5696969696969697,0.37681159420289856,0.208,0.4816601035352418,0.5008780487804878,0.4991219512195122,month,0.02,1680,56,330,36,238,288,0.3787878787878788
Random_Forest,Config_LLM,0.5727272727272728,0.34615384615384615,0.144,0.45573218233498264,0.49219512195121945,0.4890731707317073,month,0.02,1680,56,330,36,238,288,0.3787878787878788
XGBoost,Config_LLM,0.5696969696969697,0.33962264150943394,0.144,0.4538206909413026,0.47890731707317075,0.4866341463414634,month,0.02,1680,56,330,36,238,288,0.3787878787878788
LightGBM,Config_LLM,0.5696969696969697,0.37681159420289856,0.208,0.4816601035352418,0.5013853658536584,0.4991219512195122,month,0.02,1680,56,330,36,238,288,0.3787878787878788
Logistic_Regression,Config_Hybrid,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5904390243902439,0.6051707317073171,month,0.02,1680,56,330,52,238,288,0.3787878787878788
Random_Forest,Config_Hybrid,0.693939393939394,0.6111111111111112,0.528,0.6649948236523906,0.7243317073170732,0.6615609756097561,month,0.02,1680,56,330,52,238,288,0.3787878787878788
XGBoost,Config_Hybrid,0.6333333333333333,0.5142857142857142,0.576,0.6185335562455219,0.6754731707317074,0.6221463414634146,month,0.02,1680,56,330,52,238,288,0.3787878787878788
