unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
2month,LightGBM,150,0.69896004378763,0.7249589490968802,0.025998905309250198,3,6,9,0.34374999999999994
2month,Logistic_Regression,150,0.5290093048713739,0.5722495894909688,0.04324028461959495,5,11,16,0.14346313476562494
2month,Random_Forest,150,0.7162014230979749,0.7118226600985222,-0.004378762999452612,4,4,8,0.7265625000000001
2month,XGBoost,150,0.7205801860974275,0.7090859332238643,-0.011494252873563204,5,3,8,0.5078125000000001
month,LightGBM,330,0.652780487804878,0.6599024390243902,0.0071219512195122014,13,14,27,0.8505540192127226
month,Logistic_Regression,330,0.6051707317073171,0.6051707317073171,0.0,1,1,2,0.4999999999999998
month,Random_Forest,330,0.6753170731707316,0.6615609756097561,-0.013756097560975511,11,6,17,0.23788452148437497
month,XGBoost,330,0.6205853658536585,0.6221463414634146,0.001560975609756099,14,14,28,0.8505540192127231
quarter,LightGBM,90,0.7047566976489885,0.7124111536358666,0.007654455986878084,3,3,6,0.6875
quarter,Logistic_Regression,90,0.6394204483324221,0.6317659923455441,-0.007654455986877973,1,1,2,0.4999999999999998
quarter,Random_Forest,90,0.753143794423182,0.7124111536358666,-0.04073264078731542,8,5,13,0.4239501953124999
quarter,XGBoost,90,0.6853471842536906,0.693821760524877,0.008474576271186418,2,3,5,0.6875000000000002
